* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 27 Sep, 2022 3:08:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jabra Elite Active 75t L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.772	-140.7613
20.600000	110.827	-142.0926
20.900000	110.879	-143.2934
21.200001	110.931	-144.4952
21.400000	110.966	-145.3008
21.799999	111.034	-146.9156
22.000000	111.065	-147.7191
22.400000	111.125	-149.3041
22.700001	111.166	-150.4684
23.000000	111.207	-151.6141
23.299999	111.245	-152.7471
23.600000	111.282	-153.8707
24.000000	111.326	-155.3526
24.299999	111.356	-156.4444
24.700001	111.389	-157.8616
25.000000	111.410	-158.8903
25.400000	111.435	-160.2189
25.799999	111.459	-161.5147
26.200001	111.484	-162.8016
26.500000	111.502	-163.7733
26.900000	111.523	-165.0831
27.200001	111.535	-166.0711
27.600000	111.548	-167.3796
28.000000	111.558	-168.6543
28.500000	111.567	-170.1791
29.000000	111.577	-171.6410
29.500000	111.586	-173.0779
30.000000	111.589	-174.5171
30.400000	111.591	-175.6696
30.700001	111.590	-176.5311
31.100000	111.587	-177.6747
31.500000	111.583	-178.8135
32.000000	111.572	179.7776
32.500000	111.553	178.4159
33.000000	111.528	177.1326
33.500000	111.500	175.9125
34.000000	111.475	174.6942
34.500000	111.454	173.4361
35.000000	111.424	172.1647
35.500000	111.388	170.9391
36.000000	111.357	169.7702
36.500000	111.331	168.6098
37.000000	111.304	167.4222
37.500000	111.268	166.2427
38.200001	111.206	164.7117
38.700001	111.164	163.6805
39.500000	111.104	161.9394
40.000000	111.053	160.8043
40.599998	110.978	159.5163
41.200001	110.904	158.3482
41.799999	110.839	157.2116
42.500000	110.766	155.8440
43.099998	110.699	154.6638
43.700001	110.631	153.4962
44.400002	110.550	152.1488
45.000000	110.475	151.0390
45.500000	110.413	150.1643
46.200001	110.329	148.9696
46.799999	110.256	147.9123
47.500000	110.160	146.6660
48.200001	110.053	145.5278
48.700001	109.980	144.8018
49.400002	109.887	143.7982
50.000000	109.808	142.8455
50.799999	109.682	141.4851
51.500000	109.566	140.3503
52.200001	109.461	139.3034
53.000000	109.357	138.1618
53.799999	109.251	137.0112
54.500000	109.145	135.9836
55.200001	109.034	134.9861
56.000000	108.914	133.8838
57.000000	108.749	132.6130
58.000000	108.573	131.5162
59.000000	108.396	130.1813
60.000000	108.206	128.8564
60.799999	108.081	127.9337
61.500000	107.967	127.1588
62.200001	107.841	126.4178
63.000000	107.696	125.4999
64.000000	107.518	124.3267
65.000000	107.362	123.2728
66.000000	107.183	122.2943
67.000000	107.007	121.3622
68.000000	106.826	120.2606
69.000000	106.654	119.4429
70.000000	106.471	118.4407
71.000000	106.220	117.6667
72.000000	106.049	116.9138
73.000000	105.855	115.7856
74.000000	105.647	115.1662
