* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 27 Sep, 2022 3:08:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jabra Elite Active 75t R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.307	-107.7491
20.600000	108.383	-109.2774
20.900000	108.457	-110.5850
21.200001	108.544	-111.8488
21.400000	108.612	-112.6993
21.799999	108.765	-114.4626
22.000000	108.846	-115.3889
22.400000	109.003	-117.3247
22.700001	109.107	-118.8107
23.000000	109.193	-120.2760
23.299999	109.262	-121.6826
23.600000	109.317	-123.0141
24.000000	109.381	-124.6796
24.299999	109.430	-125.8811
24.700001	109.499	-127.4794
25.000000	109.555	-128.7051
25.400000	109.631	-130.3749
25.799999	109.709	-132.0353
26.200001	109.789	-133.6246
26.500000	109.852	-134.7571
26.900000	109.939	-136.2126
27.200001	110.002	-137.2970
27.600000	110.074	-138.7657
28.000000	110.124	-140.2525
28.500000	110.152	-142.0666
29.000000	110.166	-143.7877
29.500000	110.193	-145.4913
30.000000	110.239	-147.2872
30.400000	110.279	-148.7750
30.700001	110.306	-149.8696
31.100000	110.336	-151.2331
31.500000	110.367	-152.4755
32.000000	110.410	-153.9509
32.500000	110.446	-155.4828
33.000000	110.462	-157.1027
33.500000	110.455	-158.7235
34.000000	110.451	-160.2913
34.500000	110.469	-161.8562
35.000000	110.492	-163.4541
35.500000	110.501	-165.0018
36.000000	110.496	-166.3798
36.500000	110.492	-167.5950
37.000000	110.500	-168.7974
37.500000	110.509	-170.1064
38.200001	110.499	-172.0370
38.700001	110.477	-173.3412
39.500000	110.451	-175.2915
40.000000	110.434	-176.5282
40.599998	110.398	-178.0366
41.200001	110.349	-179.4995
41.799999	110.304	179.0848
42.500000	110.263	177.4281
43.099998	110.229	176.0019
43.700001	110.192	174.6031
44.400002	110.142	173.0128
45.000000	110.093	171.6786
45.500000	110.050	170.5887
46.200001	109.987	169.0930
46.799999	109.929	167.8305
47.500000	109.857	166.3784
48.200001	109.780	164.9529
48.700001	109.724	163.9574
49.400002	109.644	162.6096
50.000000	109.578	161.4937
50.799999	109.487	160.0280
51.500000	109.401	158.7621
52.200001	109.311	157.5203
53.000000	109.210	156.0978
53.799999	109.102	154.6816
54.500000	109.002	153.4974
55.200001	108.906	152.3385
56.000000	108.793	151.0051
57.000000	108.642	149.4295
58.000000	108.497	147.9208
59.000000	108.341	146.4076
60.000000	108.181	144.9680
60.799999	108.058	143.7773
61.500000	107.943	142.7365
62.200001	107.828	141.7606
63.000000	107.705	140.6837
64.000000	107.545	139.3638
65.000000	107.369	138.1454
66.000000	107.194	136.9474
67.000000	107.025	135.7277
68.000000	106.859	134.5660
69.000000	106.683	133.4709
70.000000	106.490	132.4082
71.000000	106.299	131.3335
72.000000	106.109	130.2773
73.000000	105.924	129.3431
74.000000	105.740	128.3900
75.000000	105.543	127.4526
76.199997	105.320	126.3719
77.500000	105.066	125.2659
78.800003	104.813	124.2440
80.000000	104.578	123.2846
81.199997	104.342	122.3835
82.500000	104.073	121.4981
83.800003	103.808	120.6248
85.000000	103.566	119.8466
86.199997	103.321	119.1682
87.500000	103.055	118.5602
88.500000	102.852	118.0734
90.000000	102.523	117.4072
91.199997	102.287	116.8577
92.500000	102.001	116.3903
93.800003	101.741	116.1465
95.000000	101.469	115.6914
96.199997	101.215	115.4777
97.500000	100.944	115.1968
98.800003	100.670	115.0957
100.000000	100.457	114.8458
101.500000	100.141	114.5446
103.000000	99.836	114.4251
104.400002	99.563	114.5140
106.000000	99.248	114.4337
107.500000	98.959	114.5247
109.000000	98.667	114.7744
110.599998	98.355	114.9086
112.000000	98.076	115.1561
113.800003	97.721	115.4329
115.000000	97.471	115.9095
117.199997	97.037	116.7367
118.000000	96.881	117.1630
120.599998	96.405	118.3915
122.000000	96.175	118.9525
124.099998	95.779	119.9414
125.000000	95.613	120.4805
126.500000	95.396	121.3027
128.000000	95.121	122.2083
131.500000	94.613	124.7180
132.000000	94.528	125.1970
134.000000	94.242	126.8891
136.000000	93.963	128.3770
138.000000	93.726	129.8282
140.000000	93.515	131.3624
143.000000	93.232	134.0913
145.000000	93.046	136.3462
147.500000	92.840	138.2693
150.000000	92.705	140.4482
152.500000	92.575	143.1385
155.000000	92.495	144.7040
157.500000	92.511	146.6273
160.000000	92.362	149.1377
162.500000	92.365	150.9757
165.000000	92.338	153.0782
167.500000	92.350	154.7425
170.000000	92.393	156.6281
172.500000	92.401	158.1460
175.000000	92.478	159.6482
177.500000	92.541	161.1455
180.000000	92.552	162.5689
182.500000	92.643	163.6275
185.000000	92.741	165.0941
187.500000	92.816	166.1480
190.000000	92.931	167.3615
192.500000	93.032	168.3717
195.000000	93.149	169.3477
197.500000	93.293	170.1846
200.000000	93.427	170.8472
203.000000	93.598	171.8086
206.000000	93.756	172.3713
209.000000	93.937	173.0677
212.000000	94.070	173.8008
214.000000	94.175	174.0912
218.000000	94.351	175.3737
220.000000	94.435	175.7593
224.000000	94.542	176.3030
227.000000	94.618	176.9619
230.000000	94.725	177.4693
233.000000	94.795	177.8332
236.000000	94.862	178.2587
240.000000	94.954	178.7317
243.000000	95.011	179.1468
247.000000	95.074	179.6923
250.000000	95.118	-179.7522
254.000000	95.153	-179.1139
258.000000	95.193	-178.6729
262.000000	95.244	-178.2445
265.000000	95.280	-177.8721
269.000000	95.312	-177.3856
272.000000	95.341	-177.1212
276.000000	95.383	-176.7430
280.000000	95.436	-176.2517
285.000000	95.493	-175.7878
290.000000	95.547	-175.2499
295.000000	95.604	-174.7292
300.000000	95.675	-174.2979
304.000000	95.711	-173.9595
307.000000	95.751	-173.6210
311.000000	95.802	-173.3125
315.000000	95.826	-172.8980
320.000000	95.869	-172.2650
325.000000	95.963	-171.8792
330.000000	96.008	-171.4353
335.000000	96.074	-171.0447
340.000000	96.144	-170.8005
345.000000	96.194	-170.1131
350.000000	96.253	-170.0128
355.000000	96.310	-169.1900
360.000000	96.386	-168.9287
365.000000	96.461	-168.7092
370.000000	96.525	-168.3913
375.000000	96.560	-168.0078
382.000000	96.657	-167.6209
387.000000	96.728	-167.2278
395.000000	96.835	-166.8621
400.000000	96.898	-166.5765
406.000000	96.973	-166.2943
412.000000	97.065	-166.0157
418.000000	97.167	-165.5671
425.000000	97.230	-165.1830
431.000000	97.361	-165.2144
437.000000	97.440	-165.2785
444.000000	97.489	-165.3219
450.000000	97.604	-163.8195
455.000000	97.729	-164.2453
462.000000	97.699	-164.9386
468.000000	97.749	-164.4833
475.000000	97.874	-164.3069
