* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Feb, 2022 9:39:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2 L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 40.688, -103.2330
0.732422, 50.916, -113.6659
1.098633, 54.451, -112.4451
1.464844, 56.060, -113.7778
1.831055, 57.597, -115.0157
2.197266, 58.934, -117.9026
2.563477, 60.038, -121.2418
2.929688, 60.924, -124.8489
3.295899, 61.609, -128.4419
3.662110, 62.144, -131.5635
4.028321, 62.576, -134.3745
4.394532, 62.946, -136.7572
4.760743, 63.274, -138.9699
5.126954, 63.570, -141.0447
5.493164, 63.825, -143.0559
5.859375, 64.039, -144.9706
6.225586, 64.215, -146.7445
6.591797, 64.363, -148.3633
6.958008, 64.494, -149.8316
7.324219, 64.613, -151.2011
7.690430, 64.723, -152.5025
8.056641, 64.822, -153.7572
8.422852, 64.909, -154.9644
8.789063, 64.985, -156.1184
9.155274, 65.050, -157.2176
9.521485, 65.109, -158.2639
9.887696, 65.162, -159.2601
10.253907, 65.166, -160.2438
10.620118, 65.146, -161.1449
10.986329, 65.125, -161.9360
11.352540, 65.110, -162.7666
11.718751, 65.091, -163.5109
12.084962, 65.081, -164.1998
12.451173, 65.082, -164.9025
12.817384, 65.078, -165.5410
13.183595, 65.073, -166.1639
13.549806, 65.075, -166.7719
13.916017, 65.080, -167.3203
14.282228, 65.084, -167.8655
14.648439, 65.087, -168.3750
15.014650, 65.089, -168.8455
15.380861, 65.101, -169.3419
15.747072, 65.110, -169.8094
16.113283, 65.115, -170.2598
16.479493, 65.118, -170.7054
16.845704, 65.118, -171.1056
17.211915, 65.127, -171.4906
17.578126, 65.137, -171.8614
17.944337, 65.147, -172.2061
18.310548, 65.158, -172.5632
18.676759, 65.170, -172.9072
19.042970, 65.181, -173.2396
19.409181, 65.192, -173.5921
19.775392, 65.203, -173.9379
