* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Feb, 2022 9:46:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.765	-176.9723
20.299999	65.758	-177.3024
20.600000	65.748	-177.5887
20.900000	65.738	-177.8199
21.200001	65.734	-178.0229
21.400000	65.736	-178.1577
21.799999	65.747	-178.4487
22.000000	65.752	-178.6159
22.400000	65.759	-179.0021
22.700001	65.756	-179.2957
23.000000	65.746	-179.5595
23.299999	65.733	-179.7822
23.600000	65.721	-179.9582
24.000000	65.712	179.8566
24.299999	65.711	179.7230
24.700001	65.713	179.5349
25.000000	65.714	179.3920
25.400000	65.716	179.2109
25.799999	65.721	179.0569
26.200001	65.736	178.8912
26.500000	65.750	178.7272
26.900000	65.765	178.4446
27.200001	65.768	178.1942
27.600000	65.761	177.8568
28.000000	65.745	177.5818
28.500000	65.727	177.3412
29.000000	65.722	177.1400
29.500000	65.725	176.8766
30.000000	65.722	176.5572
30.400000	65.714	176.3038
30.700001	65.706	176.1409
31.100000	65.694	175.9603
31.500000	65.685	175.8033
32.000000	65.678	175.6160
32.500000	65.673	175.4200
33.000000	65.667	175.2249
33.500000	65.659	175.0291
34.000000	65.654	174.8304
34.500000	65.653	174.6096
35.000000	65.651	174.3712
35.500000	65.644	174.1316
36.000000	65.636	173.9179
36.500000	65.631	173.7199
37.000000	65.627	173.5088
37.500000	65.621	173.2711
38.200001	65.602	172.9811
38.700001	65.587	172.8348
39.500000	65.578	172.5587
40.000000	65.565	172.3121
40.599998	65.533	172.0577
41.200001	65.501	171.9591
41.799999	65.491	171.8947
42.500000	65.491	171.6404
43.099998	65.470	171.3432
43.700001	65.436	171.1606
44.400002	65.412	171.0702
45.000000	65.405	170.9315
45.500000	65.394	170.7610
46.200001	65.366	170.5948
46.799999	65.353	170.5581
47.500000	65.359	170.4485
48.200001	65.358	170.1754
48.700001	65.341	169.9792
49.400002	65.312	169.8365
50.000000	65.302	169.7677
50.799999	65.302	169.5279
51.500000	65.280	169.1930
52.200001	65.235	168.9744
53.000000	65.202	168.9594
53.799999	65.210	168.8475
54.500000	65.207	168.5284
55.200001	65.174	168.2536
56.000000	65.142	168.1480
57.000000	65.135	167.9860
58.000000	65.118	167.6844
59.000000	65.083	167.4617
60.000000	65.056	167.3010
60.799999	65.038	167.0909
61.500000	65.012	166.9164
62.200001	64.989	166.8125
63.000000	64.975	166.6503
64.000000	64.943	166.3585
65.000000	64.908	166.1927
66.000000	64.885	166.0113
67.000000	64.856	165.7960
68.000000	64.822	165.6284
69.000000	64.795	165.4698
70.000000	64.765	165.2747
71.000000	64.732	165.1136
72.000000	64.707	164.9500
73.000000	64.677	164.7519
74.000000	64.644	164.6133
75.000000	64.614	164.4770
76.199997	64.582	164.3204
77.500000	64.529	164.0968
78.800003	64.491	164.0585
80.000000	64.459	163.8327
81.199997	64.425	163.6906
82.500000	64.387	163.4679
83.800003	64.354	163.3281
85.000000	64.320	163.1772
86.199997	64.286	163.0405
87.500000	64.244	162.9154
88.500000	64.214	162.8121
90.000000	64.168	162.6660
91.199997	64.129	162.5234
92.500000	64.092	162.4370
93.800003	64.057	162.2989
95.000000	64.023	162.2130
96.199997	63.987	162.0771
97.500000	63.945	162.0100
98.800003	63.905	161.8698
100.000000	63.861	161.8381
101.500000	63.832	161.6970
103.000000	63.780	161.5481
104.400002	63.744	161.4637
106.000000	63.691	161.3619
107.500000	63.653	161.3283
109.000000	63.611	161.2233
110.599998	63.561	161.1589
112.000000	63.520	161.0925
113.800003	63.466	161.0140
115.000000	63.431	160.9793
117.199997	63.366	160.9017
118.000000	63.346	160.8756
120.599998	63.270	160.7477
122.000000	63.233	160.7001
124.099998	63.169	160.6736
125.000000	63.152	160.6299
126.500000	63.104	160.5748
128.000000	63.068	160.5701
131.500000	62.969	160.5350
132.000000	62.957	160.5352
134.000000	62.899	160.5048
136.000000	62.847	160.5415
138.000000	62.802	160.5400
140.000000	62.742	160.5735
143.000000	62.657	160.5472
145.000000	62.606	160.5981
147.500000	62.547	160.6311
150.000000	62.485	160.6445
152.500000	62.418	160.7589
155.000000	62.359	160.8417
157.500000	62.292	160.9296
160.000000	62.249	161.0681
162.500000	62.165	161.0800
165.000000	62.076	161.0195
167.500000	62.049	161.2422
170.000000	61.991	161.2465
172.500000	61.937	161.3857
175.000000	61.876	161.4960
177.500000	61.837	161.6026
180.000000	61.788	161.8190
182.500000	61.754	161.9141
185.000000	61.671	161.9536
187.500000	61.631	162.0901
190.000000	61.560	162.2141
192.500000	61.533	162.2870
195.000000	61.459	162.5287
197.500000	61.407	162.6810
200.000000	61.368	162.9520
203.000000	61.343	163.1764
206.000000	61.230	163.3383
209.000000	61.243	163.5757
212.000000	61.206	163.8337
214.000000	61.203	164.0128
218.000000	61.143	164.2847
220.000000	61.103	164.3926
224.000000	61.046	164.6904
227.000000	61.007	164.8359
230.000000	60.975	165.0270
233.000000	60.922	165.1548
236.000000	60.891	165.4572
240.000000	60.842	165.6994
243.000000	60.811	166.0297
247.000000	60.774	166.2206
250.000000	60.743	166.4810
254.000000	60.702	166.7367
