* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 4:43:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2F L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.476	-176.0666
20.144928	92.479	-176.1818
20.290907	92.482	-176.3052
20.437943	92.486	-176.4347
20.586044	92.489	-176.5693
20.735220	92.493	-176.7093
20.885475	92.496	-176.8542
21.036821	92.497	-177.0063
21.189262	92.498	-177.1608
21.342808	92.498	-177.3119
21.497467	92.498	-177.4609
21.653246	92.496	-177.5999
21.810154	92.494	-177.7273
21.968201	92.491	-177.8462
22.127390	92.489	-177.9572
22.287735	92.488	-178.0602
22.449242	92.488	-178.1551
22.611917	92.489	-178.2424
22.775772	92.492	-178.3310
22.940815	92.496	-178.4197
23.107054	92.501	-178.5174
23.274498	92.507	-178.6272
23.443153	92.513	-178.7457
23.613033	92.518	-178.8733
23.784142	92.522	-179.0069
23.956491	92.524	-179.1442
24.130091	92.524	-179.2818
24.304947	92.522	-179.4109
24.481071	92.519	-179.5310
24.658470	92.515	-179.6316
24.837156	92.510	-179.7151
25.017136	92.507	-179.7867
25.198421	92.506	-179.8471
25.381020	92.508	-179.9071
25.564941	92.512	-179.9674
25.750195	92.518	179.9578
25.936790	92.525	179.8686
26.124741	92.531	179.7531
26.314051	92.536	179.6153
26.504732	92.538	179.4678
26.696796	92.535	179.3141
26.890253	92.527	179.1708
27.085112	92.514	179.0408
27.281382	92.500	178.9364
27.479073	92.486	178.8561
27.678198	92.474	178.8063
27.878765	92.465	178.7688
28.080786	92.461	178.7383
28.284271	92.460	178.6938
28.489231	92.462	178.6312
28.695675	92.465	178.5418
28.903616	92.467	178.4281
29.113064	92.467	178.2938
29.324028	92.463	178.1519
29.536524	92.456	178.0151
29.750557	92.447	177.8934
29.966141	92.437	177.7903
30.183289	92.431	177.6971
30.402010	92.427	177.6076
30.622314	92.426	177.5105
30.844217	92.425	177.3959
31.067726	92.423	177.2591
31.292856	92.419	177.1069
31.519617	92.410	176.9531
31.748020	92.396	176.8163
31.978081	92.381	176.7141
32.209808	92.365	176.6501
32.443211	92.354	176.6247
32.678310	92.349	176.6131
32.915108	92.352	176.6002
33.153625	92.361	176.5440
33.393871	92.371	176.4399
33.635857	92.374	176.2804
33.879597	92.374	176.0897
34.125103	92.368	175.8958
34.372387	92.353	175.7264
34.621464	92.333	175.6228
34.872345	92.314	175.5828
35.125042	92.302	175.6034
35.379574	92.300	175.6460
35.635948	92.309	175.6727
35.894180	92.325	175.6567
36.154285	92.344	175.5690
36.416275	92.359	175.4232
36.680161	92.367	175.2402
36.945961	92.366	175.0494
37.213688	92.358	174.8863
37.483353	92.347	174.7643
37.754974	92.337	174.6855
38.028561	92.330	174.6367
38.304131	92.328	174.5861
38.581699	92.328	174.5158
38.861279	92.330	174.4149
39.142883	92.330	174.2803
39.426529	92.325	174.1292
39.712231	92.314	173.9837
40.000000	92.298	173.8614
40.289856	92.282	173.7739
40.581814	92.267	173.7235
40.875885	92.257	173.6943
41.172089	92.253	173.6630
41.470440	92.253	173.6096
41.770950	92.255	173.5215
42.073643	92.255	173.3973
42.378525	92.251	173.2546
42.685616	92.242	173.1191
42.994934	92.231	173.0075
43.306492	92.220	172.9239
43.620308	92.214	172.8578
43.936401	92.212	172.7863
44.254780	92.212	172.6851
44.575470	92.210	172.5533
44.898483	92.204	172.4091
45.223835	92.192	172.2781
45.551544	92.177	172.1818
45.881630	92.164	172.1241
46.214108	92.156	172.0866
46.548996	92.152	172.0418
46.886307	92.150	171.9725
47.226067	92.146	171.8814
47.568283	92.137	171.7907
47.912983	92.126	171.7216
48.260181	92.116	171.6751
48.609894	92.109	171.6375
48.962143	92.105	171.5878
49.316940	92.101	171.5154
49.674313	92.095	171.4291
50.034271	92.085	171.3459
50.396843	92.074	171.2752
50.762039	92.065	171.2124
51.129883	92.056	171.1437
51.500389	92.048	171.0635
51.873581	92.037	170.9826
52.249481	92.026	170.9151
52.628101	92.016	170.8663
53.009464	92.010	170.8210
53.393593	92.008	170.7538
53.780506	92.005	170.6549
54.170223	91.998	170.5367
54.562763	91.987	170.4249
54.958145	91.975	170.3347
55.356396	91.966	170.2573
55.757530	91.958	170.1741
56.161572	91.951	170.0748
56.568542	91.941	169.9675
56.978462	91.928	169.8696
57.391350	91.915	169.7873
57.807232	91.904	169.7138
58.226128	91.893	169.6376
58.648056	91.882	169.5560
59.073048	91.871	169.4727
59.501114	91.859	169.3878
59.932281	91.845	169.3002
60.366577	91.831	169.2113
60.804020	91.818	169.1311
