* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 4:42:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2F R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.146	-178.7961
20.144928	93.145	-178.9661
20.290907	93.142	-179.1280
20.437943	93.138	-179.2803
20.586044	93.134	-179.4147
20.735220	93.130	-179.5312
20.885475	93.127	-179.6365
21.036821	93.125	-179.7300
21.189262	93.125	-179.8154
21.342808	93.128	-179.8993
21.497467	93.133	-179.9801
21.653246	93.140	179.9323
21.810154	93.148	179.8389
21.968201	93.157	179.7331
22.127390	93.166	179.6073
22.287735	93.174	179.4678
22.449242	93.179	179.3199
22.611917	93.183	179.1633
22.775772	93.183	179.0110
22.940815	93.179	178.8615
23.107054	93.173	178.7275
23.274498	93.164	178.6106
23.443153	93.153	178.5186
23.613033	93.142	178.4608
23.784142	93.133	178.4296
23.956491	93.127	178.4240
24.130091	93.124	178.4368
24.304947	93.127	178.4525
24.481071	93.134	178.4688
24.658470	93.146	178.4644
24.837156	93.161	178.4395
25.017136	93.178	178.3737
25.198421	93.195	178.2696
25.381020	93.210	178.1302
25.564941	93.221	177.9573
25.750195	93.226	177.7712
25.936790	93.225	177.5729
26.124741	93.219	177.3832
26.314051	93.208	177.2040
26.504732	93.193	177.0585
26.696796	93.176	176.9431
26.890253	93.159	176.8600
27.085112	93.142	176.8014
27.281382	93.129	176.7552
27.479073	93.120	176.7140
27.678198	93.114	176.6682
27.878765	93.111	176.6097
28.080786	93.109	176.5320
28.284271	93.107	176.4396
28.489231	93.105	176.3328
28.695675	93.101	176.2251
28.903616	93.097	176.1168
29.113064	93.093	176.0125
29.324028	93.090	175.9091
29.536524	93.089	175.8069
29.750557	93.090	175.6939
29.966141	93.093	175.5664
30.183289	93.096	175.4116
30.402010	93.098	175.2346
30.622314	93.097	175.0404
30.844217	93.091	174.8470
31.067726	93.079	174.6624
31.292856	93.064	174.5112
31.519617	93.048	174.3965
31.748020	93.034	174.3292
31.978081	93.024	174.2881
32.209808	93.021	174.2623
32.443211	93.024	174.2200
32.678310	93.031	174.1446
32.915108	93.039	174.0248
33.153625	93.043	173.8607
33.393871	93.039	173.6782
33.635857	93.021	173.4985
33.879597	93.002	173.3654
34.125103	92.981	173.2884
34.372387	92.962	173.2778
34.621464	92.951	173.3137
34.872345	92.950	173.3597
35.125042	92.958	173.3839
35.379574	92.973	173.3420
35.635948	92.986	173.2360
35.894180	92.994	173.0735
36.154285	92.991	172.8859
36.416275	92.980	172.7200
36.680161	92.962	172.5970
36.945961	92.944	172.5343
37.213688	92.932	172.5099
37.483353	92.927	172.4915
37.754974	92.929	172.4526
38.028561	92.932	172.3660
38.304131	92.930	172.2364
38.581699	92.922	172.0928
38.861279	92.907	171.9637
39.142883	92.889	171.8776
39.426529	92.874	171.8403
39.712231	92.865	171.8289
40.000000	92.864	171.8131
40.289856	92.870	171.7603
40.581814	92.878	171.6513
40.875885	92.881	171.4977
41.172089	92.879	171.3227
41.470440	92.870	171.1516
41.770950	92.857	171.0054
42.073643	92.843	170.8885
42.378525	92.830	170.7889
42.685616	92.818	170.6976
42.994934	92.806	170.6100
43.306492	92.794	170.5294
43.620308	92.781	170.4642
43.936401	92.769	170.4199
44.254780	92.761	170.3876
44.575470	92.756	170.3514
44.898483	92.755	170.2946
45.223835	92.753	170.2073
45.551544	92.750	170.0939
45.881630	92.742	169.9694
46.214108	92.731	169.8503
46.548996	92.718	169.7480
46.886307	92.705	169.6643
47.226067	92.693	169.5880
47.568283	92.683	169.5068
47.912983	92.673	169.4146
48.260181	92.663	169.3134
48.609894	92.650	169.2172
48.962143	92.637	169.1381
49.316940	92.626	169.0757
49.674313	92.619	169.0153
50.034271	92.617	168.9335
50.396843	92.614	168.8146
50.762039	92.606	168.6670
51.129883	92.592	168.5219
51.500389	92.574	168.4161
51.873581	92.556	168.3651
52.249481	92.546	168.3453
52.628101	92.544	168.3113
53.009464	92.545	168.2273
53.393593	92.542	168.0945
53.780506	92.530	167.9525
54.170223	92.513	167.8445
54.562763	92.496	167.7820
54.958145	92.485	167.7358
55.356396	92.480	167.6601
55.757530	92.472	167.5372
56.161572	92.458	167.3922
56.568542	92.436	167.2738
56.978462	92.412	167.2127
57.391350	92.395	167.1925
57.807232	92.387	167.1651
58.226128	92.382	167.0900
58.648056	92.375	166.9675
59.073048	92.360	166.8339
59.501114	92.340	166.7277
59.932281	92.317	166.6610
60.366577	92.301	166.6131
60.804020	92.289	166.5612
61.244629	92.278	166.5003
61.688435	92.268	166.4379
62.135452	92.259	166.3724
62.585712	92.250	166.2885
63.039234	92.239	166.1824
63.496040	92.223	166.0776
63.956161	92.204	166.0060
64.419617	92.190	165.9571
64.886421	92.181	165.8807
65.356621	92.169	165.7510
65.830215	92.146	165.6200
66.307251	92.117	165.5701
66.787743	92.099	165.6032
