* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:18:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2G L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.653	-176.0939
20.144928	92.651	-176.2233
20.290907	92.649	-176.3495
20.437943	92.648	-176.4719
20.586044	92.647	-176.5907
20.735220	92.647	-176.7049
20.885475	92.648	-176.8201
21.036821	92.648	-176.9385
21.189262	92.650	-177.0585
21.342808	92.652	-177.1802
21.497467	92.654	-177.3034
21.653246	92.657	-177.4254
21.810154	92.659	-177.5456
21.968201	92.660	-177.6658
22.127390	92.662	-177.7884
22.287735	92.664	-177.9104
22.449242	92.665	-178.0278
22.611917	92.667	-178.1414
22.775772	92.668	-178.2520
22.940815	92.670	-178.3590
23.107054	92.673	-178.4669
23.274498	92.676	-178.5768
23.443153	92.679	-178.6886
23.613033	92.683	-178.8015
23.784142	92.687	-178.9182
23.956491	92.691	-179.0423
24.130091	92.695	-179.1726
24.304947	92.698	-179.3100
24.481071	92.699	-179.4525
24.658470	92.699	-179.5934
24.837156	92.696	-179.7329
25.017136	92.692	-179.8664
25.198421	92.686	-179.9930
25.381020	92.679	179.8965
25.564941	92.670	179.8018
25.750195	92.663	179.7265
25.936790	92.656	179.6689
26.124741	92.651	179.6183
26.314051	92.649	179.5746
26.504732	92.649	179.5312
26.696796	92.651	179.4855
26.890253	92.653	179.4266
27.085112	92.656	179.3542
27.281382	92.658	179.2617
27.479073	92.660	179.1561
27.678198	92.661	179.0412
27.878765	92.659	178.9232
28.080786	92.655	178.8047
28.284271	92.649	178.6940
28.489231	92.643	178.5929
28.695675	92.637	178.5051
28.903616	92.632	178.4280
29.113064	92.628	178.3537
29.324028	92.626	178.2786
29.536524	92.626	178.1983
29.750557	92.627	178.1084
29.966141	92.628	178.0075
30.183289	92.629	177.8940
30.402010	92.629	177.7729
30.622314	92.628	177.6523
30.844217	92.625	177.5373
31.067726	92.621	177.4308
31.292856	92.617	177.3343
31.519617	92.614	177.2458
31.748020	92.612	177.1645
31.978081	92.612	177.0797
32.209808	92.613	176.9886
32.443211	92.614	176.8859
32.678310	92.614	176.7748
