* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:16:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2G R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.173	-178.9582
20.144928	93.172	-179.0783
20.290907	93.171	-179.1993
20.437943	93.170	-179.3195
20.586044	93.169	-179.4358
20.735220	93.168	-179.5481
20.885475	93.167	-179.6603
21.036821	93.166	-179.7740
21.189262	93.165	-179.8880
21.342808	93.166	179.9976
21.497467	93.166	179.8829
21.653246	93.166	179.7701
21.810154	93.166	179.6600
21.968201	93.166	179.5504
22.127390	93.165	179.4395
22.287735	93.164	179.3296
22.449242	93.164	179.2251
22.611917	93.163	179.1249
22.775772	93.162	179.0269
22.940815	93.162	178.9320
23.107054	93.163	178.8346
23.274498	93.163	178.7328
23.443153	93.164	178.6287
23.613033	93.164	178.5226
23.784142	93.163	178.4149
23.956491	93.162	178.3054
24.130091	93.161	178.1963
24.304947	93.158	178.0922
24.481071	93.154	177.9938
24.658470	93.150	177.9083
24.837156	93.146	177.8338
25.017136	93.144	177.7650
25.198421	93.143	177.7015
25.381020	93.145	177.6354
25.564941	93.148	177.5661
25.750195	93.153	177.4834
25.936790	93.158	177.3871
26.124741	93.163	177.2679
26.314051	93.166	177.1289
26.504732	93.167	176.9817
26.696796	93.164	176.8287
26.890253	93.156	176.6829
27.085112	93.145	176.5467
27.281382	93.132	176.4294
27.479073	93.119	176.3316
27.678198	93.106	176.2593
27.878765	93.096	176.2003
28.080786	93.089	176.1512
28.284271	93.085	176.0977
28.489231	93.084	176.0367
28.695675	93.084	175.9606
28.903616	93.085	175.8696
29.113064	93.085	175.7612
29.324028	93.083	175.6433
29.536524	93.080	175.5223
29.750557	93.075	175.4067
29.966141	93.068	175.2993
30.183289	93.063	175.2003
30.402010	93.058	175.1093
30.622314	93.055	175.0268
30.844217	93.052	174.9462
31.067726	93.050	174.8651
31.292856	93.049	174.7789
31.519617	93.048	174.6892
31.748020	93.047	174.5980
31.978081	93.046	174.5058
32.209808	93.044	174.4130
32.443211	93.043	174.3211
32.678310	93.041	174.2292
32.915108	93.040	174.1365
33.153625	93.039	174.0372
33.393871	93.035	173.9332
33.635857	93.027	173.8254
33.879597	93.022	173.7174
34.125103	93.018	173.6116
34.372387	93.012	173.5101
34.621464	93.006	173.4199
34.872345	93.000	173.3391
35.125042	92.995	173.2659
35.379574	92.991	173.1941
35.635948	92.989	173.1195
35.894180	92.987	173.0388
36.154285	92.986	172.9462
36.416275	92.983	172.8449
36.680161	92.980	172.7395
36.945961	92.974	172.6356
37.213688	92.968	172.5371
37.483353	92.961	172.4482
37.754974	92.955	172.3693
38.028561	92.949	172.2964
38.304131	92.944	172.2208
38.581699	92.938	172.1401
38.861279	92.933	172.0531
39.142883	92.928	171.9594
39.426529	92.921	171.8645
39.712231	92.914	171.7735
40.000000	92.906	171.6880
40.289856	92.899	171.6066
40.581814	92.893	171.5268
40.875885	92.888	171.4441
41.172089	92.883	171.3545
41.470440	92.877	171.2574
41.770950	92.871	171.1556
42.073643	92.864	171.0512
42.378525	92.855	170.9468
42.685616	92.846	170.8475
42.994934	92.836	170.7556
43.306492	92.826	170.6725
43.620308	92.816	170.5982
43.936401	92.808	170.5288
44.254780	92.801	170.4541
44.575470	92.796	170.3691
44.898483	92.789	170.2746
45.223835	92.780	170.1772
45.551544	92.770	170.0881
45.881630	92.760	170.0142
46.214108	92.752	169.9485
46.548996	92.748	169.8748
46.886307	92.744	169.7774
47.226067	92.737	169.6556
47.568283	92.725	169.5323
47.912983	92.709	169.4387
48.260181	92.694	169.3866
48.609894	92.685	169.3590
48.962143	92.684	169.3141
49.316940	92.685	169.2156
49.674313	92.682	169.0657
50.034271	92.669	168.9061
50.396843	92.648	168.7891
50.762039	92.628	168.7371
51.129883	92.616	168.7213
51.500389	92.613	168.6852
51.873581	92.613	168.5925
52.249481	92.607	168.4539
52.628101	92.593	168.3177
53.009464	92.575	168.2224
53.393593	92.560	168.1635
53.780506	92.548	168.1086
54.170223	92.537	168.0361
54.562763	92.524	167.9606
54.958145	92.510	167.9114
55.356396	92.500	167.8875
55.757530	92.498	167.8471
56.161572	92.499	167.7441
56.568542	92.492	167.5833
56.978462	92.473	167.4309
57.391350	92.447	167.3552
57.807232	92.428	167.3588
58.226128	92.423	167.3670
58.648056	92.425	167.2991
59.073048	92.422	167.1437
59.501114	92.405	166.9698
59.932281	92.374	166.8655
60.366577	92.350	166.8502
60.804020	92.340	166.8615
61.244629	92.339	166.8172
61.688435	92.338	166.6908
62.135452	92.325	166.5329
62.585712	92.303	166.4157
63.039234	92.282	166.3629
63.496040	92.268	166.3371
63.956161	92.260	166.2913
64.419617	92.252	166.2162
64.886421	92.243	166.1309
65.356621	92.234	166.0367
65.830215	92.222	165.9229
66.307251	92.202	165.8151
66.787743	92.179	165.7756
67.271713	92.164	165.8148
67.759193	92.167	165.8229
68.250206	92.176	165.6821
68.744774	92.163	165.4338
69.242928	92.124	165.2732
69.744690	92.086	165.3105
70.250084	92.075	165.4209
70.759148	92.085	165.3925
71.271896	92.084	165.1951
71.788361	92.059	164.9841
72.308571	92.020	164.8907
72.832550	91.986	164.9220
73.360321	91.969	165.0162
73.891922	91.974	165.0742
74.427376	91.990	164.9562
74.966705	91.985	164.6530
75.509949	91.942	164.4045
76.057121	91.889	164.4325
76.608261	91.873	164.5963
77.163399	91.884	164.5861
77.722557	91.877	164.4173
78.285767	91.850	164.3552
78.853058	91.846	164.3720
79.424461	91.854	164.1813
80.000000	91.817	163.8654
80.579712	91.748	163.8686
81.163628	91.727	164.2149
81.751770	91.769	164.3102
82.344177	91.792	163.9277
82.940880	91.745	163.5710
83.541901	91.688	163.5897
84.147285	91.674	163.7071
84.757050	91.669	163.6211
85.371231	91.638	163.5423
85.989868	91.616	163.6566
86.612984	91.631	163.6762
87.240616	91.634	163.4129
87.872803	91.588	163.1757
88.509560	91.538	163.2848
89.150940	91.539	163.4675
89.796967	91.559	163.3367
90.447670	91.536	163.0277
91.103088	91.481	162.9597
91.763260	91.455	163.1113
92.428215	91.460	163.1386
93.097992	91.452	162.9895
93.772614	91.425	162.9046
94.452133	91.409	162.9123
95.136566	91.404	162.8008
95.825966	91.375	162.5999
96.520363	91.324	162.5785
97.219788	91.296	162.7639
97.924286	91.304	162.8696
98.633881	91.313	162.7441
99.348625	91.295	162.5308
100.068542	91.258	162.4106
100.793686	91.224	162.4066
101.524078	91.199	162.4203
102.259766	91.173	162.4463
103.000778	91.159	162.5514
103.747162	91.171	162.5616
104.498962	91.173	162.3267
105.256203	91.135	162.1198
106.018929	91.096	162.1075
106.787186	91.074	162.0784
107.561012	91.040	162.0009
108.340446	90.997	162.0389
109.125526	90.968	162.2091
109.916290	90.969	162.3638
110.712791	90.985	162.3430
111.515060	90.994	162.1592
112.323143	90.984	161.8331
113.137085	90.926	161.4969
113.956924	90.843	161.5484
114.782700	90.812	161.8141
115.614464	90.794	161.8109
116.452255	90.736	161.9521
117.296112	90.726	162.4306
118.146095	90.778	162.6064
119.002228	90.820	162.4456
119.864563	90.853	162.0236
120.733154	90.815	161.3233
121.608040	90.710	161.1109
122.489258	90.659	161.2088
123.376869	90.599	161.1202
124.270905	90.527	161.3803
125.171425	90.496	161.6392
126.078468	90.450	162.0317
126.992081	90.486	162.5623
127.912323	90.534	162.4704
128.839233	90.532	162.4216
129.772842	90.559	162.3092
130.713242	90.552	161.9904
131.660431	90.536	161.8055
132.614502	90.515	161.5179
133.575485	90.462	161.3103
134.543427	90.407	161.3344
135.518387	90.382	161.4500
136.500412	90.366	161.4234
137.489548	90.341	161.3498
138.485855	90.298	161.2697
139.489380	90.258	161.4137
140.500168	90.248	161.4247
141.518295	90.205	161.4405
142.543793	90.193	161.6083
143.576721	90.185	161.5260
144.617142	90.150	161.4931
145.665100	90.130	161.5627
146.720642	90.115	161.4944
147.783844	90.081	161.5441
148.854752	90.076	161.5936
149.933411	90.034	161.6014
151.019897	90.024	161.8663
152.114243	90.003	161.7926
153.216522	89.969	162.0127
154.326797	89.965	161.8657
155.445114	89.885	161.9865
156.571533	89.912	162.3199
157.706116	89.889	162.0176
158.848923	89.837	162.2813
160.000000	89.818	162.2067
161.159424	89.751	162.2192
162.327255	89.711	162.0862
163.503540	89.666	161.9922
164.688354	89.670	161.7832
165.881760	89.668	161.7784
167.083801	89.712	161.8073
168.294571	89.676	162.1659
169.514099	89.709	162.7130
170.742462	89.602	162.7614
171.979736	89.534	163.3248
173.225967	89.452	162.7974
174.481232	89.364	162.7399
175.745605	89.425	162.2422
177.019119	89.403	161.8309
178.301880	89.480	162.2891
179.593933	89.483	162.5290
180.895340	89.495	163.0695
182.206177	89.376	163.2123
183.526520	89.329	163.4606
184.856430	89.258	163.0797
186.195984	89.236	162.8654
187.545227	89.248	162.8578
188.904266	89.268	162.9910
190.273132	89.289	163.3033
191.651932	89.264	163.2491
193.040726	89.172	163.0769
194.439575	89.112	163.5287
195.848572	89.138	163.1477
197.267761	89.155	163.4775
198.697250	89.172	162.9170
200.137085	89.086	163.4480
201.587372	89.115	163.7288
203.048157	89.052	163.5250
204.519531	89.028	163.8888
206.001556	88.991	163.9138
207.494324	89.009	164.2729
208.997925	88.958	164.3036
210.512405	88.978	164.3301
212.037857	88.839	164.3521
213.574371	88.925	164.5560
215.122025	88.842	163.8455
216.680893	88.807	164.3897
218.251053	88.843	164.2971
219.832581	88.850	164.3466
221.425583	88.786	164.7769
223.030121	88.845	164.7714
224.646286	88.759	165.1249
226.274170	88.725	165.0889
227.913849	88.718	164.8353
229.565399	88.581	164.9085
231.228928	88.647	165.2282
232.904510	88.622	165.3108
234.592224	88.649	165.6229
236.292191	88.639	165.8129
238.004456	88.594	165.8091
239.729126	88.601	165.8582
241.466309	88.467	165.7865
243.216080	88.544	166.1929
244.978516	88.504	165.9533
246.753738	88.459	166.2014
248.541809	88.477	166.5401
250.342850	88.428	166.5616
252.156937	88.425	166.4685
253.984161	88.391	166.7527
255.824646	88.409	166.8307
257.678467	88.364	166.6342
259.545685	88.335	166.8075
261.426483	88.333	167.0204
263.320862	88.334	167.1059
265.229004	88.276	167.2601
267.150970	88.271	167.3728
269.086853	88.246	167.5062
271.036774	88.229	167.6876
273.000824	88.238	167.7661
274.979095	88.202	167.7849
276.971710	88.164	167.8896
278.978760	88.163	168.0165
281.000336	88.144	168.2114
283.036591	88.115	168.3464
285.087585	88.077	168.5817
287.153442	88.048	168.4920
289.234283	88.055	168.7215
291.330200	88.055	168.7192
293.441284	88.031	168.9520
295.567688	88.035	169.1384
297.709503	88.005	169.2658
299.866821	87.979	169.4261
302.039795	87.935	169.4992
304.228485	87.932	169.7410
306.433044	87.931	169.6852
308.653595	87.903	169.7953
310.890228	87.894	169.9837
313.143066	87.860	170.2356
315.412231	87.848	170.4425
