* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:45:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2G330 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.300	-176.5723
20.299999	91.293	-176.8471
20.600000	91.287	-177.0705
20.900000	91.284	-177.2537
21.200001	91.288	-177.4379
21.400000	91.292	-177.5703
21.799999	91.301	-177.8502
22.000000	91.304	-177.9930
22.400000	91.307	-178.2721
22.700001	91.307	-178.4504
23.000000	91.310	-178.6076
23.299999	91.316	-178.7707
23.600000	91.324	-178.9496
24.000000	91.334	-179.2233
24.299999	91.338	-179.4487
24.700001	91.334	-179.7394
25.000000	91.328	-179.9281
25.400000	91.318	179.8616
25.799999	91.311	179.6899
26.200001	91.309	179.5201
26.500000	91.308	179.3819
26.900000	91.305	179.1926
27.200001	91.298	179.0493
27.600000	91.290	178.8645
28.000000	91.283	178.6940
28.500000	91.278	178.4776
29.000000	91.275	178.2397
29.500000	91.271	177.9654
30.000000	91.262	177.6857
30.400000	91.253	177.4778
30.700001	91.245	177.3453
31.100000	91.237	177.1943
31.500000	91.234	177.0514
32.000000	91.234	176.8546
32.500000	91.233	176.6215
33.000000	91.225	176.3883
33.500000	91.212	176.1825
34.000000	91.202	176.0040
34.500000	91.199	175.8138
35.000000	91.194	175.6075
35.500000	91.186	175.4071
36.000000	91.176	175.2426
36.500000	91.169	175.1028
37.000000	91.166	174.9599
37.500000	91.165	174.7875
38.200001	91.156	174.5203
38.700001	91.140	174.3459
39.500000	91.115	174.1452
40.000000	91.106	174.0320
40.599998	91.098	173.8509
41.200001	91.084	173.6477
41.799999	91.067	173.4794
42.500000	91.056	173.2809
43.099998	91.047	173.0389
43.700001	91.027	172.8102
44.400002	91.009	172.6396
45.000000	91.008	172.4473
45.500000	90.999	172.2029
46.200001	90.960	171.9514
46.799999	90.931	171.9734
47.500000	90.939	172.0471
48.200001	90.961	171.9362
48.700001	90.968	171.7986
49.400002	90.972	171.5989
50.000000	90.967	171.3781
50.799999	90.930	171.1126
51.500000	90.888	171.0726
52.200001	90.868	171.1220
53.000000	90.867	171.0247
53.799999	90.844	170.7293
54.500000	90.796	170.5737
55.200001	90.768	170.6232
56.000000	90.783	170.4710
57.000000	90.736	169.9372
58.000000	90.685	170.0551
59.000000	90.728	169.7960
60.000000	90.666	169.2208
60.799999	90.618	169.2484
61.500000	90.619	169.1963
62.200001	90.603	168.9746
63.000000	90.563	168.8838
64.000000	90.552	168.8733
65.000000	90.543	168.6437
66.000000	90.512	168.4689
67.000000	90.493	168.3889
68.000000	90.478	168.1734
69.000000	90.429	167.9844
70.000000	90.397	168.0212
71.000000	90.383	167.8538
72.000000	90.349	167.7063
73.000000	90.325	167.5495
74.000000	90.289	167.4352
75.000000	90.278	167.3311
76.199997	90.233	167.0971
77.500000	90.210	167.1112
78.800003	90.172	166.8515
80.000000	90.137	166.8507
81.199997	90.115	166.6363
82.500000	90.064	166.5035
83.800003	90.039	166.4159
85.000000	90.011	166.2484
86.199997	89.973	166.1803
87.500000	89.951	166.1204
88.500000	89.925	166.0037
90.000000	89.879	165.9384
91.199997	89.850	165.8627
92.500000	89.816	165.7552
93.800003	89.777	165.6376
95.000000	89.743	165.5855
96.199997	89.717	165.4868
97.500000	89.674	165.4079
98.800003	89.654	165.4122
100.000000	89.627	165.2415
101.500000	89.583	165.2062
103.000000	89.553	165.1148
104.400002	89.511	165.0118
106.000000	89.466	165.0572
107.500000	89.436	164.9983
109.000000	89.395	164.9524
110.599998	89.358	164.8936
112.000000	89.318	164.8271
113.800003	89.270	164.7924
115.000000	89.236	164.7819
117.199997	89.187	164.7782
118.000000	89.161	164.8218
120.599998	89.106	164.7516
122.000000	89.080	164.6617
124.099998	89.021	164.7664
125.000000	89.006	164.6985
126.500000	88.976	164.7800
128.000000	88.944	164.6696
131.500000	88.835	164.6712
132.000000	88.831	164.8090
134.000000	88.796	164.6677
136.000000	88.760	164.7336
138.000000	88.727	164.8143
140.000000	88.674	164.8239
143.000000	88.621	164.8181
145.000000	88.583	164.7558
147.500000	88.513	165.0159
150.000000	88.504	165.2581
152.500000	88.414	165.0655
155.000000	88.351	165.0945
157.500000	88.309	165.0800
160.000000	88.254	165.1758
162.500000	88.186	165.2780
165.000000	88.142	165.4353
167.500000	88.087	165.5198
170.000000	88.030	165.5893
172.500000	87.981	165.7119
175.000000	87.941	165.8259
177.500000	87.888	165.9547
180.000000	87.835	166.0031
182.500000	87.817	166.0966
185.000000	87.760	166.3066
187.500000	87.703	166.5952
