* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:44:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2G330 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.840	-179.3177
20.299999	91.842	-179.5273
20.600000	91.846	-179.7525
20.900000	91.849	-179.9890
21.200001	91.849	179.7600
21.400000	91.849	179.5959
21.799999	91.846	179.2922
22.000000	91.844	179.1531
22.400000	91.841	178.8821
22.700001	91.840	178.6850
23.000000	91.839	178.4822
23.299999	91.836	178.2689
23.600000	91.830	178.0632
24.000000	91.818	177.8230
24.299999	91.809	177.6737
24.700001	91.801	177.5117
25.000000	91.799	177.4008
25.400000	91.800	177.2370
25.799999	91.803	177.0581
26.200001	91.807	176.8671
26.500000	91.810	176.7159
26.900000	91.815	176.4973
27.200001	91.816	176.2999
27.600000	91.813	175.9858
28.000000	91.797	175.6586
28.500000	91.761	175.3350
29.000000	91.727	175.1873
29.500000	91.715	175.1190
30.000000	91.724	174.9647
30.400000	91.731	174.7383
30.700001	91.728	174.5498
31.100000	91.714	174.3419
31.500000	91.700	174.2121
32.000000	91.696	174.1096
32.500000	91.705	173.9463
33.000000	91.709	173.6860
33.500000	91.695	173.4036
34.000000	91.673	173.1864
34.500000	91.658	173.0186
35.000000	91.648	172.8551
35.500000	91.637	172.6776
36.000000	91.625	172.5095
36.500000	91.614	172.3488
37.000000	91.605	172.1834
37.500000	91.594	172.0129
38.200001	91.578	171.8120
38.700001	91.570	171.6760
39.500000	91.559	171.3829
40.000000	91.545	171.1830
40.599998	91.523	170.9977
41.200001	91.508	170.8566
41.799999	91.497	170.6760
42.500000	91.476	170.4185
43.099998	91.451	170.2483
43.700001	91.430	170.1245
44.400002	91.413	169.9507
45.000000	91.396	169.7709
45.500000	91.380	169.6349
46.200001	91.362	169.4589
46.799999	91.351	169.2812
47.500000	91.334	169.0761
48.200001	91.324	168.8849
48.700001	91.320	168.7015
49.400002	91.299	168.3917
50.000000	91.266	168.2161
50.799999	91.233	168.1601
51.500000	91.224	168.0725
52.200001	91.207	167.9133
53.000000	91.180	167.7874
53.799999	91.161	167.6523
54.500000	91.136	167.4767
55.200001	91.104	167.3333
56.000000	91.073	167.2088
57.000000	91.042	167.0416
58.000000	91.021	166.8268
59.000000	90.985	166.5407
60.000000	90.937	166.4627
60.799999	90.927	166.4213
61.500000	90.918	166.2953
62.200001	90.901	166.1827
63.000000	90.883	166.0580
64.000000	90.850	165.8681
65.000000	90.824	165.7753
66.000000	90.805	165.4832
67.000000	90.753	165.2516
68.000000	90.723	165.1308
69.000000	90.685	164.8909
70.000000	90.643	164.8120
71.000000	90.621	164.6859
72.000000	90.586	164.5537
73.000000	90.561	164.4483
74.000000	90.524	164.2964
75.000000	90.489	164.2648
76.199997	90.466	164.1169
77.500000	90.414	163.9683
78.800003	90.383	163.8600
80.000000	90.342	163.7180
81.199997	90.314	163.5836
82.500000	90.265	163.4086
83.800003	90.231	163.3445
85.000000	90.200	163.1905
86.199997	90.157	163.0952
87.500000	90.121	163.0457
88.500000	90.095	162.9398
90.000000	90.040	162.8192
91.199997	90.003	162.7312
92.500000	89.962	162.6315
93.800003	89.922	162.5403
95.000000	89.885	162.5001
96.199997	89.860	162.4266
97.500000	89.813	162.3130
98.800003	89.777	162.2747
100.000000	89.725	162.2298
101.500000	89.710	162.1992
103.000000	89.646	162.0456
104.400002	89.624	161.9677
106.000000	89.560	161.9514
107.500000	89.526	161.8995
109.000000	89.487	161.9092
110.599998	89.435	161.8350
112.000000	89.402	161.8151
113.800003	89.346	161.7862
115.000000	89.313	161.7144
117.199997	89.239	161.6710
118.000000	89.211	161.6925
120.599998	89.148	161.6372
122.000000	89.112	161.6859
124.099998	89.049	161.7028
125.000000	89.025	161.7613
126.500000	88.986	161.8042
128.000000	88.954	161.8036
131.500000	88.850	161.7148
132.000000	88.841	161.7093
134.000000	88.792	161.6254
136.000000	88.749	161.6785
138.000000	88.700	161.7733
140.000000	88.642	161.8086
143.000000	88.573	161.8860
145.000000	88.527	162.0060
147.500000	88.462	162.0804
150.000000	88.388	162.5033
152.500000	88.332	162.2052
155.000000	88.273	162.1830
157.500000	88.203	162.3524
160.000000	88.147	162.3604
162.500000	88.090	162.5363
165.000000	88.032	162.6781
167.500000	87.973	162.7946
170.000000	87.909	162.8322
172.500000	87.866	162.9986
175.000000	87.804	163.1278
177.500000	87.752	163.3553
180.000000	87.708	163.5583
182.500000	87.649	163.4147
185.000000	87.603	163.7413
187.500000	87.582	163.9668
190.000000	87.505	164.0765
192.500000	87.461	164.2149
195.000000	87.421	164.3158
197.500000	87.378	164.5297
200.000000	87.331	164.7249
203.000000	87.278	164.9312
206.000000	87.235	165.1282
209.000000	87.188	165.3869
212.000000	87.135	165.6925
214.000000	87.104	165.8611
218.000000	87.035	166.1664
220.000000	86.999	166.3040
224.000000	86.920	166.6994
227.000000	86.872	166.9991
230.000000	86.808	167.3511
233.000000	86.762	167.7187
236.000000	86.715	168.2548
240.000000	86.667	168.9582
243.000000	86.665	169.6379
247.000000	86.684	170.2280
250.000000	86.695	170.6437
254.000000	86.770	170.5123
258.000000	86.771	170.6254
262.000000	86.750	170.5110
265.000000	86.727	170.5881
269.000000	86.665	170.7589
272.000000	86.642	170.8627
276.000000	86.592	171.0925
280.000000	86.541	171.2922
285.000000	86.483	171.6354
290.000000	86.433	171.9876
295.000000	86.387	172.3161
300.000000	86.331	172.6456
304.000000	86.293	172.9651
307.000000	86.260	173.2296
311.000000	86.235	173.4216
315.000000	86.192	173.8199
320.000000	86.143	174.2386
325.000000	86.099	174.6026
330.000000	86.057	174.9876
335.000000	86.027	175.3428
340.000000	85.996	175.7516
345.000000	85.951	176.1471
350.000000	85.965	176.5443
355.000000	85.899	176.9565
360.000000	85.866	177.2875
365.000000	85.834	177.7655
370.000000	85.806	178.1660
375.000000	85.785	178.5330
382.000000	85.741	179.0829
387.000000	85.720	179.4313
395.000000	85.666	-179.8925
400.000000	85.638	-179.4957
406.000000	85.616	-178.9949
412.000000	85.584	-178.5214
418.000000	85.558	-177.9627
425.000000	85.515	-177.5128
431.000000	85.501	-177.1342
437.000000	85.487	-176.6140
444.000000	85.449	-176.0836
450.000000	85.471	-175.6040
455.000000	85.411	-175.2342
462.000000	85.382	-174.6746
468.000000	85.365	-174.2509
475.000000	85.334	-173.6837
482.000000	85.317	-173.1385
487.000000	85.299	-172.7845
494.000000	85.278	-172.1908
500.000000	85.263	-171.7003
508.000000	85.249	-171.1228
515.000000	85.225	-170.5302
522.000000	85.213	-169.9682
530.000000	85.194	-169.3208
538.000000	85.189	-168.6002
545.000000	85.178	-168.0540
552.000000	85.171	-167.4740
560.000000	85.171	-166.8108
570.000000	85.166	-166.0413
580.000000	85.164	-165.3009
590.000000	85.160	-164.5121
600.000000	85.161	-163.7235
608.000000	85.152	-163.1317
615.000000	85.148	-162.5891
622.000000	85.151	-162.0597
630.000000	85.148	-161.4124
640.000000	85.146	-160.6659
650.000000	85.144	-160.0850
660.000000	85.143	-159.1127
670.000000	85.145	-158.2618
680.000000	85.148	-157.4553
690.000000	85.156	-156.6689
700.000000	85.162	-155.8434
710.000000	85.168	-155.0585
720.000000	85.188	-154.2878
730.000000	85.207	-153.4108
740.000000	85.211	-152.6423
750.000000	85.253	-152.0217
762.000000	85.265	-150.8542
775.000000	85.280	-149.8553
788.000000	85.331	-148.6953
800.000000	85.374	-147.7847
812.000000	85.415	-146.9189
825.000000	85.475	-145.8810
838.000000	85.541	-144.8791
850.000000	85.574	-144.0104
862.000000	85.642	-143.1008
875.000000	85.718	-142.1924
885.000000	85.778	-141.4093
900.000000	85.855	-140.3682
912.000000	85.928	-139.6411
925.000000	86.004	-138.7130
938.000000	86.098	-137.8833
950.000000	86.169	-137.1629
962.000000	86.265	-136.5358
975.000000	86.359	-135.8062
988.000000	86.468	-135.1002
1000.000000	86.545	-134.5008
1015.000000	86.680	-133.7822
1030.000000	86.799	-133.0985
1044.000000	86.910	-132.5140
1060.000000	87.028	-131.8893
1075.000000	87.147	-131.3087
1090.000000	87.246	-130.7947
1106.000000	87.352	-130.2548
1120.000000	87.440	-129.8271
1138.000000	87.551	-129.3426
1150.000000	87.646	-128.9074
1172.000000	87.748	-128.4259
1180.000000	87.798	-128.1883
1206.000000	87.938	-127.5555
1220.000000	88.040	-127.2712
1241.000000	88.193	-126.7432
1250.000000	88.271	-126.5287
1265.000000	88.372	-126.2062
1280.000000	88.472	-125.8810
1315.000000	88.725	-125.1440
1320.000000	88.753	-125.0114
1340.000000	88.888	-124.6113
1360.000000	89.071	-124.2752
1380.000000	89.209	-123.8166
1400.000000	89.348	-123.4585
1430.000000	89.552	-122.8753
1450.000000	89.680	-122.4015
1475.000000	89.840	-122.0181
1500.000000	90.002	-121.5467
1525.000000	90.160	-121.0820
1550.000000	90.275	-120.5472
1575.000000	90.410	-120.1166
1600.000000	90.539	-119.6210
1625.000000	90.663	-119.1176
1650.000000	90.796	-118.6310
1675.000000	90.922	-118.1095
1700.000000	91.057	-117.5837
1725.000000	91.191	-117.0704
1750.000000	91.327	-116.5509
1775.000000	91.473	-116.0591
1800.000000	91.616	-115.5648
1825.000000	91.766	-115.0659
1850.000000	91.922	-114.6145
1875.000000	92.069	-114.1511
1900.000000	92.234	-113.7012
1925.000000	92.395	-113.2829
1950.000000	92.555	-112.9229
1975.000000	92.725	-112.5239
2000.000000	92.902	-112.1499
2030.000000	93.105	-111.8189
2060.000000	93.317	-111.5175
2090.000000	93.536	-111.2293
2120.000000	93.757	-111.0257
2140.000000	93.907	-110.9361
2180.000000	94.210	-110.8257
2200.000000	94.362	-110.8121
2240.000000	94.669	-110.9052
2270.000000	94.901	-111.0475
2300.000000	95.134	-111.2758
2330.000000	95.365	-111.6243
2360.000000	95.597	-112.0390
2400.000000	95.898	-112.7577
2430.000000	96.115	-113.4075
2470.000000	96.399	-114.4045
2500.000000	96.600	-115.2896
2540.000000	96.853	-116.6044
2580.000000	97.087	-118.0669
2620.000000	97.288	-119.6776
2650.000000	97.420	-120.9568
2690.000000	97.569	-122.7476
2720.000000	97.656	-124.1346
2760.000000	97.744	-126.0436
2800.000000	97.791	-127.9448
2850.000000	97.798	-130.2707
2900.000000	97.753	-132.4856
