* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 6:03:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2R L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.820	-176.1524
20.299999	94.819	-176.4069
20.600000	94.818	-176.6485
20.900000	94.816	-176.8680
21.200001	94.816	-177.0783
21.400000	94.817	-177.2143
21.799999	94.822	-177.4780
22.000000	94.825	-177.6109
22.400000	94.830	-177.8934
22.700001	94.832	-178.1025
23.000000	94.832	-178.3024
23.299999	94.831	-178.4941
23.600000	94.830	-178.6682
24.000000	94.830	-178.8752
24.299999	94.833	-179.0243
24.700001	94.839	-179.2246
25.000000	94.845	-179.3830
25.400000	94.851	-179.6150
25.799999	94.855	-179.8535
26.200001	94.855	179.9094
26.500000	94.853	179.7395
26.900000	94.847	179.5369
27.200001	94.841	179.3964
27.600000	94.835	179.2158
28.000000	94.831	179.0377
28.500000	94.827	178.7973
29.000000	94.822	178.5457
29.500000	94.814	178.2901
30.000000	94.805	178.0526
30.400000	94.800	177.8689
30.700001	94.796	177.7375
31.100000	94.791	177.5690
31.500000	94.785	177.4099
32.000000	94.780	177.2349
32.500000	94.778	177.0678
33.000000	94.779	176.8803
33.500000	94.775	176.6551
34.000000	94.765	176.4325
34.500000	94.755	176.2514
35.000000	94.749	176.1133
35.500000	94.750	175.9613
36.000000	94.750	175.7672
36.500000	94.743	175.5579
37.000000	94.731	175.3900
37.500000	94.724	175.2606
38.200001	94.720	175.0634
38.700001	94.714	174.8825
39.500000	94.696	174.6189
40.000000	94.688	174.4821
40.599998	94.682	174.2921
41.200001	94.672	174.0788
41.799999	94.656	173.9092
42.500000	94.646	173.7689
43.099998	94.646	173.6039
43.700001	94.638	173.3920
44.400002	94.617	173.2067
45.000000	94.605	173.1155
45.500000	94.601	173.0087
46.200001	94.588	172.7914
46.799999	94.567	172.6348
47.500000	94.548	172.5096
48.200001	94.536	172.3182
48.700001	94.520	172.1517
49.400002	94.494	171.9919
50.000000	94.482	171.8882
50.799999	94.470	171.6653
51.500000	94.452	171.5048
52.200001	94.447	171.4294
53.000000	94.456	171.2280
53.799999	94.443	170.9639
54.500000	94.422	170.8604
55.200001	94.413	170.7864
56.000000	94.401	170.6464
57.000000	94.377	170.4842
58.000000	94.349	170.2983
59.000000	94.316	170.1405
60.000000	94.288	169.9600
60.799999	94.270	169.7771
61.500000	94.254	169.6075
62.200001	94.235	169.4440
63.000000	94.212	169.3083
64.000000	94.191	169.2049
65.000000	94.182	169.0966
66.000000	94.170	168.9142
67.000000	94.143	168.7411
68.000000	94.118	168.6524
69.000000	94.102	168.4772
70.000000	94.069	168.2775
71.000000	94.040	168.1865
72.000000	94.025	168.0724
73.000000	94.007	167.8989
74.000000	93.984	167.7671
75.000000	93.963	167.6385
76.199997	93.932	167.5085
77.500000	93.904	167.3943
78.800003	93.876	167.2369
80.000000	93.847	167.1056
81.199997	93.826	166.9856
82.500000	93.800	166.8263
83.800003	93.773	166.7067
85.000000	93.749	166.6033
86.199997	93.726	166.4752
87.500000	93.691	166.3309
88.500000	93.668	166.2719
90.000000	93.633	166.1241
91.199997	93.607	166.0347
92.500000	93.580	165.9034
93.800003	93.548	165.8046
95.000000	93.524	165.7327
96.199997	93.498	165.6357
97.500000	93.473	165.5739
98.800003	93.446	165.4890
100.000000	93.421	165.3933
101.500000	93.373	165.3259
103.000000	93.342	165.2356
104.400002	93.310	165.1756
106.000000	93.282	165.0190
107.500000	93.253	164.8859
109.000000	93.231	164.8029
110.599998	93.188	164.7696
112.000000	93.171	164.6987
113.800003	93.116	164.7000
115.000000	93.097	164.6156
117.199997	93.037	164.5237
118.000000	93.025	164.4597
120.599998	92.972	164.3996
122.000000	92.945	164.3319
124.099998	92.909	164.3121
125.000000	92.889	164.2718
126.500000	92.868	164.2473
128.000000	92.823	164.1493
131.500000	92.769	164.1667
132.000000	92.758	164.1098
134.000000	92.714	164.0995
136.000000	92.672	164.0492
138.000000	92.634	164.0800
140.000000	92.602	164.0491
143.000000	92.546	163.9851
145.000000	92.513	163.9882
147.500000	92.473	163.9819
150.000000	92.426	164.2342
152.500000	92.367	164.0160
155.000000	92.312	163.9901
157.500000	92.277	163.9338
160.000000	92.222	163.9856
162.500000	92.181	163.9935
165.000000	92.133	164.0220
167.500000	92.087	164.0240
170.000000	92.042	164.0674
172.500000	92.002	164.1022
175.000000	91.964	164.1405
177.500000	91.930	164.1495
180.000000	91.881	164.2236
182.500000	91.850	164.2255
185.000000	91.796	164.3751
187.500000	91.769	164.3674
190.000000	91.745	164.3381
