* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 6:02:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2R R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.403	-178.8865
20.144928	95.401	-178.9900
20.290907	95.400	-179.0932
20.437943	95.399	-179.1958
20.586044	95.398	-179.2979
20.735220	95.398	-179.3989
20.885475	95.398	-179.5037
21.036821	95.398	-179.6150
21.189262	95.399	-179.7302
21.342808	95.399	-179.8476
21.497467	95.399	-179.9678
21.653246	95.398	179.9154
21.810154	95.396	179.8027
21.968201	95.394	179.6931
22.127390	95.392	179.5860
22.287735	95.389	179.4825
22.449242	95.388	179.3856
22.611917	95.387	179.2942
22.775772	95.387	179.2022
22.940815	95.388	179.1107
23.107054	95.389	179.0121
23.274498	95.391	178.9034
23.443153	95.392	178.7889
23.613033	95.392	178.6685
23.784142	95.391	178.5455
23.956491	95.389	178.4227
24.130091	95.386	178.3029
24.304947	95.381	178.1944
24.481071	95.375	178.0968
24.658470	95.370	178.0176
24.837156	95.366	177.9540
25.017136	95.364	177.8964
25.198421	95.364	177.8445
25.381020	95.367	177.7852
25.564941	95.373	177.7186
25.750195	95.380	177.6335
25.936790	95.388	177.5304
26.124741	95.393	177.4038
26.314051	95.398	177.2574
26.504732	95.398	177.1080
26.696796	95.395	176.9574
26.890253	95.388	176.8203
27.085112	95.377	176.6968
27.281382	95.367	176.5932
27.479073	95.356	176.5063
27.678198	95.348	176.4382
27.878765	95.342	176.3750
28.080786	95.338	176.3113
28.284271	95.336	176.2382
28.489231	95.335	176.1533
28.695675	95.334	176.0590
28.903616	95.332	175.9568
29.113064	95.328	175.8516
29.324028	95.324	175.7485
29.536524	95.318	175.6546
29.750557	95.313	175.5680
29.966141	95.310	175.4886
30.183289	95.308	175.4044
30.402010	95.309	175.3138
30.622314	95.310	175.2125
30.844217	95.310	175.1013
31.067726	95.308	174.9803
31.292856	95.304	174.8588
31.519617	95.298	174.7429
31.748020	95.291	174.6425
31.978081	95.284	174.5576
32.209808	95.277	174.4869
32.443211	95.273	174.4239
32.678310	95.271	174.3599
32.915108	95.271	174.2895
33.153625	95.271	174.2018
33.393871	95.270	174.1013
33.635857	95.264	173.9908
33.879597	95.259	173.8802
34.125103	95.256	173.7732
34.372387	95.250	173.6737
34.621464	95.245	173.5856
34.872345	95.240	173.5040
35.125042	95.237	173.4248
35.379574	95.234	173.3412
35.635948	95.231	173.2540
35.894180	95.228	173.1638
36.154285	95.224	173.0713
36.416275	95.220	172.9817
36.680161	95.215	172.8968
36.945961	95.211	172.8177
37.213688	95.207	172.7383
37.483353	95.204	172.6573
37.754974	95.202	172.5730
38.028561	95.199	172.4831
38.304131	95.194	172.3873
38.581699	95.188	172.2900
38.861279	95.181	172.1945
39.142883	95.173	172.1027
39.426529	95.165	172.0157
39.712231	95.158	171.9335
40.000000	95.151	171.8534
40.289856	95.145	171.7710
40.581814	95.139	171.6841
40.875885	95.133	171.5921
41.172089	95.126	171.4960
41.470440	95.118	171.4001
41.770950	95.109	171.3111
42.073643	95.099	171.2321
42.378525	95.091	171.1609
42.685616	95.085	171.0929
42.994934	95.080	171.0196
43.306492	95.076	170.9347
43.620308	95.072	170.8373
43.936401	95.065	170.7331
44.254780	95.058	170.6289
44.575470	95.049	170.5319
44.898483	95.040	170.4420
45.223835	95.032	170.3531
45.551544	95.023	170.2614
45.881630	95.015	170.1672
46.214108	95.005	170.0743
46.548996	94.994	169.9882
46.886307	94.984	169.9109
47.226067	94.975	169.8354
47.568283	94.966	169.7545
47.912983	94.955	169.6701
48.260181	94.943	169.5931
48.609894	94.929	169.5424
48.962143	94.918	169.5237
49.316940	94.914	169.5179
49.674313	94.918	169.4891
50.034271	94.925	169.4034
50.396843	94.929	169.2538
50.762039	94.924	169.0701
51.129883	94.909	168.8995
51.500389	94.889	168.7786
51.873581	94.871	168.7101
52.249481	94.858	168.6630
52.628101	94.849	168.6049
53.009464	94.841	168.5250
53.393593	94.830	168.4366
53.780506	94.817	168.3596
54.170223	94.805	168.2955
54.562763	94.796	168.2288
54.958145	94.787	168.1464
55.356396	94.777	168.0517
55.757530	94.764	167.9645
56.161572	94.753	167.8938
56.568542	94.744	167.8250
56.978462	94.737	167.7359
57.391350	94.728	167.6237
57.807232	94.715	167.5157
58.226128	94.700	167.4395
58.648056	94.688	167.3905
59.073048	94.681	167.3318
59.501114	94.676	167.2314
59.932281	94.661	167.1060
60.366577	94.642	167.0073
60.804020	94.624	166.9686
61.244629	94.614	166.9632
61.688435	94.612	166.9279
62.135452	94.610	166.8285
62.585712	94.598	166.6979
63.039234	94.579	166.5981
63.496040	94.559	166.5511
63.956161	94.546	166.5237
64.419617	94.537	166.4681
64.886421	94.526	166.3818
65.356621	94.510	166.2981
65.830215	94.494	166.2370
