* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:04:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2W L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.427	-175.9024
20.299999	92.431	-176.1452
20.600000	92.434	-176.3937
20.900000	92.435	-176.6373
21.200001	92.434	-176.8806
21.400000	92.433	-177.0356
21.799999	92.431	-177.3185
22.000000	92.430	-177.4481
22.400000	92.429	-177.7021
22.700001	92.431	-177.8852
23.000000	92.433	-178.0722
23.299999	92.435	-178.2713
23.600000	92.435	-178.4700
24.000000	92.433	-178.7184
24.299999	92.433	-178.8877
24.700001	92.435	-179.0909
25.000000	92.441	-179.2420
25.400000	92.452	-179.4765
25.799999	92.463	-179.7552
26.200001	92.466	179.9337
26.500000	92.462	179.7055
26.900000	92.450	179.4489
27.200001	92.437	179.2958
27.600000	92.426	179.1291
28.000000	92.423	178.9734
28.500000	92.424	178.7371
29.000000	92.422	178.4591
29.500000	92.412	178.1736
30.000000	92.398	177.9248
30.400000	92.390	177.7462
30.700001	92.384	177.6242
31.100000	92.376	177.4722
31.500000	92.369	177.3310
32.000000	92.363	177.1732
32.500000	92.362	177.0101
33.000000	92.364	176.8162
33.500000	92.361	176.5827
34.000000	92.352	176.3483
34.500000	92.346	176.1373
35.000000	92.341	175.9511
35.500000	92.338	175.7635
36.000000	92.335	175.5766
36.500000	92.331	175.4023
37.000000	92.328	175.2415
37.500000	92.326	175.0655
38.200001	92.313	174.8188
38.700001	92.296	174.7026
39.500000	92.288	174.5875
40.000000	92.293	174.4158
40.599998	92.283	174.0809
41.200001	92.244	173.8250
41.799999	92.209	173.7859
42.500000	92.216	173.7622
43.099998	92.240	173.4550
43.700001	92.228	172.9635
44.400002	92.165	172.5909
45.000000	92.117	172.6381
45.500000	92.117	172.7637
46.200001	92.152	172.6764
46.799999	92.152	172.3539
47.500000	92.101	172.2558
48.200001	92.094	172.6010
48.700001	92.143	172.6918
49.400002	92.196	172.2115
50.000000	92.158	171.6827
50.799999	92.064	171.5643
51.500000	92.038	171.6781
52.200001	92.039	171.5623
53.000000	92.037	171.2086
53.799999	92.004	170.6545
54.500000	91.927	170.4097
55.200001	91.897	170.6251
56.000000	91.957	170.5000
57.000000	91.914	169.7346
58.000000	91.838	170.0519
59.000000	91.874	170.0186
60.000000	91.787	169.7270
60.799999	91.722	170.0354
61.500000	91.721	170.2455
62.200001	91.728	170.1520
63.000000	91.715	169.8792
64.000000	91.698	169.4667
65.000000	91.663	168.8933
66.000000	91.623	168.6554
67.000000	91.635	168.3463
