* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:04:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2W R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.257	-178.9560
20.144928	93.255	-179.0855
20.290907	93.253	-179.2163
20.437943	93.251	-179.3464
20.586044	93.249	-179.4730
20.735220	93.248	-179.5961
20.885475	93.247	-179.7182
21.036821	93.246	-179.8404
21.189262	93.246	-179.9616
21.342808	93.247	179.9188
21.497467	93.249	179.8008
21.653246	93.252	179.6835
21.810154	93.254	179.5685
21.968201	93.258	179.4501
22.127390	93.262	179.3236
22.287735	93.266	179.1920
22.449242	93.270	179.0568
22.611917	93.273	178.9176
22.775772	93.275	178.7770
22.940815	93.276	178.6342
23.107054	93.276	178.4930
23.274498	93.274	178.3527
23.443153	93.271	178.2199
23.613033	93.267	178.0999
23.784142	93.263	177.9900
23.956491	93.259	177.8909
24.130091	93.256	177.8004
24.304947	93.255	177.7142
24.481071	93.254	177.6322
24.658470	93.253	177.5499
24.837156	93.254	177.4673
25.017136	93.254	177.3780
25.198421	93.254	177.2838
25.381020	93.253	177.1910
25.564941	93.251	177.1003
25.750195	93.248	177.0215
25.936790	93.244	176.9536
26.124741	93.242	176.8950
26.314051	93.241	176.8446
26.504732	93.243	176.7991
26.696796	93.247	176.7534
26.890253	93.253	176.6907
27.085112	93.260	176.6077
27.281382	93.267	176.4894
27.479073	93.273	176.3436
27.678198	93.276	176.1705
27.878765	93.273	175.9866
28.080786	93.265	175.7964
28.284271	93.252	175.6263
28.489231	93.234	175.4818
28.695675	93.216	175.3803
28.903616	93.198	175.3178
29.113064	93.185	175.2854
29.324028	93.177	175.2670
29.536524	93.175	175.2487
29.750557	93.179	175.2060
29.966141	93.186	175.1308
30.183289	93.194	175.0111
30.402010	93.201	174.8563
30.622314	93.202	174.6788
30.844217	93.198	174.5009
31.067726	93.188	174.3328
31.292856	93.176	174.1939
31.519617	93.162	174.0836
31.748020	93.150	174.0057
31.978081	93.142	173.9405
32.209808	93.137	173.8805
32.443211	93.134	173.8077
32.678310	93.133	173.7202
32.915108	93.132	173.6157
33.153625	93.129	173.4996
33.393871	93.122	173.3823
33.635857	93.108	173.2729
33.879597	93.099	173.1780
34.125103	93.092	173.0939
34.372387	93.086	173.0172
34.621464	93.081	172.9424
34.872345	93.078	172.8655
35.125042	93.075	172.7834
35.379574	93.072	172.6970
35.635948	93.069	172.6098
35.894180	93.067	172.5223
36.154285	93.066	172.4302
36.416275	93.066	172.3276
36.680161	93.065	172.2118
36.945961	93.064	172.0804
37.213688	93.060	171.9367
37.483353	93.053	171.7951
37.754974	93.042	171.6669
38.028561	93.030	171.5634
38.304131	93.017	171.4837
38.581699	93.007	171.4192
38.861279	93.000	171.3584
39.142883	92.996	171.2849
39.426529	92.993	171.1903
39.712231	92.988	171.0818
40.000000	92.980	170.9689
40.289856	92.970	170.8633
40.581814	92.959	170.7762
40.875885	92.949	170.7056
41.172089	92.941	170.6414
41.470440	92.934	170.5750
41.770950	92.927	170.5019
42.073643	92.920	170.4233
42.378525	92.912	170.3471
42.685616	92.903	170.2808
42.994934	92.896	170.2224
43.306492	92.892	170.1623
43.620308	92.889	170.0880
43.936401	92.888	169.9884
44.254780	92.884	169.8595
44.575470	92.876	169.7133
44.898483	92.863	169.5670
45.223835	92.845	169.4370
45.551544	92.826	169.3359
45.881630	92.808	169.2673
46.214108	92.794	169.2206
46.548996	92.785	169.1761
46.886307	92.781	169.1111
47.226067	92.779	169.0083
47.568283	92.774	168.8708
47.912983	92.763	168.7230
48.260181	92.747	168.5975
48.609894	92.730	168.5197
48.962143	92.718	168.4851
49.316940	92.714	168.4567
49.674313	92.717	168.3902
50.034271	92.719	168.2648
50.396843	92.713	168.1040
50.762039	92.696	167.9654
51.129883	92.674	167.8991
51.500389	92.657	167.9076
51.873581	92.652	167.9363
52.249481	92.657	167.9087
52.628101	92.660	167.7911
53.009464	92.650	167.6216
53.393593	92.625	167.4825
53.780506	92.592	167.4376
54.170223	92.567	167.4734
54.562763	92.555	167.5094
54.958145	92.550	167.4686
55.356396	92.538	167.3469
55.757530	92.512	167.2238
56.161572	92.479	167.1879
56.568542	92.457	167.2460
56.978462	92.456	167.3024
57.391350	92.470	167.2382
57.807232	92.481	167.0226
58.226128	92.475	166.7332
58.648056	92.456	166.4702
59.073048	92.435	166.2585
59.501114	92.417	166.0418
59.932281	92.389	165.7911
60.366577	92.346	165.5901
60.804020	92.299	165.5723
61.244629	92.276	165.7401
61.688435	92.295	165.8871
62.135452	92.336	165.7631
62.585712	92.349	165.3634
63.039234	92.307	164.9837
63.496040	92.236	164.9447
63.956161	92.196	165.2756
64.419617	92.220	165.6233
64.886421	92.279	165.6246
65.356621	92.316	165.2635
65.830215	92.301	164.8329
66.307251	92.257	164.5948
66.787743	92.219	164.5440
67.271713	92.199	164.5074
67.759193	92.178	164.3997
68.250206	92.146	164.2999
68.744774	92.112	164.2942
69.242928	92.092	164.3431
69.744690	92.084	164.3481
70.250084	92.077	164.2794
70.759148	92.065	164.1886
71.271896	92.050	164.1132
71.788361	92.037	164.0369
72.308571	92.024	163.9352
72.832550	92.006	163.8209
73.360321	91.983	163.7299
73.891922	91.959	163.6816
74.427376	91.939	163.6601
74.966705	91.927	163.6281
75.509949	91.916	163.5517
76.057121	91.901	163.4377
76.608261	91.879	163.3292
77.163399	91.855	163.2575
77.722557	91.834	163.2103
78.285767	91.819	163.1546
78.853058	91.804	163.0756
79.424461	91.787	162.9839
80.000000	91.767	162.8938
80.579712	91.745	162.8155
81.163628	91.722	162.7643
81.751770	91.703	162.7451
82.344177	91.689	162.7274
82.940880	91.680	162.6614
83.541901	91.665	162.5463
84.147285	91.641	162.4382
84.757050	91.615	162.3812
85.371231	91.592	162.3491
85.989868	91.571	162.3038
86.612984	91.550	162.2578
87.240616	91.530	162.2261
87.872803	91.515	162.1799
88.509560	91.499	162.0972
89.150940	91.478	162.0104
89.796967	91.456	161.9425
90.447670	91.436	161.8759
91.103088	91.414	161.8025
91.763260	91.390	161.7458
92.428215	91.368	161.7087
93.097992	91.348	161.6685
93.772614	91.328	161.6207
94.452133	91.307	161.5786
95.136566	91.287	161.5337
95.825966	91.267	161.4734
96.520363	91.245	161.4175
97.219788	91.223	161.3747
97.924286	91.201	161.3136
98.633881	91.175	161.2488
99.348625	91.146	161.2372
100.068542	91.126	161.2413
100.793686	91.110	161.1761
101.524078	91.084	161.0911
102.259766	91.056	161.0621
103.000778	91.035	161.0321
103.747162	91.012	160.9700
104.498962	90.986	160.9356
105.256203	90.965	160.9063
106.018929	90.941	160.8374
106.787186	90.911	160.8057
107.561012	90.887	160.8291
108.340446	90.871	160.7971
109.125526	90.845	160.7295
109.916290	90.816	160.7224
110.712791	90.793	160.7139
111.515060	90.765	160.6833
112.323143	90.738	160.7044
113.137085	90.721	160.6858
113.956924	90.694	160.6063
114.782700	90.663	160.5865
115.614464	90.641	160.5537
116.452255	90.612	160.4902
117.296112	90.585	160.4775
118.146095	90.564	160.4278
119.002228	90.533	160.3846
119.864563	90.507	160.4082
120.733154	90.488	160.3919
121.608040	90.462	160.3591
122.489258	90.431	160.3519
123.376869	90.402	160.3894
124.270905	90.382	160.3771
125.171425	90.348	160.2784
126.078468	90.307	160.3225
126.992081	90.293	160.3310
127.912323	90.264	160.2135
128.839233	90.229	160.2173
129.772842	90.206	160.1944
130.713242	90.171	160.1767
131.660431	90.142	160.2702
132.614502	90.124	160.3214
133.575485	90.099	160.3284
134.543427	90.069	160.3390
135.518387	90.033	160.3458
136.500412	89.994	160.4106
137.489548	89.975	160.4703
138.485855	89.954	160.3503
139.489380	89.902	160.2878
140.500168	89.867	160.4437
141.518295	89.864	160.4713
142.543793	89.834	160.2961
143.576721	89.778	160.3562
144.617142	89.753	160.4549
145.665100	89.712	160.4071
146.720642	89.660	160.4897
147.783844	89.612	160.5806
148.854752	89.568	160.7337
149.933411	89.533	160.7704
151.019897	89.474	160.8773
152.114243	89.440	161.0660
153.216522	89.395	161.0868
154.326797	89.343	161.2792
155.445114	89.307	161.3679
156.571533	89.233	161.4124
157.706116	89.159	161.8527
158.848923	89.146	162.0374
160.000000	89.035	162.1503
161.159424	88.995	162.9836
162.327255	88.993	163.2197
163.503540	88.961	163.8049
164.688354	88.993	164.3231
165.881760	89.023	164.7181
167.083801	89.033	165.0912
168.294571	89.070	165.7451
169.514099	89.132	165.9708
170.742462	89.188	166.0536
171.979736	89.168	165.6995
173.225967	89.177	166.2985
174.481232	89.290	165.7856
175.745605	89.270	165.4623
177.019119	89.299	165.2189
178.301880	89.287	165.0654
179.593933	89.291	164.9960
180.895340	89.272	164.8945
182.206177	89.264	164.8464
183.526520	89.238	164.6790
184.856430	89.215	164.5844
186.195984	89.192	164.5493
187.545227	89.167	164.4216
188.904266	89.132	164.5296
190.273132	89.110	164.5738
191.651932	89.102	164.4988
193.040726	89.059	164.3961
194.439575	89.034	164.3857
195.848572	89.019	164.4082
197.267761	88.988	164.3935
198.697250	88.983	164.5173
200.137085	88.954	164.5216
201.587372	88.934	164.5695
203.048157	88.910	164.5898
204.519531	88.881	164.6009
206.001556	88.868	164.6644
207.494324	88.838	164.6671
208.997925	88.823	164.7292
210.512405	88.783	164.7647
212.037857	88.763	164.8618
213.574371	88.740	164.9457
215.122025	88.712	164.9365
216.680893	88.685	165.0176
218.251053	88.654	165.1026
219.832581	88.632	165.1771
221.425583	88.606	165.2320
223.030121	88.578	165.3536
224.646286	88.549	165.4160
226.274170	88.521	165.5143
227.913849	88.494	165.5617
229.565399	88.468	165.6762
231.228928	88.444	165.8032
232.904510	88.422	165.8711
234.592224	88.400	166.0902
236.292191	88.361	166.1123
238.004456	88.339	166.2773
239.729126	88.303	166.3376
241.466309	88.295	166.4347
243.216080	88.271	166.6561
244.978516	88.237	166.7591
246.753738	88.228	166.8154
248.541809	88.207	166.8921
250.342850	88.174	167.0544
252.156937	88.155	167.0969
253.984161	88.130	167.2227
255.824646	88.107	167.4168
257.678467	88.089	167.5440
259.545685	88.061	167.5472
261.426483	88.036	167.8499
263.320862	88.013	167.8788
265.229004	87.973	168.0247
267.150970	87.969	168.1777
269.086853	87.962	168.3833
271.036774	87.928	168.4388
273.000824	87.911	168.6576
274.979095	87.878	168.7584
276.971710	87.860	168.8924
278.978760	87.837	169.0126
281.000336	87.823	169.1767
283.036591	87.794	169.3734
285.087585	87.767	169.4978
287.153442	87.746	169.6233
289.234283	87.725	169.7872
291.330200	87.703	169.9690
293.441284	87.674	170.1332
295.567688	87.653	170.3048
297.709503	87.632	170.4277
299.866821	87.617	170.5827
302.039795	87.595	170.7462
304.228485	87.571	170.9239
306.433044	87.545	171.1588
308.653595	87.526	171.2593
310.890228	87.509	171.5342
313.143066	87.474	171.6246
315.412231	87.458	171.8218
317.697845	87.442	172.0908
320.000000	87.414	172.2319
322.318848	87.390	172.3697
324.654510	87.371	172.6082
327.007080	87.345	172.7742
329.376709	87.324	172.9646
331.763519	87.305	173.1888
334.167603	87.287	173.4089
336.589142	87.259	173.6343
339.028198	87.238	173.8307
341.484924	87.215	174.0704
343.959473	87.200	174.3057
346.451935	87.180	174.5584
348.962463	87.158	174.8192
351.491211	87.140	174.9857
354.038239	87.127	175.3201
356.603760	87.108	175.6206
359.187866	87.098	175.8738
361.790680	87.089	176.1996
364.412354	87.088	176.4719
367.053040	87.083	176.7780
369.712860	87.089	177.0721
372.391968	87.098	177.2667
375.090454	87.108	177.5040
377.808533	87.114	177.6626
380.546265	87.106	177.7798
383.303864	87.109	177.8699
386.081451	87.107	178.0114
388.879150	87.094	178.1390
391.697144	87.081	178.2482
394.535522	87.066	178.3955
397.394501	87.056	178.5671
400.274170	87.044	178.7411
403.174744	87.021	178.9201
406.096313	87.011	179.0508
409.039062	86.987	179.2564
412.003113	86.980	179.4554
414.988647	86.963	179.6189
417.995850	86.949	179.8447
421.024811	86.932	-179.9525
424.075714	86.916	-179.7237
427.148743	86.900	-179.5215
430.244049	86.883	-179.3210
433.361786	86.869	-179.0896
436.502106	86.854	-178.8740
439.665161	86.839	-178.6590
442.851166	86.829	-178.4159
446.060242	86.808	-178.2081
449.292572	86.801	-177.9383
452.548340	86.789	-177.7174
455.827698	86.767	-177.4801
459.130798	86.762	-177.2354
462.457855	86.741	-177.0183
465.809021	86.731	-176.7544
469.184448	86.723	-176.4986
472.584381	86.704	-176.2650
476.008911	86.690	-176.0728
479.458252	86.681	-175.7928
482.932617	86.669	-175.5459
486.432159	86.662	-175.3209
489.957031	86.645	-175.0611
493.507477	86.633	-174.8315
497.083618	86.626	-174.5057
500.685699	86.618	-174.2668
504.313873	86.611	-174.0151
507.968323	86.593	-173.7943
511.649292	86.588	-173.4332
515.356934	86.583	-173.2400
519.091370	86.568	-172.8729
522.852966	86.565	-172.6503
