* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:30:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2Y L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.826	-175.6306
20.299999	95.835	-175.8080
20.600000	95.847	-176.0161
20.900000	95.859	-176.2559
21.200001	95.866	-176.5263
21.400000	95.869	-176.7064
21.799999	95.868	-177.0391
22.000000	95.867	-177.1869
22.400000	95.864	-177.4593
22.700001	95.864	-177.6445
23.000000	95.865	-177.8268
23.299999	95.866	-178.0145
23.600000	95.867	-178.1953
24.000000	95.868	-178.4165
24.299999	95.872	-178.5741
24.700001	95.880	-178.7877
25.000000	95.888	-178.9659
25.400000	95.897	-179.2409
25.799999	95.899	-179.5233
26.200001	95.894	-179.7754
26.500000	95.890	-179.9303
26.900000	95.887	179.9065
27.200001	95.886	179.7862
27.600000	95.891	179.5938
28.000000	95.895	179.3608
28.500000	95.890	179.0497
29.000000	95.878	178.7922
29.500000	95.870	178.5852
30.000000	95.868	178.3801
30.400000	95.869	178.1858
30.700001	95.868	178.0330
31.100000	95.865	177.8360
31.500000	95.860	177.6531
32.000000	95.855	177.4382
32.500000	95.851	177.2137
33.000000	95.843	176.9933
33.500000	95.831	176.7964
34.000000	95.824	176.6270
34.500000	95.825	176.4463
35.000000	95.826	176.2443
35.500000	95.825	176.0382
36.000000	95.822	175.8556
36.500000	95.821	175.6865
37.000000	95.821	175.5157
37.500000	95.819	175.3386
38.200001	95.813	175.1174
38.700001	95.806	174.9741
39.500000	95.797	174.7320
40.000000	95.790	174.5721
40.599998	95.781	174.3752
41.200001	95.770	174.1685
41.799999	95.756	173.9591
42.500000	95.738	173.7426
43.099998	95.727	173.5738
43.700001	95.719	173.3940
44.400002	95.711	173.1771
45.000000	95.704	172.9920
45.500000	95.699	172.8279
46.200001	95.686	172.6089
46.799999	95.673	172.4725
