* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25 Mar, 2022 5:28:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2Y R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.063	-178.3915
20.144928	97.063	-178.4975
20.290907	97.063	-178.6059
20.437943	97.064	-178.7155
20.586044	97.065	-178.8256
20.735220	97.066	-178.9359
20.885475	97.068	-179.0499
21.036821	97.069	-179.1700
21.189262	97.070	-179.2935
21.342808	97.071	-179.4187
21.497467	97.072	-179.5460
21.653246	97.073	-179.6703
21.810154	97.072	-179.7909
21.968201	97.071	-179.9090
22.127390	97.070	179.9743
22.287735	97.068	179.8610
22.449242	97.067	179.7552
22.611917	97.066	179.6559
22.775772	97.065	179.5594
22.940815	97.065	179.4670
23.107054	97.067	179.3713
23.274498	97.069	179.2704
23.443153	97.071	179.1648
23.613033	97.073	179.0542
23.784142	97.075	178.9382
23.956491	97.077	178.8149
24.130091	97.078	178.6870
24.304947	97.077	178.5581
24.481071	97.075	178.4297
24.658470	97.071	178.3113
24.837156	97.067	178.2017
25.017136	97.062	178.1023
25.198421	97.057	178.0129
25.381020	97.053	177.9340
25.564941	97.050	177.8648
25.750195	97.050	177.7995
25.936790	97.051	177.7370
26.124741	97.053	177.6636
26.314051	97.057	177.5806
26.504732	97.062	177.4870
26.696796	97.066	177.3829
26.890253	97.068	177.2672
27.085112	97.069	177.1415
27.281382	97.067	177.0072
27.479073	97.065	176.8701
27.678198	97.060	176.7364
27.878765	97.054	176.6075
28.080786	97.047	176.4849
28.284271	97.040	176.3710
28.489231	97.032	176.2664
28.695675	97.024	176.1725
28.903616	97.018	176.0878
29.113064	97.012	176.0064
29.324028	97.008	175.9272
29.536524	97.005	175.8488
29.750557	97.003	175.7669
29.966141	97.003	175.6802
30.183289	97.003	175.5827
30.402010	97.005	175.4767
30.622314	97.005	175.3652
30.844217	97.004	175.2511
31.067726	97.002	175.1357
31.292856	97.000	175.0234
31.519617	96.996	174.9158
31.748020	96.992	174.8169
31.978081	96.989	174.7225
32.209808	96.986	174.6315
32.443211	96.984	174.5404
32.678310	96.982	174.4479
32.915108	96.981	174.3525
33.153625	96.979	174.2510
33.393871	96.976	174.1467
33.635857	96.968	174.0421
33.879597	96.964	173.9396
34.125103	96.961	173.8383
34.372387	96.958	173.7372
34.621464	96.955	173.6382
34.872345	96.952	173.5393
35.125042	96.950	173.4389
35.379574	96.946	173.3365
35.635948	96.943	173.2350
35.894180	96.940	173.1353
36.154285	96.936	173.0365
36.416275	96.932	172.9393
36.680161	96.928	172.8432
36.945961	96.925	172.7475
37.213688	96.922	172.6476
37.483353	96.919	172.5459
37.754974	96.915	172.4441
38.028561	96.911	172.3430
38.304131	96.904	172.2427
38.581699	96.898	172.1448
38.861279	96.891	172.0498
39.142883	96.885	171.9556
39.426529	96.879	171.8615
39.712231	96.872	171.7683
40.000000	96.866	171.6760
40.289856	96.860	171.5836
40.581814	96.854	171.4916
40.875885	96.849	171.3984
41.172089	96.844	171.3009
41.470440	96.838	171.1987
41.770950	96.831	171.0947
42.073643	96.824	170.9916
42.378525	96.815	170.8940
42.685616	96.806	170.8063
42.994934	96.799	170.7265
43.306492	96.792	170.6496
43.620308	96.787	170.5691
43.936401	96.783	170.4792
44.254780	96.778	170.3759
44.575470	96.772	170.2650
44.898483	96.764	170.1546
45.223835	96.755	170.0504
45.551544	96.745	169.9558
45.881630	96.736	169.8700
46.214108	96.728	169.7863
46.548996	96.721	169.6984
46.886307	96.715	169.6049
47.226067	96.708	169.5071
47.568283	96.700	169.4098
47.912983	96.691	169.3159
48.260181	96.684	169.2214
48.609894	96.677	169.1234
48.962143	96.670	169.0197
49.316940	96.661	168.9121
49.674313	96.651	168.8091
50.034271	96.640	168.7183
50.396843	96.630	168.6410
50.762039	96.622	168.5706
51.129883	96.616	168.4947
51.500389	96.611	168.4049
51.873581	96.605	168.3033
52.249481	96.597	168.1982
52.628101	96.588	168.1011
53.009464	96.579	168.0153
53.393593	96.572	167.9309
53.780506	96.565	167.8358
54.170223	96.556	167.7236
54.562763	96.545	167.6024
54.958145	96.530	167.4914
55.356396	96.513	167.4052
55.757530	96.498	167.3474
56.161572	96.487	167.3027
56.568542	96.480	167.2478
56.978462	96.476	167.1665
57.391350	96.471	167.0566
57.807232	96.462	166.9307
58.226128	96.450	166.8056
58.648056	96.434	166.6955
59.073048	96.418	166.6080
59.501114	96.404	166.5393
59.932281	96.390	166.4774
60.366577	96.381	166.4031
60.804020	96.375	166.3068
61.244629	96.366	166.1950
61.688435	96.354	166.0870
62.135452	96.342	165.9974
62.585712	96.330	165.9196
63.039234	96.321	165.8349
63.496040	96.311	165.7349
63.956161	96.299	165.6342
64.419617	96.287	165.5490
64.886421	96.276	165.4725
65.356621	96.268	165.3781
65.830215	96.258	165.2547
66.307251	96.241	165.1288
66.787743	96.221	165.0404
67.271713	96.203	164.9977
67.759193	96.192	164.9634
68.250206	96.185	164.8961
68.744774	96.177	164.7919
69.242928	96.164	164.6827
69.744690	96.148	164.5948
70.250084	96.134	164.5249
70.759148	96.122	164.4511
71.271896	96.111	164.3618
71.788361	96.098	164.2645
72.308571	96.083	164.1737
72.832550	96.067	164.0960
73.360321	96.053	164.0245
73.891922	96.040	163.9489
74.427376	96.027	163.8644
74.966705	96.013	163.7761
75.509949	95.998	163.6881
76.057121	95.983	163.6012
76.608261	95.968	163.5164
77.163399	95.952	163.4373
77.722557	95.938	163.3632
78.285767	95.924	163.2880
78.853058	95.911	163.2078
79.424461	95.898	163.1219
80.000000	95.885	163.0284
80.579712	95.869	162.9327
81.163628	95.851	162.8537
81.751770	95.835	162.7968
82.344177	95.822	162.7369
82.940880	95.808	162.6547
83.541901	95.792	162.5716
84.147285	95.775	162.5107
84.757050	95.762	162.4516
85.371231	95.749	162.3670
85.989868	95.732	162.2693
86.612984	95.715	162.1841
87.240616	95.697	162.1061
87.872803	95.680	162.0269
88.509560	95.662	161.9590
89.150940	95.646	161.9022
89.796967	95.633	161.8327
90.447670	95.618	161.7451
91.103088	95.600	161.6639
91.763260	95.582	161.5988
92.428215	95.567	161.5314
93.097992	95.550	161.4520
93.772614	95.531	161.3763
94.452133	95.512	161.3163
95.136566	95.494	161.2568
95.825966	95.478	161.1807
96.520363	95.460	161.1026
97.219788	95.440	161.0471
97.924286	95.425	161.0046
98.633881	95.414	160.9397
99.348625	95.399	160.8407
100.068542	95.379	160.7460
100.793686	95.357	160.6920
101.524078	95.339	160.6550
102.259766	95.324	160.5939
103.000778	95.305	160.5213
103.747162	95.284	160.4676
104.498962	95.266	160.4196
105.256203	95.248	160.3544
106.018929	95.228	160.2783
106.787186	95.207	160.2114
107.561012	95.186	160.1631
108.340446	95.170	160.1092
109.125526	95.152	160.0311
109.916290	95.132	159.9595
110.712791	95.113	159.9049
111.515060	95.094	159.8409
112.323143	95.072	159.7858
113.137085	95.052	159.7594
113.956924	95.036	159.7137
114.782700	95.017	159.6282
115.614464	94.991	159.5638
116.452255	94.968	159.5411
117.296112	94.950	159.4999
118.146095	94.929	159.4379
119.002228	94.909	159.3844
119.864563	94.889	159.3177
120.733154	94.866	159.2625
121.608040	94.847	159.2368
122.489258	94.832	159.1880
123.376869	94.812	159.1184
124.270905	94.788	159.0788
125.171425	94.768	159.0614
126.078468	94.751	159.0191
126.992081	94.731	158.9593
127.912323	94.709	158.8969
128.839233	94.685	158.8414
129.772842	94.663	158.7966
130.713242	94.641	158.7466
131.660431	94.620	158.7214
132.614502	94.603	158.6757
133.575485	94.581	158.6280
134.543427	94.561	158.6133
135.518387	94.541	158.5706
136.500412	94.516	158.5604
137.489548	94.499	158.5495
138.485855	94.479	158.4877
139.489380	94.454	158.4448
140.500168	94.433	158.4124
141.518295	94.412	158.3654
142.543793	94.390	158.3185
143.576721	94.367	158.2819
144.617142	94.345	158.2597
145.665100	94.324	158.2282
146.720642	94.302	158.1978
147.783844	94.278	158.1761
148.854752	94.256	158.1598
149.933411	94.237	158.1363
151.019897	94.214	158.0845
152.114243	94.185	158.0794
153.216522	94.165	158.0632
154.326797	94.136	158.0161
155.445114	94.111	158.0278
156.571533	94.086	157.9758
157.706116	94.056	157.9731
158.848923	94.037	157.9796
160.000000	94.017	157.8658
161.159424	93.975	157.8282
162.327255	93.952	157.9000
163.503540	93.933	157.8787
164.688354	93.907	157.8496
165.881760	93.877	157.8373
167.083801	93.852	157.8353
168.294571	93.825	157.8030
169.514099	93.797	157.7801
170.742462	93.773	157.7768
171.979736	93.754	157.7762
173.225967	93.731	157.7189
174.481232	93.694	157.7502
175.745605	93.680	157.7781
177.019119	93.642	157.7350
178.301880	93.628	157.7679
179.593933	93.586	157.6741
180.895340	93.558	157.8157
182.206177	93.547	157.8900
183.526520	93.530	157.8041
184.856430	93.497	157.9083
186.195984	93.470	157.8242
187.545227	93.432	158.0165
188.904266	93.423	157.9628
190.273132	93.388	157.9705
191.651932	93.366	158.0182
193.040726	93.346	158.0260
194.439575	93.320	158.0548
195.848572	93.289	158.1404
197.267761	93.276	158.2189
198.697250	93.251	158.2446
200.137085	93.227	158.2756
201.587372	93.196	158.3739
203.048157	93.175	158.4838
204.519531	93.156	158.6006
206.001556	93.135	158.7015
207.494324	93.120	158.8359
208.997925	93.104	158.9642
210.512405	93.095	159.1078
212.037857	93.089	159.2550
213.574371	93.087	159.3191
215.122025	93.075	159.4619
216.680893	93.085	159.5074
218.251053	93.077	159.5458
219.832581	93.083	159.6089
221.425583	93.088	159.5864
223.030121	93.083	159.5721
224.646286	93.083	159.5609
226.274170	93.074	159.4849
227.913849	93.063	159.4671
229.565399	93.058	159.4117
231.228928	93.044	159.3150
232.904510	93.030	159.2755
234.592224	93.015	159.2079
236.292191	93.004	159.1718
238.004456	92.988	159.1176
239.729126	92.968	159.0934
241.466309	92.950	159.0600
243.216080	92.939	159.0446
244.978516	92.922	158.9358
246.753738	92.894	158.9228
248.541809	92.877	158.8342
250.342850	92.864	158.8137
252.156937	92.839	158.7911
253.984161	92.818	158.7565
255.824646	92.795	158.7352
257.678467	92.773	158.7167
259.545685	92.751	158.7472
261.426483	92.737	158.7678
263.320862	92.716	158.6777
265.229004	92.686	158.6457
267.150970	92.663	158.7120
269.086853	92.649	158.6822
271.036774	92.621	158.7202
273.000824	92.593	158.7222
274.979095	92.569	158.6923
276.971710	92.542	158.7217
278.978760	92.520	158.7483
281.000336	92.499	158.7506
283.036591	92.475	158.7788
285.087585	92.445	158.7832
287.153442	92.423	158.8159
289.234283	92.399	158.8157
291.330200	92.376	158.8393
293.441284	92.351	158.8616
295.567688	92.327	158.9097
297.709503	92.304	158.9306
299.866821	92.278	158.9391
302.039795	92.255	159.0036
304.228485	92.230	159.0051
306.433044	92.204	159.0417
308.653595	92.180	159.0964
310.890228	92.153	159.1201
313.143066	92.128	159.1207
315.412231	92.112	159.1405
317.697845	92.087	159.1828
320.000000	92.067	159.2046
322.318848	92.040	159.2752
324.654510	92.018	159.3058
327.007080	91.993	159.3430
329.376709	91.970	159.3803
331.763519	91.946	159.4256
334.167603	91.920	159.4803
336.589142	91.894	159.4894
339.028198	91.873	159.5311
341.484924	91.854	159.5706
343.959473	91.828	159.6311
346.451935	91.802	159.6818
348.962463	91.781	159.7167
351.491211	91.757	159.7696
354.038239	91.735	159.7974
356.603760	91.714	159.8689
359.187866	91.691	159.9249
361.790680	91.669	159.9694
364.412354	91.643	160.0141
367.053040	91.621	160.0595
369.712860	91.599	160.1418
372.391968	91.576	160.1718
375.090454	91.554	160.2447
377.808533	91.529	160.3081
380.546265	91.502	160.3607
383.303864	91.478	160.4127
386.081451	91.451	160.4630
388.879150	91.431	160.5234
391.697144	91.409	160.5831
394.535522	91.381	160.6408
397.394501	91.360	160.7143
400.274170	91.333	160.7803
403.174744	91.308	160.8569
406.096313	91.287	160.9204
409.039062	91.261	160.9904
412.003113	91.238	161.0760
414.988647	91.213	161.1479
417.995850	91.190	161.2288
421.024811	91.165	161.3019
424.075714	91.141	161.4066
427.148743	91.117	161.4969
430.244049	91.090	161.5775
433.361786	91.067	161.6571
436.502106	91.046	161.7557
439.665161	91.022	161.8458
442.851166	91.001	161.9285
446.060242	90.979	162.0143
449.292572	90.956	162.0933
452.548340	90.936	162.1862
455.827698	90.914	162.2754
459.130798	90.894	162.3710
462.457855	90.869	162.4579
465.809021	90.848	162.5291
469.184448	90.827	162.5997
472.584381	90.803	162.6750
476.008911	90.776	162.7689
479.458252	90.756	162.8392
482.932617	90.730	162.9241
486.432159	90.707	163.0164
489.957031	90.687	163.0626
493.507477	90.661	163.1582
497.083618	90.641	163.2457
500.685699	90.614	163.3363
504.313873	90.594	163.4372
507.968323	90.567	163.5234
511.649292	90.544	163.6252
515.356934	90.519	163.7006
519.091370	90.494	163.8578
522.852966	90.470	163.9354
526.641724	90.447	164.0468
530.458008	90.424	164.1517
534.301941	90.402	164.2907
538.173706	90.375	164.3918
542.073547	90.354	164.5114
546.001648	90.331	164.6223
549.958191	90.311	164.7415
553.943420	90.284	164.8507
557.957520	90.263	164.9720
562.000671	90.239	165.1111
566.073181	90.216	165.2159
570.175171	90.191	165.3431
574.306885	90.165	165.4586
578.468567	90.144	165.6058
582.660400	90.114	165.7335
586.882568	90.088	165.8400
591.135376	90.066	165.9962
595.419006	90.040	166.1205
599.733643	90.013	166.2778
604.079590	89.989	166.4125
608.456970	89.962	166.5816
612.866089	89.936	166.7058
617.307190	89.909	166.8726
621.780457	89.882	167.0636
626.286133	89.857	167.2010
630.824463	89.831	167.3962
635.395691	89.805	167.5659
640.000000	89.777	167.7326
644.637695	89.750	167.8864
649.309021	89.722	168.0803
654.014160	89.701	168.2764
658.753418	89.675	168.4608
663.527039	89.646	168.6496
668.335205	89.625	168.8579
673.178284	89.600	169.0501
678.056396	89.577	169.2362
682.969849	89.550	169.4537
687.918945	89.526	169.6729
692.903870	89.499	169.8869
697.924927	89.473	170.1000
702.982422	89.449	170.2911
708.076477	89.426	170.5423
713.207520	89.403	170.7536
718.375732	89.379	170.9849
723.581360	89.354	171.2325
728.824707	89.335	171.4614
734.106079	89.309	171.6884
739.425720	89.291	171.9478
744.783936	89.270	172.1893
750.180908	89.252	172.4460
755.617065	89.232	172.6949
761.092529	89.212	172.9396
766.607727	89.191	173.1989
772.162903	89.172	173.4483
777.758301	89.151	173.7498
783.394287	89.138	173.9759
789.071045	89.119	174.2590
794.789001	89.106	174.5296
800.548340	89.085	174.7832
806.349487	89.071	175.0750
812.192627	89.058	175.3446
818.078125	89.044	175.6035
824.006226	89.034	175.8703
829.977295	89.019	176.1535
835.991699	89.010	176.4503
842.049622	89.001	176.7539
848.151428	88.991	177.0200
854.297485	88.981	177.2797
860.488098	88.978	177.5705
866.723572	88.973	177.8549
873.004211	88.969	178.1233
879.330322	88.964	178.4095
885.702332	88.959	178.6677
892.120483	88.954	178.9322
898.585144	88.954	179.2137
905.096680	88.955	179.4770
911.655396	88.950	179.7397
918.261597	88.961	-179.9863
924.915710	88.959	-179.7347
931.618042	88.960	-179.4883
938.368896	88.965	-179.2290
945.168762	88.970	-179.0024
952.017822	88.974	-178.7448
958.916504	88.977	-178.4932
965.865234	88.987	-178.3037
972.864319	88.995	-178.0527
979.914062	89.008	-177.8604
987.014954	89.023	-177.6328
994.167236	89.032	-177.4472
1001.371399	89.044	-177.2277
1008.627747	89.052	-177.0034
1015.936646	89.069	-176.8738
1023.298584	89.083	-176.6700
1030.713867	89.093	-176.4974
1038.182739	89.106	-176.3203
1045.705933	89.120	-176.1695
1053.283447	89.132	-176.0554
1060.916016	89.140	-175.8682
1068.603882	89.155	-175.7243
1076.347412	89.169	-175.6034
1084.147095	89.171	-175.4516
1092.003296	89.174	-175.3347
1099.916382	89.181	-175.1979
1107.886841	89.180	-175.1008
1115.915039	89.179	-174.9809
1124.001343	89.175	-174.8966
1132.146362	89.178	-174.7504
1140.350342	89.177	-174.6342
1148.613770	89.174	-174.5250
1156.937134	89.173	-174.4296
1165.320801	89.170	-174.3426
1173.765137	89.158	-174.2071
1182.270752	89.159	-174.1297
1190.838013	89.154	-174.0187
1199.467285	89.143	-173.8968
1208.159180	89.140	-173.8235
1216.913940	89.142	-173.7258
1225.732178	89.158	-173.5734
1234.614380	89.171	-173.4998
1243.560913	89.186	-173.4017
1252.572266	89.198	-173.2517
1261.648926	89.204	-173.1445
1270.791382	89.219	-173.0129
1280.000000	89.227	-172.8864
1289.275391	89.237	-172.7780
1298.618042	89.251	-172.6517
1308.028320	89.255	-172.5185
1317.506836	89.266	-172.3847
1327.054077	89.280	-172.2422
1336.670410	89.291	-172.0793
1346.356567	89.297	-171.9701
1356.112793	89.310	-171.8243
1365.939697	89.366	-171.6794
1375.837891	89.382	-171.5450
1385.807739	89.398	-171.4051
1395.849854	89.414	-171.2497
1405.964844	89.424	-171.0971
1416.152954	89.445	-170.9604
1426.415039	89.457	-170.8265
1436.751465	89.471	-170.6979
1447.162720	89.485	-170.5513
1457.649414	89.504	-170.3747
1468.212158	89.514	-170.2637
1478.851440	89.527	-170.0976
1489.567871	89.542	-169.9569
1500.361816	89.554	-169.8501
1511.234131	89.564	-169.7031
1522.185059	89.578	-169.5559
1533.215454	89.577	-169.4068
1544.325806	89.576	-169.2216
1555.516602	89.578	-169.1038
1566.788574	89.577	-168.9415
1578.142090	89.570	-168.7875
1589.578003	89.569	-168.6199
1601.096680	89.566	-168.4385
1612.698975	89.561	-168.2559
1624.385254	89.555	-168.0953
1636.156250	89.552	-167.9171
1648.012451	89.545	-167.7254
1659.954590	89.541	-167.5396
1671.983398	89.533	-167.3510
1684.099243	89.531	-167.1270
1696.302856	89.527	-166.9374
1708.594971	89.519	-166.7077
1720.976196	89.516	-166.4808
1733.447144	89.513	-166.2281
1746.008423	89.506	-166.0262
1758.660645	89.503	-165.7538
1771.404663	89.502	-165.5243
1784.240967	89.500	-165.2560
1797.170288	89.500	-165.0045
1810.193359	89.501	-164.7344
1823.310791	89.494	-164.4768
1836.523193	89.495	-164.1995
1849.831421	89.494	-163.9343
1863.236084	89.496	-163.6424
1876.737793	89.500	-163.3680
1890.337524	89.501	-163.0473
1904.035645	89.502	-162.7172
1917.833008	89.507	-162.4269
1931.730469	89.515	-162.1005
1945.728638	89.517	-161.8013
1959.828125	89.521	-161.4484
1974.029907	89.532	-161.1548
1988.334473	89.533	-160.7907
2002.742798	89.543	-160.4470
2017.255493	89.554	-160.1015
2031.873291	89.561	-159.7858
2046.597168	89.573	-159.4248
2061.427734	89.578	-159.1277
2076.365479	89.595	-158.7211
2091.411865	89.608	-158.3584
2106.566895	89.624	-158.0224
2121.832031	89.642	-157.6684
2137.207764	89.666	-157.2977
2152.694824	89.682	-156.9405
2168.294189	89.700	-156.5744
2184.006592	89.724	-156.2081
2199.832764	89.747	-155.8270
2215.773682	89.776	-155.4658
2231.830078	89.803	-155.1056
2248.002686	89.828	-154.7559
2264.292725	89.856	-154.3565
2280.700684	89.888	-153.9910
2297.227539	89.920	-153.6272
2313.874268	89.952	-153.2543
2330.641602	89.989	-152.9201
2347.530273	90.028	-152.5236
2364.541504	90.068	-152.1908
2381.676025	90.107	-151.8199
2398.934570	90.149	-151.4799
2416.318359	90.196	-151.1776
2433.827881	90.240	-150.8017
2451.464355	90.289	-150.4580
2469.228760	90.340	-150.1336
2487.121826	90.395	-149.7920
2505.144531	90.443	-149.5077
2523.297852	90.496	-149.1954
2541.582764	90.559	-148.9120
2560.000000	90.618	-148.5907
2578.550781	90.677	-148.3374
2597.236084	90.743	-148.0586
2616.056641	90.805	-147.7917
2635.013672	90.871	-147.5619
2654.108154	90.941	-147.3397
2673.340820	91.011	-147.1072
2692.713135	91.080	-146.9065
2712.225586	91.153	-146.7325
2731.879395	91.228	-146.5822
2751.675781	91.305	-146.4257
2771.615479	91.380	-146.2771
2791.699707	91.466	-146.2154
2811.929688	91.546	-146.0998
2832.305908	91.624	-146.0572
2852.830078	91.707	-146.0172
2873.502930	91.787	-146.0238
2894.325439	91.870	-146.0365
2915.298828	91.957	-146.0964
2936.424316	92.040	-146.1764
2957.702881	92.124	-146.2684
2979.135742	92.203	-146.4603
3000.723633	92.285	-146.5295
3022.468262	92.372	-146.8056
3044.370117	92.451	-147.0706
3066.430908	92.530	-147.3344
3088.651611	92.604	-147.6538
3111.033203	92.673	-148.0206
3133.577148	92.743	-148.4369
3156.284180	92.809	-148.8631
3179.156006	92.867	-149.3311
3202.193359	92.922	-149.8572
3225.397949	92.969	-150.3853
3248.770508	93.009	-150.9739
3272.312500	93.045	-151.5704
3296.024902	93.071	-152.2262
3319.909180	93.089	-152.8785
3343.966797	93.101	-153.5493
3368.198486	93.104	-154.2211
3392.605713	93.095	-154.9228
3417.189941	93.078	-155.6389
3441.952393	93.054	-156.3522
3466.894287	93.016	-157.0485
3492.016846	92.973	-157.7724
3517.321289	92.911	-158.4318
3542.809326	92.850	-159.0597
3568.481934	92.769	-159.7650
3594.340576	92.684	-160.3835
3620.386719	92.585	-160.9533
3646.621582	92.477	-161.4892
3673.046387	92.359	-161.9589
3699.662842	92.235	-162.3691
3726.472168	92.106	-162.7172
3753.475586	91.962	-163.0606
3780.675049	91.813	-163.2653
3808.071289	91.665	-163.3553
3835.666016	91.512	-163.4495
3863.460938	91.355	-163.4364
3891.457275	91.191	-163.3657
3919.656250	91.038	-163.1803
3948.059814	90.877	-162.9113
3976.668945	90.716	-162.5933
4005.485596	90.556	-162.1825
4034.510986	90.403	-161.7379
4063.746582	90.251	-161.1262
4093.194336	90.100	-160.4673
4122.855469	89.958	-159.7592
4152.730957	89.806	-158.9949
4182.823730	89.687	-158.1492
4213.133789	89.563	-157.2560
4243.664062	89.447	-156.2062
