* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 4:35:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BLON BL03 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.141	158.0333
20.299999	102.119	157.7477
20.600000	102.092	157.4548
20.900000	102.061	157.1758
21.200001	102.028	156.9155
21.400000	102.007	156.7571
21.799999	101.969	156.4666
22.000000	101.953	156.3210
22.400000	101.924	155.9883
22.700001	101.902	155.7059
23.000000	101.876	155.4033
23.299999	101.846	155.0969
23.600000	101.813	154.8133
24.000000	101.769	154.4865
24.299999	101.741	154.2650
24.700001	101.711	153.9713
25.000000	101.691	153.7310
25.400000	101.665	153.3723
25.799999	101.633	153.0084
26.200001	101.597	152.6731
26.500000	101.569	152.4496
26.900000	101.533	152.1870
27.200001	101.508	151.9933
27.600000	101.477	151.7163
28.000000	101.445	151.4173
28.500000	101.400	151.0248
29.000000	101.348	150.6535
29.500000	101.294	150.3116
30.000000	101.241	149.9971
30.400000	101.203	149.7427
30.700001	101.175	149.5489
31.100000	101.136	149.2844
31.500000	101.096	149.0202
32.000000	101.044	148.7178
32.500000	100.995	148.4488
33.000000	100.953	148.1879
33.500000	100.913	147.8904
34.000000	100.871	147.5599
34.500000	100.829	147.2285
35.000000	100.784	146.9316
35.500000	100.742	146.6547
36.000000	100.701	146.3727
36.500000	100.657	146.0803
37.000000	100.608	145.8136
37.500000	100.558	145.5907
38.200001	100.497	145.3159
38.700001	100.455	145.0835
39.500000	100.379	144.6441
40.000000	100.324	144.3929
40.599998	100.260	144.1444
41.200001	100.204	143.8993
41.799999	100.149	143.6098
42.500000	100.077	143.2707
43.099998	100.016	143.0356
43.700001	99.963	142.8065
44.400002	99.901	142.4901
45.000000	99.841	142.2228
