* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 4:33:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BLON BL03 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.263	158.5589
20.299999	101.241	158.3066
20.600000	101.220	158.0505
20.900000	101.198	157.7983
21.200001	101.176	157.5413
21.400000	101.162	157.3715
21.799999	101.135	157.0414
22.000000	101.121	156.8785
22.400000	101.094	156.5413
22.700001	101.074	156.2882
23.000000	101.054	156.0328
23.299999	101.032	155.7693
23.600000	101.009	155.5073
24.000000	100.977	155.1664
24.299999	100.953	154.9156
24.700001	100.921	154.5929
25.000000	100.897	154.3594
25.400000	100.865	154.0509
25.799999	100.833	153.7542
26.200001	100.801	153.4619
26.500000	100.777	153.2439
26.900000	100.744	152.9622
27.200001	100.716	152.7524
27.600000	100.680	152.4734
28.000000	100.643	152.2013
28.500000	100.597	151.8623
29.000000	100.549	151.5322
29.500000	100.500	151.2086
30.000000	100.451	150.9055
30.400000	100.415	150.6671
30.700001	100.389	150.4897
31.100000	100.354	150.2449
31.500000	100.319	149.9873
32.000000	100.270	149.6679
32.500000	100.219	149.3702
33.000000	100.171	149.1010
33.500000	100.124	148.8269
34.000000	100.080	148.5287
34.500000	100.039	148.2100
35.000000	99.994	147.9077
35.500000	99.952	147.6318
36.000000	99.913	147.3660
36.500000	99.877	147.0816
37.000000	99.839	146.7881
37.500000	99.797	146.5098
38.200001	99.739	146.1772
38.700001	99.697	145.9502
39.500000	99.629	145.5612
40.000000	99.582	145.3291
40.599998	99.523	145.0889
41.200001	99.468	144.8705
41.799999	99.414	144.6394
42.500000	99.348	144.3632
43.099998	99.293	144.1411
43.700001	99.240	143.9088
44.400002	99.177	143.6067
45.000000	99.119	143.3560
45.500000	99.070	143.1714
46.200001	99.008	142.9209
46.799999	98.957	142.6808
47.500000	98.890	142.4175
48.200001	98.827	142.2078
48.700001	98.788	142.0464
49.400002	98.729	141.7679
50.000000	98.668	141.5596
50.799999	98.593	141.4066
51.500000	98.547	141.2323
52.200001	98.495	140.9277
53.000000	98.412	140.6184
53.799999	98.333	140.4467
54.500000	98.275	140.2742
55.200001	98.215	140.0633
56.000000	98.144	139.8412
57.000000	98.056	139.5784
58.000000	97.972	139.3578
59.000000	97.891	139.0867
60.000000	97.792	138.8527
60.799999	97.727	138.7211
61.500000	97.672	138.5421
62.200001	97.608	138.3837
63.000000	97.541	138.2776
