* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 5:01:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Biento L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.396	-25.8110
20.299999	96.334	-26.0617
20.600000	96.282	-26.2581
20.900000	96.240	-26.4312
21.200001	96.208	-26.6279
21.400000	96.191	-26.7812
21.799999	96.158	-27.1368
22.000000	96.140	-27.3367
22.400000	96.096	-27.7698
22.700001	96.056	-28.0834
23.000000	96.010	-28.3627
23.299999	95.962	-28.6040
23.600000	95.915	-28.8043
24.000000	95.857	-29.0307
24.299999	95.818	-29.2004
24.700001	95.766	-29.4426
25.000000	95.725	-29.6296
25.400000	95.664	-29.8663
25.799999	95.602	-30.0530
26.200001	95.544	-30.2069
26.500000	95.503	-30.3264
26.900000	95.449	-30.5063
27.200001	95.403	-30.6572
27.600000	95.338	-30.8483
28.000000	95.271	-30.9834
28.500000	95.199	-31.0970
29.000000	95.144	-31.2615
29.500000	95.088	-31.5717
30.000000	95.010	-31.9447
30.400000	94.933	-32.1776
30.700001	94.872	-32.2679
31.100000	94.798	-32.2880
31.500000	94.740	-32.2602
32.000000	94.688	-32.2789
32.500000	94.642	-32.4359
33.000000	94.583	-32.6817
33.500000	94.503	-32.9173
34.000000	94.418	-33.0615
34.500000	94.343	-33.1341
35.000000	94.279	-33.1972
35.500000	94.220	-33.3023
36.000000	94.158	-33.4248
36.500000	94.093	-33.5227
37.000000	94.032	-33.5837
37.500000	93.978	-33.6476
38.200001	93.901	-33.7717
38.700001	93.838	-33.8548
39.500000	93.733	-33.8914
40.000000	93.673	-33.8615
40.599998	93.607	-33.8154
41.200001	93.546	-33.7942
41.799999	93.483	-33.8066
42.500000	93.401	-33.8183
43.099998	93.328	-33.7867
43.700001	93.260	-33.7303
44.400002	93.189	-33.6848
45.000000	93.132	-33.7132
45.500000	93.078	-33.7943
46.200001	92.982	-33.8765
46.799999	92.894	-33.7620
47.500000	92.831	-33.4839
48.200001	92.808	-33.4430
48.700001	92.779	-33.6297
49.400002	92.687	-33.8717
50.000000	92.592	-33.7966
50.799999	92.508	-33.4764
51.500000	92.460	-33.3455
52.200001	92.396	-33.2772
53.000000	92.321	-33.0367
53.799999	92.277	-32.8320
54.500000	92.230	-32.8218
55.200001	92.162	-32.7743
56.000000	92.093	-32.6085
57.000000	92.017	-32.5280
58.000000	91.917	-32.4105
59.000000	91.828	-32.1665
60.000000	91.749	-31.9149
60.799999	91.707	-31.7530
61.500000	91.670	-31.7471
62.200001	91.610	-31.7605
63.000000	91.530	-31.5575
64.000000	91.480	-31.1855
65.000000	91.435	-31.1239
66.000000	91.357	-30.9362
67.000000	91.310	-30.7409
68.000000	91.227	-30.6788
69.000000	91.159	-30.3065
70.000000	91.125	-30.2490
71.000000	91.039	-30.1817
72.000000	90.982	-29.9102
73.000000	90.926	-29.7644
74.000000	90.880	-29.4979
75.000000	90.833	-29.4451
76.199997	90.746	-29.0393
77.500000	90.712	-28.8625
78.800003	90.599	-28.5446
80.000000	90.570	-28.1763
81.199997	90.500	-28.1058
82.500000	90.436	-27.7623
83.800003	90.390	-27.5306
85.000000	90.333	-27.4146
86.199997	90.264	-26.9554
87.500000	90.264	-26.7448
88.500000	90.203	-26.7152
90.000000	90.131	-26.3511
91.199997	90.086	-25.9876
92.500000	90.054	-25.8668
93.800003	89.995	-25.5112
95.000000	89.965	-25.3410
96.199997	89.921	-25.0479
97.500000	89.884	-24.8669
98.800003	89.837	-24.5064
100.000000	89.820	-24.3286
101.500000	89.748	-24.1887
103.000000	89.707	-23.7061
104.400002	89.667	-23.6190
106.000000	89.628	-23.2025
107.500000	89.584	-23.0479
109.000000	89.554	-22.7260
110.599998	89.506	-22.4474
112.000000	89.461	-22.1618
113.800003	89.418	-21.8827
115.000000	89.379	-21.6603
117.199997	89.340	-21.1671
118.000000	89.345	-21.2297
120.599998	89.261	-20.8503
122.000000	89.223	-20.4831
124.099998	89.188	-20.0002
125.000000	89.168	-19.8080
126.500000	89.148	-19.3721
128.000000	89.112	-19.1071
131.500000	89.047	-18.4577
132.000000	89.051	-18.4369
134.000000	89.005	-18.2501
136.000000	88.918	-17.7206
138.000000	88.959	-17.5763
140.000000	88.914	-17.0230
143.000000	88.890	-16.4997
145.000000	88.863	-16.3934
147.500000	88.847	-16.1677
150.000000	88.827	-15.6108
152.500000	88.779	-15.3620
155.000000	88.700	-15.1791
157.500000	88.628	-15.2243
160.000000	88.705	-15.0120
162.500000	88.640	-14.0866
165.000000	88.631	-13.8269
167.500000	88.601	-13.4422
170.000000	88.573	-13.0574
172.500000	88.559	-12.8207
175.000000	88.498	-12.5264
177.500000	88.494	-12.2398
180.000000	88.499	-11.8917
182.500000	88.454	-11.4768
185.000000	88.445	-11.2142
187.500000	88.408	-11.0846
190.000000	88.378	-10.8237
192.500000	88.377	-10.4004
195.000000	88.353	-10.3218
197.500000	88.339	-9.6687
200.000000	88.302	-9.1516
203.000000	88.296	-9.3824
206.000000	88.244	-8.4994
209.000000	88.254	-7.8222
212.000000	88.275	-6.6663
214.000000	88.288	-7.0267
218.000000	88.440	-6.0683
220.000000	88.388	-5.6865
224.000000	88.510	-6.4306
227.000000	88.492	-6.2960
230.000000	88.495	-6.7140
233.000000	88.433	-6.4275
236.000000	88.357	-5.8173
240.000000	88.401	-5.6242
243.000000	88.366	-5.4307
247.000000	88.344	-5.5021
250.000000	88.305	-4.9679
254.000000	88.307	-5.0790
258.000000	88.244	-4.7605
262.000000	88.235	-4.1170
265.000000	88.225	-4.0135
269.000000	88.220	-3.6926
272.000000	88.210	-3.5227
276.000000	88.217	-3.3310
280.000000	88.211	-3.0889
285.000000	88.163	-2.2805
290.000000	88.153	-1.9520
295.000000	88.120	-1.5931
300.000000	88.141	-1.0874
304.000000	88.109	-0.8533
307.000000	88.118	-0.6935
311.000000	88.097	-0.3130
315.000000	88.071	-0.0837
320.000000	88.084	0.3113
325.000000	88.066	0.6257
330.000000	88.042	0.9890
335.000000	88.058	1.2637
340.000000	88.021	1.6382
345.000000	88.021	2.0272
350.000000	88.022	2.3194
355.000000	88.020	2.6090
360.000000	88.004	3.0070
365.000000	88.005	3.3125
370.000000	87.986	3.6555
375.000000	87.982	3.9895
382.000000	87.972	4.4317
387.000000	87.971	4.7623
395.000000	87.961	5.2616
400.000000	87.951	5.5434
406.000000	87.948	5.9067
412.000000	87.943	6.3168
418.000000	87.938	6.6526
425.000000	87.918	7.0830
431.000000	87.916	7.4926
437.000000	87.903	7.7949
444.000000	87.891	8.3129
450.000000	87.892	8.6283
455.000000	87.881	8.8780
462.000000	87.871	9.3329
468.000000	87.871	9.6462
475.000000	87.864	10.0561
482.000000	87.857	10.4679
487.000000	87.849	10.7734
494.000000	87.831	11.2140
500.000000	87.822	11.6071
508.000000	87.830	11.9557
515.000000	87.828	12.5667
522.000000	87.810	12.8860
530.000000	87.814	13.3427
538.000000	87.815	13.7754
545.000000	87.812	14.2614
552.000000	87.803	14.6628
560.000000	87.815	15.0770
570.000000	87.802	15.7075
580.000000	87.798	16.2623
590.000000	87.795	16.8750
600.000000	87.795	17.4729
608.000000	87.791	17.8670
615.000000	87.785	18.2793
622.000000	87.781	18.6448
630.000000	87.777	19.1250
640.000000	87.732	19.7594
650.000000	87.749	20.3523
660.000000	87.721	20.9656
670.000000	87.722	21.7973
680.000000	87.721	22.4537
690.000000	87.725	23.1837
700.000000	87.735	23.9007
710.000000	87.751	24.4620
720.000000	87.754	25.0822
730.000000	87.773	25.7448
740.000000	87.785	26.3084
750.000000	87.788	26.9025
762.000000	87.797	27.6188
775.000000	87.816	28.4652
788.000000	87.818	29.2010
800.000000	87.825	29.9765
812.000000	87.839	30.7014
825.000000	87.844	31.5071
838.000000	87.856	32.2880
850.000000	87.863	33.1003
862.000000	87.872	33.8852
875.000000	87.879	34.7520
885.000000	87.885	35.4543
900.000000	87.904	36.5555
912.000000	87.913	37.4596
925.000000	87.950	38.5078
938.000000	87.995	39.5795
950.000000	88.035	40.5151
962.000000	88.097	41.4691
975.000000	88.173	42.5246
988.000000	88.265	43.4974
1000.000000	88.361	44.3438
1015.000000	88.486	45.3366
1030.000000	88.623	46.1694
1044.000000	88.740	46.8847
1060.000000	88.878	47.6045
1075.000000	89.008	48.1738
1090.000000	89.119	48.6817
1106.000000	89.229	49.2077
1120.000000	89.328	49.5781
