* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 5:00:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Biento R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.249	-13.8230
20.299999	96.218	-13.7397
20.600000	96.226	-13.5912
20.900000	96.278	-13.5487
21.200001	96.358	-13.8125
21.400000	96.410	-14.1976
21.799999	96.474	-15.3604
22.000000	96.472	-16.0424
22.400000	96.396	-17.3314
22.700001	96.295	-18.0100
23.000000	96.190	-18.3451
23.299999	96.112	-18.4339
23.600000	96.070	-18.4367
24.000000	96.066	-18.5762
24.299999	96.074	-18.8935
24.700001	96.062	-19.5180
25.000000	96.027	-19.9826
25.400000	95.962	-20.4249
25.799999	95.909	-20.6312
26.200001	95.889	-20.7794
26.500000	95.889	-20.9764
26.900000	95.886	-21.3965
27.200001	95.866	-21.7799
27.600000	95.815	-22.2506
28.000000	95.752	-22.5532
28.500000	95.687	-22.7247
29.000000	95.651	-22.8777
29.500000	95.624	-23.1754
30.000000	95.582	-23.5627
30.400000	95.536	-23.8505
30.700001	95.498	-24.0211
31.100000	95.450	-24.1974
31.500000	95.407	-24.3502
32.000000	95.362	-24.5554
32.500000	95.319	-24.8075
33.000000	95.273	-25.0909
33.500000	95.220	-25.3851
34.000000	95.166	-25.6634
34.500000	95.116	-25.9287
35.000000	95.065	-26.1795
35.500000	95.014	-26.4109
36.000000	94.962	-26.5962
36.500000	94.913	-26.7310
37.000000	94.873	-26.8419
37.500000	94.838	-26.9798
38.200001	94.785	-27.2292
38.700001	94.735	-27.4050
39.500000	94.650	-27.6071
40.000000	94.598	-27.6963
40.599998	94.541	-27.7815
41.200001	94.494	-27.8730
41.799999	94.455	-28.0733
42.500000	94.386	-28.4763
43.099998	94.292	-28.7258
43.700001	94.199	-28.6792
44.400002	94.147	-28.4982
45.000000	94.130	-28.5987
45.500000	94.096	-28.8294
46.200001	94.015	-29.0247
46.799999	93.959	-29.0235
47.500000	93.911	-29.1538
48.200001	93.828	-29.3711
48.700001	93.755	-29.3415
49.400002	93.691	-29.0691
50.000000	93.679	-29.0158
50.799999	93.633	-29.3351
51.500000	93.547	-29.4973
52.200001	93.475	-29.4391
53.000000	93.418	-29.4654
53.799999	93.347	-29.5441
54.500000	93.286	-29.5373
55.200001	93.232	-29.5682
56.000000	93.161	-29.6068
57.000000	93.083	-29.5590
58.000000	93.012	-29.5959
59.000000	92.931	-29.6094
60.000000	92.848	-29.5688
60.799999	92.792	-29.4894
61.500000	92.754	-29.4526
62.200001	92.710	-29.4780
63.000000	92.647	-29.4589
64.000000	92.577	-29.3173
65.000000	92.521	-29.2455
66.000000	92.450	-29.2170
67.000000	92.381	-29.0746
68.000000	92.327	-29.0227
69.000000	92.245	-29.0053
70.000000	92.181	-28.7574
71.000000	92.143	-28.7822
72.000000	92.057	-28.7880
73.000000	91.999	-28.5669
74.000000	91.952	-28.5212
75.000000	91.895	-28.4517
76.199997	91.827	-28.3475
77.500000	91.759	-28.1173
78.800003	91.700	-27.9854
80.000000	91.633	-27.8092
81.199997	91.574	-27.6556
82.500000	91.499	-27.4524
83.800003	91.449	-27.2685
85.000000	91.390	-27.1613
86.199997	91.341	-27.0245
87.500000	91.277	-26.8795
88.500000	91.238	-26.7165
90.000000	91.166	-26.5459
91.199997	91.119	-26.3060
92.500000	91.068	-26.1686
93.800003	91.019	-25.9698
95.000000	90.972	-25.8262
96.199997	90.928	-25.6385
97.500000	90.881	-25.4411
98.800003	90.825	-25.2257
100.000000	90.797	-24.9170
101.500000	90.749	-24.9330
103.000000	90.686	-24.6622
104.400002	90.629	-24.4157
106.000000	90.605	-24.1724
107.500000	90.540	-23.8895
109.000000	90.521	-23.7942
110.599998	90.444	-23.5036
112.000000	90.406	-23.4256
113.800003	90.364	-23.0882
115.000000	90.318	-22.9939
117.199997	90.276	-22.6758
118.000000	90.235	-22.4896
120.599998	90.174	-22.1537
122.000000	90.155	-21.8086
124.099998	90.092	-21.5886
125.000000	90.086	-21.4587
126.500000	90.045	-21.3465
128.000000	90.006	-20.9487
131.500000	89.947	-20.5056
132.000000	89.948	-20.4802
134.000000	89.885	-20.2091
136.000000	89.861	-20.0470
138.000000	89.816	-19.6214
140.000000	89.788	-19.3967
143.000000	89.739	-19.0225
145.000000	89.714	-18.7689
147.500000	89.666	-18.4882
150.000000	89.654	-18.1120
152.500000	89.598	-17.7593
155.000000	89.551	-17.4825
157.500000	89.511	-17.2027
160.000000	89.468	-16.8981
162.500000	89.442	-16.5877
165.000000	89.403	-16.2428
167.500000	89.366	-15.9537
170.000000	89.322	-15.6356
172.500000	89.297	-15.4050
175.000000	89.265	-15.1380
177.500000	89.251	-14.7899
180.000000	89.211	-14.5507
182.500000	89.182	-14.2846
185.000000	89.165	-14.0448
187.500000	89.143	-13.8159
190.000000	89.131	-13.5441
192.500000	89.115	-13.2003
195.000000	89.090	-12.8720
197.500000	89.064	-12.6783
200.000000	89.055	-12.4339
203.000000	89.043	-12.0855
206.000000	89.023	-11.7752
209.000000	89.001	-11.5182
212.000000	88.993	-11.2552
214.000000	88.982	-11.0032
218.000000	88.961	-10.6595
220.000000	88.952	-10.5069
224.000000	88.927	-10.1382
227.000000	88.908	-9.9196
