* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 20 Jun, 2022 4:23:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA+ L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.328	-158.9174
20.600000	96.361	-159.3994
20.900000	96.386	-159.8239
21.200001	96.411	-160.2504
21.400000	96.429	-160.5354
21.799999	96.466	-161.0977
22.000000	96.485	-161.3736
22.400000	96.524	-161.9164
22.700001	96.553	-162.2966
23.000000	96.583	-162.6547
23.299999	96.612	-163.0052
23.600000	96.640	-163.3499
24.000000	96.675	-163.8108
24.299999	96.699	-164.1656
24.700001	96.727	-164.6432
25.000000	96.745	-164.9999
25.400000	96.768	-165.4783
25.799999	96.792	-165.9539
26.200001	96.817	-166.4341
26.500000	96.835	-166.7916
26.900000	96.855	-167.2408
27.200001	96.867	-167.5532
27.600000	96.885	-167.9396
28.000000	96.906	-168.3091
28.500000	96.931	-168.8035
29.000000	96.947	-169.3405
29.500000	96.952	-169.8794
30.000000	96.954	-170.3595
30.400000	96.964	-170.7169
30.700001	96.977	-170.9853
31.100000	96.997	-171.3658
31.500000	97.014	-171.7680
32.000000	97.026	-172.2468
32.500000	97.031	-172.6577
33.000000	97.039	-173.0205
33.500000	97.051	-173.4131
34.000000	97.063	-173.8656
34.500000	97.074	-174.3431
35.000000	97.079	-174.7759
35.500000	97.084	-175.1420
36.000000	97.093	-175.4650
36.500000	97.101	-175.7894
37.000000	97.108	-176.1330
37.500000	97.112	-176.4985
38.200001	97.114	-177.0139
38.700001	97.116	-177.3724
39.500000	97.125	-177.9190
40.000000	97.131	-178.2534
40.599998	97.133	-178.6603
41.200001	97.130	-179.0708
41.799999	97.123	-179.4832
42.500000	97.116	-179.9676
43.099998	97.111	179.6216
43.700001	97.104	179.2360
44.400002	97.097	178.8328
45.000000	97.094	178.4992
45.500000	97.092	178.2005
46.200001	97.083	177.7693
46.799999	97.073	177.4376
47.500000	97.067	177.0984
48.200001	97.069	176.7219
48.700001	97.064	176.4143
49.400002	97.045	176.0084
50.000000	97.023	175.7296
50.799999	97.004	175.3898
51.500000	96.999	175.0399
52.200001	96.998	174.6349
53.000000	96.990	174.1839
53.799999	96.972	173.8415
54.500000	96.958	173.5338
55.200001	96.937	173.1253
56.000000	96.907	172.7136
57.000000	96.906	172.3175
58.000000	96.866	171.8831
59.000000	96.803	171.7764
60.000000	96.806	171.2579
60.799999	96.793	170.6420
61.500000	96.780	170.3673
62.200001	96.777	170.1361
63.000000	96.741	169.7530
64.000000	96.676	169.4183
65.000000	96.667	169.0782
66.000000	96.658	168.6170
67.000000	96.619	168.2211
68.000000	96.572	167.9182
69.000000	96.547	167.6201
70.000000	96.521	167.3171
71.000000	96.499	167.0854
72.000000	96.481	166.7744
73.000000	96.458	166.4200
74.000000	96.431	166.0891
75.000000	96.399	165.8145
76.199997	96.360	165.4084
77.500000	96.310	164.9382
78.800003	96.283	164.6432
80.000000	96.249	164.3091
81.199997	96.202	163.9735
82.500000	96.177	163.5266
83.800003	96.117	163.1673
85.000000	96.082	162.9350
86.199997	96.042	162.6066
87.500000	96.002	162.3040
88.500000	95.964	162.0460
90.000000	95.912	161.7259
91.199997	95.874	161.4704
92.500000	95.832	161.1868
93.800003	95.781	160.8979
95.000000	95.743	160.6981
96.199997	95.707	160.3986
97.500000	95.661	160.1296
98.800003	95.621	159.8995
100.000000	95.580	159.6767
101.500000	95.517	159.3776
103.000000	95.474	159.1305
104.400002	95.427	158.9341
106.000000	95.371	158.6172
107.500000	95.321	158.3509
109.000000	95.263	158.1708
110.599998	95.214	157.8660
112.000000	95.161	157.6400
113.800003	95.106	157.4495
115.000000	95.052	157.3112
117.199997	94.981	156.9780
118.000000	94.955	156.9018
120.599998	94.860	156.5698
122.000000	94.825	156.3971
124.099998	94.749	156.1788
125.000000	94.723	156.0526
126.500000	94.673	155.9308
128.000000	94.612	155.7532
131.500000	94.510	155.4154
132.000000	94.488	155.3608
134.000000	94.426	155.1851
136.000000	94.358	155.0350
138.000000	94.292	154.8617
140.000000	94.230	154.7129
143.000000	94.132	154.4962
145.000000	94.067	154.3508
147.500000	93.985	154.2115
150.000000	93.905	154.1044
152.500000	93.825	153.9625
155.000000	93.744	153.8969
157.500000	93.648	153.7441
160.000000	93.572	153.6100
162.500000	93.494	153.5254
165.000000	93.410	153.4944
167.500000	93.334	153.3907
170.000000	93.253	153.3496
172.500000	93.182	153.2908
175.000000	93.108	153.2419
177.500000	93.039	153.2000
180.000000	92.969	153.1941
182.500000	92.894	153.2086
185.000000	92.826	153.1402
187.500000	92.753	153.1987
190.000000	92.695	153.1244
192.500000	92.633	153.1736
195.000000	92.573	153.1780
197.500000	92.506	153.1800
200.000000	92.447	153.2253
203.000000	92.370	153.2607
206.000000	92.302	153.2688
209.000000	92.229	153.2848
212.000000	92.159	153.3849
214.000000	92.106	153.3600
218.000000	92.015	153.4705
220.000000	91.962	153.5471
224.000000	91.867	153.6537
227.000000	91.790	153.7312
230.000000	91.722	153.8633
233.000000	91.646	153.9695
236.000000	91.578	154.0603
240.000000	91.490	154.2398
243.000000	91.415	154.4426
247.000000	91.346	154.5694
250.000000	91.287	154.7393
254.000000	91.215	154.9061
258.000000	91.137	155.1404
262.000000	91.057	155.3661
265.000000	91.004	155.4909
269.000000	90.938	155.6840
272.000000	90.878	155.8358
276.000000	90.803	156.0428
280.000000	90.732	156.2524
285.000000	90.639	156.5302
290.000000	90.544	156.8008
295.000000	90.455	157.1139
300.000000	90.369	157.4426
304.000000	90.298	157.7229
307.000000	90.245	157.9037
311.000000	90.185	158.2277
315.000000	90.119	158.5016
320.000000	90.043	158.8484
325.000000	89.975	159.1757
330.000000	89.902	159.4902
335.000000	89.838	159.8153
340.000000	89.764	160.1758
345.000000	89.701	160.4909
350.000000	89.635	160.8041
355.000000	89.565	161.1360
360.000000	89.499	161.4804
365.000000	89.436	161.8451
370.000000	89.371	162.1760
375.000000	89.308	162.5625
382.000000	89.221	163.0891
387.000000	89.162	163.4351
395.000000	89.066	164.0750
400.000000	89.010	164.4242
406.000000	88.936	164.9342
412.000000	88.877	165.4030
418.000000	88.810	165.8815
425.000000	88.738	166.4646
431.000000	88.676	166.9530
437.000000	88.616	167.4494
444.000000	88.549	168.0510
450.000000	88.492	168.5181
455.000000	88.449	168.9325
462.000000	88.382	169.5339
468.000000	88.334	170.0427
475.000000	88.277	170.6350
482.000000	88.219	171.2196
487.000000	88.186	171.6572
494.000000	88.133	172.2580
500.000000	88.090	172.7722
508.000000	88.040	173.4719
515.000000	87.999	174.0816
522.000000	87.952	174.6774
530.000000	87.906	175.3939
538.000000	87.860	176.0942
545.000000	87.823	176.7216
552.000000	87.787	177.3293
560.000000	87.745	178.0566
570.000000	87.701	178.9123
580.000000	87.658	179.8379
590.000000	87.615	-179.2522
600.000000	87.583	-178.3184
608.000000	87.558	-177.6040
615.000000	87.533	-176.9743
622.000000	87.514	-176.3321
630.000000	87.493	-175.6002
640.000000	87.464	-174.6813
650.000000	87.443	-173.7518
660.000000	87.428	-172.8371
670.000000	87.412	-171.9121
680.000000	87.400	-170.9667
690.000000	87.388	-170.0762
700.000000	87.382	-169.1617
710.000000	87.379	-168.2489
720.000000	87.379	-167.3319
730.000000	87.387	-166.4247
740.000000	87.396	-165.5382
750.000000	87.403	-164.6399
762.000000	87.426	-163.5854
775.000000	87.451	-162.4579
788.000000	87.481	-161.3788
800.000000	87.513	-160.3875
812.000000	87.555	-159.4636
825.000000	87.591	-158.4974
838.000000	87.628	-157.5458
850.000000	87.651	-156.6325
862.000000	87.680	-155.6999
875.000000	87.727	-154.5713
885.000000	87.772	-153.7247
900.000000	87.861	-152.5061
912.000000	87.935	-151.6190
925.000000	88.022	-150.7021
938.000000	88.115	-149.8462
950.000000	88.200	-149.1206
962.000000	88.291	-148.4271
975.000000	88.390	-147.7054
988.000000	88.492	-147.0410
1000.000000	88.590	-146.4480
1015.000000	88.708	-145.7684
1030.000000	88.831	-145.1099
1044.000000	88.942	-144.5922
1060.000000	89.066	-144.0399
1075.000000	89.183	-143.5448
1090.000000	89.286	-143.1075
1106.000000	89.386	-142.6281
1120.000000	89.476	-142.2967
1138.000000	89.586	-141.9026
1150.000000	89.653	-141.6365
1172.000000	89.782	-141.2311
1180.000000	89.824	-141.1084
1206.000000	89.964	-140.7121
1220.000000	90.052	-140.5212
1241.000000	90.206	-140.2421
1250.000000	90.267	-140.1286
1265.000000	90.366	-139.9568
1280.000000	90.464	-139.8072
1315.000000	90.675	-139.5149
1320.000000	90.706	-139.4619
1340.000000	90.810	-139.3179
1360.000000	90.954	-139.1680
1380.000000	91.060	-139.0228
1400.000000	91.150	-138.8702
1430.000000	91.272	-138.5694
1450.000000	91.345	-138.3086
1475.000000	91.430	-137.8980
1500.000000	91.511	-137.3619
1525.000000	91.603	-136.7504
1550.000000	91.677	-136.0062
1575.000000	91.770	-135.2657
1600.000000	91.883	-134.4493
1625.000000	92.009	-133.6981
1650.000000	92.150	-133.0305
1675.000000	92.304	-132.4144
1700.000000	92.465	-131.8775
1725.000000	92.626	-131.4134
1750.000000	92.796	-131.0190
1775.000000	92.965	-130.7226
1800.000000	93.134	-130.4713
1825.000000	93.301	-130.2803
1850.000000	93.465	-130.1649
1875.000000	93.633	-130.0963
1900.000000	93.792	-130.0769
1925.000000	93.956	-130.1022
1950.000000	94.106	-130.1770
1975.000000	94.257	-130.3171
2000.000000	94.407	-130.5134
2030.000000	94.578	-130.7679
2060.000000	94.742	-131.0981
2090.000000	94.903	-131.4799
2120.000000	95.048	-131.9445
2140.000000	95.145	-132.2696
2180.000000	95.324	-132.9733
2200.000000	95.405	-133.3781
2240.000000	95.556	-134.1877
2270.000000	95.658	-134.8297
2300.000000	95.746	-135.5028
2330.000000	95.829	-136.2187
2360.000000	95.899	-136.9104
2400.000000	95.974	-137.8640
2430.000000	96.019	-138.5710
2470.000000	96.063	-139.4897
2500.000000	96.084	-140.1671
2540.000000	96.098	-141.0169
2580.000000	96.099	-141.8322
2620.000000	96.085	-142.6136
2650.000000	96.064	-143.1453
2690.000000	96.028	-143.7993
2720.000000	95.996	-144.2180
2760.000000	95.943	-144.7457
2800.000000	95.886	-145.1810
2850.000000	95.806	-145.6120
2900.000000	95.721	-145.9165
2950.000000	95.634	-146.1117
3000.000000	95.546	-146.1869
3040.000000	95.478	-146.2047
3070.000000	95.431	-146.1491
3110.000000	95.364	-146.0399
3150.000000	95.303	-145.8870
3200.000000	95.228	-145.6115
3250.000000	95.163	-145.3024
3300.000000	95.104	-144.9007
3350.000000	95.055	-144.4610
3400.000000	95.010	-144.0134
3450.000000	94.981	-143.4982
3500.000000	94.960	-142.9793
3550.000000	94.949	-142.4583
3600.000000	94.948	-141.9258
3650.000000	94.954	-141.3960
3700.000000	94.971	-140.8944
3750.000000	95.000	-140.3925
3820.000000	95.045	-139.7471
3870.000000	95.091	-139.3440
3950.000000	95.173	-138.7850
4000.000000	95.232	-138.5054
4060.000000	95.303	-138.2777
4120.000000	95.380	-138.1421
4180.000000	95.460	-138.0801
4250.000000	95.558	-138.1452
4310.000000	95.636	-138.3895
4370.000000	95.720	-138.7499
4440.000000	95.795	-139.3650
4500.000000	95.848	-140.0389
4550.000000	95.870	-140.7096
4620.000000	95.874	-141.7621
4680.000000	95.847	-142.7427
4750.000000	95.772	-143.9043
4820.000000	95.655	-145.0840
4870.000000	95.540	-145.8631
4940.000000	95.339	-146.8764
5000.000000	95.132	-147.5763
5080.000000	94.826	-148.3885
5150.000000	94.526	-148.8152
5220.000000	94.210	-149.0202
5300.000000	93.832	-149.0244
5380.000000	93.414	-148.8730
5450.000000	92.920	-148.2382
5520.000000	92.585	-146.1439
5600.000000	92.242	-144.8117
5700.000000	91.729	-142.3677
5800.000000	91.363	-138.9109
5900.000000	91.103	-135.9131
6000.000000	90.842	-132.9363
6080.000000	90.637	-130.4943
6150.000000	90.493	-128.2403
6220.000000	90.358	-125.8753
6300.000000	90.242	-123.0655
6400.000000	90.128	-119.4403
6500.000000	90.064	-115.7931
6600.000000	90.037	-111.9569
6700.000000	90.057	-108.1209
6800.000000	90.122	-104.0806
6900.000000	90.282	-99.9595
7000.000000	90.546	-95.6028
7100.000000	90.941	-91.0826
7200.000000	91.463	-86.6311
7300.000000	92.137	-82.5389
7400.000000	92.959	-79.0864
7500.000000	93.932	-76.4525
7620.000000	95.284	-75.0447
7750.000000	97.010	-76.5737
7880.000000	98.502	-82.7108
8000.000000	99.428	-92.8674
8120.000000	99.480	-104.7863
8250.000000	98.660	-115.1725
8380.000000	97.459	-120.9568
8500.000000	96.370	-123.0051
8620.000000	95.424	-123.0269
8750.000000	94.552	-121.8391
8850.000000	93.991	-120.4747
9000.000000	93.300	-118.1195
9120.000000	92.825	-116.1557
9250.000000	92.369	-114.0044
9380.000000	91.943	-111.7500
9500.000000	91.577	-109.6662
9620.000000	91.205	-107.3875
9750.000000	90.845	-104.7054
9880.000000	90.523	-101.6998
10000.000000	90.263	-98.7363
10150.000000	89.987	-94.8509
10300.000000	89.773	-90.4805
10440.000000	89.678	-86.3408
10600.000000	89.676	-81.1914
10750.000000	89.817	-76.2730
10900.000000	90.098	-71.4491
11060.000000	90.600	-66.6250
11200.000000	91.219	-62.9396
11380.000000	92.266	-59.3202
11500.000000	93.160	-58.1198
11720.000000	95.158	-60.3114
11800.000000	95.950	-63.3904
12060.000000	97.637	-84.9568
12200.000000	97.083	-99.8665
12410.000000	94.808	-114.0854
12500.000000	93.704	-116.7064
12650.000000	91.993	-117.8006
12800.000000	90.499	-116.2707
13150.000000	87.908	-107.2606
13200.000000	87.612	-105.6347
13400.000000	86.666	-98.5790
13600.000000	85.987	-91.1720
13800.000000	85.594	-83.5251
14000.000000	85.456	-75.8438
14300.000000	85.688	-64.3602
14500.000000	86.185	-56.9568
14750.000000	87.363	-49.3872
15000.000000	89.281	-45.5655
15250.000000	92.133	-57.2517
15500.000000	85.461	-100.0709
15750.000000	89.331	-28.6899
16000.000000	93.174	-53.3545
16250.000000	92.409	-75.8436
16500.000000	90.530	-84.1900
16750.000000	89.160	-85.2095
17000.000000	88.498	-84.7355
17250.000000	88.373	-86.8062
17500.000000	88.211	-94.5179
17750.000000	87.033	-106.9617
18000.000000	84.551	-116.7452
18250.000000	81.636	-119.6806
18500.000000	78.851	-116.5243
18750.000000	76.447	-110.0587
19000.000000	74.502	-101.7667
19250.000000	72.749	-92.1768
19500.000000	71.363	-82.1155
19750.000000	70.400	-72.1600
