* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 20 Jun, 2022 4:18:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA+ R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.263	-163.4064
20.600000	97.285	-163.8863
20.900000	97.301	-164.3031
21.200001	97.318	-164.7261
21.400000	97.332	-165.0158
21.799999	97.360	-165.6062
22.000000	97.375	-165.9036
22.400000	97.400	-166.4930
22.700001	97.417	-166.8981
23.000000	97.432	-167.2624
23.299999	97.448	-167.6012
23.600000	97.465	-167.9248
24.000000	97.490	-168.3648
24.299999	97.509	-168.7250
24.700001	97.530	-169.2440
25.000000	97.541	-169.6464
25.400000	97.551	-170.1788
25.799999	97.561	-170.6731
26.200001	97.574	-171.1364
26.500000	97.586	-171.4760
26.900000	97.601	-171.9225
27.200001	97.609	-172.2588
27.600000	97.616	-172.7018
28.000000	97.619	-173.1199
28.500000	97.622	-173.6151
29.000000	97.625	-174.0955
29.500000	97.628	-174.5818
30.000000	97.630	-175.0465
30.400000	97.633	-175.3954
30.700001	97.638	-175.6422
31.100000	97.646	-175.9732
31.500000	97.656	-176.3292
32.000000	97.664	-176.8106
32.500000	97.664	-177.3030
33.000000	97.658	-177.7542
33.500000	97.651	-178.1599
34.000000	97.650	-178.5397
34.500000	97.655	-178.9253
35.000000	97.658	-179.3136
35.500000	97.659	-179.7015
36.000000	97.658	179.9152
36.500000	97.655	179.5291
37.000000	97.650	179.1490
37.500000	97.645	178.7802
38.200001	97.639	178.2906
38.700001	97.633	177.9430
39.500000	97.621	177.3849
40.000000	97.611	177.0506
40.599998	97.599	176.6672
41.200001	97.588	176.2900
41.799999	97.576	175.9107
42.500000	97.558	175.4855
43.099998	97.545	175.1437
43.700001	97.535	174.7947
44.400002	97.524	174.3551
45.000000	97.512	173.9753
45.500000	97.500	173.6817
46.200001	97.485	173.3043
46.799999	97.474	172.9765
47.500000	97.455	172.5794
48.200001	97.432	172.1956
48.700001	97.417	171.9294
49.400002	97.396	171.5551
50.000000	97.379	171.2420
50.799999	97.357	170.8505
51.500000	97.342	170.5036
52.200001	97.322	170.1555
53.000000	97.297	169.8032
53.799999	97.276	169.4726
54.500000	97.256	169.1552
55.200001	97.229	168.8435
56.000000	97.198	168.5425
57.000000	97.173	168.1476
58.000000	97.140	167.6553
59.000000	97.096	167.3285
60.000000	97.077	166.9772
60.799999	97.049	166.5540
61.500000	97.012	166.2937
62.200001	96.992	166.1047
63.000000	96.975	165.7791
64.000000	96.931	165.4119
65.000000	96.910	165.1144
66.000000	96.882	164.5927
67.000000	96.822	164.2091
68.000000	96.783	163.9846
69.000000	96.759	163.6221
70.000000	96.717	163.2518
71.000000	96.678	162.9971
72.000000	96.645	162.6974
73.000000	96.607	162.4002
74.000000	96.570	162.1293
75.000000	96.530	161.8110
76.199997	96.478	161.4600
77.500000	96.435	161.1218
78.800003	96.390	160.7861
80.000000	96.338	160.4422
81.199997	96.288	160.2010
82.500000	96.245	159.8442
83.800003	96.187	159.5150
85.000000	96.151	159.2730
86.199997	96.102	159.0005
87.500000	96.046	158.7153
88.500000	96.010	158.4914
90.000000	95.951	158.1850
91.199997	95.904	157.9534
92.500000	95.854	157.6825
93.800003	95.803	157.4413
95.000000	95.757	157.2282
96.199997	95.714	156.9900
97.500000	95.659	156.7323
98.800003	95.607	156.5741
100.000000	95.562	156.3761
101.500000	95.499	156.1477
103.000000	95.437	155.9388
104.400002	95.390	155.6974
106.000000	95.334	155.4750
107.500000	95.266	155.2608
109.000000	95.212	155.0644
110.599998	95.146	154.8671
112.000000	95.094	154.6882
113.800003	95.021	154.4795
115.000000	94.975	154.3365
117.199997	94.888	154.1440
118.000000	94.851	154.0423
120.599998	94.764	153.8495
122.000000	94.700	153.7977
124.099998	94.625	153.5387
125.000000	94.600	153.5449
126.500000	94.547	153.4175
128.000000	94.505	153.3863
131.500000	94.384	153.0834
132.000000	94.371	153.0667
134.000000	94.306	152.9005
136.000000	94.234	152.7480
138.000000	94.158	152.6398
140.000000	94.089	152.5157
143.000000	93.986	152.4286
145.000000	93.918	152.3537
147.500000	93.839	152.2621
150.000000	93.764	152.1840
152.500000	93.691	152.0800
155.000000	93.595	151.9866
157.500000	93.517	151.8708
160.000000	93.448	151.8080
162.500000	93.359	151.7540
165.000000	93.272	151.6814
167.500000	93.187	151.6562
170.000000	93.104	151.6422
172.500000	93.027	151.5941
175.000000	92.954	151.5974
177.500000	92.879	151.6160
180.000000	92.806	151.6160
182.500000	92.731	151.6275
185.000000	92.660	151.6365
187.500000	92.588	151.6633
190.000000	92.517	151.7207
192.500000	92.454	151.7365
195.000000	92.389	151.8042
197.500000	92.325	151.8417
200.000000	92.261	151.9135
203.000000	92.185	151.9893
206.000000	92.112	152.0835
209.000000	92.037	152.1927
212.000000	91.972	152.2869
214.000000	91.917	152.3431
218.000000	91.819	152.4871
220.000000	91.769	152.5641
224.000000	91.672	152.7368
227.000000	91.598	152.8739
230.000000	91.531	153.0385
233.000000	91.463	153.1630
236.000000	91.394	153.3052
240.000000	91.305	153.5583
243.000000	91.239	153.6224
247.000000	91.159	153.9641
250.000000	91.109	154.0643
254.000000	91.026	154.3019
258.000000	90.946	154.5145
262.000000	90.869	154.7386
265.000000	90.810	154.9196
269.000000	90.737	155.1550
272.000000	90.681	155.3415
276.000000	90.603	155.6071
280.000000	90.528	155.8474
285.000000	90.436	156.1747
290.000000	90.346	156.5217
295.000000	90.260	156.8758
300.000000	90.176	157.2662
304.000000	90.106	157.5629
307.000000	90.056	157.7984
311.000000	89.992	158.1160
315.000000	89.932	158.4109
320.000000	89.858	158.7801
325.000000	89.785	159.1219
330.000000	89.711	159.5081
335.000000	89.637	159.8747
340.000000	89.563	160.2594
345.000000	89.492	160.6613
350.000000	89.426	161.0724
355.000000	89.364	161.4533
360.000000	89.300	161.8881
365.000000	89.237	162.3198
370.000000	89.181	162.7755
375.000000	89.131	163.2020
382.000000	89.058	163.7810
387.000000	89.009	164.1797
395.000000	88.925	164.8013
400.000000	88.874	165.1470
406.000000	88.811	165.6371
412.000000	88.753	166.1364
418.000000	88.690	166.6127
425.000000	88.620	167.1998
431.000000	88.559	167.6970
437.000000	88.503	168.2050
444.000000	88.439	168.8023
450.000000	88.389	169.3496
455.000000	88.338	169.7521
462.000000	88.280	170.3846
468.000000	88.232	170.8972
475.000000	88.179	171.5283
482.000000	88.126	172.1737
487.000000	88.098	172.5934
494.000000	88.050	173.2131
500.000000	88.009	173.7790
508.000000	87.964	174.4785
515.000000	87.926	175.0990
522.000000	87.890	175.7276
530.000000	87.848	176.4238
538.000000	87.808	177.1323
545.000000	87.777	177.7501
552.000000	87.744	178.3846
560.000000	87.711	179.1154
570.000000	87.668	180.0000
580.000000	87.633	-179.1125
590.000000	87.599	-178.1967
600.000000	87.567	-177.2793
608.000000	87.540	-176.5767
615.000000	87.517	-175.9448
622.000000	87.500	-175.3112
630.000000	87.482	-174.5677
640.000000	87.458	-173.6497
650.000000	87.435	-172.7433
660.000000	87.423	-171.8496
670.000000	87.410	-170.9087
680.000000	87.395	-169.9754
690.000000	87.389	-169.0743
700.000000	87.387	-168.1545
710.000000	87.382	-167.2364
720.000000	87.382	-166.3235
730.000000	87.386	-165.3951
740.000000	87.399	-164.5125
750.000000	87.410	-163.6013
762.000000	87.430	-162.5314
775.000000	87.450	-161.3952
788.000000	87.486	-160.2753
800.000000	87.517	-159.2190
812.000000	87.559	-158.2402
825.000000	87.612	-157.1763
838.000000	87.661	-156.1707
850.000000	87.715	-155.2521
862.000000	87.770	-154.3936
875.000000	87.832	-153.5170
885.000000	87.881	-152.8528
900.000000	87.940	-151.8845
912.000000	87.987	-151.0821
925.000000	88.046	-150.1199
938.000000	88.116	-149.1282
950.000000	88.187	-148.3092
962.000000	88.276	-147.5428
975.000000	88.375	-146.7017
988.000000	88.483	-145.9904
1000.000000	88.576	-145.3085
1015.000000	88.699	-144.6496
1030.000000	88.818	-143.9703
1044.000000	88.928	-143.4006
1060.000000	89.051	-142.7963
1075.000000	89.165	-142.2754
1090.000000	89.259	-141.7819
1106.000000	89.353	-141.2594
1120.000000	89.438	-140.8349
1138.000000	89.539	-140.3267
1150.000000	89.606	-139.9874
1172.000000	89.731	-139.3504
1180.000000	89.772	-139.1421
1206.000000	89.916	-138.4155
1220.000000	90.016	-138.0379
1241.000000	90.182	-137.5945
