* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Apr, 2022 9:36:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.771	-174.8649
20.600000	93.760	-175.3279
20.900000	93.747	-175.6759
21.200001	93.745	-176.0023
21.400000	93.752	-176.2371
21.799999	93.777	-176.7853
22.000000	93.791	-177.1107
22.400000	93.810	-177.8540
22.700001	93.809	-178.4170
23.000000	93.794	-178.9151
23.299999	93.772	-179.3167
23.600000	93.748	-179.6158
24.000000	93.725	-179.9061
24.299999	93.715	179.8856
24.700001	93.704	179.5535
25.000000	93.692	179.2526
25.400000	93.667	178.8087
25.799999	93.636	178.3892
26.200001	93.611	178.0243
26.500000	93.604	177.7778
26.900000	93.608	177.4637
27.200001	93.620	177.2111
27.600000	93.644	176.8303
28.000000	93.666	176.3972
28.500000	93.674	175.7844
29.000000	93.645	175.1558
29.500000	93.583	174.5961
30.000000	93.513	174.1600
30.400000	93.472	173.8386
30.700001	93.451	173.5678
31.100000	93.428	173.1319
31.500000	93.400	172.6461
32.000000	93.350	172.1198
32.500000	93.297	171.7864
33.000000	93.260	171.5614
33.500000	93.232	171.2778
34.000000	93.194	170.9404
34.500000	93.150	170.6818
35.000000	93.114	170.5350
35.500000	93.082	170.3671
36.000000	93.022	170.1666
36.500000	92.919	170.1701
37.000000	92.820	170.5902
37.500000	92.794	171.1948
38.200001	92.876	171.3857
38.700001	92.930	170.8733
39.500000	92.942	169.9507
40.000000	92.956	169.5869
40.599998	92.999	169.0798
41.200001	93.016	168.3930
41.799999	92.982	167.8495
42.500000	92.936	167.5803
43.099998	92.915	167.3643
43.700001	92.882	167.0056
44.400002	92.819	166.5767
45.000000	92.772	166.2836
45.500000	92.750	166.0228
46.200001	92.729	165.5775
46.799999	92.695	165.2122
47.500000	92.637	164.9654
48.200001	92.592	164.7861
48.700001	92.570	164.5215
49.400002	92.520	163.9876
50.000000	92.461	163.6786
50.799999	92.415	163.6031
51.500000	92.400	163.4727
52.200001	92.355	163.2034
53.000000	92.279	162.9926
53.799999	92.232	162.7890
54.500000	92.198	162.5161
55.200001	92.153	162.3060
56.000000	92.104	162.1639
57.000000	92.042	161.8933
58.000000	91.974	161.6318
59.000000	91.921	161.4221
60.000000	91.850	161.1748
60.799999	91.794	161.0373
61.500000	91.761	160.8824
62.200001	91.727	160.6960
63.000000	91.681	160.5494
64.000000	91.611	160.4070
65.000000	91.541	160.2801
66.000000	91.504	160.0580
67.000000	91.457	159.8355
68.000000	91.389	159.7921
69.000000	91.315	159.7132
70.000000	91.269	159.5624
71.000000	91.238	159.3162
72.000000	91.175	159.1957
73.000000	91.098	159.1531
74.000000	91.043	159.1308
75.000000	91.006	159.0159
76.199997	90.929	159.0272
77.500000	90.865	158.8073
78.800003	90.787	158.5912
80.000000	90.726	158.5612
81.199997	90.655	158.5817
82.500000	90.590	158.4272
83.800003	90.516	158.3829
85.000000	90.460	158.3547
86.199997	90.383	158.2322
87.500000	90.316	158.2014
88.500000	90.281	158.1038
90.000000	90.197	158.3074
91.199997	90.141	158.2245
92.500000	90.059	158.1603
93.800003	89.995	158.1748
95.000000	89.922	158.0677
96.199997	89.871	158.1671
97.500000	89.771	158.1273
98.800003	89.745	158.1588
100.000000	89.697	157.2315
101.500000	89.555	158.3598
103.000000	89.464	158.4932
104.400002	89.387	158.6202
106.000000	89.269	158.5680
107.500000	89.198	158.7823
109.000000	89.085	159.3143
110.599998	88.954	159.4446
112.000000	88.854	159.9935
113.800003	88.716	160.6016
115.000000	88.648	161.3635
117.199997	88.546	162.9919
118.000000	88.556	163.6124
120.599998	88.642	165.6101
122.000000	88.756	166.1209
124.099998	88.937	166.5679
125.000000	89.009	166.4536
126.500000	89.074	166.0740
128.000000	89.080	165.7237
131.500000	89.065	165.0692
132.000000	89.052	165.1403
134.000000	89.024	165.1978
136.000000	89.023	165.4432
138.000000	89.033	165.6371
140.000000	89.067	165.6171
143.000000	89.100	165.0634
145.000000	89.048	164.7106
147.500000	89.022	164.3524
150.000000	88.916	163.7244
152.500000	88.899	164.0027
155.000000	88.818	164.0166
157.500000	88.762	164.1304
160.000000	88.678	164.0805
162.500000	88.608	164.0750
165.000000	88.536	164.1393
167.500000	88.462	164.1660
170.000000	88.407	164.3072
172.500000	88.351	164.3891
175.000000	88.299	164.5058
177.500000	88.244	164.6982
180.000000	88.193	164.8687
182.500000	88.142	165.0299
185.000000	88.094	165.1904
187.500000	88.047	165.3495
190.000000	88.004	165.5300
192.500000	87.964	165.7336
195.000000	87.927	165.9491
197.500000	87.885	166.1199
200.000000	87.849	166.3030
203.000000	87.808	166.5529
206.000000	87.765	166.8184
209.000000	87.727	167.0375
212.000000	87.687	167.2997
214.000000	87.659	167.4637
218.000000	87.610	167.8384
220.000000	87.581	167.9766
224.000000	87.528	168.3486
227.000000	87.491	168.6279
230.000000	87.457	168.9281
233.000000	87.423	169.1988
236.000000	87.397	169.4887
240.000000	87.360	169.8546
243.000000	87.340	170.1052
247.000000	87.310	170.3940
250.000000	87.258	170.7618
254.000000	87.257	170.9448
258.000000	87.230	171.2800
262.000000	87.199	171.5804
265.000000	87.179	171.8013
269.000000	87.147	172.0996
