* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 2 May, 2022 7:41:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu Mod L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.776	135.9382
20.600000	96.697	136.0393
20.900000	96.610	136.1828
21.200001	96.525	136.3348
21.400000	96.473	136.4184
21.799999	96.380	136.4965
22.000000	96.337	136.4663
22.400000	96.252	136.2343
22.700001	96.183	135.9575
23.000000	96.104	135.6668
23.299999	96.015	135.4507
23.600000	95.924	135.3922
24.000000	95.814	135.6236
24.299999	95.755	135.9876
24.700001	95.711	136.5692
25.000000	95.695	136.9272
25.400000	95.673	137.1424
25.799999	95.619	137.0357
26.200001	95.517	136.7054
26.500000	95.415	136.4071
26.900000	95.263	136.0483
27.200001	95.153	135.8412
27.600000	95.029	135.6630
28.000000	94.933	135.6166
28.500000	94.845	135.7814
29.000000	94.779	136.2072
29.500000	94.730	136.7320
30.000000	94.679	137.0798
30.400000	94.624	137.1034
30.700001	94.565	136.9902
31.100000	94.467	136.7623
31.500000	94.358	136.5680
32.000000	94.233	136.5249
32.500000	94.142	136.7319
33.000000	94.082	137.1095
33.500000	94.032	137.5341
34.000000	93.980	137.8863
34.500000	93.919	138.0566
35.000000	93.840	138.0284
35.500000	93.746	137.8976
36.000000	93.649	137.8342
36.500000	93.568	137.9434
37.000000	93.512	138.2140
37.500000	93.473	138.5431
38.200001	93.413	138.9559
38.700001	93.347	139.1870
39.500000	93.215	139.5007
40.000000	93.133	139.6864
40.599998	93.052	139.8829
41.200001	92.988	140.0135
41.799999	92.921	140.1103
42.500000	92.828	140.3598
43.099998	92.754	140.7605
43.700001	92.700	141.1659
44.400002	92.641	141.4750
45.000000	92.580	141.7137
45.500000	92.535	141.9944
46.200001	92.499	142.4210
46.799999	92.469	142.7096
47.500000	92.412	143.0694
48.200001	92.370	143.3872
48.700001	92.356	143.3554
49.400002	92.309	142.9600
50.000000	92.232	142.7968
50.799999	92.166	143.2245
51.500000	92.167	143.6138
52.200001	92.135	143.7077
53.000000	92.039	143.8963
53.799999	91.960	144.2005
54.500000	91.901	144.3368
55.200001	91.830	144.4752
56.000000	91.756	144.6835
57.000000	91.677	144.9070
58.000000	91.609	145.2641
59.000000	91.536	145.5915
60.000000	91.446	145.9000
60.799999	91.401	146.0865
61.500000	91.366	146.1882
62.200001	91.321	146.3416
63.000000	91.262	146.5805
64.000000	91.186	146.8794
65.000000	91.138	147.1615
66.000000	91.096	147.3265
67.000000	91.025	147.6130
68.000000	90.960	147.9985
69.000000	90.900	148.2720
70.000000	90.846	148.5607
71.000000	90.802	148.8305
72.000000	90.745	149.1196
73.000000	90.687	149.4198
74.000000	90.640	149.6828
75.000000	90.603	149.9312
76.199997	90.554	150.2958
77.500000	90.497	150.6455
78.800003	90.447	150.9535
80.000000	90.405	151.2091
81.199997	90.355	151.5232
82.500000	90.303	151.7708
83.800003	90.260	152.1352
85.000000	90.221	152.3152
86.199997	90.162	152.5872
87.500000	90.123	152.8618
88.500000	90.081	153.1134
90.000000	90.020	153.4419
91.199997	89.977	153.6767
92.500000	89.938	153.9457
93.800003	89.886	154.2660
95.000000	89.849	154.5406
96.199997	89.811	154.7814
97.500000	89.769	155.0713
98.800003	89.728	155.3590
100.000000	89.694	155.6273
101.500000	89.642	155.9142
103.000000	89.599	156.2515
104.400002	89.546	156.5508
106.000000	89.513	156.8898
107.500000	89.471	157.2109
109.000000	89.428	157.5553
110.599998	89.374	157.8944
112.000000	89.351	158.2410
113.800003	89.290	158.4105
115.000000	89.263	158.8860
117.199997	89.221	159.2989
118.000000	89.203	159.3855
120.599998	89.149	159.9830
122.000000	89.116	160.2309
124.099998	89.055	160.6520
125.000000	89.023	160.7365
126.500000	88.994	161.0753
128.000000	88.953	161.1676
131.500000	88.844	162.3416
132.000000	88.825	162.4292
134.000000	88.747	163.1821
136.000000	88.691	163.5245
138.000000	88.651	164.7699
140.000000	88.648	165.7881
143.000000	88.564	166.9608
145.000000	88.666	167.8795
147.500000	88.814	169.9826
150.000000	88.903	170.3909
152.500000	89.194	170.1920
155.000000	89.251	170.0546
157.500000	89.247	168.8032
160.000000	89.241	168.3361
162.500000	89.223	168.1800
165.000000	89.168	167.8695
167.500000	89.127	168.0263
170.000000	89.081	168.0425
172.500000	89.038	168.2008
175.000000	88.998	168.3233
177.500000	88.960	168.5016
180.000000	88.922	168.7134
182.500000	88.897	168.8801
185.000000	88.859	169.0817
187.500000	88.835	169.3382
190.000000	88.809	169.6402
192.500000	88.782	169.8697
195.000000	88.764	170.1495
197.500000	88.734	170.3797
200.000000	88.714	170.6116
203.000000	88.696	170.9076
206.000000	88.680	171.2321
209.000000	88.659	171.4949
212.000000	88.639	171.8176
214.000000	88.633	172.0069
218.000000	88.604	172.4075
220.000000	88.594	172.6235
224.000000	88.566	172.9869
227.000000	88.549	173.2634
230.000000	88.531	173.5701
233.000000	88.514	173.8639
236.000000	88.506	174.1328
240.000000	88.486	174.4940
243.000000	88.467	174.7969
247.000000	88.458	175.1695
250.000000	88.483	175.7234
254.000000	88.446	175.7685
258.000000	88.434	176.1536
262.000000	88.424	176.4932
265.000000	88.417	176.7342
269.000000	88.411	177.0945
272.000000	88.402	177.3282
276.000000	88.396	177.6522
280.000000	88.387	177.9936
285.000000	88.374	178.4055
290.000000	88.363	178.7621
295.000000	88.352	179.1454
300.000000	88.344	179.5510
304.000000	88.333	179.8157
307.000000	88.323	-179.9559
311.000000	88.314	-179.6597
315.000000	88.305	-179.3505
320.000000	88.291	-178.9690
325.000000	88.287	-178.6171
330.000000	88.273	-178.2700
335.000000	88.263	-177.8877
340.000000	88.251	-177.5434
345.000000	88.246	-177.1908
350.000000	88.228	-176.9521
355.000000	88.240	-176.5097
360.000000	88.236	-176.1528
365.000000	88.230	-175.7913
370.000000	88.232	-175.4540
375.000000	88.227	-175.1246
382.000000	88.223	-174.6478
387.000000	88.219	-174.3235
395.000000	88.215	-173.7659
400.000000	88.213	-173.4598
406.000000	88.211	-173.0514
412.000000	88.207	-172.6514
418.000000	88.204	-172.2633
425.000000	88.207	-171.8279
431.000000	88.204	-171.4286
437.000000	88.199	-171.0264
444.000000	88.198	-170.6110
450.000000	88.157	-170.0706
455.000000	88.189	-169.9038
462.000000	88.193	-169.4460
468.000000	88.195	-169.0834
475.000000	88.190	-168.6325
482.000000	88.192	-168.2176
