* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 2 May, 2022 7:40:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu Mod R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.972	137.1214
20.600000	96.898	137.1645
20.900000	96.831	137.0953
21.200001	96.762	136.8827
21.400000	96.709	136.7017
21.799999	96.574	136.4070
22.000000	96.495	136.3775
22.400000	96.331	136.6873
22.700001	96.229	137.2294
23.000000	96.164	137.8687
23.299999	96.131	138.3690
23.600000	96.108	138.5993
24.000000	96.055	138.4505
24.299999	95.980	138.1409
24.700001	95.845	137.7588
25.000000	95.748	137.6255
25.400000	95.671	137.5944
25.799999	95.662	137.4629
26.200001	95.673	137.0291
26.500000	95.655	136.5829
26.900000	95.568	136.1058
27.200001	95.465	136.0202
27.600000	95.325	136.3367
28.000000	95.227	136.9094
28.500000	95.170	137.3923
29.000000	95.116	137.3496
29.500000	95.019	137.0721
30.000000	94.898	136.9165
30.400000	94.810	136.8774
30.700001	94.749	136.8546
31.100000	94.668	136.8352
31.500000	94.587	136.8968
32.000000	94.508	137.1524
32.500000	94.473	137.4395
33.000000	94.450	137.5366
33.500000	94.388	137.5017
34.000000	94.278	137.6148
34.500000	94.167	137.9547
35.000000	94.078	138.3279
35.500000	94.006	138.5519
36.000000	93.933	138.6965
36.500000	93.867	138.8621
37.000000	93.816	138.9783
37.500000	93.758	138.9291
38.200001	93.616	138.8269
38.700001	93.489	139.0406
39.500000	93.358	139.7853
40.000000	93.319	140.1521
40.599998	93.263	140.4379
41.200001	93.189	140.7905
41.799999	93.128	141.2337
42.500000	93.086	141.6542
43.099998	93.053	141.9362
43.700001	93.024	142.2615
44.400002	93.014	142.5532
45.000000	93.012	142.4869
45.500000	92.989	142.2386
46.200001	92.916	141.9604
46.799999	92.845	142.0271
47.500000	92.783	142.2777
48.200001	92.719	142.3057
48.700001	92.645	142.1601
49.400002	92.509	142.0388
50.000000	92.414	142.2292
50.799999	92.372	142.6593
51.500000	92.360	142.8404
52.200001	92.303	142.9567
53.000000	92.210	143.2617
53.799999	92.139	143.5720
54.500000	92.085	143.7510
55.200001	92.028	143.9518
56.000000	91.966	144.2207
57.000000	91.888	144.4740
58.000000	91.798	144.6957
59.000000	91.723	144.9876
60.000000	91.646	145.1666
60.799999	91.566	145.3934
61.500000	91.510	145.6854
62.200001	91.471	145.8649
63.000000	91.421	145.9552
64.000000	91.356	146.1727
65.000000	91.288	146.4204
66.000000	91.208	146.7930
67.000000	91.173	147.1405
68.000000	91.137	147.3271
69.000000	91.074	147.6578
70.000000	91.007	148.0482
71.000000	90.948	148.2984
72.000000	90.887	148.4342
73.000000	90.831	148.6423
74.000000	90.787	148.8464
75.000000	90.734	149.0777
76.199997	90.673	149.5041
77.500000	90.598	149.8207
78.800003	90.535	150.0950
80.000000	90.490	150.3825
81.199997	90.431	150.7146
82.500000	90.364	151.0515
83.800003	90.298	151.3125
85.000000	90.236	151.7594
86.199997	90.210	151.9282
87.500000	90.148	152.1583
88.500000	90.112	152.5138
90.000000	90.030	152.8355
91.199997	89.983	153.0921
92.500000	89.941	153.4810
93.800003	89.886	153.7950
95.000000	89.826	154.0678
96.199997	89.785	154.3533
97.500000	89.725	154.6969
98.800003	89.675	155.0649
100.000000	89.630	155.3836
101.500000	89.564	155.6976
103.000000	89.496	156.1673
104.400002	89.468	156.6567
106.000000	89.398	157.1263
107.500000	89.308	157.6386
109.000000	89.263	158.1558
110.599998	89.205	158.6030
112.000000	89.118	159.7266
113.800003	89.090	160.4679
115.000000	89.145	161.2704
117.199997	89.161	162.3691
118.000000	89.191	162.5089
120.599998	89.306	163.0645
122.000000	89.257	163.5489
124.099998	89.292	163.6972
125.000000	89.308	163.6028
126.500000	89.203	163.7436
128.000000	89.254	164.5331
131.500000	89.156	165.9373
132.000000	89.243	166.1878
134.000000	89.366	166.4183
136.000000	89.526	167.3381
138.000000	89.574	166.3695
140.000000	89.554	166.4634
143.000000	89.619	165.9083
145.000000	89.544	165.7381
147.500000	89.545	165.4351
150.000000	89.457	165.8596
152.500000	89.372	165.5412
155.000000	89.485	165.4339
157.500000	89.343	165.7551
160.000000	89.280	165.8228
162.500000	89.242	166.0513
165.000000	89.176	166.2897
167.500000	89.118	166.5269
170.000000	89.081	166.7854
172.500000	89.045	167.0616
175.000000	89.005	167.4126
177.500000	88.969	167.7737
180.000000	88.940	167.9439
182.500000	88.911	168.2698
185.000000	88.882	168.5765
187.500000	88.855	168.8788
190.000000	88.832	169.2414
192.500000	88.827	169.4166
195.000000	88.808	169.7488
197.500000	88.787	170.0733
200.000000	88.761	170.3721
203.000000	88.744	170.6747
206.000000	88.727	170.9726
209.000000	88.716	171.3094
212.000000	88.706	171.6797
214.000000	88.698	171.8785
218.000000	88.679	172.3135
220.000000	88.675	172.4893
224.000000	88.658	172.8835
227.000000	88.645	173.1517
230.000000	88.634	173.4077
233.000000	88.621	173.6776
236.000000	88.606	173.9517
240.000000	88.585	174.3005
243.000000	88.577	174.5583
247.000000	88.566	174.8963
250.000000	88.574	174.8402
254.000000	88.538	175.4971
258.000000	88.524	175.7950
262.000000	88.514	176.1482
265.000000	88.506	176.4341
269.000000	88.496	176.7541
272.000000	88.486	177.0122
276.000000	88.471	177.3476
280.000000	88.458	177.6917
285.000000	88.441	178.1098
290.000000	88.429	178.4942
295.000000	88.414	178.9026
300.000000	88.406	179.2759
304.000000	88.396	179.6111
307.000000	88.386	179.8413
311.000000	88.373	-179.8787
315.000000	88.362	-179.5567
320.000000	88.350	-179.1620
325.000000	88.339	-178.8029
330.000000	88.330	-178.4401
335.000000	88.322	-178.0495
340.000000	88.309	-177.6744
345.000000	88.307	-177.3115
350.000000	88.318	-176.8055
355.000000	88.293	-176.5994
360.000000	88.290	-176.2431
365.000000	88.285	-175.8677
370.000000	88.280	-175.5220
375.000000	88.277	-175.1548
382.000000	88.273	-174.6837
387.000000	88.266	-174.3524
395.000000	88.263	-173.8136
400.000000	88.263	-173.4525
406.000000	88.257	-173.0516
412.000000	88.252	-172.6512
418.000000	88.248	-172.2527
425.000000	88.246	-171.7621
431.000000	88.244	-171.3724
437.000000	88.240	-170.9823
444.000000	88.234	-170.5209
450.000000	88.249	-170.4259
455.000000	88.234	-169.7948
462.000000	88.232	-169.3371
468.000000	88.234	-168.9556
475.000000	88.230	-168.5006
482.000000	88.230	-168.0534
487.000000	88.235	-167.7639
494.000000	88.240	-167.3014
500.000000	88.240	-166.8962
508.000000	88.245	-166.4045
515.000000	88.251	-165.9438
522.000000	88.258	-165.5130
530.000000	88.266	-165.0038
538.000000	88.272	-164.5146
545.000000	88.282	-164.0630
552.000000	88.288	-163.6066
560.000000	88.297	-163.0901
570.000000	88.307	-162.4799
580.000000	88.320	-161.8394
590.000000	88.335	-161.2296
600.000000	88.352	-160.5953
608.000000	88.363	-160.0973
615.000000	88.374	-159.6084
622.000000	88.384	-159.1794
630.000000	88.396	-158.7139
640.000000	88.414	-158.0716
650.000000	88.460	-157.4135
660.000000	88.452	-156.7301
670.000000	88.476	-156.1197
680.000000	88.498	-155.5071
690.000000	88.523	-154.8787
700.000000	88.548	-154.2359
710.000000	88.571	-153.5864
720.000000	88.596	-152.9656
730.000000	88.622	-152.3098
740.000000	88.655	-151.7095
750.000000	88.682	-150.9408
762.000000	88.739	-150.3078
775.000000	88.790	-149.5266
788.000000	88.836	-148.7442
800.000000	88.888	-148.0202
812.000000	88.944	-147.2823
825.000000	89.010	-146.5593
838.000000	89.084	-145.8709
850.000000	89.148	-145.3449
862.000000	89.229	-144.6387
875.000000	89.319	-144.0700
885.000000	89.386	-143.7266
900.000000	89.469	-143.4559
912.000000	89.470	-143.2926
925.000000	89.460	-142.5804
938.000000	89.493	-141.6080
950.000000	89.564	-140.6516
962.000000	89.657	-139.9222
975.000000	89.779	-139.2801
988.000000	89.891	-138.7277
1000.000000	89.996	-138.2886
1015.000000	90.122	-137.8007
1030.000000	90.238	-137.3762
1044.000000	90.355	-137.0107
1060.000000	90.479	-136.5962
1075.000000	90.593	-136.2654
1090.000000	90.691	-135.9654
1106.000000	90.794	-135.7180
1120.000000	90.875	-135.4612
1138.000000	90.976	-135.2087
1150.000000	91.032	-135.1026
1172.000000	91.164	-134.7659
1180.000000	91.207	-134.6564
1206.000000	91.336	-134.4108
1220.000000	91.420	-134.2740
1241.000000	91.568	-134.0407
1250.000000	91.624	-133.8982
1265.000000	91.726	-133.7980
1280.000000	91.824	-133.6959
1315.000000	92.047	-133.3797
1320.000000	92.074	-133.3409
1340.000000	92.196	-133.1499
1360.000000	92.358	-133.0118
1380.000000	92.484	-132.8221
1400.000000	92.606	-132.6614
1430.000000	92.785	-132.3877
1450.000000	92.905	-132.2401
1475.000000	93.050	-132.0376
1500.000000	93.199	-131.8181
1525.000000	93.344	-131.5776
1550.000000	93.462	-131.3831
1575.000000	93.577	-131.2628
1600.000000	93.693	-131.0750
1625.000000	93.808	-130.8930
1650.000000	93.925	-130.6917
1675.000000	94.040	-130.5958
1700.000000	94.157	-130.4630
1725.000000	94.273	-130.3407
1750.000000	94.389	-130.2738
1775.000000	94.509	-130.1717
1800.000000	94.628	-130.1140
1825.000000	94.748	-130.0647
1850.000000	94.861	-130.0152
1875.000000	94.976	-130.0143
1900.000000	95.090	-130.0002
1925.000000	95.206	-130.0706
1950.000000	95.315	-130.1197
1975.000000	95.426	-130.1756
2000.000000	95.532	-130.2796
2030.000000	95.662	-130.4207
2060.000000	95.787	-130.6075
2090.000000	95.907	-130.8025
2120.000000	96.024	-131.0341
2140.000000	96.101	-131.2067
2180.000000	96.253	-131.5917
2200.000000	96.325	-131.8058
2240.000000	96.463	-132.2550
2270.000000	96.557	-132.6246
2300.000000	96.646	-133.0109
2330.000000	96.736	-133.4267
2360.000000	96.819	-133.8593
2400.000000	96.917	-134.4456
2430.000000	96.983	-134.9207
2470.000000	97.064	-135.5585
2500.000000	97.120	-136.0257
2540.000000	97.183	-136.6751
2580.000000	97.232	-137.3020
2620.000000	97.270	-137.9303
2650.000000	97.286	-138.3522
2690.000000	97.310	-138.9058
2720.000000	97.325	-139.2827
2760.000000	97.341	-139.7406
2800.000000	97.351	-140.1745
2850.000000	97.367	-140.7613
2900.000000	97.371	-141.3785
2950.000000	97.352	-141.9394
3000.000000	97.314	-142.4011
3040.000000	97.275	-142.7166
3070.000000	97.249	-142.8970
3110.000000	97.211	-143.0797
3150.000000	97.176	-143.1948
3200.000000	97.134	-143.2851
3250.000000	97.096	-143.3548
3300.000000	97.055	-143.3928
3350.000000	97.016	-143.3814
3400.000000	96.982	-143.3160
3450.000000	96.948	-143.2126
3500.000000	96.923	-143.1019
3550.000000	96.904	-143.0037
3600.000000	96.883	-142.9188
3650.000000	96.854	-142.7585
3700.000000	96.821	-142.5702
3750.000000	96.797	-142.3483
3820.000000	96.771	-142.0337
3870.000000	96.750	-141.7518
3950.000000	96.723	-141.2331
4000.000000	96.717	-140.9102
4060.000000	96.716	-140.5022
4120.000000	96.717	-140.0637
4180.000000	96.728	-139.6376
4250.000000	96.747	-139.1563
4310.000000	96.772	-138.7558
4370.000000	96.811	-138.3689
4440.000000	96.863	-137.9515
4500.000000	96.913	-137.6309
4550.000000	96.952	-137.3809
4620.000000	97.020	-137.1230
4680.000000	97.079	-136.9492
4750.000000	97.150	-136.8031
4820.000000	97.225	-136.7233
4870.000000	97.276	-136.7448
4940.000000	97.339	-136.8068
5000.000000	97.390	-136.9355
5080.000000	97.452	-137.2115
5150.000000	97.500	-137.5401
5220.000000	97.535	-137.9262
5300.000000	97.562	-138.4732
5380.000000	97.565	-139.0814
5450.000000	97.549	-139.6689
5520.000000	97.505	-140.2374
5600.000000	97.429	-140.8783
5700.000000	97.307	-141.6199
5800.000000	97.151	-142.2737
5900.000000	96.964	-142.7504
6000.000000	96.752	-143.0310
6080.000000	96.561	-143.0031
6150.000000	96.411	-142.7018
6220.000000	96.291	-142.2623
6300.000000	96.175	-141.8914
6400.000000	96.014	-141.4284
6500.000000	95.865	-140.7206
6600.000000	95.735	-139.8305
6700.000000	95.643	-138.8594
6800.000000	95.580	-137.8317
6900.000000	95.596	-136.8040
7000.000000	95.693	-135.7711
7100.000000	95.836	-134.9224
7200.000000	96.031	-134.2527
7300.000000	96.251	-133.8797
7400.000000	96.529	-133.8737
7500.000000	96.834	-134.3109
7620.000000	97.224	-135.6645
7750.000000	97.735	-138.3122
7880.000000	97.990	-142.4659
8000.000000	98.068	-147.6725
8120.000000	97.907	-153.7202
8250.000000	97.380	-160.6408
8380.000000	96.513	-166.8196
8500.000000	95.478	-171.1877
8620.000000	94.321	-174.0889
8750.000000	92.983	-175.6361
8850.000000	91.949	-175.8013
9000.000000	90.430	-174.7536
9120.000000	89.282	-172.9362
9250.000000	88.094	-170.1526
9380.000000	86.970	-166.6988
9500.000000	85.974	-162.9597
9620.000000	85.014	-158.6759
9750.000000	84.059	-153.8289
9880.000000	83.177	-148.5172
10000.000000	82.400	-143.0211
10150.000000	81.487	-135.2858
10300.000000	80.669	-127.0938
10440.000000	80.124	-118.1610
