* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Apr, 2022 9:33:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.639	-174.4912
20.600000	93.638	-174.6904
20.900000	93.648	-174.7814
21.200001	93.671	-174.9562
21.400000	93.685	-175.1763
21.799999	93.694	-175.8551
22.000000	93.681	-176.2799
22.400000	93.616	-177.1566
22.700001	93.550	-177.6875
23.000000	93.494	-178.0431
23.299999	93.470	-178.2935
23.600000	93.482	-178.5480
24.000000	93.539	-179.0705
24.299999	93.582	-179.6490
24.700001	93.599	179.4629
25.000000	93.569	178.8904
25.400000	93.492	178.4568
25.799999	93.419	178.4425
26.200001	93.394	178.5915
26.500000	93.410	178.5870
26.900000	93.453	178.2640
27.200001	93.476	177.7970
27.600000	93.481	177.0432
28.000000	93.461	176.3843
28.500000	93.434	175.8506
29.000000	93.431	175.4901
29.500000	93.437	175.0610
30.000000	93.419	174.5607
30.400000	93.386	174.2062
30.700001	93.358	174.0010
31.100000	93.328	173.7693
31.500000	93.309	173.5140
32.000000	93.289	173.1122
32.500000	93.258	172.6779
33.000000	93.223	172.3074
33.500000	93.193	171.9690
34.000000	93.171	171.5776
34.500000	93.149	171.1234
35.000000	93.119	170.7026
35.500000	93.090	170.3721
36.000000	93.070	170.0924
36.500000	93.051	169.7955
37.000000	93.023	169.4868
37.500000	92.986	169.2037
38.200001	92.935	168.8592
38.700001	92.904	168.5987
39.500000	92.861	168.1529
40.000000	92.833	167.9036
40.599998	92.800	167.6276
41.200001	92.767	167.2808
41.799999	92.715	166.8097
42.500000	92.616	166.3642
43.099998	92.541	166.4311
43.700001	92.542	166.7409
44.400002	92.607	166.6419
45.000000	92.603	166.0402
45.500000	92.536	165.5946
46.200001	92.439	165.3439
46.799999	92.395	165.1462
47.500000	92.317	164.9512
48.200001	92.237	165.3088
48.700001	92.238	165.5220
49.400002	92.246	164.8513
50.000000	92.144	163.8776
50.799999	91.996	163.7243
51.500000	92.065	164.1435
52.200001	92.175	163.8728
53.000000	92.137	163.4416
53.799999	92.057	163.4244
54.500000	92.018	163.1460
55.200001	91.967	162.7680
56.000000	91.928	162.6218
57.000000	91.899	162.3387
58.000000	91.829	161.9900
59.000000	91.771	161.6999
60.000000	91.703	161.4341
60.799999	91.653	161.2888
61.500000	91.614	161.1229
62.200001	91.573	160.9566
63.000000	91.528	160.8087
64.000000	91.467	160.5702
65.000000	91.388	160.3448
66.000000	91.328	160.2495
