* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 24 Apr, 2022 12:37:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu 2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.415	-173.0834
20.600000	93.413	-173.5231
20.900000	93.406	-173.9013
21.200001	93.401	-174.2857
21.400000	93.399	-174.5515
21.799999	93.400	-175.1028
22.000000	93.401	-175.3866
22.400000	93.401	-175.9626
22.700001	93.401	-176.3679
23.000000	93.401	-176.7378
23.299999	93.402	-177.0832
23.600000	93.405	-177.4094
24.000000	93.411	-177.8361
24.299999	93.413	-178.1644
24.700001	93.408	-178.6017
25.000000	93.399	-178.9138
25.400000	93.382	-179.3017
25.799999	93.366	-179.6589
26.200001	93.355	179.9689
26.500000	93.349	179.6574
26.900000	93.338	179.2061
27.200001	93.325	178.8564
27.600000	93.305	178.4131
28.000000	93.287	178.0312
28.500000	93.273	177.6127
29.000000	93.264	177.1993
29.500000	93.248	176.7670
30.000000	93.220	176.3813
30.400000	93.201	176.1195
30.700001	93.193	175.9340
31.100000	93.188	175.6457
31.500000	93.185	175.2783
32.000000	93.166	174.7628
32.500000	93.125	174.3305
33.000000	93.080	174.0841
33.500000	93.052	173.9303
34.000000	93.042	173.6921
34.500000	93.034	173.2934
35.000000	93.008	172.8339
35.500000	92.971	172.4396
36.000000	92.938	172.1372
36.500000	92.916	171.8561
37.000000	92.897	171.5518
37.500000	92.877	171.2430
38.200001	92.845	170.8879
38.700001	92.824	170.6765
39.500000	92.784	170.3199
40.000000	92.748	170.0804
40.599998	92.699	169.7842
41.200001	92.659	169.4535
41.799999	92.628	169.0863
42.500000	92.595	168.7285
43.099998	92.567	168.5484
43.700001	92.532	168.3785
44.400002	92.466	168.1064
45.000000	92.404	167.9095
45.500000	92.383	167.7729
46.200001	92.394	167.4318
46.799999	92.367	167.0739
47.500000	92.255	167.1597
48.200001	92.160	167.7338
48.700001	92.138	167.8911
49.400002	92.113	167.4390
50.000000	92.072	166.9576
50.799999	92.058	166.7493
51.500000	92.081	166.6536
52.200001	92.073	166.5035
53.000000	92.049	166.3100
53.799999	92.037	165.9000
54.500000	92.009	165.5708
55.200001	91.977	165.4646
56.000000	91.944	165.3242
57.000000	91.884	164.8611
58.000000	91.818	164.4341
59.000000	91.775	164.3473
60.000000	91.743	164.1487
60.799999	91.690	163.8939
61.500000	91.649	163.7855
62.200001	91.621	163.6891
63.000000	91.583	163.5490
64.000000	91.527	163.3236
65.000000	91.453	163.1090
66.000000	91.403	163.0903
67.000000	91.365	162.8798
68.000000	91.303	162.7486
69.000000	91.266	162.6647
70.000000	91.212	162.5206
71.000000	91.157	162.4738
72.000000	91.115	162.3528
73.000000	91.058	162.1884
74.000000	90.993	162.2011
75.000000	90.964	162.1232
76.199997	90.915	161.8517
77.500000	90.865	161.8686
78.800003	90.786	161.8336
80.000000	90.712	161.8271
81.199997	90.667	161.7148
82.500000	90.607	161.6364
83.800003	90.558	161.5708
85.000000	90.527	161.4821
86.199997	90.478	161.3653
87.500000	90.399	161.4518
88.500000	90.359	161.4511
90.000000	90.285	161.4276
91.199997	90.238	161.4612
92.500000	90.179	161.4756
93.800003	90.128	161.4845
95.000000	90.079	161.4595
96.199997	90.024	161.5680
97.500000	90.007	161.6037
98.800003	89.959	161.6518
100.000000	89.902	161.8841
101.500000	89.847	161.6779
103.000000	89.746	161.3100
104.400002	89.851	161.3528
106.000000	89.643	161.6062
107.500000	89.618	161.9907
109.000000	89.573	162.1127
110.599998	89.552	162.3792
112.000000	89.479	162.0914
113.800003	89.370	162.2600
115.000000	89.362	162.4271
117.199997	89.298	162.4586
118.000000	89.281	162.4710
120.599998	89.211	162.6533
122.000000	89.142	162.6391
124.099998	89.095	162.8620
125.000000	89.067	162.8884
126.500000	89.005	163.0718
128.000000	89.014	163.2958
131.500000	88.756	162.7606
132.000000	88.759	163.1466
134.000000	88.747	163.0692
136.000000	88.694	164.0447
138.000000	88.705	164.0275
140.000000	88.631	163.7859
143.000000	88.460	164.9294
145.000000	88.375	165.0603
147.500000	88.329	165.5341
150.000000	88.000	168.3444
152.500000	87.871	167.6561
155.000000	87.936	169.0541
157.500000	88.172	170.6371
160.000000	88.264	170.2330
162.500000	88.367	171.0155
165.000000	88.555	170.8026
167.500000	88.538	170.4510
170.000000	88.532	170.0719
172.500000	88.567	169.8909
175.000000	88.535	169.2975
177.500000	88.527	169.1657
180.000000	88.468	169.1738
182.500000	88.426	169.0123
185.000000	88.379	169.0090
187.500000	88.355	169.2258
190.000000	88.282	169.2993
192.500000	88.222	169.2968
195.000000	88.190	169.3645
197.500000	88.138	169.4474
200.000000	88.102	169.6197
203.000000	88.062	169.7780
