* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 24 Apr, 2022 12:40:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.532	-172.0707
20.600000	93.539	-172.4609
20.900000	93.545	-172.7957
21.200001	93.551	-173.1645
21.400000	93.553	-173.4380
21.799999	93.549	-174.0310
22.000000	93.542	-174.3386
22.400000	93.523	-174.9471
22.700001	93.512	-175.3683
23.000000	93.511	-175.7725
23.299999	93.524	-176.2007
23.600000	93.546	-176.6664
24.000000	93.576	-177.3357
24.299999	93.589	-177.8216
24.700001	93.584	-178.3332
25.000000	93.568	-178.5544
25.400000	93.546	-178.6474
25.799999	93.540	-178.6485
26.200001	93.554	-178.7904
26.500000	93.568	-179.0877
26.900000	93.574	-179.7392
27.200001	93.563	179.6497
27.600000	93.529	178.8221
28.000000	93.486	178.1486
28.500000	93.443	177.6168
29.000000	93.420	177.3336
29.500000	93.400	177.1148
30.000000	93.358	176.8975
30.400000	93.313	176.7552
30.700001	93.281	176.6889
31.100000	93.259	176.6134
31.500000	93.272	176.4503
32.000000	93.319	175.9673
32.500000	93.351	175.1806
33.000000	93.323	174.3962
33.500000	93.241	173.9435
34.000000	93.163	173.8749
34.500000	93.133	173.8562
35.000000	93.130	173.5941
35.500000	93.114	173.1291
36.000000	93.081	172.7459
36.500000	93.058	172.5424
37.000000	93.060	172.3184
37.500000	93.055	171.8865
38.200001	92.970	171.2535
38.700001	92.882	171.1506
39.500000	92.829	171.3610
40.000000	92.829	171.3152
40.599998	92.797	171.1694
41.200001	92.745	171.3112
41.799999	92.742	171.5767
42.500000	92.792	171.3901
43.099998	92.806	170.8236
43.700001	92.782	170.3294
44.400002	92.757	169.9572
45.000000	92.744	169.5681
45.500000	92.721	169.1465
46.200001	92.671	168.5884
46.799999	92.637	168.2495
47.500000	92.626	167.9680
48.200001	92.624	167.6683
48.700001	92.606	167.4043
49.400002	92.543	167.0781
50.000000	92.483	166.9433
50.799999	92.445	166.7863
51.500000	92.428	166.4943
52.200001	92.393	166.2461
53.000000	92.353	166.0594
53.799999	92.308	165.6893
54.500000	92.249	165.3683
55.200001	92.204	165.2400
56.000000	92.180	165.0838
57.000000	92.116	164.7389
58.000000	92.037	164.5116
59.000000	91.988	164.2818
60.000000	91.939	164.0334
60.799999	91.891	163.8314
61.500000	91.847	163.6918
62.200001	91.816	163.5804
63.000000	91.787	163.4484
64.000000	91.742	163.3674
65.000000	91.693	163.1900
66.000000	91.615	162.9362
67.000000	91.569	162.8265
68.000000	91.526	162.5665
69.000000	91.454	162.5311
70.000000	91.410	162.4879
71.000000	91.353	162.2864
72.000000	91.305	162.1605
73.000000	91.260	161.9825
74.000000	91.209	161.8973
75.000000	91.163	161.8098
76.199997	91.103	161.7456
77.500000	91.036	161.6378
78.800003	90.975	161.5671
80.000000	90.917	161.4540
81.199997	90.878	161.3498
82.500000	90.806	161.2310
83.800003	90.748	161.2654
85.000000	90.683	161.1726
86.199997	90.641	161.2015
87.500000	90.575	161.1076
88.500000	90.530	161.1332
90.000000	90.468	161.0209
91.199997	90.410	161.0831
92.500000	90.360	161.0995
93.800003	90.301	161.0558
95.000000	90.251	161.0795
96.199997	90.207	161.2547
