* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 4 May, 2022 9:51:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu 3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.492	-176.9168
20.600000	93.471	-177.2934
20.900000	93.451	-177.5899
21.200001	93.446	-177.8608
21.400000	93.453	-178.0485
21.799999	93.486	-178.4928
22.000000	93.505	-178.7738
22.400000	93.530	-179.4749
22.700001	93.522	179.9509
23.000000	93.488	179.4327
23.299999	93.438	179.0458
23.600000	93.388	178.8181
24.000000	93.352	178.6907
24.299999	93.358	178.5845
24.700001	93.398	178.2517
25.000000	93.428	177.8173
25.400000	93.437	177.0768
25.799999	93.399	176.3801
26.200001	93.332	175.8843
26.500000	93.283	175.6294
26.900000	93.234	175.3278
27.200001	93.208	175.0285
27.600000	93.178	174.4941
28.000000	93.138	173.9281
28.500000	93.078	173.4489
29.000000	93.034	173.3493
29.500000	93.018	173.4072
30.000000	93.004	173.3480
30.400000	92.975	173.1748
30.700001	92.944	173.0131
31.100000	92.906	172.7800
31.500000	92.890	172.4922
32.000000	92.905	171.9759
32.500000	92.930	171.3112
33.000000	92.933	170.7189
33.500000	92.909	170.3632
34.000000	92.876	170.1760
34.500000	92.843	169.9096
35.000000	92.795	169.4446
35.500000	92.731	168.8690
36.000000	92.670	168.3531
36.500000	92.631	167.9603
37.000000	92.618	167.6680
37.500000	92.611	167.4480
38.200001	92.572	167.3167
38.700001	92.506	167.4276
39.500000	92.372	168.2023
40.000000	92.332	168.9709
40.599998	92.370	169.6213
41.200001	92.443	169.4395
41.799999	92.464	168.6448
42.500000	92.429	167.7474
43.099998	92.419	167.1773
43.700001	92.417	166.5862
44.400002	92.377	166.0699
45.000000	92.336	165.9895
45.500000	92.325	165.9418
46.200001	92.299	165.5399
46.799999	92.222	165.0859
47.500000	92.127	164.8331
48.200001	92.102	164.6073
48.700001	92.110	164.2618
49.400002	92.097	163.7312
50.000000	92.057	163.5854
50.799999	92.021	163.7851
51.500000	92.013	163.6805
52.200001	91.954	163.1700
53.000000	91.837	162.8878
53.799999	91.793	163.0064
54.500000	91.780	162.8721
55.200001	91.725	162.7257
56.000000	91.683	162.6040
57.000000	91.613	161.8473
58.000000	91.470	161.8456
59.000000	91.482	162.2021
60.000000	91.463	161.5188
60.799999	91.362	161.1062
61.500000	91.292	161.1805
62.200001	91.283	161.2803
63.000000	91.253	160.9555
64.000000	91.093	160.9315
65.000000	91.096	161.2375
66.000000	91.105	160.2798
67.000000	90.974	160.2768
68.000000	90.917	160.6594
69.000000	90.838	160.6114
70.000000	90.826	160.3956
71.000000	90.733	160.1751
72.000000	90.596	160.8413
73.000000	90.571	160.9442
74.000000	90.582	160.1654
75.000000	90.502	159.9536
76.199997	90.478	160.8452
77.500000	90.388	159.7983
78.800003	90.212	160.1505
80.000000	90.287	160.6213
81.199997	90.220	159.6942
82.500000	90.109	160.2393
83.800003	90.091	159.3597
85.000000	89.874	160.3790
86.199997	89.965	160.1746
87.500000	89.856	159.9005
88.500000	89.773	160.2391
90.000000	89.671	160.6467
91.199997	89.597	159.5389
92.500000	89.476	159.9103
93.800003	89.468	159.9673
95.000000	89.335	159.8697
96.199997	89.301	159.8319
97.500000	89.182	160.4352
98.800003	89.045	160.3296
100.000000	88.673	161.0943
101.500000	88.790	160.9426
103.000000	88.665	162.0184
104.400002	88.357	163.1056
106.000000	88.301	164.3740
107.500000	88.219	165.9208
109.000000	88.276	168.0790
110.599998	88.280	171.1302
112.000000	88.709	173.3179
113.800003	89.201	170.7346
115.000000	89.352	170.4348
117.199997	89.282	169.0245
118.000000	89.426	168.2900
120.599998	89.374	167.3083
122.000000	89.323	166.7856
124.099998	89.351	167.2465
125.000000	89.254	167.1909
126.500000	89.238	168.0910
128.000000	89.334	167.9871
131.500000	89.212	166.1953
132.000000	89.191	166.2079
134.000000	89.258	165.8461
136.000000	89.294	165.5387
138.000000	89.193	165.4955
140.000000	89.065	165.3141
143.000000	89.041	165.5847
145.000000	88.963	165.9964
147.500000	88.914	165.4259
150.000000	88.744	165.2812
152.500000	88.790	165.4166
155.000000	88.649	165.5283
157.500000	88.555	166.1337
160.000000	88.510	165.5504
162.500000	88.437	166.0307
165.000000	88.377	166.4492
167.500000	88.358	166.1793
170.000000	88.266	166.7757
172.500000	88.210	166.8505
175.000000	88.238	166.9752
177.500000	88.119	167.3191
180.000000	88.107	167.3933
182.500000	88.028	167.8213
185.000000	87.993	167.9716
187.500000	87.931	168.1496
190.000000	87.941	168.4164
192.500000	87.902	168.6824
195.000000	87.834	169.1676
197.500000	87.814	169.4346
200.000000	87.781	169.3959
203.000000	87.800	170.2790
