* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 4 May, 2022 9:50:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Chu 3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.910	-176.9438
20.600000	93.880	-177.2735
20.900000	93.853	-177.4480
21.200001	93.843	-177.6217
21.400000	93.845	-177.7882
21.799999	93.856	-178.2722
22.000000	93.859	-178.5887
22.400000	93.851	-179.3183
22.700001	93.833	-179.8592
23.000000	93.809	179.6597
23.299999	93.788	179.2347
23.600000	93.773	178.8503
24.000000	93.764	178.3545
24.299999	93.761	177.9688
24.700001	93.755	177.4525
25.000000	93.748	177.0924
25.400000	93.737	176.6703
25.799999	93.729	176.3137
26.200001	93.724	175.9661
26.500000	93.719	175.6827
26.900000	93.703	175.2772
27.200001	93.681	174.9630
27.600000	93.647	174.5560
28.000000	93.613	174.1752
28.500000	93.582	173.6874
29.000000	93.560	173.1512
29.500000	93.536	172.6022
30.000000	93.506	172.1466
30.400000	93.485	171.8620
30.700001	93.471	171.6774
31.100000	93.452	171.4244
31.500000	93.427	171.1422
32.000000	93.383	170.7782
32.500000	93.336	170.4347
33.000000	93.299	170.0847
33.500000	93.270	169.6567
34.000000	93.238	169.1719
34.500000	93.200	168.7367
35.000000	93.159	168.4327
35.500000	93.129	168.2101
36.000000	93.104	167.9706
36.500000	93.074	167.6802
37.000000	93.033	167.3951
37.500000	92.990	167.1534
38.200001	92.938	166.8570
38.700001	92.901	166.6343
39.500000	92.830	166.3356
40.000000	92.780	166.2574
40.599998	92.728	166.2770
41.200001	92.705	166.2889
41.799999	92.707	166.0800
42.500000	92.700	165.4793
43.099998	92.662	164.9191
43.700001	92.613	164.5632
44.400002	92.578	164.2936
45.000000	92.553	163.9587
45.500000	92.514	163.6378
46.200001	92.442	163.3750
46.799999	92.399	163.3728
47.500000	92.381	163.3907
48.200001	92.360	163.2805
48.700001	92.331	163.1534
49.400002	92.283	162.9326
50.000000	92.247	162.6575
50.799999	92.197	162.2210
51.500000	92.143	161.9805
52.200001	92.093	161.9329
53.000000	92.050	161.8796
53.799999	92.007	161.6652
54.500000	91.965	161.4333
55.200001	91.924	161.2256
56.000000	91.871	160.9956
57.000000	91.789	160.7231
58.000000	91.722	160.5068
59.000000	91.681	160.2843
60.000000	91.636	159.9400
60.799999	91.584	159.5831
61.500000	91.522	159.3785
62.200001	91.465	159.3678
63.000000	91.417	159.3500
64.000000	91.333	159.0925
65.000000	91.253	158.9491
66.000000	91.212	158.7626
67.000000	91.137	158.7033
68.000000	91.068	158.7940
69.000000	90.997	158.5710
70.000000	90.922	158.4273
71.000000	90.873	158.2928
72.000000	90.790	158.2574
73.000000	90.725	158.2253
74.000000	90.639	157.9117
75.000000	90.570	158.0442
76.199997	90.519	158.0627
77.500000	90.336	157.9436
78.800003	90.238	157.7349
80.000000	90.234	157.7977
81.199997	90.138	157.8911
82.500000	89.959	157.8074
83.800003	89.796	157.8640
85.000000	89.704	158.3408
86.199997	89.592	157.8947
87.500000	89.510	158.3908
88.500000	89.418	158.3772
90.000000	88.869	160.5054
91.199997	88.916	160.9845
92.500000	88.656	160.7325
93.800003	88.469	162.7486
95.000000	88.540	164.8011
96.199997	88.429	167.5637
97.500000	88.704	170.9856
98.800003	89.223	173.2756
100.000000	89.995	173.1797
101.500000	89.919	170.8577
103.000000	90.159	170.1337
104.400002	90.258	168.5619
106.000000	90.295	166.4083
107.500000	90.167	165.4869
109.000000	90.169	165.1655
110.599998	90.029	164.1432
112.000000	89.931	163.8348
113.800003	89.852	164.0378
115.000000	89.737	163.3155
117.199997	89.732	163.7021
118.000000	89.688	163.8264
120.599998	89.694	163.5127
122.000000	89.680	163.3180
124.099998	89.584	162.6366
125.000000	89.522	162.7940
126.500000	89.497	162.5908
128.000000	89.434	162.5614
131.500000	89.346	162.5668
132.000000	89.343	162.4427
134.000000	89.215	162.7100
136.000000	89.132	162.7820
138.000000	89.137	162.5585
140.000000	89.026	162.8399
143.000000	88.942	162.9651
145.000000	88.911	162.6464
147.500000	88.846	163.2644
150.000000	88.765	163.4202
152.500000	88.677	163.3355
155.000000	88.631	163.6045
157.500000	88.588	163.5202
160.000000	88.506	163.8940
162.500000	88.433	163.9364
165.000000	88.393	164.3182
167.500000	88.323	164.4816
170.000000	88.263	164.6980
172.500000	88.214	165.0450
175.000000	88.154	165.3701
177.500000	88.129	165.6267
180.000000	88.104	165.8571
182.500000	88.044	166.0757
185.000000	88.025	166.1978
187.500000	87.997	166.6211
190.000000	87.949	166.8704
192.500000	87.936	166.7193
195.000000	87.919	167.0339
197.500000	87.901	167.0854
200.000000	87.867	167.3725
203.000000	87.841	167.4346
206.000000	87.788	167.7178
209.000000	87.753	167.9269
212.000000	87.731	168.0453
214.000000	87.687	168.3414
218.000000	87.668	168.7021
220.000000	87.640	168.7863
224.000000	87.604	169.2186
227.000000	87.586	169.5668
230.000000	87.542	169.6295
233.000000	87.500	169.9902
236.000000	87.470	170.1015
240.000000	87.419	170.4974
243.000000	87.394	170.6115
247.000000	87.360	171.0623
250.000000	87.330	171.2722
254.000000	87.312	171.6856
258.000000	87.276	171.9984
262.000000	87.248	172.3136
265.000000	87.235	172.5147
269.000000	87.215	172.8541
272.000000	87.180	173.1295
276.000000	87.156	173.4676
280.000000	87.129	173.7785
285.000000	87.103	174.1472
290.000000	87.065	174.5576
295.000000	87.030	174.9690
300.000000	87.013	175.3499
304.000000	86.978	175.6931
307.000000	86.966	175.9483
311.000000	86.942	176.2943
315.000000	86.931	176.5617
320.000000	86.889	176.9312
325.000000	86.879	177.2056
330.000000	86.845	177.6497
335.000000	86.810	178.0812
340.000000	86.807	178.4427
345.000000	86.783	178.8458
350.000000	86.765	179.1682
355.000000	86.743	179.5168
360.000000	86.731	179.9102
365.000000	86.723	-179.7141
370.000000	86.713	-179.4016
375.000000	86.695	-179.0248
382.000000	86.675	-178.4872
387.000000	86.660	-178.1508
395.000000	86.646	-177.5163
400.000000	86.627	-177.2303
406.000000	86.607	-176.8199
412.000000	86.598	-176.4137
418.000000	86.590	-176.0187
425.000000	86.568	-175.5142
431.000000	86.563	-175.1187
437.000000	86.547	-174.6744
444.000000	86.534	-174.2509
450.000000	86.522	-173.8028
455.000000	86.504	-173.4956
462.000000	86.499	-172.9633
468.000000	86.499	-172.5422
475.000000	86.495	-172.1184
482.000000	86.482	-171.6052
487.000000	86.465	-171.2664
494.000000	86.460	-170.8761
500.000000	86.477	-170.4607
508.000000	86.475	-169.9340
515.000000	86.475	-169.5014
522.000000	86.471	-169.0014
530.000000	86.464	-168.4684
538.000000	86.471	-168.0076
545.000000	86.477	-167.4194
552.000000	86.465	-166.9804
560.000000	86.455	-166.5514
570.000000	86.467	-165.8907
580.000000	86.474	-165.1970
590.000000	86.488	-164.5920
600.000000	86.487	-163.9174
608.000000	86.491	-163.4636
615.000000	86.501	-162.9956
622.000000	86.493	-162.5719
630.000000	86.514	-161.9890
640.000000	86.523	-161.3310
650.000000	86.533	-160.6620
660.000000	86.546	-160.0251
