* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 8:54:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQ6 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.074	-158.9878
20.299999	93.101	-159.4680
20.600000	93.126	-159.9392
20.900000	93.149	-160.3881
21.200001	93.170	-160.8231
21.400000	93.186	-161.1049
21.799999	93.217	-161.6505
22.000000	93.232	-161.9197
22.400000	93.262	-162.4668
22.700001	93.282	-162.8673
23.000000	93.300	-163.2525
23.299999	93.316	-163.6245
23.600000	93.332	-163.9763
24.000000	93.356	-164.4208
24.299999	93.376	-164.7504
24.700001	93.403	-165.1927
25.000000	93.423	-165.5287
25.400000	93.447	-165.9858
25.799999	93.467	-166.4346
26.200001	93.485	-166.8737
26.500000	93.497	-167.1949
26.900000	93.508	-167.6013
27.200001	93.514	-167.8936
27.600000	93.522	-168.2685
28.000000	93.533	-168.6281
28.500000	93.548	-169.0841
29.000000	93.563	-169.5562
29.500000	93.574	-170.0427
30.000000	93.580	-170.5080
30.400000	93.586	-170.8625
30.700001	93.591	-171.1162
31.100000	93.599	-171.4499
31.500000	93.607	-171.7873
32.000000	93.615	-172.2069
32.500000	93.620	-172.6176
33.000000	93.625	-173.0082
33.500000	93.627	-173.3892
34.000000	93.630	-173.7620
34.500000	93.638	-174.1383
35.000000	93.645	-174.5156
35.500000	93.650	-174.8948
36.000000	93.652	-175.2574
36.500000	93.652	-175.5921
37.000000	93.655	-175.8992
37.500000	93.662	-176.2080
38.200001	93.669	-176.6640
38.700001	93.666	-176.9902
39.500000	93.660	-177.4661
40.000000	93.658	-177.7588
40.599998	93.655	-178.1319
41.200001	93.645	-178.4928
41.799999	93.635	-178.8139
42.500000	93.630	-179.1833
43.099998	93.627	-179.5307
43.700001	93.621	-179.8775
44.400002	93.615	179.7316
45.000000	93.609	179.3810
45.500000	93.600	179.0985
46.200001	93.588	178.7762
46.799999	93.587	178.5156
47.500000	93.584	178.1549
48.200001	93.568	177.8699
48.700001	93.567	177.7431
49.400002	93.589	177.4581
50.000000	93.594	177.0135
50.799999	93.549	176.5005
51.500000	93.513	176.3333
52.200001	93.508	176.1398
53.000000	93.495	175.7443
53.799999	93.466	175.4165
54.500000	93.451	175.1696
55.200001	93.438	174.8716
56.000000	93.419	174.5197
57.000000	93.392	174.1345
58.000000	93.372	173.7984
59.000000	93.353	173.4378
60.000000	93.330	173.0583
60.799999	93.299	172.6570
61.500000	93.244	172.4608
62.200001	93.217	172.5386
63.000000	93.248	172.4138
64.000000	93.234	171.7134
65.000000	93.174	171.4696
66.000000	93.177	171.2482
67.000000	93.159	170.8082
68.000000	93.131	170.4961
69.000000	93.104	170.1908
70.000000	93.071	169.9229
71.000000	93.041	169.6912
72.000000	93.018	169.4466
73.000000	92.989	169.1246
74.000000	92.954	168.8668
75.000000	92.927	168.6031
76.199997	92.889	168.3165
77.500000	92.856	168.0349
78.800003	92.824	167.7957
80.000000	92.800	167.4661
81.199997	92.756	167.1815
82.500000	92.718	166.8770
83.800003	92.678	166.6516
85.000000	92.656	166.3226
86.199997	92.612	166.0829
87.500000	92.581	165.8070
88.500000	92.546	165.6337
90.000000	92.505	165.3575
91.199997	92.463	165.1428
92.500000	92.424	164.9438
93.800003	92.392	164.6984
95.000000	92.349	164.4482
96.199997	92.310	164.3190
97.500000	92.279	164.1118
98.800003	92.240	163.9449
100.000000	92.210	163.7158
101.500000	92.150	163.5144
103.000000	92.105	163.3237
104.400002	92.066	163.1548
106.000000	92.015	162.8914
107.500000	91.973	162.7572
109.000000	91.928	162.4547
110.599998	91.867	162.3659
112.000000	91.829	162.1577
113.800003	91.759	162.0513
115.000000	91.736	161.9502
117.199997	91.668	161.6111
118.000000	91.638	161.5502
120.599998	91.549	161.3397
122.000000	91.511	161.2408
124.099998	91.433	161.1908
125.000000	91.416	161.1551
126.500000	91.374	160.9273
128.000000	91.324	160.8872
131.500000	91.223	160.6090
132.000000	91.209	160.5989
134.000000	91.158	160.4690
136.000000	91.101	160.3741
138.000000	91.045	160.2680
140.000000	90.978	160.1391
143.000000	90.887	159.9807
145.000000	90.826	159.9258
147.500000	90.755	159.9040
150.000000	90.721	160.2202
152.500000	90.589	160.0261
155.000000	90.499	160.1511
157.500000	90.431	160.2601
160.000000	90.389	160.3983
162.500000	90.335	160.3931
165.000000	90.285	160.3539
167.500000	90.238	160.2873
170.000000	90.184	160.2130
172.500000	90.130	160.2141
175.000000	90.072	160.2322
177.500000	90.033	160.2972
180.000000	89.967	160.2199
182.500000	89.922	160.1802
185.000000	89.862	160.1964
187.500000	89.818	160.1008
190.000000	89.762	160.1145
192.500000	89.710	160.0796
195.000000	89.656	160.1005
197.500000	89.598	160.0798
200.000000	89.541	160.1169
203.000000	89.480	160.1469
206.000000	89.417	160.2349
209.000000	89.350	160.3044
212.000000	89.292	160.3714
214.000000	89.251	160.4268
218.000000	89.166	160.5566
220.000000	89.120	160.6391
224.000000	89.036	160.7675
227.000000	88.973	160.9062
230.000000	88.913	161.0156
233.000000	88.850	161.1761
236.000000	88.793	161.3013
240.000000	88.703	161.5049
243.000000	88.650	161.6318
247.000000	88.582	161.8449
250.000000	88.510	161.7227
254.000000	88.469	162.2536
258.000000	88.392	162.4460
262.000000	88.322	162.6826
265.000000	88.280	162.9389
269.000000	88.213	163.1666
272.000000	88.165	163.3542
276.000000	88.096	163.6031
280.000000	88.035	163.8569
285.000000	87.954	164.1949
290.000000	87.874	164.5316
295.000000	87.797	164.8990
300.000000	87.717	165.2380
304.000000	87.658	165.5373
307.000000	87.614	165.7780
311.000000	87.554	166.0270
315.000000	87.494	166.3870
320.000000	87.425	166.7740
325.000000	87.355	167.1880
330.000000	87.282	167.5728
335.000000	87.216	167.9943
