* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 8:52:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQ6 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.026	-138.9587
20.299999	90.088	-139.4368
20.600000	90.151	-139.8888
20.900000	90.216	-140.3241
21.200001	90.283	-140.7683
21.400000	90.328	-141.0705
21.799999	90.415	-141.6803
22.000000	90.457	-141.9860
22.400000	90.536	-142.5997
22.700001	90.592	-143.0406
23.000000	90.646	-143.4623
23.299999	90.701	-143.8768
23.600000	90.755	-144.2857
24.000000	90.830	-144.8376
24.299999	90.885	-145.2701
24.700001	90.953	-145.8659
25.000000	90.999	-146.3131
25.400000	91.054	-146.8917
25.799999	91.104	-147.4183
26.200001	91.155	-147.9028
26.500000	91.196	-148.2575
26.900000	91.251	-148.7367
27.200001	91.291	-149.1161
27.600000	91.340	-149.6452
28.000000	91.384	-150.1708
28.500000	91.434	-150.7985
29.000000	91.483	-151.3873
29.500000	91.533	-151.9713
30.000000	91.580	-152.5511
30.400000	91.618	-153.0062
30.700001	91.646	-153.3319
31.100000	91.683	-153.7517
31.500000	91.721	-154.1705
32.000000	91.768	-154.7045
32.500000	91.810	-155.2502
33.000000	91.847	-155.7784
33.500000	91.878	-156.2828
34.000000	91.909	-156.7682
34.500000	91.945	-157.2566
35.000000	91.978	-157.7437
35.500000	92.009	-158.2234
36.000000	92.040	-158.6851
36.500000	92.070	-159.1365
37.000000	92.101	-159.5833
37.500000	92.133	-160.0384
38.200001	92.173	-160.6815
38.700001	92.194	-161.1355
39.500000	92.223	-161.8178
40.000000	92.241	-162.2218
40.599998	92.263	-162.7055
41.200001	92.282	-163.1852
41.799999	92.298	-163.6472
42.500000	92.317	-164.1659
43.099998	92.334	-164.6063
43.700001	92.351	-165.0482
44.400002	92.370	-165.5806
45.000000	92.381	-166.0497
45.500000	92.386	-166.4140
46.200001	92.397	-166.8549
46.799999	92.415	-167.2398
47.500000	92.430	-167.7321
48.200001	92.441	-168.1384
48.700001	92.461	-168.3964
49.400002	92.502	-168.9288
50.000000	92.509	-169.5365
50.799999	92.471	-170.1186
51.500000	92.458	-170.3346
52.200001	92.476	-170.6311
53.000000	92.485	-171.1408
53.799999	92.475	-171.5730
54.500000	92.472	-171.8746
55.200001	92.480	-172.1939
56.000000	92.490	-172.6594
57.000000	92.480	-173.2251
58.000000	92.481	-173.7161
59.000000	92.461	-174.2786
60.000000	92.453	-174.6398
60.799999	92.457	-175.2212
61.500000	92.406	-175.6604
62.200001	92.372	-175.6614
63.000000	92.419	-175.8088
64.000000	92.436	-176.6633
65.000000	92.398	-177.1544
66.000000	92.392	-177.5619
67.000000	92.385	-177.9196
68.000000	92.393	-178.3507
69.000000	92.373	-178.7967
70.000000	92.360	-179.0987
71.000000	92.350	-179.4845
72.000000	92.336	-179.8586
73.000000	92.317	179.7281
74.000000	92.293	179.3908
75.000000	92.283	179.0355
76.199997	92.260	178.5763
77.500000	92.238	178.1693
78.800003	92.217	177.7444
80.000000	92.197	177.3602
81.199997	92.171	176.9726
82.500000	92.146	176.5907
83.800003	92.118	176.2195
85.000000	92.100	175.8798
86.199997	92.073	175.5244
87.500000	92.042	175.1700
88.500000	92.018	174.9241
90.000000	91.983	174.5365
91.199997	91.957	174.2717
92.500000	91.932	173.9097
93.800003	91.900	173.6109
95.000000	91.873	173.3026
96.199997	91.844	173.0371
97.500000	91.816	172.7265
98.800003	91.785	172.4451
100.000000	91.753	172.1585
101.500000	91.717	171.9803
103.000000	91.701	171.5848
104.400002	91.653	171.2676
106.000000	91.607	171.0346
107.500000	91.575	170.6857
109.000000	91.537	170.4606
110.599998	91.472	170.1397
112.000000	91.457	170.0414
113.800003	91.401	169.7275
115.000000	91.371	169.5136
117.199997	91.306	169.1828
118.000000	91.282	169.0862
120.599998	91.216	168.7084
122.000000	91.181	168.5611
124.099998	91.121	168.3514
125.000000	91.110	168.2398
126.500000	91.065	167.9448
128.000000	91.018	167.7618
131.500000	90.915	167.4461
132.000000	90.906	167.4261
134.000000	90.856	167.1606
136.000000	90.802	166.9831
138.000000	90.743	166.8246
140.000000	90.686	166.6764
143.000000	90.600	166.4653
145.000000	90.550	166.3157
147.500000	90.494	166.1565
150.000000	90.493	166.0544
152.500000	90.357	166.0566
155.000000	90.278	165.9987
157.500000	90.198	165.8528
160.000000	90.124	165.7632
162.500000	90.063	165.7457
165.000000	89.962	165.8455
167.500000	89.879	166.0120
170.000000	89.823	166.2433
172.500000	89.806	166.4836
175.000000	89.810	166.6404
177.500000	89.810	166.7335
180.000000	89.808	166.4595
182.500000	89.773	166.1952
185.000000	89.717	165.9459
187.500000	89.685	165.8767
190.000000	89.626	165.6660
192.500000	89.573	165.5167
195.000000	89.528	165.4453
197.500000	89.476	165.3911
200.000000	89.422	165.3469
203.000000	89.365	165.3418
206.000000	89.325	165.5515
209.000000	89.242	165.3863
212.000000	89.181	165.3589
214.000000	89.131	165.2740
218.000000	89.060	165.4338
220.000000	89.013	165.4344
