* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 9:13:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQ6 Tanch L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.359	-161.2438
20.299999	87.387	-161.7164
20.600000	87.413	-162.1943
20.900000	87.436	-162.6655
21.200001	87.457	-163.1319
21.400000	87.471	-163.4331
21.799999	87.498	-164.0061
22.000000	87.512	-164.2813
22.400000	87.540	-164.8293
22.700001	87.560	-165.2312
23.000000	87.580	-165.6289
23.299999	87.599	-166.0279
23.600000	87.617	-166.4193
24.000000	87.640	-166.9267
24.299999	87.657	-167.3022
24.700001	87.678	-167.7951
25.000000	87.693	-168.1592
25.400000	87.710	-168.6414
25.799999	87.725	-169.1037
26.200001	87.739	-169.5503
26.500000	87.750	-169.8787
26.900000	87.761	-170.3059
27.200001	87.767	-170.6265
27.600000	87.775	-171.0551
28.000000	87.781	-171.4742
28.500000	87.787	-171.9869
29.000000	87.794	-172.4852
29.500000	87.801	-172.9861
30.000000	87.807	-173.4822
30.400000	87.812	-173.8770
30.700001	87.816	-174.1647
31.100000	87.820	-174.5392
31.500000	87.823	-174.9064
32.000000	87.826	-175.3477
32.500000	87.828	-175.7702
33.000000	87.832	-176.1742
33.500000	87.833	-176.5794
34.000000	87.834	-176.9888
34.500000	87.837	-177.4012
35.000000	87.837	-177.7977
35.500000	87.836	-178.1791
36.000000	87.836	-178.5491
36.500000	87.834	-178.9166
37.000000	87.832	-179.2751
37.500000	87.829	-179.6266
38.200001	87.824	179.8951
38.700001	87.818	179.5555
39.500000	87.805	179.0262
40.000000	87.798	178.7085
40.599998	87.791	178.3313
41.200001	87.784	177.9545
41.799999	87.777	177.5804
42.500000	87.768	177.1503
43.099998	87.761	176.7775
43.700001	87.751	176.4019
44.400002	87.736	175.9924
45.000000	87.723	175.6710
45.500000	87.715	175.3951
46.200001	87.701	174.9893
46.799999	87.684	174.6634
47.500000	87.668	174.3134
48.200001	87.656	173.9092
48.700001	87.639	173.5978
49.400002	87.605	173.2557
50.000000	87.588	173.0580
50.799999	87.587	172.7160
51.500000	87.578	172.2916
52.200001	87.555	171.9099
53.000000	87.532	171.5668
53.799999	87.516	171.2020
54.500000	87.494	170.8710
55.200001	87.469	170.5850
56.000000	87.447	170.2867
57.000000	87.423	169.8445
58.000000	87.386	169.3933
59.000000	87.349	168.9986
60.000000	87.310	168.6003
60.799999	87.283	168.3068
61.500000	87.263	168.0537
62.200001	87.245	167.7973
63.000000	87.224	167.4883
64.000000	87.190	167.1038
65.000000	87.160	166.8099
66.000000	87.136	166.4435
67.000000	87.099	166.0775
68.000000	87.061	165.7472
69.000000	87.018	165.4442
70.000000	86.987	165.1810
71.000000	86.955	164.8257
72.000000	86.917	164.5362
73.000000	86.886	164.2229
74.000000	86.846	163.9359
75.000000	86.815	163.6708
76.199997	86.770	163.3369
77.500000	86.726	163.0162
78.800003	86.677	162.6833
80.000000	86.636	162.3881
81.199997	86.592	162.0734
82.500000	86.542	161.7370
83.800003	86.491	161.4513
85.000000	86.450	161.1876
86.199997	86.405	160.9160
87.500000	86.358	160.6317
88.500000	86.320	160.4108
90.000000	86.261	160.1225
91.199997	86.219	159.8915
92.500000	86.172	159.6447
93.800003	86.127	159.3927
95.000000	86.080	159.1706
96.199997	86.036	158.9623
97.500000	85.983	158.7619
98.800003	85.937	158.5729
100.000000	85.892	158.4098
101.500000	85.844	158.1516
103.000000	85.786	157.9338
104.400002	85.738	157.7150
106.000000	85.676	157.4816
107.500000	85.621	157.2777
109.000000	85.559	157.0583
110.599998	85.504	156.8984
112.000000	85.445	156.6814
113.800003	85.385	156.5208
115.000000	85.326	156.4128
117.199997	85.256	156.2375
118.000000	85.223	156.1985
120.599998	85.127	156.0079
122.000000	85.091	155.9223
124.099998	85.025	155.7350
125.000000	84.998	155.6664
126.500000	84.955	155.5296
128.000000	84.900	155.3759
131.500000	84.781	155.1309
132.000000	84.768	155.0718
134.000000	84.692	154.9120
136.000000	84.621	154.7743
138.000000	84.552	154.6792
140.000000	84.487	154.5766
143.000000	84.384	154.4601
145.000000	84.314	154.4108
147.500000	84.221	154.3512
150.000000	84.092	154.3508
152.500000	84.040	154.2447
155.000000	83.958	154.2602
157.500000	83.870	154.3764
160.000000	83.791	154.4757
162.500000	83.714	154.5725
165.000000	83.639	154.6971
167.500000	83.605	154.8552
170.000000	83.562	154.8908
172.500000	83.527	154.8581
175.000000	83.484	154.7178
177.500000	83.428	154.6226
180.000000	83.363	154.4999
182.500000	83.304	154.3901
185.000000	83.243	154.3585
187.500000	83.170	154.3704
190.000000	83.102	154.2959
192.500000	83.037	154.2954
195.000000	82.978	154.2799
197.500000	82.918	154.2835
200.000000	82.860	154.3387
203.000000	82.787	154.3833
206.000000	82.713	154.4288
209.000000	82.641	154.4814
212.000000	82.566	154.5722
214.000000	82.528	154.6300
218.000000	82.430	154.7527
220.000000	82.379	154.7640
224.000000	82.286	154.9297
227.000000	82.213	155.0208
230.000000	82.143	155.1214
233.000000	82.079	155.2960
236.000000	82.013	155.4615
240.000000	81.919	155.7466
243.000000	81.861	155.8258
247.000000	81.777	156.0056
250.000000	81.745	156.1172
254.000000	81.645	156.4565
258.000000	81.574	156.6822
262.000000	81.505	156.9002
265.000000	81.450	157.0370
269.000000	81.383	157.2582
272.000000	81.325	157.4275
276.000000	81.251	157.6352
280.000000	81.177	157.8759
285.000000	81.083	158.1905
290.000000	80.992	158.5120
295.000000	80.900	158.8407
300.000000	80.813	159.2197
304.000000	80.739	159.4902
307.000000	80.682	159.7237
311.000000	80.609	160.0394
315.000000	80.534	160.3727
320.000000	80.444	160.8462
325.000000	80.352	161.3502
330.000000	80.264	161.9404
335.000000	80.183	162.6193
340.000000	80.123	163.3990
345.000000	80.092	164.2014
350.000000	80.120	164.9490
355.000000	80.125	165.4222
360.000000	80.143	165.6574
365.000000	80.135	165.7474
370.000000	80.106	165.8542
375.000000	80.066	165.9662
382.000000	79.993	166.2512
387.000000	79.936	166.5134
395.000000	79.844	166.9694
400.000000	79.789	167.2721
406.000000	79.728	167.6862
412.000000	79.668	168.1153
418.000000	79.613	168.5515
425.000000	79.544	169.0464
431.000000	79.491	169.4840
437.000000	79.438	169.9565
444.000000	79.379	170.4846
450.000000	79.292	170.8881
455.000000	79.288	171.3129
462.000000	79.232	171.8828
468.000000	79.186	172.3702
475.000000	79.137	172.8999
482.000000	79.088	173.4531
487.000000	79.057	173.8593
494.000000	79.015	174.4074
500.000000	78.980	174.8900
508.000000	78.938	175.5386
515.000000	78.900	176.0986
522.000000	78.863	176.6750
530.000000	78.823	177.3436
538.000000	78.786	177.9782
545.000000	78.758	178.5477
552.000000	78.725	179.1283
560.000000	78.695	179.7548
570.000000	78.656	-179.4114
580.000000	78.619	-178.5835
590.000000	78.588	-177.7756
600.000000	78.562	-176.9537
608.000000	78.539	-176.2877
