* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 9:11:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQ6 Tanch R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.357	-141.2938
20.299999	84.422	-141.8546
20.600000	84.482	-142.3898
20.900000	84.537	-142.8786
21.200001	84.593	-143.3325
21.400000	84.634	-143.6236
21.799999	84.721	-144.2006
22.000000	84.765	-144.5024
22.400000	84.855	-145.1628
22.700001	84.916	-145.6892
23.000000	84.971	-146.2242
23.299999	85.019	-146.7523
23.600000	85.061	-147.2511
24.000000	85.115	-147.8589
24.299999	85.158	-148.2827
24.700001	85.217	-148.8245
25.000000	85.265	-149.2320
25.400000	85.329	-149.8015
25.799999	85.390	-150.3931
26.200001	85.444	-150.9969
26.500000	85.480	-151.4433
26.900000	85.521	-152.0041
27.200001	85.547	-152.3971
27.600000	85.582	-152.8865
28.000000	85.619	-153.3422
28.500000	85.670	-153.9003
29.000000	85.723	-154.4675
29.500000	85.777	-155.0660
30.000000	85.825	-155.6818
30.400000	85.860	-156.1780
30.700001	85.885	-156.5380
31.100000	85.914	-156.9959
31.500000	85.944	-157.4329
32.000000	85.983	-157.9630
32.500000	86.023	-158.5070
33.000000	86.060	-159.0678
33.500000	86.088	-159.6319
34.000000	86.113	-160.1685
34.500000	86.142	-160.6799
35.000000	86.172	-161.1775
35.500000	86.203	-161.6825
36.000000	86.231	-162.1912
36.500000	86.256	-162.6942
37.000000	86.279	-163.1756
37.500000	86.302	-163.6406
38.200001	86.333	-164.2779
38.700001	86.352	-164.7401
39.500000	86.376	-165.4779
40.000000	86.387	-165.9194
40.599998	86.401	-166.4303
41.200001	86.415	-166.9358
41.799999	86.427	-167.4394
42.500000	86.437	-167.9996
43.099998	86.449	-168.4584
43.700001	86.462	-168.9298
44.400002	86.473	-169.4926
45.000000	86.478	-169.9502
45.500000	86.484	-170.3188
46.200001	86.493	-170.8493
46.799999	86.496	-171.3035
47.500000	86.499	-171.7759
48.200001	86.513	-172.2632
48.700001	86.520	-172.6816
49.400002	86.509	-173.2728
50.000000	86.490	-173.6330
50.799999	86.490	-173.9731
51.500000	86.510	-174.3911
52.200001	86.518	-174.9052
53.000000	86.513	-175.4231
53.799999	86.511	-175.9000
54.500000	86.505	-176.3233
55.200001	86.498	-176.7194
56.000000	86.492	-177.1795
57.000000	86.476	-177.7403
58.000000	86.467	-178.2642
59.000000	86.448	-178.8415
60.000000	86.427	-179.2895
60.799999	86.427	-179.7237
61.500000	86.412	179.8568
62.200001	86.395	179.5509
63.000000	86.393	179.2004
64.000000	86.377	178.6134
65.000000	86.347	178.1827
66.000000	86.330	177.7660
67.000000	86.312	177.3511
68.000000	86.299	176.9025
69.000000	86.273	176.4430
70.000000	86.252	176.0619
71.000000	86.234	175.6060
72.000000	86.203	175.2155
73.000000	86.185	174.8668
74.000000	86.162	174.4561
75.000000	86.134	174.1235
76.199997	86.111	173.6925
77.500000	86.073	173.2169
78.800003	86.029	172.7903
80.000000	86.004	172.4929
81.199997	85.983	172.0244
82.500000	85.943	171.5920
83.800003	85.909	171.2025
85.000000	85.885	170.8381
86.199997	85.856	170.4190
87.500000	85.808	169.9922
88.500000	85.775	169.7670
90.000000	85.733	169.4130
91.199997	85.711	169.0992
92.500000	85.665	168.7122
93.800003	85.630	168.4181
95.000000	85.586	168.1108
96.199997	85.555	167.8538
97.500000	85.511	167.5141
98.800003	85.481	167.2108
100.000000	85.428	166.9013
101.500000	85.397	166.7010
103.000000	85.353	166.3366
104.400002	85.314	166.0480
106.000000	85.256	165.7195
107.500000	85.206	165.4953
109.000000	85.157	165.2054
110.599998	85.113	164.9493
112.000000	85.064	164.6979
113.800003	85.005	164.4428
115.000000	84.974	164.3084
117.199997	84.911	163.9824
118.000000	84.887	163.8520
120.599998	84.812	163.5040
122.000000	84.773	163.2810
124.099998	84.711	162.9824
125.000000	84.686	162.8442
126.500000	84.638	162.6443
128.000000	84.596	162.4654
131.500000	84.485	162.0411
132.000000	84.470	161.9944
134.000000	84.410	161.7498
136.000000	84.347	161.5533
138.000000	84.287	161.3780
140.000000	84.219	161.2249
143.000000	84.122	160.9673
145.000000	84.061	160.8530
147.500000	83.985	160.7570
150.000000	83.926	160.9066
