* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 3:09:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dark Sky L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.627	-2.0722
20.600000	102.589	-2.4500
20.900000	102.544	-2.7618
21.200001	102.494	-2.9994
21.400000	102.462	-3.1115
21.799999	102.412	-3.2903
22.000000	102.396	-3.4017
22.400000	102.375	-3.7687
22.700001	102.366	-4.1952
23.000000	102.361	-4.7300
23.299999	102.367	-5.3541
23.600000	102.391	-6.0889
24.000000	102.447	-7.3009
24.299999	102.487	-8.3936
24.700001	102.504	-9.9571
25.000000	102.472	-10.9895
25.400000	102.378	-11.8544
25.799999	102.278	-11.9557
26.200001	102.234	-11.5092
26.500000	102.250	-11.1203
26.900000	102.309	-10.8577
27.200001	102.351	-10.9326
27.600000	102.376	-11.3009
28.000000	102.361	-11.7560
28.500000	102.312	-12.1850
29.000000	102.283	-12.4044
29.500000	102.313	-12.6753
30.000000	102.382	-13.5129
30.400000	102.400	-14.7564
30.700001	102.349	-15.8791
31.100000	102.181	-17.1339
31.500000	101.955	-17.6045
32.000000	101.773	-17.0272
32.500000	101.815	-16.4742
33.000000	101.911	-17.1720
33.500000	101.840	-18.3922
34.000000	101.660	-18.5215
34.500000	101.648	-17.6119
35.000000	101.848	-17.5609
35.500000	101.969	-19.1592
36.000000	101.811	-20.6951
36.500000	101.563	-20.3037
37.000000	101.592	-18.8037
37.500000	101.861	-18.9202
38.200001	101.896	-22.2200
38.700001	101.517	-23.6960
39.500000	101.197	-21.4983
40.000000	101.473	-20.8040
40.599998	101.783	-22.7429
41.200001	101.702	-25.0233
41.799999	101.426	-25.2178
42.500000	101.312	-23.6504
43.099998	101.403	-23.1205
43.700001	101.463	-23.7375
44.400002	101.422	-24.8479
45.000000	101.362	-25.6840
45.500000	101.312	-26.5931
46.200001	101.132	-28.2153
46.799999	100.845	-28.7799
47.500000	100.662	-27.4517
48.200001	100.861	-26.2485
48.700001	101.048	-26.6588
49.400002	101.099	-28.1001
50.000000	100.996	-28.9896
50.799999	100.830	-29.5894
51.500000	100.692	-29.6580
52.200001	100.617	-29.2872
53.000000	100.612	-29.4121
53.799999	100.549	-30.2988
54.500000	100.490	-30.8247
55.200001	100.502	-31.0556
56.000000	100.501	-31.2422
57.000000	100.344	-31.2128
58.000000	100.210	-31.1756
59.000000	100.286	-32.3135
60.000000	100.237	-33.8101
60.799999	100.107	-33.5483
61.500000	100.083	-33.1067
62.200001	100.077	-33.4645
63.000000	100.008	-34.2192
64.000000	99.909	-35.0622
65.000000	99.722	-35.5678
66.000000	99.670	-35.1656
67.000000	99.715	-36.1514
68.000000	99.514	-36.5903
69.000000	99.508	-35.9384
70.000000	99.461	-37.1058
71.000000	99.200	-36.9822
72.000000	99.312	-36.8022
73.000000	99.255	-38.3888
74.000000	99.043	-37.4796
75.000000	99.132	-37.1674
76.199997	99.023	-38.1433
77.500000	98.937	-37.8609
78.800003	98.739	-38.2588
80.000000	98.633	-39.7978
81.199997	98.607	-39.5386
82.500000	98.695	-39.4301
83.800003	98.593	-39.5451
85.000000	98.288	-39.4640
86.199997	98.216	-37.5780
87.500000	98.203	-40.2867
88.500000	98.167	-40.3914
90.000000	98.200	-41.1535
91.199997	98.026	-40.3559
92.500000	97.796	-40.4808
93.800003	97.954	-40.6442
95.000000	97.829	-42.2077
96.199997	97.804	-41.3637
97.500000	97.486	-41.7701
98.800003	97.495	-42.5237
100.000000	97.098	-43.4156
101.500000	97.476	-41.7704
103.000000	97.174	-43.0617
104.400002	97.330	-43.0926
106.000000	96.837	-42.8988
107.500000	97.039	-43.2741
109.000000	96.820	-42.9565
110.599998	96.849	-43.5971
112.000000	96.551	-43.2966
113.800003	96.668	-43.7153
115.000000	96.587	-43.0580
117.199997	96.327	-42.3879
118.000000	96.627	-42.6335
120.599998	96.123	-43.5347
122.000000	96.251	-42.0130
124.099998	96.207	-45.5068
125.000000	95.918	-45.2993
126.500000	95.755	-43.6674
128.000000	96.118	-44.3170
131.500000	95.386	-40.9284
132.000000	95.752	-39.8686
134.000000	95.493	-43.9466
136.000000	95.105	-46.6404
138.000000	95.238	-45.3426
140.000000	95.481	-44.0153
143.000000	95.409	-45.2905
145.000000	95.300	-41.4184
147.500000	94.018	-43.0581
150.000000	94.482	-46.3095
152.500000	94.956	-44.3255
155.000000	94.213	-44.7231
157.500000	94.186	-43.2038
160.000000	94.348	-42.1862
162.500000	94.043	-44.3197
165.000000	94.115	-47.6527
167.500000	93.641	-39.8078
170.000000	93.503	-43.6569
172.500000	93.591	-43.1120
175.000000	93.839	-40.0758
177.500000	93.362	-42.8512
180.000000	93.314	-42.4872
182.500000	92.945	-40.8513
