* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 3:07:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dark Sky R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.426	-6.6084
20.600000	102.375	-6.8093
20.900000	102.312	-6.7704
21.200001	102.264	-6.6500
21.400000	102.248	-6.6255
21.799999	102.248	-6.8759
22.000000	102.260	-7.2107
22.400000	102.286	-8.3145
22.700001	102.295	-9.3992
23.000000	102.289	-10.5203
23.299999	102.271	-11.5072
23.600000	102.251	-12.2525
24.000000	102.235	-12.8044
24.299999	102.240	-12.9489
24.700001	102.263	-12.9691
25.000000	102.282	-13.0042
25.400000	102.288	-13.2146
25.799999	102.255	-13.6496
26.200001	102.185	-14.2497
26.500000	102.121	-14.7521
26.900000	102.037	-15.4399
27.200001	101.985	-15.9485
27.600000	101.939	-16.5948
28.000000	101.913	-17.1556
28.500000	101.900	-17.6393
29.000000	101.909	-17.8918
29.500000	101.942	-18.1564
30.000000	101.968	-18.7271
30.400000	101.951	-19.3884
30.700001	101.905	-19.8833
31.100000	101.810	-20.3470
31.500000	101.707	-20.5088
32.000000	101.612	-20.4944
32.500000	101.547	-20.6402
33.000000	101.463	-21.1267
33.500000	101.347	-21.6389
34.000000	101.270	-21.8914
34.500000	101.302	-22.0790
35.000000	101.406	-22.5811
35.500000	101.473	-23.3774
36.000000	101.432	-23.9991
36.500000	101.307	-24.0977
37.000000	101.176	-23.8865
37.500000	101.078	-23.9307
38.200001	100.970	-24.8457
38.700001	100.908	-25.6644
39.500000	100.927	-26.2673
40.000000	101.002	-26.2728
40.599998	101.067	-26.1511
41.200001	101.061	-26.0578
41.799999	101.007	-26.3960
42.500000	100.889	-27.7392
43.099998	100.725	-28.9903
43.700001	100.588	-29.2107
44.400002	100.598	-28.4881
45.000000	100.646	-28.4394
45.500000	100.554	-28.9716
46.200001	100.261	-29.4906
46.799999	100.129	-29.4048
47.500000	100.253	-29.8602
48.200001	100.394	-30.6741
48.700001	100.420	-30.6030
49.400002	100.439	-29.8953
50.000000	100.408	-30.1491
50.799999	100.138	-31.6486
51.500000	99.884	-32.2273
52.200001	99.865	-32.2936
53.000000	99.890	-32.8233
53.799999	99.760	-32.8621
54.500000	99.693	-32.8202
55.200001	99.658	-33.6626
56.000000	99.557	-34.5315
57.000000	99.511	-34.4553
58.000000	99.431	-34.5835
59.000000	99.347	-34.4900
60.000000	99.319	-35.3713
60.799999	99.161	-35.9082
61.500000	99.065	-35.6524
62.200001	99.087	-35.7391
63.000000	99.080	-36.5224
64.000000	98.956	-36.5407
65.000000	98.905	-36.3395
66.000000	98.753	-37.0361
67.000000	98.699	-37.2510
68.000000	98.668	-37.8368
69.000000	98.514	-37.0897
70.000000	98.591	-37.5395
71.000000	98.504	-39.5734
72.000000	98.361	-38.9061
73.000000	98.282	-37.3556
74.000000	98.168	-37.1538
75.000000	98.106	-39.0462
76.199997	97.867	-40.3740
77.500000	97.774	-37.5667
78.800003	97.946	-39.4741
80.000000	97.546	-40.1306
81.199997	97.610	-39.3780
82.500000	97.400	-41.4832
83.800003	97.411	-40.0931
85.000000	97.399	-39.6270
86.199997	97.216	-39.8441
87.500000	97.025	-40.7565
88.500000	96.997	-39.5407
90.000000	97.215	-39.9360
91.199997	96.959	-41.4619
92.500000	96.783	-39.6709
93.800003	96.886	-40.7970
95.000000	96.591	-41.6219
96.199997	96.707	-41.5561
97.500000	96.624	-40.8054
98.800003	96.382	-41.9154
100.000000	95.828	-41.6743
101.500000	96.370	-41.3600
103.000000	96.227	-41.1241
104.400002	96.109	-41.5656
106.000000	96.034	-41.7183
107.500000	95.955	-41.2736
109.000000	95.893	-41.8270
110.599998	95.695	-41.9158
112.000000	95.659	-41.4827
113.800003	95.575	-40.6895
115.000000	95.673	-42.4615
117.199997	95.503	-40.4384
118.000000	95.264	-40.8439
120.599998	95.166	-42.4515
122.000000	95.055	-41.3673
124.099998	95.054	-42.1407
125.000000	94.961	-41.2640
126.500000	95.089	-42.6002
128.000000	94.788	-42.3667
131.500000	94.683	-40.2818
132.000000	94.672	-40.6163
134.000000	94.563	-40.5257
136.000000	94.374	-40.4509
138.000000	94.351	-40.6619
140.000000	94.277	-40.8837
143.000000	94.085	-40.4012
145.000000	94.032	-40.7064
147.500000	93.991	-40.0621
150.000000	93.747	-39.2400
152.500000	93.763	-40.7504
155.000000	93.658	-39.1690
157.500000	93.528	-38.3293
160.000000	93.389	-38.7596
162.500000	93.304	-38.2019
165.000000	93.181	-38.7023
167.500000	93.174	-38.7814
170.000000	93.058	-37.7411
172.500000	92.938	-37.7238
175.000000	92.775	-37.0592
177.500000	92.796	-37.3421
180.000000	92.716	-37.0037
182.500000	92.694	-36.4312
185.000000	92.455	-35.9284
