* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 22 May, 2022 10:33:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EX15 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.194	-120.6415
20.600000	86.317	-121.1398
20.900000	86.426	-121.6043
21.200001	86.528	-122.0470
21.400000	86.595	-122.3126
21.799999	86.731	-122.7663
22.000000	86.801	-122.9645
22.400000	86.948	-123.3535
22.700001	87.060	-123.6624
23.000000	87.169	-124.0129
23.299999	87.271	-124.4159
23.600000	87.365	-124.8550
24.000000	87.479	-125.4668
24.299999	87.560	-125.9208
24.700001	87.665	-126.4808
25.000000	87.748	-126.8509
25.400000	87.866	-127.2850
25.799999	87.993	-127.6681
26.200001	88.121	-128.0457
26.500000	88.212	-128.3403
26.900000	88.315	-128.7347
27.200001	88.378	-129.0216
27.600000	88.454	-129.3778
28.000000	88.530	-129.7115
28.500000	88.642	-130.1820
29.000000	88.770	-130.7834
29.500000	88.898	-131.4898
30.000000	89.016	-132.1611
30.400000	89.107	-132.6201
30.700001	89.175	-132.9214
31.100000	89.264	-133.3113
31.500000	89.349	-133.7281
32.000000	89.442	-134.2895
32.500000	89.523	-134.8552
33.000000	89.605	-135.3879
33.500000	89.693	-135.9154
34.000000	89.785	-136.4575
34.500000	89.878	-137.0000
35.000000	89.964	-137.5007
35.500000	90.046	-137.9628
36.000000	90.128	-138.4193
36.500000	90.207	-138.8993
37.000000	90.283	-139.3904
37.500000	90.359	-139.8787
38.200001	90.463	-140.5394
38.700001	90.533	-140.9957
39.500000	90.640	-141.6833
40.000000	90.706	-142.1050
40.599998	90.782	-142.6288
41.200001	90.851	-143.1455
41.799999	90.917	-143.6391
42.500000	90.997	-144.2534
