* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 22 May, 2022 10:30:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EX15 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.905	-128.5416
20.600000	90.009	-128.9822
20.900000	90.111	-129.3602
21.200001	90.215	-129.7674
21.400000	90.285	-130.0626
21.799999	90.421	-130.6877
22.000000	90.483	-131.0033
22.400000	90.597	-131.6059
22.700001	90.677	-131.9959
23.000000	90.756	-132.3376
23.299999	90.838	-132.6706
23.600000	90.922	-133.0217
24.000000	91.037	-133.5555
24.299999	91.120	-134.0126
24.700001	91.226	-134.6620
25.000000	91.303	-135.1463
25.400000	91.404	-135.7659
25.799999	91.508	-136.3404
26.200001	91.613	-136.8868
26.500000	91.689	-137.2823
26.900000	91.781	-137.7765
27.200001	91.842	-138.1236
27.600000	91.921	-138.5621
28.000000	91.998	-138.9947
28.500000	92.095	-139.5898
29.000000	92.187	-140.2614
29.500000	92.272	-140.9727
30.000000	92.351	-141.6398
30.400000	92.416	-142.1234
30.700001	92.467	-142.4577
31.100000	92.538	-142.8895
31.500000	92.609	-143.3298
32.000000	92.694	-143.9028
32.500000	92.771	-144.4963
33.000000	92.841	-145.0809
33.500000	92.905	-145.6458
34.000000	92.970	-146.1844
34.500000	93.040	-146.7135
35.000000	93.109	-147.2393
35.500000	93.175	-147.7719
36.000000	93.237	-148.3027
36.500000	93.294	-148.8255
37.000000	93.351	-149.3304
37.500000	93.408	-149.8273
38.200001	93.486	-150.5187
38.700001	93.535	-151.0149
39.500000	93.607	-151.7986
40.000000	93.650	-152.2812
40.599998	93.701	-152.8512
41.200001	93.751	-153.3950
41.799999	93.801	-153.9226
42.500000	93.855	-154.5564
43.099998	93.893	-155.1105
43.700001	93.928	-155.6412
44.400002	93.979	-156.2406
45.000000	94.025	-156.7557
45.500000	94.058	-157.1541
46.200001	94.097	-157.6401
46.799999	94.134	-158.0974
47.500000	94.169	-158.7834
48.200001	94.195	-159.4557
48.700001	94.225	-159.8305
49.400002	94.289	-160.3104
50.000000	94.332	-160.7850
50.799999	94.338	-161.3600
51.500000	94.335	-161.7342
52.200001	94.359	-162.1899
53.000000	94.393	-162.8440
53.799999	94.420	-163.3880
54.500000	94.444	-163.8064
55.200001	94.463	-164.2809
56.000000	94.478	-164.8323
57.000000	94.505	-165.4910
58.000000	94.523	-166.1224
59.000000	94.538	-166.7313
60.000000	94.552	-167.4065
60.799999	94.566	-167.8585
61.500000	94.582	-168.2213
62.200001	94.592	-168.6207
63.000000	94.597	-169.0790
64.000000	94.617	-169.6621
65.000000	94.629	-170.2092
66.000000	94.630	-170.6178
67.000000	94.631	-171.0858
68.000000	94.633	-171.6619
69.000000	94.633	-172.2589
70.000000	94.632	-172.7419
71.000000	94.640	-173.2605
72.000000	94.627	-173.7736
73.000000	94.625	-174.1762
74.000000	94.625	-174.7039
75.000000	94.614	-175.1100
76.199997	94.628	-175.5710
77.500000	94.605	-176.1649
78.800003	94.595	-176.7243
80.000000	94.595	-177.2822
81.199997	94.590	-177.7587
82.500000	94.569	-178.1937
83.800003	94.550	-178.7305
85.000000	94.533	-179.1596
86.199997	94.521	-179.5967
87.500000	94.502	179.9212
88.500000	94.491	179.5766
90.000000	94.469	179.0567
91.199997	94.447	178.6789
92.500000	94.427	178.2337
93.800003	94.407	177.8286
95.000000	94.382	177.4380
96.199997	94.363	177.0762
97.500000	94.341	176.6776
98.800003	94.317	176.3126
100.000000	94.289	175.9261
101.500000	94.267	175.5319
103.000000	94.239	175.1392
104.400002	94.208	174.7807
106.000000	94.174	174.3458
107.500000	94.143	173.9584
109.000000	94.111	173.6124
110.599998	94.077	173.2145
112.000000	94.043	172.8580
113.800003	94.000	172.5299
115.000000	93.971	172.2428
117.199997	93.920	171.6888
118.000000	93.899	171.5524
120.599998	93.837	170.9960
122.000000	93.805	170.7357
124.099998	93.756	170.3215
125.000000	93.735	170.1308
126.500000	93.696	169.9210
128.000000	93.662	169.6011
131.500000	93.572	168.9950
132.000000	93.559	168.9433
134.000000	93.512	168.5613
136.000000	93.459	168.2501
138.000000	93.405	167.9744
140.000000	93.357	167.6709
143.000000	93.279	167.3026
145.000000	93.221	167.0387
147.500000	93.166	166.7892
150.000000	93.040	166.3437
152.500000	93.034	166.1101
155.000000	92.961	165.8475
157.500000	92.905	165.6171
160.000000	92.833	165.4314
162.500000	92.772	165.1753
165.000000	92.698	164.9034
167.500000	92.636	164.6880
170.000000	92.568	164.4534
172.500000	92.511	164.2311
175.000000	92.444	163.9998
177.500000	92.360	163.8439
180.000000	92.328	163.6734
182.500000	92.245	163.3946
185.000000	92.206	163.1521
187.500000	92.130	163.0209
190.000000	92.067	162.9523
192.500000	91.993	162.7297
195.000000	91.936	162.5964
197.500000	91.876	162.4873
200.000000	91.812	162.3699
203.000000	91.736	162.2251
206.000000	91.655	162.0952
209.000000	91.576	161.9875
212.000000	91.496	161.8540
214.000000	91.440	161.8147
218.000000	91.319	161.6756
220.000000	91.259	161.6342
224.000000	91.125	161.5748
227.000000	91.019	161.5748
230.000000	90.907	161.5533
233.000000	90.794	161.6379
236.000000	90.665	161.8812
240.000000	90.501	162.2391
243.000000	90.363	162.7452
247.000000	90.222	163.7285
250.000000	90.153	164.5289
254.000000	90.120	166.1627
258.000000	90.222	167.4280
262.000000	90.367	168.0138
265.000000	90.455	167.9552
269.000000	90.542	167.6005
272.000000	90.574	167.2364
276.000000	90.579	166.7621
280.000000	90.559	166.3605
285.000000	90.496	165.9644
290.000000	90.428	165.6159
295.000000	90.343	165.4328
300.000000	90.254	165.3829
304.000000	90.192	165.2689
307.000000	90.134	165.3075
311.000000	90.071	165.2813
315.000000	90.002	165.2701
320.000000	89.913	165.3482
325.000000	89.829	165.4301
330.000000	89.745	165.5170
335.000000	89.664	165.6465
340.000000	89.583	165.8064
345.000000	89.508	165.9343
350.000000	89.445	165.9972
355.000000	89.362	166.3255
360.000000	89.287	166.5133
365.000000	89.214	166.7245
370.000000	89.138	166.9547
375.000000	89.075	167.1773
382.000000	88.977	167.5359
387.000000	88.905	167.7925
395.000000	88.805	168.2463
400.000000	88.734	168.5291
406.000000	88.661	168.8354
412.000000	88.589	169.1948
418.000000	88.512	169.5452
425.000000	88.429	169.9986
431.000000	88.364	170.3600
437.000000	88.294	170.7529
444.000000	88.215	171.2147
450.000000	88.171	171.8596
455.000000	88.095	171.9456
462.000000	88.020	172.4017
468.000000	87.959	172.8108
475.000000	87.889	173.3221
482.000000	87.820	173.8054
487.000000	87.769	174.2191
494.000000	87.707	174.7357
500.000000	87.655	175.1628
508.000000	87.589	175.7836
515.000000	87.533	176.3366
522.000000	87.473	176.8653
530.000000	87.410	177.5042
538.000000	87.354	178.1461
545.000000	87.305	178.7257
552.000000	87.255	179.3348
560.000000	87.200	179.9988
570.000000	87.134	-179.1815
580.000000	87.075	-178.3093
590.000000	87.018	-177.4482
600.000000	86.959	-176.5279
608.000000	86.919	-175.8312
615.000000	86.885	-175.1802
622.000000	86.851	-174.5551
630.000000	86.811	-173.8705
640.000000	86.771	-172.9150
650.000000	86.722	-172.1707
660.000000	86.689	-171.0522
670.000000	86.662	-170.0744
680.000000	86.642	-169.1595
690.000000	86.610	-168.1752
700.000000	86.586	-167.2140
710.000000	86.572	-166.2594
720.000000	86.559	-165.2655
730.000000	86.548	-164.3236
740.000000	86.543	-163.3219
750.000000	86.525	-162.5353
762.000000	86.553	-161.1925
775.000000	86.561	-159.9347
788.000000	86.583	-158.7353
800.000000	86.606	-157.6203
812.000000	86.635	-156.5163
825.000000	86.679	-155.3791
838.000000	86.727	-154.2404
850.000000	86.751	-153.3653
862.000000	86.825	-152.3074
875.000000	86.880	-151.3459
885.000000	86.929	-150.6787
900.000000	86.963	-149.7880
912.000000	86.930	-149.0569
925.000000	86.837	-146.5402
938.000000	87.207	-145.1203
950.000000	87.321	-145.2127
962.000000	87.375	-145.0337
975.000000	87.317	-144.8141
988.000000	86.990	-143.3049
1000.000000	87.072	-136.5217
1015.000000	88.124	-136.7693
1030.000000	88.374	-138.2250
1044.000000	88.510	-138.7257
1060.000000	88.662	-138.7359
1075.000000	88.773	-138.5630
1090.000000	88.863	-138.4810
1106.000000	88.978	-138.3451
1120.000000	89.058	-138.1679
1138.000000	89.167	-138.0486
1150.000000	89.222	-137.9012
1172.000000	89.346	-137.7899
1180.000000	89.384	-137.7596
1206.000000	89.500	-137.5994
1220.000000	89.585	-137.5602
1241.000000	89.712	-137.4279
1250.000000	89.753	-137.4107
1265.000000	89.846	-137.2904
1280.000000	89.924	-137.1906
1315.000000	90.095	-136.9582
1320.000000	90.117	-136.9378
1340.000000	90.206	-136.7899
1360.000000	90.340	-136.5838
1380.000000	90.427	-136.3971
1400.000000	90.513	-136.1905
1430.000000	90.637	-135.8517
1450.000000	90.716	-135.5762
1475.000000	90.816	-135.2274
1500.000000	90.914	-134.8726
1525.000000	91.007	-134.5146
1550.000000	91.076	-134.0511
1575.000000	91.135	-133.6555
1600.000000	91.209	-133.2090
1625.000000	91.277	-132.7463
1650.000000	91.346	-132.3002
1675.000000	91.417	-131.7881
1700.000000	91.491	-131.3083
1725.000000	91.564	-130.8167
1750.000000	91.643	-130.3080
1775.000000	91.725	-129.7982
1800.000000	91.808	-129.2904
1825.000000	91.895	-128.7437
1850.000000	91.983	-128.2333
1875.000000	92.087	-127.7167
1900.000000	92.180	-127.2709
1925.000000	92.284	-126.8346
1950.000000	92.378	-126.4225
1975.000000	92.474	-126.0377
2000.000000	92.569	-125.6138
2030.000000	92.689	-125.1758
