* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:36:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Blue L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 39.993 -169.3089
0.368954 39.903 -168.7751
0.371627 39.812 -168.2164
0.374320 39.720 -167.6326
0.377033 39.628 -167.0235
0.379765 39.535 -166.3889
0.382517 39.442 -165.7288
0.385289 39.347 -165.0428
0.388081 39.253 -164.3309
0.390893 39.157 -163.5929
0.393725 39.061 -162.8286
0.396578 38.964 -162.0381
0.399452 38.866 -161.2210
0.402347 38.768 -160.3774
0.405262 38.669 -159.5070
0.408199 38.569 -158.6099
0.411157 38.468 -157.6859
0.414136 38.367 -156.7349
0.417137 38.265 -155.7569
0.420160 38.162 -154.7517
0.423205 38.059 -153.7195
0.426272 37.955 -152.6601
0.429361 37.850 -151.5735
0.432472 37.744 -150.4597
0.435606 37.637 -149.3186
0.438762 37.530 -148.1504
0.441942 37.422 -146.9550
0.445144 37.313 -145.7325
0.448370 37.204 -144.4830
0.451619 37.093 -143.2065
0.454892 36.982 -141.9030
0.458188 36.870 -140.5728
0.461508 36.757 -139.2159
0.464852 36.643 -137.8326
0.468221 36.529 -136.4228
0.471614 36.414 -134.9869
0.475031 36.298 -133.5250
0.478474 36.181 -132.0373
0.481941 36.063 -130.5242
0.485433 35.944 -128.9857
0.488951 35.825 -127.4224
0.492494 35.704 -125.8344
0.496063 35.583 -124.2221
0.499658 35.461 -122.5858
0.503278 35.338 -120.9260
0.506925 35.214 -119.2430
0.510599 35.089 -117.5373
0.514299 34.963 -115.8095
0.518025 34.836 -114.0599
0.521779 34.709 -112.2891
0.525560 34.580 -110.4977
0.529369 34.451 -108.6863
0.533205 34.321 -106.8555
0.537069 34.189 -105.0060
0.540960 34.057 -103.1384
0.544880 33.924 -101.2536
0.548829 33.790 -99.3523
0.552806 33.654 -97.4354
0.556812 33.518 -95.5036
0.560847 33.381 -93.5579
0.564911 33.243 -91.5993
0.569004 33.104 -89.6287
0.573128 32.964 -87.6472
0.577281 32.823 -85.6558
0.581464 32.681 -83.6558
0.585677 32.537 -81.6482
0.589921 32.393 -79.6343
0.594196 32.248 -77.6155
0.598502 32.102 -75.5931
0.602839 31.954 -73.5684
0.607207 31.806 -71.5430
0.611608 31.656 -69.5183
0.616040 31.506 -67.4961
0.620504 31.354 -65.4778
0.625000 31.201 -63.4652
0.629529 31.047 -61.4602
0.634091 30.892 -59.4645
0.638686 30.736 -57.4802
0.643314 30.579 -55.5091
0.647976 30.420 -53.5535
0.652671 30.261 -51.6154
0.657401 30.100 -49.6970
0.662164 29.938 -47.8008
0.666963 29.775 -45.9291
0.671796 29.611 -44.0844
0.676664 29.445 -42.2693
0.681567 29.279 -40.4865
0.686506 29.111 -38.7387
0.691481 28.942 -37.0288
0.696492 28.771 -35.3598
0.701539 28.600 -33.7348
0.706622 28.427 -32.1570
0.711743 28.253 -30.6296
0.716900 28.078 -29.1561
0.722095 27.901 -27.7399
0.727328 27.724 -26.3848
0.732599 27.553 -25.0944
0.737907 27.625 -23.8524
0.743254 27.715 -22.6423
0.748640 27.821 -21.4641
0.754065 27.945 -20.3178
0.759530 28.086 -19.2035
0.765033 28.243 -18.1212
0.770577 28.417 -17.0708
0.776161 28.607 -16.0522
0.781785 28.814 -15.0655
0.787451 29.037 -14.1104
0.793157 29.276 -13.1869
0.798904 29.531 -12.2948
0.804694 29.801 -11.4339
0.810525 30.086 -10.6041
0.816398 30.387 -9.8050
0.822314 30.702 -9.0365
0.828273 31.032 -8.2982
0.834275 31.375 -7.5897
0.840320 31.733 -6.9108
0.846410 32.103 -6.2609
0.852543 32.487 -5.6398
0.858721 32.883 -5.0468
0.864944 33.292 -4.4816
0.871211 33.711 -3.9434
0.877525 34.143 -3.4318
0.883883 34.584 -2.9461
0.890288 35.036 -2.4856
0.896740 35.497 -2.0495
0.903238 35.967 -1.6372
0.909783 36.445 -1.2477
0.916376 36.931 -0.8802
0.923016 37.423 -0.5338
0.929705 37.922 -0.2074
0.936442 38.425 0.0999
0.943228 38.933 0.3894
0.950063 39.445 0.6620
0.956947 39.960 0.9191
0.963882 40.476 1.1620
0.970866 40.993 1.3919
0.977902 41.509 1.6104
0.984988 42.025 1.8189
0.992126 42.538 2.0189
0.999315 43.047 2.2122
1.006557 43.552 2.4003
1.013850 44.050 2.5852
1.021197 44.542 2.7687
1.028597 45.024 2.9527
1.036051 45.497 3.1393
1.043558 45.958 3.3307
1.051121 46.406 3.5290
1.058737 46.839 3.7365
1.066409 47.256 3.9558
1.074137 47.654 4.1893
1.081921 48.033 4.4397
1.089761 48.391 4.7096
1.097658 48.725 5.0020
1.105612 49.040 5.2994
1.113623 49.347 5.5714
1.121693 49.645 5.8176
1.129821 49.935 6.0387
1.138009 50.216 6.2348
1.146255 50.489 6.4063
1.154561 50.755 6.5539
1.162928 51.013 6.6778
1.171355 51.263 6.7786
1.179843 51.506 6.8569
1.188393 51.741 6.9131
1.197004 51.970 6.9481
1.205678 52.192 6.9623
1.214415 52.407 6.9565
1.223215 52.616 6.9314
1.232079 52.819 6.8879
1.241007 53.017 6.8267
1.250000 53.209 6.7487
1.259058 53.396 6.6549
1.268182 53.578 6.5462
1.277371 53.756 6.4237
1.286628 53.930 6.2884
1.295951 54.101 6.1415
1.305342 54.268 5.9842
1.314801 54.433 5.8176
1.324329 54.595 5.6432
1.333925 54.756 5.4623
1.343592 54.916 5.2764
1.353328 55.075 5.0868
1.363135 55.233 4.8953
1.373013 55.393 4.7035
1.382962 55.553 4.5130
1.392983 55.715 4.3257
1.403078 55.879 4.1435
1.413245 56.046 3.9682
1.423486 56.217 3.8019
1.433801 56.393 3.6467
1.444191 56.574 3.5049
1.454656 56.761 3.3786
1.465197 56.955 3.2704
1.475815 57.152 3.1686
1.486509 57.346 3.0619
1.497281 57.539 2.9502
1.508131 57.730 2.8337
1.519059 57.920 2.7123
1.530067 58.107 2.5862
1.541154 58.293 2.4553
1.552322 58.478 2.3198
1.563571 58.660 2.1797
1.574901 58.842 2.0350
1.586314 59.022 1.8859
1.597809 59.200 1.7325
1.609387 59.378 1.5748
1.621049 59.554 1.4129
1.632796 59.729 1.2469
1.644628 59.903 1.0770
1.656546 60.076 0.9032
1.668550 60.248 0.7257
1.680641 60.420 0.5446
1.692819 60.591 0.3601
1.705086 60.761 0.1722
1.717442 60.931 -0.0189
1.729887 61.101 -0.2129
1.742423 61.270 -0.4098
1.755049 61.440 -0.6094
1.767767 61.609 -0.8114
1.780577 61.779 -1.0158
1.793480 61.950 -1.2221
1.806476 62.121 -1.4304
1.819566 62.292 -1.6403
1.832752 62.465 -1.8516
1.846033 62.637 -2.0662
1.859410 62.808 -2.2855
1.872884 62.978 -2.5092
1.886456 63.147 -2.7375
1.900126 63.315 -2.9701
1.913895 63.482 -3.2072
1.927764 63.648 -3.4485
1.941733 63.813 -3.6941
1.955804 63.977 -3.9438
1.969976 64.140 -4.1976
1.984251 64.302 -4.4553
1.998630 64.463 -4.7170
2.013113 64.624 -4.9825
2.027701 64.784 -5.2516
2.042394 64.943 -5.5244
2.057194 65.102 -5.8006
2.072102 65.260 -6.0801
2.087117 65.418 -6.3629
2.102241 65.575 -6.6488
2.117475 65.733 -6.9376
2.132819 65.890 -7.2291
2.148274 66.046 -7.5234
2.163841 66.203 -7.8200
2.179522 66.360 -8.1190
2.195315 66.517 -8.4201
2.211223 66.674 -8.7241
2.227247 66.830 -9.0325
2.243386 66.985 -9.3453
2.259643 67.138 -9.6624
2.276017 67.291 -9.9837
2.292510 67.443 -10.3092
2.309123 67.594 -10.6386
2.325855 67.744 -10.9720
2.342710 67.893 -11.3092
2.359686 68.041 -11.6501
2.376785 68.189 -11.9945
2.394008 68.336 -12.3424
2.411356 68.482 -12.6936
2.428830 68.627 -13.0480
2.446430 68.772 -13.4054
2.464158 68.917 -13.7656
2.482014 69.061 -14.1286
2.500000 69.204 -14.4941
2.518116 69.347 -14.8619
2.536363 69.490 -15.2319
2.554743 69.633 -15.6038
2.573256 69.776 -15.9778
2.591902 69.917 -16.3556
2.610684 70.058 -16.7373
2.629603 70.197 -17.1227
2.648658 70.335 -17.5118
2.667851 70.473 -17.9045
2.687183 70.609 -18.3005
2.706656 70.744 -18.6998
2.726269 70.879 -19.1021
2.746025 71.012 -19.5074
2.765924 71.145 -19.9155
2.785967 71.277 -20.3262
2.806155 71.409 -20.7393
2.826490 71.540 -21.1546
2.846972 71.670 -21.5720
2.867602 71.799 -21.9911
2.888382 71.928 -22.4119
2.909312 72.057 -22.8340
2.930394 72.186 -23.2572
2.951629 72.313 -23.6826
2.973018 72.439 -24.1109
2.994561 72.565 -24.5420
3.016261 72.689 -24.9759
3.038118 72.812 -25.4122
3.060134 72.934 -25.8509
3.082309 73.055 -26.2917
3.104645 73.175 -26.7346
3.127142 73.294 -27.1793
3.149803 73.412 -27.6256
3.172627 73.530 -28.0732
3.195618 73.647 -28.5221
3.218774 73.763 -28.9719
3.242099 73.878 -29.4225
3.265593 73.994 -29.8735
3.289256 74.108 -30.3248
3.313092 74.222 -30.7765
3.337100 74.335 -31.2296
3.361282 74.447 -31.6842
3.385639 74.557 -32.1400
3.410173 74.667 -32.5969
3.434884 74.775 -33.0548
3.459775 74.882 -33.5135
3.484846 74.989 -33.9728
3.510098 75.094 -34.4326
3.535534 75.199 -34.8927
3.561154 75.303 -35.3528
3.586959 75.407 -35.8129
3.612952 75.510 -36.2727
3.639133 75.612 -36.7320
3.665504 75.714 -37.1905
3.692065 75.816 -37.6486
3.718820 75.916 -38.1065
3.745768 76.015 -38.5641
3.772911 76.113 -39.0213
3.800251 76.210 -39.4782
3.827789 76.306 -39.9345
3.855527 76.401 -40.3904
3.883466 76.496 -40.8457
3.911607 76.590 -41.3003
3.939952 76.684 -41.7543
3.968503 76.777 -42.2075
3.997260 76.869 -42.6599
4.026226 76.962 -43.1114
4.055401 77.054 -43.5616
4.084789 77.145 -44.0102
4.114388 77.235 -44.4572
4.144203 77.324 -44.9028
4.174234 77.413 -45.3472
4.204482 77.501 -45.7904
4.234950 77.588 -46.2325
4.265638 77.675 -46.6738
4.296548 77.761 -47.1144
4.327683 77.847 -47.5544
4.359043 77.933 -47.9941
4.390630 78.019 -48.4335
4.422447 78.105 -48.8721
4.454494 78.189 -49.3086
4.486773 78.274 -49.7434
4.519286 78.357 -50.1767
4.552034 78.441 -50.6088
4.585020 78.523 -51.0401
4.618245 78.606 -51.4709
4.651711 78.688 -51.9015
4.685419 78.770 -52.3324
4.719372 78.851 -52.7639
4.753570 78.933 -53.1964
4.788016 79.015 -53.6294
4.822712 79.096 -54.0613
4.857660 79.176 -54.4924
4.892860 79.257 -54.9230
4.928316 79.337 -55.3534
4.964029 79.417 -55.7841
5.000000 79.496 -56.2154
5.036232 79.575 -56.6477
5.072727 79.654 -57.0814
5.109486 79.733 -57.5170
5.146511 79.811 -57.9546
5.183805 79.890 -58.3929
5.221369 79.968 -58.8318
5.259205 80.045 -59.2715
5.297316 80.123 -59.7121
5.335702 80.199 -60.1540
5.374367 80.276 -60.5971
5.413311 80.352 -61.0419
5.452538 80.428 -61.4884
5.492050 80.504 -61.9370
5.531847 80.579 -62.3875
5.571934 80.653 -62.8397
5.612310 80.728 -63.2935
5.652979 80.801 -63.7487
5.693943 80.875 -64.2054
5.735204 80.948 -64.6633
5.776763 81.020 -65.1223
5.818624 81.092 -65.5824
5.860788 81.163 -66.0434
5.903258 81.234 -66.5057
5.946035 81.305 -66.9696
5.989123 81.374 -67.4347
6.032523 81.443 -67.9007
6.076237 81.512 -68.3674
6.120268 81.580 -68.8344
6.164618 81.648 -69.3015
6.209289 81.715 -69.7682
6.254284 81.782 -70.2344
6.299605 81.848 -70.7009
6.345255 81.913 -71.1674
