* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:33:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Blue R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 39.558 153.7107
0.368954 39.599 153.3013
0.371627 39.641 152.8727
0.374320 39.682 152.4248
0.377033 39.725 151.9576
0.379765 39.767 151.4708
0.382517 39.810 150.9644
0.385289 39.853 150.4382
0.388081 39.896 149.8921
0.390893 39.940 149.3260
0.393725 39.984 148.7398
0.396578 40.029 148.1334
0.399452 40.073 147.5066
0.402347 40.118 146.8595
0.405262 40.164 146.1919
0.408199 40.209 145.5038
0.411157 40.255 144.7950
0.414136 40.302 144.0655
0.417137 40.348 143.3153
0.420160 40.395 142.5444
0.423205 40.443 141.7526
0.426272 40.490 140.9400
0.429361 40.538 140.1065
0.432472 40.587 139.2521
0.435606 40.636 138.3769
0.438762 40.685 137.4809
0.441942 40.734 136.5640
0.445144 40.784 135.6262
0.448370 40.834 134.6678
0.451619 40.885 133.6886
0.454892 40.935 132.6889
0.458188 40.987 131.6685
0.461508 41.038 130.6277
0.464852 41.090 129.5666
0.468221 41.143 128.4853
0.471614 41.196 127.3839
0.475031 41.249 126.2626
0.478474 41.302 125.1215
0.481941 41.356 123.9608
0.485433 41.410 122.7808
0.488951 41.465 121.5816
0.492494 41.520 120.3635
0.496063 41.576 119.1268
0.499658 41.632 117.8717
0.503278 41.688 116.5986
0.506925 41.745 115.3077
0.510599 41.802 113.9993
0.514299 41.859 112.6740
0.518025 41.917 111.3320
0.521779 41.976 109.9737
0.525560 42.034 108.5996
0.529369 42.094 107.2101
0.533205 42.153 105.8058
0.537069 42.213 104.3871
0.540960 42.274 102.9546
0.544880 42.335 101.5088
0.548829 42.396 100.0504
0.552806 42.458 98.5800
0.556812 42.520 97.0982
0.560847 42.583 95.6057
0.564911 42.646 94.1033
0.569004 42.710 92.5917
0.573128 42.774 91.0717
0.577281 42.839 89.5442
0.581464 42.904 88.0100
0.585677 42.969 86.4700
0.589921 43.035 84.9252
0.594196 43.102 83.3766
0.598502 43.169 81.8252
0.602839 43.236 80.2720
0.607207 43.304 78.7183
0.611608 43.373 77.1652
0.616040 43.442 75.6139
0.620504 43.511 74.0656
0.625000 43.581 72.5217
0.629529 43.651 70.9836
0.634091 43.722 69.4526
0.638686 43.794 67.9303
0.643314 43.866 66.4182
0.647976 43.938 64.9179
0.652671 44.011 63.4310
0.657401 44.085 61.9593
0.662164 44.159 60.5046
0.666963 44.233 59.0686
0.671796 44.309 57.6533
0.676664 44.384 56.2607
0.681567 44.461 54.8928
0.686506 44.537 53.5518
0.691481 44.615 52.2399
0.696492 44.693 50.9593
0.701539 44.771 49.7124
0.706622 44.850 48.5017
0.711743 44.930 47.3296
0.716900 45.010 46.1989
0.722095 45.091 45.1121
0.727328 45.172 44.0721
0.732599 45.255 43.0817
0.737907 45.377 42.1298
0.743254 45.502 41.2050
0.748640 45.631 40.3073
0.754065 45.763 39.4364
0.759530 45.900 38.5925
0.765033 46.040 37.7755
0.770577 46.184 36.9851
0.776161 46.332 36.2213
0.781785 46.483 35.4840
0.787451 46.638 34.7729
0.793157 46.797 34.0879
0.798904 46.959 33.4287
0.804694 47.125 32.7951
0.810525 47.294 32.1867
0.816398 47.466 31.6034
0.822314 47.642 31.0447
0.828273 47.821 30.5103
0.834275 48.003 29.9998
0.840320 48.189 29.5127
0.846410 48.377 29.0485
0.852543 48.569 28.6069
0.858721 48.763 28.1871
0.864944 48.960 27.7887
0.871211 49.160 27.4110
0.877525 49.362 27.0534
0.883883 49.567 26.7152
0.890288 49.774 26.3955
0.896740 49.984 26.0937
0.903238 50.195 25.8089
0.909783 50.409 25.5402
0.916376 50.624 25.2867
0.923016 50.841 25.0474
0.929705 51.060 24.8212
0.936442 51.280 24.6072
0.943228 51.501 24.4040
0.950063 51.724 24.2106
0.956947 51.947 24.0257
0.963882 52.171 23.8479
0.970866 52.395 23.6759
0.977902 52.619 23.5082
0.984988 52.844 23.3432
0.992126 53.068 23.1795
0.999315 53.292 23.0153
1.006557 53.515 22.8490
1.013850 53.738 22.6786
1.021197 53.959 22.5024
1.028597 54.179 22.3183
1.036051 54.397 22.1244
1.043558 54.613 21.9184
1.051121 54.826 21.6981
1.058737 55.037 21.4613
1.066409 55.245 21.2056
1.074137 55.449 20.9283
1.081921 55.650 20.6270
1.089761 55.847 20.2989
1.097658 56.039 19.9412
1.105612 56.227 19.5669
1.113623 56.414 19.1996
1.121693 56.600 18.8396
1.129821 56.784 18.4867
1.138009 56.966 18.1407
1.146255 57.147 17.8016
1.154561 57.326 17.4692
1.162928 57.504 17.1432
1.171355 57.680 16.8236
1.179843 57.855 16.5100
1.188393 58.028 16.2022
1.197004 58.201 15.9002
1.205678 58.371 15.6034
1.214415 58.541 15.3119
1.223215 58.709 15.0252
1.232079 58.876 14.7430
1.241007 59.043 14.4651
1.250000 59.207 14.1911
1.259058 59.371 13.9207
1.268182 59.534 13.6536
1.277371 59.697 13.3893
1.286628 59.858 13.1275
1.295951 60.018 12.8677
1.305342 60.178 12.6095
1.314801 60.338 12.3524
1.324329 60.496 12.0960
1.333925 60.655 11.8398
1.343592 60.813 11.5833
1.353328 60.971 11.3258
1.363135 61.128 11.0669
1.373013 61.286 10.8059
1.382962 61.444 10.5422
1.392983 61.602 10.2751
1.403078 61.761 10.0041
1.413245 61.920 9.7283
1.423486 62.079 9.4470
1.433801 62.239 9.1596
1.444191 62.401 8.8651
1.454656 62.563 8.5628
1.465197 62.727 8.2518
1.475815 62.890 7.9362
1.486509 63.053 7.6202
1.497281 63.214 7.3037
1.508131 63.375 6.9866
1.519059 63.534 6.6690
1.530067 63.693 6.3507
1.541154 63.851 6.0318
1.552322 64.007 5.7122
1.563571 64.163 5.3918
1.574901 64.318 5.0706
1.586314 64.472 4.7485
1.597809 64.625 4.4255
1.609387 64.778 4.1015
1.621049 64.930 3.7765
1.632796 65.081 3.4503
1.644628 65.231 3.1230
1.656546 65.381 2.7944
1.668550 65.531 2.4644
1.680641 65.679 2.1331
1.692819 65.828 1.8002
1.705086 65.976 1.4658
1.717442 66.124 1.1296
1.729887 66.271 0.7917
1.742423 66.418 0.4520
1.755049 66.565 0.1103
1.767767 66.713 -0.2335
1.780577 66.860 -0.5795
1.793480 67.007 -0.9278
1.806476 67.155 -1.2784
1.819566 67.302 -1.6317
1.832752 67.450 -1.9876
1.846033 67.598 -2.3457
1.859410 67.745 -2.7056
1.872884 67.891 -3.0675
1.886456 68.036 -3.4312
1.900126 68.180 -3.7967
1.913895 68.323 -4.1641
1.927764 68.465 -4.5332
1.941733 68.606 -4.9042
1.955804 68.747 -5.2769
1.969976 68.887 -5.6513
1.984251 69.026 -6.0275
1.998630 69.164 -6.4054
2.013113 69.302 -6.7850
2.027701 69.439 -7.1663
2.042394 69.576 -7.5491
2.057194 69.712 -7.9336
2.072102 69.848 -8.3197
2.087117 69.983 -8.7073
2.102241 70.118 -9.0965
2.117475 70.252 -9.4871
2.132819 70.387 -9.8792
2.148274 70.521 -10.2727
2.163841 70.655 -10.6676
2.179522 70.789 -11.0639
2.195315 70.923 -11.4615
2.211223 71.057 -11.8605
2.227247 71.189 -12.2613
2.243386 71.321 -12.6637
2.259643 71.452 -13.0677
2.276017 71.582 -13.4733
2.292510 71.711 -13.8805
2.309123 71.839 -14.2891
2.325855 71.966 -14.6991
2.342710 72.092 -15.1106
2.359686 72.218 -15.5234
2.376785 72.343 -15.9374
2.394008 72.467 -16.3526
2.411356 72.591 -16.7690
2.428830 72.714 -17.1865
2.446430 72.837 -17.6050
2.464158 72.959 -18.0245
2.482014 73.081 -18.4449
2.500000 73.202 -18.8660
2.518116 73.324 -19.2879
2.536363 73.445 -19.7104
2.554743 73.566 -20.1335
2.573256 73.687 -20.5571
2.591902 73.807 -20.9815
2.610684 73.926 -21.4065
2.629603 74.044 -21.8323
2.648658 74.161 -22.2588
2.667851 74.277 -22.6859
2.687183 74.392 -23.1137
2.706656 74.507 -23.5420
2.726269 74.620 -23.9710
2.746025 74.734 -24.4005
2.765924 74.846 -24.8305
2.785967 74.958 -25.2610
2.806155 75.069 -25.6920
2.826490 75.180 -26.1234
2.846972 75.291 -26.5552
2.867602 75.401 -26.9874
2.888382 75.511 -27.4200
2.909312 75.621 -27.8528
2.930394 75.731 -28.2859
2.951629 75.841 -28.7190
2.973018 75.949 -29.1517
2.994561 76.057 -29.5841
3.016261 76.164 -30.0164
3.038118 76.270 -30.4484
3.060134 76.375 -30.8804
3.082309 76.480 -31.3123
3.104645 76.584 -31.7443
3.127142 76.687 -32.1765
3.149803 76.790 -32.6088
3.172627 76.893 -33.0415
3.195618 76.995 -33.4746
3.218774 77.097 -33.9082
3.242099 77.198 -34.3424
3.265593 77.300 -34.7772
3.289256 77.402 -35.2130
3.313092 77.503 -35.6491
3.337100 77.604 -36.0846
3.361282 77.704 -36.5195
3.385639 77.803 -36.9539
3.410173 77.902 -37.3881
3.434884 78.000 -37.8222
3.459775 78.098 -38.2564
3.484846 78.195 -38.6909
3.510098 78.292 -39.1260
3.535534 78.388 -39.5618
3.561154 78.484 -39.9986
3.586959 78.580 -40.4367
3.612952 78.676 -40.8763
3.639133 78.771 -41.3177
3.665504 78.867 -41.7611
3.692065 78.962 -42.2053
3.718820 79.057 -42.6496
3.745768 79.151 -43.0942
3.772911 79.245 -43.5394
3.800251 79.338 -43.9852
3.827789 79.431 -44.4320
3.855527 79.523 -44.8799
3.883466 79.615 -45.3293
3.911607 79.707 -45.7804
3.939952 79.798 -46.2334
3.968503 79.889 -46.6887
3.997260 79.979 -47.1466
4.026226 80.070 -47.6073
4.055401 80.160 -48.0704
4.084789 80.249 -48.5351
4.114388 80.338 -49.0015
4.144203 80.427 -49.4697
4.174234 80.515 -49.9397
4.204482 80.602 -50.4117
4.234950 80.689 -50.8857
4.265638 80.776 -51.3618
4.296548 80.862 -51.8401
4.327683 80.947 -52.3208
4.359043 81.032 -52.8039
4.390630 81.116 -53.2895
4.422447 81.200 -53.7778
4.454494 81.283 -54.2688
4.486773 81.366 -54.7624
4.519286 81.448 -55.2583
4.552034 81.529 -55.7565
4.585020 81.609 -56.2567
4.618245 81.689 -56.7588
4.651711 81.768 -57.2626
4.685419 81.846 -57.7678
4.719372 81.924 -58.2743
4.753570 82.001 -58.7819
4.788016 82.077 -59.2909
4.822712 82.153 -59.8022
4.857660 82.227 -60.3154
4.892860 82.301 -60.8303
4.928316 82.373 -61.3466
4.964029 82.445 -61.8638
5.000000 82.516 -62.3815
5.036232 82.587 -62.8994
5.072727 82.657 -63.4171
5.109486 82.726 -63.9341
5.146511 82.795 -64.4502
5.183805 82.862 -64.9666
5.221369 82.929 -65.4831
5.259205 82.994 -65.9996
5.297316 83.059 -66.5158
5.335702 83.123 -67.0314
5.374367 83.186 -67.5460
5.413311 83.249 -68.0594
5.452538 83.312 -68.5712
5.492050 83.374 -69.0812
5.531847 83.435 -69.5891
5.571934 83.496 -70.0950
5.612310 83.556 -70.5992
5.652979 83.615 -71.1015
5.693943 83.674 -71.6023
5.735204 83.732 -72.1015
5.776763 83.790 -72.5992
5.818624 83.848 -73.0957
5.860788 83.906 -73.5911
5.903258 83.964 -74.0842
5.946035 84.021 -74.5745
5.989123 84.078 -75.0623
6.032523 84.135 -75.5484
6.076237 84.191 -76.0332
6.120268 84.247 -76.5174
6.164618 84.304 -77.0015
6.209289 84.360 -77.4863
6.254284 84.417 -77.9716
6.299605 84.473 -78.4552
6.345255 84.529 -78.9375
6.391235 84.586 -79.4192
6.437549 84.642 -79.9010
6.484198 84.698 -80.3836
6.531185 84.754 -80.8677
6.578513 84.810 -81.3541
6.626183 84.867 -81.8429
6.674199 84.923 -82.3326
6.722563 84.979 -82.8231
6.771278 85.035 -83.3149
