* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:31:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Green L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 27.782 -100.7412
0.368954 27.841 -100.2572
0.371627 27.901 -99.7494
0.374320 27.962 -99.2174
0.377033 28.023 -98.6613
0.379765 28.084 -98.0807
0.382517 28.146 -97.4757
0.385289 28.208 -96.8459
0.388081 28.271 -96.1914
0.390893 28.334 -95.5119
0.393725 28.397 -94.8074
0.396578 28.461 -94.0778
0.399452 28.526 -93.3229
0.402347 28.591 -92.5427
0.405262 28.656 -91.7370
0.408199 28.722 -90.9058
0.411157 28.789 -90.0491
0.414136 28.856 -89.1668
0.417137 28.923 -88.2587
0.420160 28.991 -87.3250
0.423205 29.059 -86.3655
0.426272 29.128 -85.3803
0.429361 29.197 -84.3694
0.432472 29.267 -83.3328
0.435606 29.338 -82.2704
0.438762 29.409 -81.1825
0.441942 29.480 -80.0689
0.445144 29.552 -78.9298
0.448370 29.624 -77.7653
0.451619 29.697 -76.5755
0.454892 29.771 -75.3604
0.458188 29.845 -74.1203
0.461508 29.919 -72.8553
0.464852 29.994 -71.5655
0.468221 30.070 -70.2512
0.471614 30.146 -68.9125
0.475031 30.223 -67.5498
0.478474 30.300 -66.1632
0.481941 30.378 -64.7530
0.485433 30.456 -63.3196
0.488951 30.535 -61.8632
0.492494 30.615 -60.3843
0.496063 30.695 -58.8831
0.499658 30.776 -57.3601
0.503278 30.857 -55.8157
0.506925 30.939 -54.2503
0.510599 31.021 -52.6645
0.514299 31.104 -51.0588
0.518025 31.188 -49.4336
0.521779 31.272 -47.7896
0.525560 31.357 -46.1274
0.529369 31.443 -44.4477
0.533205 31.529 -42.7510
0.537069 31.616 -41.0382
0.540960 31.703 -39.3099
0.544880 31.791 -37.5669
0.548829 31.880 -35.8102
0.552806 31.969 -34.0405
0.556812 32.059 -32.2588
0.560847 32.150 -30.4659
0.564911 32.241 -28.6630
0.569004 32.333 -26.8510
0.573128 32.425 -25.0311
0.577281 32.519 -23.2044
0.581464 32.613 -21.3720
0.585677 32.707 -19.5353
0.589921 32.802 -17.6955
0.594196 32.898 -15.8539
0.598502 32.995 -14.0121
0.602839 33.092 -12.1713
0.607207 33.191 -10.3332
0.611608 33.289 -8.4994
0.616040 33.389 -6.6715
0.620504 33.489 -4.8512
0.625000 33.590 -3.0403
0.629529 33.692 -1.2407
0.634091 33.794 0.5458
0.638686 33.897 2.3170
0.643314 34.001 4.0711
0.647976 34.106 5.8057
0.652671 34.211 7.5187
0.657401 34.317 9.2078
0.662164 34.424 10.8705
0.666963 34.532 12.5044
0.671796 34.641 14.1069
0.676664 34.750 15.6754
0.681567 34.860 17.2070
0.686506 34.971 18.6989
0.691481 35.083 20.1483
0.696492 35.195 21.5519
0.701539 35.309 22.9067
0.706622 35.423 24.2093
0.711743 35.538 25.4565
0.716900 35.653 26.6447
0.722095 35.770 27.7702
0.727328 35.888 28.8294
0.732599 36.007 29.7865
0.737907 36.172 29.7877
0.743254 36.342 29.7910
0.748640 36.516 29.7964
0.754065 36.696 29.8039
0.759530 36.881 29.8135
0.765033 37.070 29.8252
0.770577 37.264 29.8389
0.776161 37.463 29.8546
0.781785 37.666 29.8723
0.787451 37.875 29.8919
0.793157 38.088 29.9134
0.798904 38.305 29.9367
0.804694 38.527 29.9619
0.810525 38.753 29.9888
0.816398 38.984 30.0174
0.822314 39.219 30.0478
0.828273 39.458 30.0797
0.834275 39.701 30.1132
0.840320 39.948 30.1481
0.846410 40.198 30.1845
0.852543 40.453 30.2223
0.858721 40.711 30.2613
0.864944 40.973 30.3016
0.871211 41.238 30.3429
0.877525 41.506 30.3854
0.883883 41.777 30.4287
0.890288 42.051 30.4729
0.896740 42.328 30.5179
0.903238 42.607 30.5636
0.909783 42.889 30.6098
0.916376 43.173 30.6564
0.923016 43.459 30.7034
0.929705 43.746 30.7506
0.936442 44.035 30.7978
0.943228 44.326 30.8450
0.950063 44.617 30.8919
0.956947 44.910 30.9386
0.963882 45.203 30.9847
0.970866 45.496 31.0301
0.977902 45.789 31.0748
0.984988 46.082 31.1184
0.992126 46.374 31.1609
0.999315 46.666 31.2020
1.006557 46.956 31.2416
1.013850 47.245 31.2794
1.021197 47.531 31.3152
1.028597 47.815 31.3489
1.036051 48.097 31.3802
1.043558 48.375 31.4088
1.051121 48.650 31.4346
1.058737 48.921 31.4573
1.066409 49.187 31.4765
1.074137 49.449 31.4922
1.081921 49.705 31.5039
1.089761 49.955 31.5113
1.097658 50.198 31.5143
1.105612 50.437 31.4334
1.113623 50.672 31.3311
1.121693 50.904 31.2181
1.129821 51.134 31.0946
1.138009 51.360 30.9607
1.146255 51.583 30.8165
1.154561 51.804 30.6622
1.162928 52.022 30.4979
1.171355 52.237 30.3238
1.179843 52.450 30.1400
1.188393 52.660 29.9468
1.197004 52.867 29.7444
1.205678 53.072 29.5330
1.214415 53.275 29.3127
1.223215 53.475 29.0840
1.232079 53.673 28.8469
1.241007 53.869 28.6019
1.250000 54.063 28.3492
1.259058 54.255 28.0891
1.268182 54.446 27.8219
1.277371 54.634 27.5481
1.286628 54.821 27.2679
1.295951 55.007 26.9818
1.305342 55.191 26.6902
1.314801 55.374 26.3935
1.324329 55.557 26.0921
1.333925 55.738 25.7865
1.343592 55.919 25.4773
1.353328 56.099 25.1649
1.363135 56.280 24.8498
1.373013 56.460 24.5328
1.382962 56.640 24.2142
1.392983 56.820 23.8948
1.403078 57.001 23.5753
1.413245 57.183 23.2562
1.423486 57.366 22.9382
1.433801 57.551 22.6222
1.444191 57.737 22.3089
1.454656 57.924 21.9991
1.465197 58.114 21.6935
1.475815 58.305 21.3878
1.486509 58.493 21.0774
1.497281 58.680 20.7625
1.508131 58.866 20.4432
1.519059 59.049 20.1194
1.530067 59.232 19.7913
1.541154 59.413 19.4588
1.552322 59.593 19.1221
1.563571 59.771 18.7813
1.574901 59.948 18.4364
1.586314 60.123 18.0875
1.597809 60.298 17.7348
1.609387 60.471 17.3782
1.621049 60.643 17.0180
1.632796 60.815 16.6541
1.644628 60.985 16.2868
1.656546 61.154 15.9162
1.668550 61.322 15.5423
1.680641 61.490 15.1654
1.692819 61.657 14.7855
1.705086 61.823 14.4028
1.717442 61.989 14.0175
1.729887 62.155 13.6297
1.742423 62.320 13.2396
1.755049 62.485 12.8474
1.767767 62.650 12.4532
1.780577 62.815 12.0574
1.793480 62.980 11.6599
1.806476 63.146 11.2612
1.819566 63.312 10.8613
1.832752 63.478 10.4606
1.846033 63.644 10.0574
1.859410 63.808 9.6509
1.872884 63.972 9.2410
1.886456 64.134 8.8279
1.900126 64.294 8.4115
1.913895 64.454 7.9920
1.927764 64.612 7.5694
1.941733 64.769 7.1438
1.955804 64.925 6.7153
1.969976 65.081 6.2839
1.984251 65.235 5.8498
1.998630 65.388 5.4131
2.013113 65.540 4.9738
2.027701 65.692 4.5321
2.042394 65.842 4.0880
2.057194 65.992 3.6417
2.072102 66.142 3.1932
2.087117 66.290 2.7428
2.102241 66.439 2.2906
2.117475 66.587 1.8366
2.132819 66.734 1.3810
2.148274 66.881 0.9240
2.163841 67.029 0.4658
2.179522 67.176 0.0064
2.195315 67.323 -0.4539
2.211223 67.470 -0.9157
2.227247 67.615 -1.3799
2.243386 67.759 -1.8463
2.259643 67.902 -2.3151
2.276017 68.044 -2.7859
2.292510 68.185 -3.2589
2.309123 68.324 -3.7338
2.325855 68.463 -4.2106
2.342710 68.600 -4.6892
2.359686 68.737 -5.1695
2.376785 68.872 -5.6514
2.394008 69.007 -6.1348
2.411356 69.141 -6.6195
2.428830 69.274 -7.1055
2.446430 69.407 -7.5926
2.464158 69.539 -8.0808
2.482014 69.670 -8.5698
2.500000 69.801 -9.0595
2.518116 69.932 -9.5498
2.536363 70.062 -10.0405
2.554743 70.192 -10.5315
2.573256 70.322 -11.0227
2.591902 70.451 -11.5149
2.610684 70.578 -12.0081
2.629603 70.705 -12.5021
2.648658 70.830 -12.9969
2.667851 70.954 -13.4925
2.687183 71.077 -13.9888
2.706656 71.199 -14.4856
2.726269 71.320 -14.9829
2.746025 71.440 -15.4806
2.765924 71.559 -15.9786
2.785967 71.678 -16.4768
2.806155 71.795 -16.9751
2.826490 71.913 -17.4734
2.846972 72.029 -17.9716
2.867602 72.146 -18.4697
2.888382 72.262 -18.9674
2.909312 72.377 -19.4646
2.930394 72.493 -19.9613
2.951629 72.608 -20.4574
2.973018 72.721 -20.9529
2.994561 72.834 -21.4476
3.016261 72.945 -21.9418
3.038118 73.056 -22.4352
3.060134 73.165 -22.9280
3.082309 73.274 -23.4201
3.104645 73.381 -23.9114
3.127142 73.488 -24.4021
3.149803 73.595 -24.8920
3.172627 73.700 -25.3812
3.195618 73.806 -25.8697
3.218774 73.910 -26.3574
3.242099 74.015 -26.8445
3.265593 74.119 -27.3308
3.289256 74.224 -27.8163
3.313092 74.327 -28.3008
3.337100 74.430 -28.7833
3.361282 74.533 -29.2639
3.385639 74.634 -29.7428
3.410173 74.734 -30.2199
3.434884 74.834 -30.6955
3.459775 74.933 -31.1697
3.484846 75.031 -31.6426
3.510098 75.129 -32.1145
3.535534 75.226 -32.5854
3.561154 75.323 -33.0555
3.586959 75.420 -33.5250
3.612952 75.516 -33.9941
3.639133 75.613 -34.4630
3.665504 75.709 -34.9319
3.692065 75.806 -35.3993
3.718820 75.901 -35.8645
3.745768 75.996 -36.3276
3.772911 76.090 -36.7889
3.800251 76.184 -37.2486
3.827789 76.277 -37.7072
3.855527 76.370 -38.1648
3.883466 76.462 -38.6217
3.911607 76.554 -39.0784
3.939952 76.646 -39.5351
3.968503 76.738 -39.9922
3.997260 76.830 -40.4501
4.026226 76.922 -40.9092
4.055401 77.013 -41.3684
4.084789 77.104 -41.8263
4.114388 77.195 -42.2830
4.144203 77.285 -42.7389
4.174234 77.375 -43.1944
4.204482 77.465 -43.6496
4.234950 77.554 -44.1049
4.265638 77.643 -44.5607
4.296548 77.732 -45.0172
4.327683 77.820 -45.4750
4.359043 77.908 -45.9344
4.390630 77.997 -46.3958
4.422447 78.085 -46.8586
4.454494 78.172 -47.3217
4.486773 78.259 -47.7851
4.519286 78.346 -48.2491
4.552034 78.433 -48.7138
4.585020 78.519 -49.1793
4.618245 78.604 -49.6459
4.651711 78.690 -50.1136
4.685419 78.775 -50.5828
4.719372 78.859 -51.0536
4.753570 78.944 -51.5262
4.788016 79.027 -52.0006
4.822712 79.111 -52.4764
4.857660 79.194 -52.9535
4.892860 79.276 -53.4318
4.928316 79.358 -53.9113
4.964029 79.439 -54.3918
5.000000 79.520 -54.8734
5.036232 79.601 -55.3560
5.072727 79.681 -55.8396
5.109486 79.760 -56.3239
5.146511 79.839 -56.8091
5.183805 79.918 -57.2955
5.221369 79.996 -57.7830
5.259205 80.073 -58.2714
5.297316 80.149 -58.7606
5.335702 80.225 -59.2502
5.374367 80.301 -59.7401
5.413311 80.376 -60.2301
5.452538 80.450 -60.7199
5.492050 80.524 -61.2094
5.531847 80.598 -61.6986
5.571934 80.671 -62.1878
5.612310 80.743 -62.6770
5.652979 80.814 -63.1659
5.693943 80.885 -63.6545
5.735204 80.956 -64.1426
5.776763 81.026 -64.6300
5.818624 81.096 -65.1166
5.860788 81.165 -65.6023
5.903258 81.234 -66.0867
5.946035 81.303 -66.5700
5.989123 81.371 -67.0521
6.032523 81.438 -67.5331
6.076237 81.505 -68.0132
6.120268 81.572 -68.4925
6.164618 81.638 -68.9710
6.209289 81.705 -69.4489
6.254284 81.771 -69.9261
6.299605 81.837 -70.4015
6.345255 81.902 -70.8755
6.391235 81.968 -71.3482
6.437549 82.033 -71.8202
6.484198 82.097 -72.2916
6.531185 82.162 -72.7630
6.578513 82.226 -73.2346
6.626183 82.291 -73.7063
