* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:28:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Green R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 42.334 -131.5807
0.368954 42.314 -131.3905
0.371627 42.294 -131.1949
0.374320 42.274 -130.9939
0.377033 42.254 -130.7874
0.379765 42.234 -130.5755
0.382517 42.213 -130.3579
0.385289 42.193 -130.1347
0.388081 42.172 -129.9058
0.390893 42.151 -129.6710
0.393725 42.130 -129.4304
0.396578 42.109 -129.1838
0.399452 42.087 -128.9313
0.402347 42.066 -128.6726
0.405262 42.044 -128.4078
0.408199 42.022 -128.1367
0.411157 42.000 -127.8594
0.414136 41.978 -127.5756
0.417137 41.956 -127.2854
0.420160 41.933 -126.9887
0.423205 41.911 -126.6854
0.426272 41.888 -126.3754
0.429361 41.865 -126.0587
0.432472 41.842 -125.7352
0.435606 41.819 -125.4048
0.438762 41.795 -125.0674
0.441942 41.772 -124.7229
0.445144 41.748 -124.3714
0.448370 41.724 -124.0127
0.451619 41.700 -123.6467
0.454892 41.675 -123.2734
0.458188 41.651 -122.8928
0.461508 41.626 -122.5046
0.464852 41.601 -122.1089
0.468221 41.576 -121.7056
0.471614 41.551 -121.2946
0.475031 41.526 -120.8759
0.478474 41.500 -120.4493
0.481941 41.474 -120.0149
0.485433 41.448 -119.5724
0.488951 41.422 -119.1220
0.492494 41.396 -118.6635
0.496063 41.369 -118.1967
0.499658 41.343 -117.7218
0.503278 41.316 -117.2386
0.506925 41.289 -116.7470
0.510599 41.261 -116.2470
0.514299 41.234 -115.7385
0.518025 41.206 -115.2215
0.521779 41.178 -114.6958
0.525560 41.150 -114.1615
0.529369 41.122 -113.6185
0.533205 41.093 -113.0666
0.537069 41.064 -112.5060
0.540960 41.036 -111.9364
0.544880 41.006 -111.3580
0.548829 40.977 -110.7705
0.552806 40.947 -110.1740
0.556812 40.918 -109.5684
0.560847 40.888 -108.9536
0.564911 40.857 -108.3297
0.569004 40.827 -107.6966
0.573128 40.796 -107.0542
0.577281 40.766 -106.4025
0.581464 40.734 -105.7415
0.585677 40.703 -105.0711
0.589921 40.672 -104.3914
0.594196 40.640 -103.7022
0.598502 40.608 -103.0035
0.602839 40.576 -102.2954
0.607207 40.543 -101.5779
0.611608 40.510 -100.8508
0.616040 40.477 -100.1142
0.620504 40.444 -99.3681
0.625000 40.411 -98.6125
0.629529 40.377 -97.8473
0.634091 40.343 -97.0726
0.638686 40.309 -96.2884
0.643314 40.275 -95.4947
0.647976 40.240 -94.6915
0.652671 40.205 -93.8788
0.657401 40.170 -93.0566
0.662164 40.135 -92.2250
0.666963 40.099 -91.3841
0.671796 40.063 -90.5337
0.676664 40.027 -89.6741
0.681567 39.990 -88.8052
0.686506 39.954 -87.9270
0.691481 39.917 -87.0397
0.696492 39.879 -86.1434
0.701539 39.842 -85.2379
0.706622 39.804 -84.3236
0.711743 39.766 -83.4004
0.716900 39.728 -82.4684
0.722095 39.689 -81.5278
0.727328 39.650 -80.5786
0.732599 39.614 -79.6209
0.737907 39.680 -78.6405
0.743254 39.753 -77.6249
0.748640 39.832 -76.5745
0.754065 39.918 -75.4897
0.759530 40.011 -74.3709
0.765033 40.111 -73.2185
0.770577 40.217 -72.0331
0.776161 40.329 -70.8152
0.781785 40.449 -69.5653
0.787451 40.574 -68.2841
0.793157 40.706 -66.9723
0.798904 40.845 -65.6305
0.804694 40.990 -64.2594
0.810525 41.141 -62.8600
0.816398 41.299 -61.4329
0.822314 41.462 -59.9792
0.828273 41.631 -58.4997
0.834275 41.807 -56.9955
0.840320 41.988 -55.4676
0.846410 42.175 -53.9171
0.852543 42.368 -52.3452
0.858721 42.566 -50.7531
0.864944 42.769 -49.1421
0.871211 42.977 -47.5136
0.877525 43.191 -45.8689
0.883883 43.409 -44.2097
0.890288 43.632 -42.5373
0.896740 43.860 -40.8536
0.903238 44.092 -39.1602
0.909783 44.328 -37.4588
0.916376 44.568 -35.7514
0.923016 44.811 -34.0399
0.929705 45.058 -32.3263
0.936442 45.308 -30.6128
0.943228 45.562 -28.9016
0.950063 45.817 -27.1949
0.956947 46.075 -25.4953
0.963882 46.336 -23.8051
0.970866 46.598 -22.1270
0.977902 46.861 -20.4637
0.984988 47.126 -18.8180
0.992126 47.391 -17.1928
0.999315 47.656 -15.5912
1.006557 47.922 -14.0163
1.013850 48.187 -12.4714
1.021197 48.451 -10.9599
1.028597 48.714 -9.4853
1.036051 48.975 -8.0513
1.043558 49.234 -6.6616
1.051121 49.490 -5.3203
1.058737 49.743 -4.0313
1.066409 49.992 -2.7988
1.074137 50.237 -1.6274
1.081921 50.477 -0.5214
1.089761 50.711 0.5144
1.097658 50.939 1.4752
1.105612 51.164 1.5912
1.113623 51.389 1.6024
1.121693 51.616 1.6216
1.129821 51.845 1.6484
1.138009 52.074 1.6828
1.146255 52.305 1.7245
1.154561 52.536 1.7731
1.162928 52.769 1.8285
1.171355 53.002 1.8903
1.179843 53.237 1.9583
1.188393 53.472 2.0321
1.197004 53.708 2.1114
1.205678 53.945 2.1958
1.214415 54.182 2.2851
1.223215 54.420 2.3787
1.232079 54.659 2.4763
1.241007 54.898 2.5774
1.250000 55.137 2.6816
1.259058 55.377 2.7884
1.268182 55.617 2.8974
1.277371 55.857 3.0080
1.286628 56.097 3.1196
1.295951 56.337 3.2318
1.305342 56.577 3.3438
1.314801 56.817 3.4552
1.324329 57.056 3.5652
1.333925 57.295 3.6732
1.343592 57.533 3.7785
1.353328 57.770 3.8803
1.363135 58.007 3.9779
1.373013 58.243 4.0706
1.382962 58.477 4.1574
1.392983 58.711 4.2376
1.403078 58.943 4.3102
1.413245 59.174 4.3744
1.423486 59.403 4.4291
1.433801 59.630 4.4734
1.444191 59.855 4.5063
1.454656 60.078 4.5266
1.465197 60.299 4.5315
1.475815 60.517 4.4706
1.486509 60.733 4.3952
1.497281 60.946 4.3056
1.508131 61.157 4.2022
1.519059 61.365 4.0851
1.530067 61.570 3.9549
1.541154 61.774 3.8117
1.552322 61.975 3.6559
1.563571 62.174 3.4881
1.574901 62.370 3.3085
1.586314 62.565 3.1176
1.597809 62.757 2.9159
1.609387 62.948 2.7039
1.621049 63.137 2.4821
1.632796 63.324 2.2510
1.644628 63.510 2.0113
1.656546 63.695 1.7635
1.668550 63.878 1.5082
1.680641 64.059 1.2463
1.692819 64.240 0.9783
1.705086 64.420 0.7050
1.717442 64.599 0.4272
1.729887 64.778 0.1457
1.742423 64.956 -0.1387
1.755049 65.134 -0.4251
1.767767 65.312 -0.7125
1.780577 65.490 -1.0000
1.793480 65.668 -1.2865
1.806476 65.847 -1.5710
1.819566 66.027 -1.8525
1.832752 66.208 -2.1298
1.846033 66.388 -2.4095
1.859410 66.566 -2.6960
1.872884 66.743 -2.9891
1.886456 66.917 -3.2886
1.900126 67.091 -3.5945
1.913895 67.262 -3.9065
1.927764 67.432 -4.2245
1.941733 67.601 -4.5482
1.955804 67.768 -4.8774
1.969976 67.933 -5.2119
1.984251 68.098 -5.5515
1.998630 68.261 -5.8960
2.013113 68.423 -6.2450
2.027701 68.583 -6.5983
2.042394 68.743 -6.9556
2.057194 68.902 -7.3167
2.072102 69.061 -7.6811
2.087117 69.218 -8.0486
2.102241 69.375 -8.4189
2.117475 69.531 -8.7915
2.132819 69.687 -9.1661
2.148274 69.843 -9.5422
2.163841 69.999 -9.9196
2.179522 70.154 -10.2977
2.195315 70.310 -10.6761
2.211223 70.465 -11.0561
2.227247 70.619 -11.4405
2.243386 70.772 -11.8290
2.259643 70.922 -12.2216
2.276017 71.072 -12.6182
2.292510 71.220 -13.0186
2.309123 71.367 -13.4226
2.325855 71.512 -13.8301
2.342710 71.657 -14.2409
2.359686 71.800 -14.6548
2.376785 71.942 -15.0717
2.394008 72.083 -15.4914
2.411356 72.223 -15.9137
2.428830 72.362 -16.3383
2.446430 72.501 -16.7650
2.464158 72.639 -17.1936
2.482014 72.776 -17.6239
2.500000 72.913 -18.0555
2.518116 73.049 -18.4884
2.536363 73.185 -18.9220
2.554743 73.321 -19.3563
2.573256 73.456 -19.7912
2.591902 73.591 -20.2283
2.610684 73.723 -20.6679
2.629603 73.855 -21.1099
2.648658 73.985 -21.5540
2.667851 74.114 -22.0003
2.687183 74.242 -22.4486
2.706656 74.368 -22.8988
2.726269 74.494 -23.3508
2.746025 74.618 -23.8043
2.765924 74.742 -24.2593
2.785967 74.864 -24.7156
2.806155 74.986 -25.1731
2.826490 75.107 -25.6316
2.846972 75.228 -26.0910
2.867602 75.348 -26.5510
2.888382 75.467 -27.0114
2.909312 75.587 -27.4722
2.930394 75.706 -27.9331
2.951629 75.824 -28.3944
2.973018 75.941 -28.8566
2.994561 76.057 -29.3195
3.016261 76.171 -29.7832
3.038118 76.284 -30.2475
3.060134 76.397 -30.7126
3.082309 76.508 -31.1782
3.104645 76.618 -31.6444
3.127142 76.727 -32.1111
3.149803 76.836 -32.5783
3.172627 76.944 -33.0458
3.195618 77.051 -33.5137
3.218774 77.158 -33.9819
3.242099 77.264 -34.4504
3.265593 77.370 -34.9190
3.289256 77.476 -35.3878
3.313092 77.581 -35.8564
3.337100 77.685 -36.3247
3.361282 77.788 -36.7926
3.385639 77.890 -37.2602
3.410173 77.991 -37.7276
3.434884 78.092 -38.1948
3.459775 78.191 -38.6619
3.484846 78.290 -39.1290
3.510098 78.387 -39.5962
3.535534 78.485 -40.0636
3.561154 78.581 -40.5312
3.586959 78.678 -40.9992
3.612952 78.773 -41.4676
3.639133 78.869 -41.9366
3.665504 78.965 -42.4063
3.692065 79.059 -42.8758
3.718820 79.153 -43.3445
3.745768 79.246 -43.8127
3.772911 79.339 -44.2805
3.800251 79.430 -44.7481
3.827789 79.521 -45.2155
3.855527 79.611 -45.6832
3.883466 79.701 -46.1511
3.911607 79.790 -46.6195
3.939952 79.879 -47.0887
3.968503 79.967 -47.5589
3.997260 80.055 -48.0302
4.026226 80.142 -48.5030
4.055401 80.230 -48.9766
4.084789 80.316 -49.4502
4.114388 80.402 -49.9237
4.144203 80.487 -50.3975
4.174234 80.572 -50.8716
4.204482 80.656 -51.3463
4.234950 80.739 -51.8216
4.265638 80.822 -52.2978
4.296548 80.904 -52.7751
4.327683 80.986 -53.2537
4.359043 81.067 -53.7337
4.390630 81.148 -54.2155
4.422447 81.228 -54.6987
4.454494 81.308 -55.1828
4.486773 81.387 -55.6678
4.519286 81.465 -56.1536
4.552034 81.543 -56.6404
4.585020 81.620 -57.1281
4.618245 81.696 -57.6167
4.651711 81.772 -58.1064
4.685419 81.848 -58.5971
4.719372 81.922 -59.0889
4.753570 81.997 -59.5818
4.788016 82.070 -60.0759
4.822712 82.143 -60.5712
4.857660 82.215 -61.0674
4.892860 82.286 -61.5646
4.928316 82.357 -62.0626
4.964029 82.427 -62.5611
5.000000 82.496 -63.0602
5.036232 82.564 -63.5596
5.072727 82.632 -64.0592
5.109486 82.700 -64.5587
5.146511 82.767 -65.0583
5.183805 82.833 -65.5581
5.221369 82.898 -66.0583
5.259205 82.963 -66.5585
5.297316 83.026 -67.0587
5.335702 83.089 -67.5586
5.374367 83.152 -68.0582
5.413311 83.214 -68.5572
5.452538 83.275 -69.0554
5.492050 83.336 -69.5527
5.531847 83.397 -70.0488
5.571934 83.457 -70.5439
5.612310 83.516 -71.0380
5.652979 83.574 -71.5311
5.693943 83.632 -72.0232
5.735204 83.690 -72.5144
5.776763 83.747 -73.0048
5.818624 83.804 -73.4943
5.860788 83.861 -73.9830
5.903258 83.917 -74.4702
5.946035 83.974 -74.9555
5.989123 84.029 -75.4391
6.032523 84.084 -75.9216
6.076237 84.139 -76.4031
6.120268 84.194 -76.8841
6.164618 84.249 -77.3651
6.209289 84.303 -77.8463
6.254284 84.358 -78.3278
6.299605 84.412 -78.8078
