* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:25:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 White L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 35.804 178.6598
0.368954 35.814 178.0796
0.371627 35.825 177.4712
0.374320 35.835 176.8342
0.377033 35.846 176.1687
0.379765 35.856 175.4743
0.382517 35.867 174.7508
0.385289 35.878 173.9982
0.388081 35.889 173.2163
0.390893 35.900 172.4048
0.393725 35.911 171.5637
0.396578 35.922 170.6928
0.399452 35.934 169.7920
0.402347 35.945 168.8612
0.405262 35.956 167.9003
0.408199 35.968 166.9091
0.411157 35.980 165.8877
0.414136 35.991 164.8359
0.417137 36.003 163.7536
0.420160 36.015 162.6409
0.423205 36.027 161.4977
0.426272 36.039 160.3239
0.429361 36.051 159.1196
0.432472 36.063 157.8848
0.435606 36.075 156.6195
0.438762 36.088 155.3238
0.441942 36.100 153.9976
0.445144 36.113 152.6412
0.448370 36.126 151.2545
0.451619 36.138 149.8377
0.454892 36.151 148.3910
0.458188 36.164 146.9144
0.461508 36.177 145.4082
0.464852 36.190 143.8725
0.468221 36.203 142.3076
0.471614 36.217 140.7137
0.475031 36.230 139.0910
0.478474 36.244 137.4400
0.481941 36.257 135.7608
0.485433 36.271 134.0538
0.488951 36.285 132.3194
0.492494 36.299 130.5580
0.496063 36.313 128.7701
0.499658 36.327 126.9559
0.503278 36.341 125.1162
0.506925 36.355 123.2514
0.510599 36.370 121.3619
0.514299 36.384 119.4485
0.518025 36.399 117.5118
0.521779 36.413 115.5524
0.525560 36.428 113.5710
0.529369 36.443 111.5684
0.533205 36.458 109.5452
0.537069 36.473 107.5025
0.540960 36.489 105.4410
0.544880 36.504 103.3617
0.548829 36.520 101.2655
0.552806 36.535 99.1533
0.556812 36.551 97.0263
0.560847 36.567 94.8856
0.564911 36.583 92.7323
0.569004 36.599 90.5676
0.573128 36.615 88.3928
0.577281 36.631 86.2092
0.581464 36.648 84.0182
0.585677 36.664 81.8212
0.589921 36.681 79.6198
0.594196 36.697 77.4155
0.598502 36.714 75.2099
0.602839 36.731 73.0047
0.607207 36.748 70.8018
0.611608 36.766 68.6029
0.616040 36.783 66.4100
0.620504 36.801 64.2250
0.625000 36.818 62.0500
0.629529 36.836 59.8873
0.634091 36.854 57.7389
0.638686 36.872 55.6073
0.643314 36.890 53.4948
0.647976 36.908 51.4040
0.652671 36.927 49.3375
0.657401 36.945 47.2978
0.662164 36.964 45.2879
0.666963 36.983 43.3106
0.671796 37.002 41.3688
0.676664 37.021 39.4658
0.681567 37.040 37.6047
0.686506 37.059 35.7888
0.691481 37.079 34.0216
0.696492 37.099 32.3065
0.701539 37.118 30.6475
0.706622 37.138 29.0481
0.711743 37.158 27.5124
0.716900 37.179 26.0444
0.722095 37.199 24.6483
0.727328 37.220 23.3285
0.732599 37.243 22.1296
0.737907 37.354 22.1231
0.743254 37.472 22.1048
0.748640 37.597 22.0745
0.754065 37.729 22.0326
0.759530 37.868 21.9790
0.765033 38.014 21.9139
0.770577 38.167 21.8375
0.776161 38.326 21.7499
0.781785 38.492 21.6514
0.787451 38.665 21.5421
0.793157 38.845 21.4222
0.798904 39.031 21.2920
0.804694 39.223 21.1516
0.810525 39.421 21.0014
0.816398 39.626 20.8416
0.822314 39.837 20.6725
0.828273 40.054 20.4944
0.834275 40.276 20.3077
0.840320 40.505 20.1126
0.846410 40.738 19.9096
0.852543 40.978 19.6990
0.858721 41.222 19.4812
0.864944 41.472 19.2567
0.871211 41.726 19.0259
0.877525 41.985 18.7893
0.883883 42.248 18.5474
0.890288 42.516 18.3007
0.896740 42.787 18.0497
0.903238 43.063 17.7950
0.909783 43.342 17.5373
0.916376 43.624 17.2771
0.923016 43.909 17.0151
0.929705 44.196 16.7521
0.936442 44.486 16.4886
0.943228 44.779 16.2254
0.950063 45.072 15.9634
0.956947 45.367 15.7034
0.963882 45.663 15.4461
0.970866 45.960 15.1925
0.977902 46.257 14.9435
0.984988 46.553 14.7001
0.992126 46.849 14.4632
0.999315 47.144 14.2338
1.006557 47.437 14.0131
1.013850 47.728 13.8022
1.021197 48.017 13.6022
1.028597 48.302 13.4143
1.036051 48.584 13.2399
1.043558 48.861 13.0801
1.051121 49.133 12.9363
1.058737 49.400 12.8099
1.066409 49.661 12.7024
1.074137 49.915 12.6153
1.081921 50.162 12.5501
1.089761 50.400 12.5084
1.097658 50.629 12.4919
1.105612 50.852 12.3487
1.113623 51.071 12.1886
1.121693 51.286 12.0314
1.129821 51.499 11.8771
1.138009 51.709 11.7255
1.146255 51.916 11.5767
1.154561 52.119 11.4304
1.162928 52.320 11.2866
1.171355 52.518 11.1452
1.179843 52.713 11.0060
1.188393 52.906 10.8689
1.197004 53.095 10.7339
1.205678 53.283 10.6007
1.214415 53.468 10.4692
1.223215 53.650 10.3393
1.232079 53.830 10.2108
1.241007 54.009 10.0835
1.250000 54.185 9.9572
1.259058 54.359 9.8318
1.268182 54.531 9.7070
1.277371 54.702 9.5827
1.286628 54.871 9.4587
1.295951 55.039 9.3346
1.305342 55.206 9.2103
1.314801 55.372 9.0855
1.324329 55.536 8.9600
1.333925 55.701 8.8335
1.343592 55.864 8.7057
1.353328 56.028 8.5764
1.363135 56.191 8.4451
1.373013 56.354 8.3116
1.382962 56.518 8.1756
1.392983 56.683 8.0367
1.403078 56.848 7.8946
1.413245 57.015 7.7488
1.423486 57.182 7.5991
1.433801 57.352 7.4449
1.444191 57.524 7.2859
1.454656 57.697 7.1217
1.465197 57.874 6.9518
1.475815 58.051 6.7778
1.486509 58.227 6.6018
1.497281 58.402 6.4236
1.508131 58.576 6.2432
1.519059 58.748 6.0606
1.530067 58.919 5.8758
1.541154 59.090 5.6887
1.552322 59.259 5.4994
1.563571 59.427 5.3079
1.574901 59.595 5.1141
1.586314 59.761 4.9180
1.597809 59.927 4.7196
1.609387 60.092 4.5188
1.621049 60.256 4.3158
1.632796 60.419 4.1104
1.644628 60.581 3.9027
1.656546 60.743 3.6926
1.668550 60.905 3.4801
1.680641 61.066 3.2652
1.692819 61.227 3.0479
1.705086 61.387 2.8282
1.717442 61.547 2.6061
1.729887 61.707 2.3816
1.742423 61.867 2.1546
1.755049 62.026 1.9251
1.767767 62.186 1.6932
1.780577 62.346 1.4589
1.793480 62.507 1.2220
1.806476 62.668 0.9827
1.819566 62.829 0.7409
1.832752 62.991 0.4966
1.846033 63.153 0.2493
1.859410 63.314 -0.0011
1.872884 63.474 -0.2547
1.886456 63.633 -0.5115
1.900126 63.791 -0.7715
1.913895 63.948 -1.0345
1.927764 64.105 -1.3007
1.941733 64.261 -1.5700
1.955804 64.417 -1.8424
1.969976 64.571 -2.1178
1.984251 64.725 -2.3962
1.998630 64.879 -2.6777
2.013113 65.031 -2.9620
2.027701 65.184 -3.2493
2.042394 65.336 -3.5395
2.057194 65.487 -3.8325
2.072102 65.638 -4.1283
2.087117 65.789 -4.4269
2.102241 65.939 -4.7282
2.117475 66.090 -5.0321
2.132819 66.240 -5.3386
2.148274 66.390 -5.6477
2.163841 66.540 -5.9592
2.179522 66.690 -6.2731
2.195315 66.840 -6.5894
2.211223 66.990 -6.9084
2.227247 67.139 -7.2310
2.243386 67.288 -7.5570
2.259643 67.435 -7.8865
2.276017 67.582 -8.2193
2.292510 67.728 -8.5556
2.309123 67.873 -8.8951
2.325855 68.018 -9.2379
2.342710 68.161 -9.5838
2.359686 68.305 -9.9329
2.376785 68.447 -10.2851
2.394008 68.589 -10.6403
2.411356 68.730 -10.9984
2.428830 68.871 -11.3594
2.446430 69.012 -11.7231
2.464158 69.152 -12.0896
2.482014 69.291 -12.4587
2.500000 69.431 -12.8302
2.518116 69.570 -13.2043
2.536363 69.708 -13.5806
2.554743 69.847 -13.9591
2.573256 69.986 -14.3400
2.591902 70.123 -14.7241
2.610684 70.260 -15.1116
2.629603 70.396 -15.5025
2.648658 70.531 -15.8966
2.667851 70.665 -16.2939
2.687183 70.798 -16.6943
2.706656 70.931 -17.0976
2.726269 71.062 -17.5039
2.746025 71.194 -17.9130
2.765924 71.324 -18.3248
2.785967 71.454 -18.7393
2.806155 71.583 -19.1562
2.826490 71.711 -19.5755
2.846972 71.839 -19.9971
2.867602 71.967 -20.4208
2.888382 72.094 -20.8465
2.909312 72.221 -21.2740
2.930394 72.347 -21.7033
2.951629 72.473 -22.1349
2.973018 72.598 -22.5696
2.994561 72.721 -23.0071
3.016261 72.844 -23.4474
3.038118 72.966 -23.8903
3.060134 73.087 -24.3358
3.082309 73.207 -24.7837
3.104645 73.326 -25.2338
3.127142 73.445 -25.6861
3.149803 73.562 -26.1404
3.172627 73.679 -26.5965
3.195618 73.795 -27.0543
3.218774 73.911 -27.5136
3.242099 74.026 -27.9742
3.265593 74.141 -28.4360
3.289256 74.255 -28.8988
3.313092 74.368 -29.3627
3.337100 74.481 -29.8288
3.361282 74.592 -30.2969
3.385639 74.702 -30.7669
3.410173 74.811 -31.2387
3.434884 74.919 -31.7120
3.459775 75.027 -32.1867
3.484846 75.133 -32.6627
3.510098 75.239 -33.1397
3.535534 75.343 -33.6175
3.561154 75.447 -34.0961
3.586959 75.551 -34.5751
3.612952 75.653 -35.0544
3.639133 75.755 -35.5337
3.665504 75.857 -36.0128
3.692065 75.958 -36.4924
3.718820 76.058 -36.9727
3.745768 76.156 -37.4537
3.772911 76.253 -37.9352
3.800251 76.350 -38.4170
3.827789 76.445 -38.8990
3.855527 76.540 -39.3810
3.883466 76.633 -39.8627
3.911607 76.726 -40.3441
3.939952 76.819 -40.8249
3.968503 76.910 -41.3049
3.997260 77.002 -41.7838
4.026226 77.092 -42.2616
4.055401 77.183 -42.7382
4.084789 77.272 -43.2140
4.114388 77.359 -43.6888
4.144203 77.446 -44.1625
4.174234 77.532 -44.6352
4.204482 77.617 -45.1066
4.234950 77.702 -45.5768
4.265638 77.786 -46.0456
4.296548 77.869 -46.5130
4.327683 77.951 -46.9788
4.359043 78.034 -47.4430
4.390630 78.116 -47.9055
4.422447 78.198 -48.3658
4.454494 78.279 -48.8237
4.486773 78.359 -49.2791
4.519286 78.438 -49.7323
4.552034 78.516 -50.1833
4.585020 78.594 -50.6323
4.618245 78.672 -51.0794
4.651711 78.749 -51.5249
4.685419 78.826 -51.9688
4.719372 78.903 -52.4114
4.753570 78.979 -52.8528
4.788016 79.056 -53.2924
4.822712 79.132 -53.7288
4.857660 79.208 -54.1622
4.892860 79.283 -54.5931
4.928316 79.358 -55.0219
4.964029 79.432 -55.4490
5.000000 79.507 -55.8750
5.036232 79.581 -56.3002
5.072727 79.655 -56.7254
5.109486 79.730 -57.1509
5.146511 79.805 -57.5768
5.183805 79.879 -58.0006
5.221369 79.954 -58.4222
5.259205 80.028 -58.8424
5.297316 80.102 -59.2618
5.335702 80.176 -59.6810
5.374367 80.250 -60.1007
5.413311 80.324 -60.5216
5.452538 80.398 -60.9445
5.492050 80.473 -61.3702
5.531847 80.547 -61.7975
5.571934 80.622 -62.2247
5.612310 80.696 -62.6525
5.652979 80.771 -63.0812
5.693943 80.845 -63.5116
5.735204 80.919 -63.9441
5.776763 80.994 -64.3793
5.818624 81.068 -64.8180
5.860788 81.142 -65.2607
5.903258 81.216 -65.7068
5.946035 81.290 -66.1556
5.989123 81.364 -66.6072
6.032523 81.437 -67.0617
6.076237 81.511 -67.5193
6.120268 81.584 -67.9801
6.164618 81.657 -68.4443
6.209289 81.729 -68.9120
6.254284 81.801 -69.3835
6.299605 81.873 -69.8592
6.345255 81.944 -70.3387
6.391235 82.015 -70.8217
6.437549 82.085 -71.3078
6.484198 82.155 -71.7966
6.531185 82.224 -72.2878
6.578513 82.292 -72.7809
6.626183 82.360 -73.2762
6.674199 82.427 -73.7750
6.722563 82.493 -74.2768
6.771278 82.559 -74.7810
