* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:15:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 White R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366299 38.112 -131.5044
0.368954 38.108 -131.0937
0.371627 38.103 -130.6644
0.374320 38.098 -130.2162
0.377033 38.094 -129.7490
0.379765 38.089 -129.2628
0.382517 38.084 -128.7573
0.385289 38.080 -128.2325
0.388081 38.075 -127.6882
0.390893 38.070 -127.1242
0.393725 38.065 -126.5406
0.396578 38.060 -125.9372
0.399452 38.055 -125.3139
0.402347 38.050 -124.6706
0.405262 38.045 -124.0072
0.408199 38.040 -123.3236
0.411157 38.035 -122.6198
0.414136 38.030 -121.8957
0.417137 38.025 -121.1513
0.420160 38.020 -120.3864
0.423205 38.014 -119.6010
0.426272 38.009 -118.7952
0.429361 38.004 -117.9688
0.432472 37.998 -117.1219
0.435606 37.993 -116.2545
0.438762 37.988 -115.3665
0.441942 37.982 -114.4580
0.445144 37.977 -113.5290
0.448370 37.971 -112.5795
0.451619 37.965 -111.6095
0.454892 37.960 -110.6192
0.458188 37.954 -109.6085
0.461508 37.948 -108.5776
0.464852 37.943 -107.5266
0.468221 37.937 -106.4555
0.471614 37.931 -105.3646
0.475031 37.925 -104.2538
0.478474 37.919 -103.1234
0.481941 37.913 -101.9736
0.485433 37.907 -100.8045
0.488951 37.901 -99.6162
0.492494 37.895 -98.4092
0.496063 37.889 -97.1835
0.499658 37.883 -95.9394
0.503278 37.876 -94.6772
0.506925 37.870 -93.3972
0.510599 37.864 -92.0997
0.514299 37.857 -90.7850
0.518025 37.851 -89.4535
0.521779 37.845 -88.1055
0.525560 37.838 -86.7416
0.529369 37.832 -85.3619
0.533205 37.825 -83.9671
0.537069 37.818 -82.5577
0.540960 37.812 -81.1340
0.544880 37.805 -79.6967
0.548829 37.798 -78.2463
0.552806 37.791 -76.7833
0.556812 37.784 -75.3084
0.560847 37.777 -73.8223
0.564911 37.770 -72.3255
0.569004 37.763 -70.8189
0.573128 37.756 -69.3032
0.577281 37.749 -67.7791
0.581464 37.742 -66.2475
0.585677 37.735 -64.7091
0.589921 37.727 -63.1650
0.594196 37.720 -61.6160
0.598502 37.712 -60.0631
0.602839 37.705 -58.5073
0.607207 37.697 -56.9497
0.611608 37.690 -55.3913
0.616040 37.682 -53.8334
0.620504 37.675 -52.2770
0.625000 37.667 -50.7235
0.629529 37.659 -49.1741
0.634091 37.651 -47.6301
0.638686 37.643 -46.0931
0.643314 37.635 -44.5643
0.647976 37.627 -43.0453
0.652671 37.619 -41.5376
0.657401 37.611 -40.0430
0.662164 37.603 -38.5630
0.666963 37.595 -37.0993
0.671796 37.586 -35.6539
0.676664 37.578 -34.2285
0.681567 37.569 -32.8252
0.686506 37.561 -31.4458
0.691481 37.552 -30.0926
0.696492 37.544 -28.7675
0.701539 37.535 -27.4730
0.706622 37.526 -26.2112
0.711743 37.517 -24.9845
0.716900 37.509 -23.7955
0.722095 37.500 -22.6467
0.727328 37.491 -21.5407
0.732599 37.485 -20.4802
0.737907 37.597 -19.4512
0.743254 37.718 -18.4397
0.748640 37.848 -17.4458
0.754065 37.987 -16.4696
0.759530 38.135 -15.5113
0.765033 38.291 -14.5709
0.770577 38.456 -13.6484
0.776161 38.630 -12.7439
0.781785 38.812 -11.8575
0.787451 39.003 -10.9891
0.793157 39.202 -10.1389
0.798904 39.409 -9.3068
0.804694 39.625 -8.4928
0.810525 39.848 -7.6970
0.816398 40.080 -6.9192
0.822314 40.319 -6.1595
0.828273 40.566 -5.4178
0.834275 40.820 -4.6940
0.840320 41.081 -3.9880
0.846410 41.350 -3.2998
0.852543 41.626 -2.6293
0.858721 41.908 -1.9762
0.864944 42.196 -1.3405
0.871211 42.491 -0.7219
0.877525 42.792 -0.1204
0.883883 43.098 0.4644
0.890288 43.410 1.0326
0.896740 43.727 1.5845
0.903238 44.049 2.1203
0.909783 44.375 2.6404
0.916376 44.706 3.1451
0.923016 45.040 3.6346
0.929705 45.378 4.1095
0.936442 45.718 4.5700
0.943228 46.062 5.0166
0.950063 46.407 5.4497
0.956947 46.755 5.8698
0.963882 47.103 6.2774
0.970866 47.453 6.6730
0.977902 47.803 7.0573
0.984988 48.152 7.4307
0.992126 48.501 7.7940
0.999315 48.848 8.1478
1.006557 49.193 8.4928
1.013850 49.536 8.8297
1.021197 49.876 9.1594
1.028597 50.211 9.4826
1.036051 50.542 9.8002
1.043558 50.868 10.1131
1.051121 51.187 10.4222
1.058737 51.500 10.7286
1.066409 51.805 11.0332
1.074137 52.101 11.3372
1.081921 52.388 11.6417
1.089761 52.664 11.9479
1.097658 52.929 12.2569
1.105612 53.185 12.5567
1.113623 53.438 12.8269
1.121693 53.687 13.0675
1.129821 53.933 13.2788
1.138009 54.175 13.4613
1.146255 54.414 13.6155
1.154561 54.650 13.7418
1.162928 54.882 13.8407
1.171355 55.111 13.9129
1.179843 55.337 13.9588
1.188393 55.560 13.9792
1.197004 55.780 13.9747
1.205678 55.997 13.9460
1.214415 56.212 13.8940
1.223215 56.423 13.8194
1.232079 56.632 13.7232
1.241007 56.839 13.6062
1.250000 57.043 13.4695
1.259058 57.245 13.3141
1.268182 57.445 13.1410
1.277371 57.642 12.9514
1.286628 57.838 12.7465
1.295951 58.032 12.5276
1.305342 58.225 12.2960
1.314801 58.417 12.0531
1.324329 58.607 11.8004
1.333925 58.796 11.5395
1.343592 58.984 11.2719
1.353328 59.172 10.9992
1.363135 59.360 10.7234
1.373013 59.547 10.4462
1.382962 59.734 10.1695
1.392983 59.922 9.8954
1.403078 60.111 9.6259
1.413245 60.300 9.3633
1.423486 60.490 9.1097
1.433801 60.682 8.8676
1.444191 60.876 8.6395
1.454656 61.072 8.4278
1.465197 61.270 8.2353
1.475815 61.468 8.0483
1.486509 61.665 7.8535
1.497281 61.859 7.6508
1.508131 62.052 7.4404
1.519059 62.243 7.2224
1.530067 62.433 6.9971
1.541154 62.620 6.7645
1.552322 62.806 6.5248
1.563571 62.990 6.2781
1.574901 63.173 6.0247
1.586314 63.354 5.7647
1.597809 63.534 5.4983
1.609387 63.713 5.2258
1.621049 63.890 4.9474
1.632796 64.066 4.6633
1.644628 64.241 4.3738
1.656546 64.414 4.0791
1.668550 64.587 3.7796
1.680641 64.759 3.4755
1.692819 64.930 3.1671
1.705086 65.101 2.8549
1.717442 65.270 2.5390
1.729887 65.440 2.2199
1.742423 65.609 1.8980
1.755049 65.778 1.5736
1.767767 65.947 1.2472
1.780577 66.116 0.9192
1.793480 66.285 0.5901
1.806476 66.454 0.2602
1.819566 66.624 -0.0698
1.832752 66.795 -0.3995
1.846033 66.965 -0.7322
1.859410 67.133 -1.0700
1.872884 67.301 -1.4129
1.886456 67.466 -1.7608
1.900126 67.631 -2.1135
1.913895 67.794 -2.4709
1.927764 67.956 -2.8330
1.941733 68.117 -3.1995
1.955804 68.276 -3.5705
1.969976 68.434 -3.9456
1.984251 68.592 -4.3248
1.998630 68.748 -4.7079
2.013113 68.903 -5.0948
2.027701 69.057 -5.4853
2.042394 69.211 -5.8791
2.057194 69.364 -6.2762
2.072102 69.516 -6.6762
2.087117 69.667 -7.0791
2.102241 69.818 -7.4845
2.117475 69.968 -7.8923
2.132819 70.118 -8.3021
2.148274 70.268 -8.7138
2.163841 70.418 -9.1271
2.179522 70.567 -9.5416
2.195315 70.717 -9.9572
2.211223 70.866 -10.3748
2.227247 71.014 -10.7961
2.243386 71.160 -11.2211
2.259643 71.305 -11.6496
2.276017 71.449 -12.0816
2.292510 71.592 -12.5169
2.309123 71.733 -12.9554
2.325855 71.874 -13.3971
2.342710 72.013 -13.8416
2.359686 72.151 -14.2890
2.376785 72.288 -14.7389
2.394008 72.425 -15.1914
2.411356 72.560 -15.6462
2.428830 72.695 -16.1032
2.446430 72.829 -16.5621
2.464158 72.962 -17.0228
2.482014 73.094 -17.4851
2.500000 73.227 -17.9487
2.518116 73.358 -18.4135
2.536363 73.490 -18.8793
2.554743 73.621 -19.3457
2.573256 73.752 -19.8129
2.591902 73.881 -20.2822
2.610684 74.009 -20.7538
2.629603 74.136 -21.2275
2.648658 74.262 -21.7032
2.667851 74.386 -22.1809
2.687183 74.510 -22.6604
2.706656 74.632 -23.1415
2.726269 74.753 -23.6241
2.746025 74.873 -24.1082
2.765924 74.992 -24.5934
2.785967 75.111 -25.0798
2.806155 75.228 -25.5670
2.826490 75.345 -26.0551
2.846972 75.461 -26.5437
2.867602 75.577 -27.0327
2.888382 75.692 -27.5219
2.909312 75.807 -28.0112
2.930394 75.922 -28.5003
2.951629 76.036 -28.9896
2.973018 76.148 -29.4795
2.994561 76.259 -29.9700
3.016261 76.369 -30.4609
3.038118 76.478 -30.9523
3.060134 76.586 -31.4440
3.082309 76.692 -31.9359
3.104645 76.798 -32.4279
3.127142 76.903 -32.9201
3.149803 77.007 -33.4122
3.172627 77.110 -33.9042
3.195618 77.213 -34.3960
3.218774 77.315 -34.8875
3.242099 77.416 -35.3786
3.265593 77.518 -35.8692
3.289256 77.619 -36.3592
3.313092 77.719 -36.8484
3.337100 77.819 -37.3366
3.361282 77.917 -37.8239
3.385639 78.014 -38.3102
3.410173 78.110 -38.7955
3.434884 78.206 -39.2800
3.459775 78.300 -39.7637
3.484846 78.394 -40.2466
3.510098 78.487 -40.7287
3.535534 78.579 -41.2102
3.561154 78.671 -41.6910
3.586959 78.762 -42.1713
3.612952 78.853 -42.6511
3.639133 78.944 -43.1304
3.665504 79.035 -43.6094
3.692065 79.125 -44.0870
3.718820 79.214 -44.5627
3.745768 79.303 -45.0367
3.772911 79.390 -45.5091
3.800251 79.477 -45.9802
3.827789 79.563 -46.4501
3.855527 79.649 -46.9191
3.883466 79.734 -47.3873
3.911607 79.819 -47.8552
3.939952 79.903 -48.3228
3.968503 79.987 -48.7905
3.997260 80.071 -49.2585
4.026226 80.155 -49.7271
4.055401 80.238 -50.1954
4.084789 80.321 -50.6620
4.114388 80.404 -51.1273
4.144203 80.485 -51.5914
4.174234 80.567 -52.0547
4.204482 80.648 -52.5175
4.234950 80.728 -52.9801
4.265638 80.808 -53.4429
4.296548 80.887 -53.9062
4.327683 80.967 -54.3704
4.359043 81.046 -54.8359
4.390630 81.125 -55.3031
4.422447 81.204 -55.7713
4.454494 81.282 -56.2392
4.486773 81.360 -56.7068
4.519286 81.438 -57.1746
4.552034 81.515 -57.6427
4.585020 81.591 -58.1115
4.618245 81.667 -58.5811
4.651711 81.743 -59.0518
4.685419 81.819 -59.5241
4.719372 81.894 -59.9981
4.753570 81.969 -60.4742
4.788016 82.043 -60.9523
4.822712 82.117 -61.4315
4.857660 82.191 -61.9117
4.892860 82.264 -62.3931
4.928316 82.336 -62.8757
4.964029 82.408 -63.3597
5.000000 82.480 -63.8450
5.036232 82.551 -64.3318
5.072727 82.622 -64.8201
5.109486 82.692 -65.3101
5.146511 82.762 -65.8018
5.183805 82.831 -66.2952
5.221369 82.899 -66.7901
5.259205 82.967 -67.2865
5.297316 83.035 -67.7842
5.335702 83.101 -68.2831
5.374367 83.168 -68.7830
5.413311 83.233 -69.2839
5.452538 83.298 -69.7856
5.492050 83.363 -70.2879
5.531847 83.427 -70.7911
5.571934 83.491 -71.2954
5.612310 83.553 -71.8006
5.652979 83.615 -72.3066
5.693943 83.676 -72.8131
5.735204 83.737 -73.3199
5.776763 83.798 -73.8270
5.818624 83.857 -74.3339
5.860788 83.917 -74.8406
5.903258 83.976 -75.3470
5.946035 84.034 -75.8535
5.989123 84.091 -76.3598
6.032523 84.148 -76.8660
6.076237 84.204 -77.3718
6.120268 84.260 -77.8773
6.164618 84.316 -78.3824
6.209289 84.371 -78.8868
6.254284 84.426 -79.3906
6.299605 84.480 -79.8934
6.345255 84.534 -80.3953
6.391235 84.587 -80.8964
