* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 23 Mar, 2022 6:18:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Galaxy Buds Pro L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.187	-141.7116
20.299999	97.226	-142.4308
20.600000	97.263	-143.1286
20.900000	97.300	-143.8089
21.200001	97.337	-144.4769
21.400000	97.361	-144.9174
21.799999	97.410	-145.7871
22.000000	97.433	-146.2154
22.400000	97.476	-147.0555
22.700001	97.507	-147.6685
23.000000	97.536	-148.2660
23.299999	97.565	-148.8499
23.600000	97.593	-149.4222
24.000000	97.630	-150.1698
24.299999	97.657	-150.7199
24.700001	97.693	-151.4393
25.000000	97.718	-151.9690
25.400000	97.752	-152.6646
25.799999	97.785	-153.3535
26.200001	97.816	-154.0409
26.500000	97.838	-154.5569
26.900000	97.863	-155.2432
27.200001	97.875	-155.7518
27.600000	97.889	-156.4126
28.000000	97.900	-157.0421
28.500000	97.912	-157.7774
29.000000	97.928	-158.4714
29.500000	97.948	-159.1577
30.000000	97.970	-159.8604
30.400000	97.987	-160.4296
30.700001	97.998	-160.8519
31.100000	98.010	-161.3998
31.500000	98.022	-161.9297
32.000000	98.035	-162.5753
32.500000	98.047	-163.2081
33.000000	98.058	-163.8211
33.500000	98.064	-164.4088
34.000000	98.072	-164.9843
34.500000	98.084	-165.5654
35.000000	98.093	-166.1491
35.500000	98.099	-166.7145
36.000000	98.104	-167.2517
36.500000	98.111	-167.7757
37.000000	98.119	-168.3060
37.500000	98.124	-168.8400
38.200001	98.125	-169.5584
38.700001	98.122	-170.0455
39.500000	98.121	-170.8255
40.000000	98.116	-171.3158
40.599998	98.107	-171.8725
41.200001	98.100	-172.3794
41.799999	98.100	-172.8803
42.500000	98.102	-173.5198
43.099998	98.096	-174.0927
43.700001	98.084	-174.6288
44.400002	98.069	-175.1982
45.000000	98.058	-175.6691
45.500000	98.049	-176.0509
46.200001	98.038	-176.5554
46.799999	98.032	-176.9825
47.500000	98.025	-177.5121
48.200001	98.011	-178.0469
48.700001	97.997	-178.4062
49.400002	97.975	-178.8668
50.000000	97.959	-179.2209
50.799999	97.950	-179.6922
51.500000	97.944	179.7915
52.200001	97.922	179.2249
53.000000	97.885	178.6962
53.799999	97.861	178.2120
54.500000	97.836	177.7310
55.200001	97.805	177.3151
56.000000	97.787	176.8957
57.000000	97.766	176.2168
58.000000	97.724	175.6606
59.000000	97.702	175.1557
60.000000	97.662	174.6180
60.799999	97.639	174.2907
61.500000	97.626	173.9350
62.200001	97.598	173.5549
63.000000	97.563	173.2435
64.000000	97.540	172.7823
65.000000	97.493	172.2793
66.000000	97.465	171.8962
67.000000	97.428	171.2977
68.000000	97.377	170.9570
69.000000	97.363	170.4923
70.000000	97.306	170.0227
71.000000	97.291	169.7935
72.000000	97.268	169.1553
73.000000	97.192	168.8326
74.000000	97.169	168.6450
75.000000	97.134	168.2026
76.199997	97.072	167.8475
77.500000	97.026	167.4228
78.800003	96.974	166.9144
80.000000	96.905	166.4936
81.199997	96.870	166.3257
82.500000	96.844	165.7502
83.800003	96.782	165.4120
85.000000	96.745	165.0776
86.199997	96.700	164.7521
87.500000	96.643	164.4010
88.500000	96.606	164.1743
90.000000	96.541	163.8049
91.199997	96.503	163.5562
92.500000	96.448	163.2005
93.800003	96.393	162.9323
95.000000	96.337	162.6787
96.199997	96.292	162.4886
97.500000	96.244	162.2032
98.800003	96.198	161.9193
100.000000	96.144	161.6610
101.500000	96.092	161.4307
103.000000	96.035	161.1592
104.400002	95.982	160.9015
106.000000	95.915	160.6680
107.500000	95.864	160.4484
109.000000	95.801	160.1905
110.599998	95.743	159.9518
112.000000	95.679	159.7879
113.800003	95.625	159.5175
115.000000	95.556	159.3996
117.199997	95.498	159.1212
118.000000	95.455	159.0981
120.599998	95.362	158.7787
122.000000	95.321	158.6221
124.099998	95.239	158.4178
125.000000	95.209	158.3193
126.500000	95.151	158.1815
128.000000	95.103	158.0943
131.500000	94.980	157.8495
132.000000	94.962	157.8087
134.000000	94.895	157.6904
136.000000	94.828	157.5588
138.000000	94.763	157.4464
140.000000	94.697	157.3395
143.000000	94.597	157.2080
145.000000	94.536	157.1298
147.500000	94.457	157.0473
150.000000	94.383	156.9588
152.500000	94.299	156.8912
155.000000	94.220	156.8434
157.500000	94.146	156.7830
160.000000	94.054	156.7546
162.500000	93.983	156.7390
165.000000	93.908	156.6914
167.500000	93.833	156.7061
170.000000	93.758	156.7018
172.500000	93.690	156.6904
175.000000	93.627	156.7751
177.500000	93.568	156.7480
180.000000	93.500	156.7903
182.500000	93.431	156.7545
185.000000	93.376	156.8912
187.500000	93.315	156.9066
190.000000	93.248	156.9474
192.500000	93.196	156.9765
195.000000	93.145	157.0174
197.500000	93.092	157.0907
200.000000	93.037	157.1535
203.000000	92.977	157.2081
206.000000	92.920	157.3343
209.000000	92.861	157.4370
212.000000	92.805	157.5317
214.000000	92.768	157.5890
218.000000	92.688	157.7379
220.000000	92.649	157.8075
224.000000	92.572	157.9650
227.000000	92.517	158.0678
230.000000	92.465	158.2459
233.000000	92.412	158.3838
236.000000	92.353	158.4556
240.000000	92.285	158.7001
243.000000	92.244	158.8301
247.000000	92.182	158.9970
250.000000	92.139	159.1500
254.000000	92.081	159.3184
258.000000	92.019	159.5362
262.000000	91.967	159.7186
265.000000	91.921	159.8321
269.000000	91.870	160.0407
272.000000	91.831	160.2328
276.000000	91.781	160.4208
280.000000	91.728	160.6405
285.000000	91.664	160.8683
290.000000	91.602	161.1492
295.000000	91.541	161.4056
300.000000	91.478	161.6576
304.000000	91.437	161.8817
307.000000	91.410	162.0773
311.000000	91.359	162.2683
315.000000	91.316	162.4158
320.000000	91.259	162.6979
325.000000	91.211	162.9349
330.000000	91.163	163.1983
335.000000	91.114	163.4659
340.000000	91.064	163.7242
345.000000	91.019	163.9839
350.000000	90.979	164.2481
355.000000	90.936	164.4548
360.000000	90.896	164.6982
365.000000	90.854	164.9576
370.000000	90.814	165.2211
375.000000	90.778	165.4669
382.000000	90.724	165.8135
387.000000	90.687	166.0453
395.000000	90.628	166.4500
400.000000	90.587	166.6953
406.000000	90.547	166.9702
412.000000	90.508	167.2271
418.000000	90.469	167.5350
425.000000	90.424	167.8166
431.000000	90.383	168.1320
437.000000	90.340	168.3813
444.000000	90.297	168.6976
450.000000	90.259	168.9556
455.000000	90.226	169.2051
462.000000	90.182	169.5244
468.000000	90.147	169.7795
475.000000	90.108	170.0950
482.000000	90.067	170.4005
487.000000	90.044	170.6030
494.000000	90.011	170.9057
500.000000	89.984	171.1313
508.000000	89.942	171.4559
515.000000	89.905	171.7478
522.000000	89.871	172.0265
530.000000	89.833	172.3136
538.000000	89.794	172.6107
545.000000	89.761	172.8890
552.000000	89.727	173.1671
560.000000	89.689	173.4330
570.000000	89.643	173.8158
580.000000	89.599	174.1603
590.000000	89.557	174.4586
600.000000	89.507	174.6887
608.000000	89.468	174.9138
615.000000	89.432	175.0343
622.000000	89.391	175.1327
630.000000	89.341	175.1856
640.000000	89.255	175.1549
650.000000	89.139	175.0587
660.000000	88.977	175.0917
670.000000	88.760	175.3101
680.000000	88.516	176.1160
690.000000	88.314	177.4399
700.000000	88.174	179.0037
710.000000	88.117	-179.4044
720.000000	88.093	-178.0041
730.000000	88.095	-176.8325
740.000000	88.094	-175.8123
750.000000	88.100	-174.8635
762.000000	88.106	-173.9061
775.000000	88.107	-172.8927
788.000000	88.102	-171.9076
800.000000	88.094	-171.0773
812.000000	88.083	-170.2575
825.000000	88.074	-169.3647
838.000000	88.070	-168.4946
850.000000	88.072	-167.6837
862.000000	88.067	-166.8921
875.000000	88.064	-166.0274
885.000000	88.066	-165.3780
900.000000	88.069	-164.4503
912.000000	88.078	-163.6786
925.000000	88.082	-162.9064
938.000000	88.097	-162.1487
950.000000	88.106	-161.3887
962.000000	88.116	-160.6799
975.000000	88.137	-159.9418
988.000000	88.157	-159.1934
1000.000000	88.180	-158.5053
1015.000000	88.213	-157.7003
1030.000000	88.244	-156.8730
1044.000000	88.276	-156.1867
1060.000000	88.307	-155.3588
1075.000000	88.347	-154.5958
1090.000000	88.363	-153.8917
1106.000000	88.385	-153.0943
1120.000000	88.398	-152.3888
1138.000000	88.423	-151.5650
1150.000000	88.438	-151.0259
1172.000000	88.454	-150.0209
1180.000000	88.467	-149.6351
1206.000000	88.501	-148.4176
1220.000000	88.546	-147.7630
1241.000000	88.617	-146.7543
1250.000000	88.656	-146.3043
1265.000000	88.706	-145.6025
1280.000000	88.764	-144.9074
1315.000000	88.901	-143.1768
1320.000000	88.929	-142.9256
1340.000000	89.011	-141.9477
1360.000000	89.136	-140.9741
1380.000000	89.241	-139.9797
1400.000000	89.350	-138.9780
1430.000000	89.518	-137.5025
1450.000000	89.630	-136.5118
1475.000000	89.789	-135.3198
1500.000000	89.948	-134.1518
1525.000000	90.118	-133.0164
1550.000000	90.269	-131.8177
1575.000000	90.417	-130.7159
1600.000000	90.582	-129.6370
1625.000000	90.759	-128.6541
1650.000000	90.938	-127.6244
1675.000000	91.121	-126.7495
1700.000000	91.320	-125.8788
1725.000000	91.510	-125.0385
1750.000000	91.711	-124.2663
1775.000000	91.925	-123.5929
1800.000000	92.129	-122.9737
1825.000000	92.352	-122.3960
1850.000000	92.564	-121.8220
1875.000000	92.789	-121.4332
1900.000000	93.017	-121.0703
1925.000000	93.232	-120.7393
1950.000000	93.454	-120.4559
1975.000000	93.671	-120.3413
2000.000000	93.896	-120.2458
2030.000000	94.150	-120.2034
2060.000000	94.404	-120.2739
2090.000000	94.661	-120.4554
2120.000000	94.906	-120.7088
2140.000000	95.067	-120.9421
2180.000000	95.377	-121.5331
2200.000000	95.522	-121.8273
2240.000000	95.813	-122.6669
2270.000000	96.019	-123.3585
2300.000000	96.202	-124.1138
2330.000000	96.387	-124.9514
2360.000000	96.549	-125.8310
2400.000000	96.756	-127.1180
2430.000000	96.881	-128.0642
2470.000000	97.035	-129.4226
2500.000000	97.132	-130.4060
2540.000000	97.238	-131.7753
2580.000000	97.322	-133.1050
2620.000000	97.380	-134.3825
2650.000000	97.404	-135.3122
2690.000000	97.433	-136.4313
2720.000000	97.440	-137.2482
2760.000000	97.436	-138.2212
2800.000000	97.420	-139.1155
2850.000000	97.399	-140.1108
2900.000000	97.356	-140.9812
2950.000000	97.321	-141.7541
3000.000000	97.274	-142.4119
3040.000000	97.236	-142.9153
3070.000000	97.206	-143.2227
3110.000000	97.172	-143.6017
3150.000000	97.135	-143.9626
3200.000000	97.091	-144.2780
3250.000000	97.054	-144.5674
3300.000000	97.027	-144.7707
3350.000000	97.002	-144.9688
3400.000000	96.978	-145.0911
3450.000000	96.968	-145.2633
3500.000000	96.963	-145.4159
3550.000000	96.967	-145.5689
3600.000000	96.967	-145.7630
3650.000000	96.969	-145.9522
3700.000000	96.973	-146.0967
3750.000000	96.971	-146.3064
3820.000000	96.970	-146.5057
3870.000000	96.971	-146.6601
3950.000000	96.972	-146.8381
4000.000000	96.970	-146.8754
4060.000000	96.986	-147.0059
4120.000000	97.006	-147.0482
4180.000000	97.028	-147.0701
4250.000000	97.067	-147.1104
4310.000000	97.105	-147.2484
4370.000000	97.152	-147.3988
4440.000000	97.208	-147.6100
4500.000000	97.260	-147.8287
4550.000000	97.288	-148.0654
4620.000000	97.348	-148.3614
4680.000000	97.388	-148.7205
