* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 23 Mar, 2022 6:18:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Galaxy Buds Pro R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.480	-145.7386
20.299999	97.519	-146.4697
20.600000	97.553	-147.1987
20.900000	97.581	-147.9114
21.200001	97.607	-148.5950
21.400000	97.624	-149.0325
21.799999	97.658	-149.8724
22.000000	97.676	-150.2810
22.400000	97.713	-151.0913
22.700001	97.740	-151.6998
23.000000	97.765	-152.3074
23.299999	97.786	-152.9061
23.600000	97.806	-153.4882
24.000000	97.830	-154.2315
24.299999	97.849	-154.7658
24.700001	97.874	-155.4562
25.000000	97.894	-155.9648
25.400000	97.919	-156.6362
25.799999	97.943	-157.2983
26.200001	97.966	-157.9459
26.500000	97.982	-158.4206
26.900000	98.001	-159.0415
27.200001	98.013	-159.5027
27.600000	98.028	-160.1174
28.000000	98.041	-160.7328
28.500000	98.051	-161.4897
29.000000	98.057	-162.2061
29.500000	98.061	-162.8696
30.000000	98.070	-163.5005
30.400000	98.081	-164.0057
30.700001	98.090	-164.3918
31.100000	98.099	-164.9116
31.500000	98.105	-165.4237
32.000000	98.111	-166.0348
32.500000	98.117	-166.6176
33.000000	98.125	-167.1959
33.500000	98.128	-167.7827
34.000000	98.129	-168.3668
34.500000	98.131	-168.9307
35.000000	98.133	-169.4724
35.500000	98.136	-170.0030
36.000000	98.138	-170.5288
36.500000	98.140	-171.0460
37.000000	98.140	-171.5498
37.500000	98.141	-172.0435
38.200001	98.141	-172.7316
38.700001	98.135	-173.2214
39.500000	98.121	-173.9762
40.000000	98.111	-174.4209
40.599998	98.102	-174.9386
41.200001	98.093	-175.4572
41.799999	98.081	-175.9713
42.500000	98.067	-176.5423
43.099998	98.058	-177.0165
