* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 19 Sep, 2022 5:30:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CC L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.105	-20.7250
20.600000	82.315	-22.0842
20.900000	82.527	-23.2544
21.200001	82.757	-24.3476
21.400000	82.925	-25.0600
21.799999	83.280	-26.5090
22.000000	83.459	-27.2688
22.400000	83.790	-28.8618
22.700001	83.997	-30.0552
23.000000	84.164	-31.1563
23.299999	84.306	-32.1174
23.600000	84.444	-32.9732
24.000000	84.656	-34.1254
24.299999	84.845	-35.1922
24.700001	85.119	-37.0453
25.000000	85.314	-38.7009
25.400000	85.531	-40.9675
25.799999	85.697	-42.8327
26.200001	85.851	-43.9713
26.500000	85.991	-44.3872
26.900000	86.233	-44.6625
27.200001	86.445	-44.9424
27.600000	86.739	-45.6667
28.000000	87.000	-46.8053
28.500000	87.257	-48.5100
29.000000	87.473	-50.1569
29.500000	87.696	-51.6396
30.000000	87.936	-53.0442
30.400000	88.127	-54.1515
30.700001	88.259	-54.9636
31.100000	88.416	-56.0055
31.500000	88.557	-57.0094
32.000000	88.723	-58.2713
32.500000	88.891	-59.6207
33.000000	89.066	-61.0750
33.500000	89.239	-62.5512
34.000000	89.408	-63.9126
34.500000	89.581	-65.0911
35.000000	89.756	-66.1629
35.500000	89.926	-67.2856
36.000000	90.081	-68.5294
36.500000	90.221	-69.8288
37.000000	90.366	-71.0965
37.500000	90.525	-72.3281
38.200001	90.736	-73.9591
38.700001	90.850	-74.8893
39.500000	91.025	-75.9049
40.000000	91.165	-76.6987
40.599998	91.330	-78.2303
41.200001	91.445	-80.0835
41.799999	91.536	-81.6452
42.500000	91.692	-82.9563
43.099998	91.856	-84.0581
43.700001	91.988	-85.2865
44.400002	92.092	-86.7057
45.000000	92.176	-87.8604
45.500000	92.259	-88.8183
46.200001	92.390	-90.1504
46.799999	92.505	-91.2803
47.500000	92.620	-92.5958
48.200001	92.715	-93.8293
48.700001	92.789	-94.6529
49.400002	92.908	-95.8462
50.000000	93.002	-96.9302
50.799999	93.098	-98.2906
51.500000	93.177	-99.4088
52.200001	93.258	-100.5904
53.000000	93.345	-101.9381
53.799999	93.432	-103.1963
54.500000	93.503	-104.2754
55.200001	93.570	-105.3103
56.000000	93.658	-106.4711
