* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 19 Sep, 2022 5:28:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CC L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.315	-80.8620
20.600000	86.411	-81.9351
20.900000	86.475	-82.5457
21.200001	86.551	-82.8179
21.400000	86.627	-82.9177
21.799999	86.838	-83.2018
22.000000	86.967	-83.5165
22.400000	87.239	-84.6493
22.700001	87.425	-85.8669
23.000000	87.579	-87.2180
23.299999	87.703	-88.5088
23.600000	87.810	-89.6168
24.000000	87.949	-90.7346
24.299999	88.064	-91.3675
24.700001	88.229	-92.1184
25.000000	88.351	-92.7383
25.400000	88.491	-93.7325
25.799999	88.595	-94.9107
26.200001	88.671	-96.1878
26.500000	88.723	-97.1436
26.900000	88.801	-98.3465
27.200001	88.875	-99.1664
27.600000	88.998	-100.1420
28.000000	89.134	-100.9918
28.500000	89.281	-101.8587
29.000000	89.378	-102.4323
29.500000	89.451	-102.7309
30.000000	89.557	-103.0738
30.400000	89.682	-103.6908
30.700001	89.787	-104.4318
31.100000	89.919	-105.6835
31.500000	90.026	-106.9792
32.000000	90.139	-108.2569
32.500000	90.270	-109.0727
33.000000	90.431	-109.8051
33.500000	90.578	-110.8035
34.000000	90.667	-112.0070
34.500000	90.713	-113.0904
35.000000	90.764	-113.9084
35.500000	90.854	-114.6312
36.000000	90.962	-115.4755
36.500000	91.050	-116.4261
37.000000	91.108	-117.3064
37.500000	91.161	-118.0369
38.200001	91.273	-119.0202
38.700001	91.369	-119.8562
39.500000	91.497	-121.3043
40.000000	91.550	-122.1094
40.599998	91.600	-122.9291
41.200001	91.651	-123.6870
41.799999	91.711	-124.4902
42.500000	91.787	-125.5151
43.099998	91.848	-126.3894
43.700001	91.905	-127.1854
44.400002	91.975	-128.0556
45.000000	92.034	-128.8384
45.500000	92.075	-129.5176
46.200001	92.123	-130.4422
46.799999	92.163	-131.2012
47.500000	92.209	-132.0757
48.200001	92.262	-132.8870
48.700001	92.314	-133.4403
49.400002	92.400	-134.3148
50.000000	92.451	-135.1546
50.799999	92.467	-136.0976
51.500000	92.480	-136.7160
52.200001	92.514	-137.4255
53.000000	92.550	-138.3645
53.799999	92.587	-139.2056
54.500000	92.624	-139.9219
55.200001	92.647	-140.6563
56.000000	92.659	-141.4135
57.000000	92.692	-142.3231
58.000000	92.728	-143.3125
59.000000	92.749	-144.2518
60.000000	92.770	-145.1073
60.799999	92.790	-145.8104
61.500000	92.802	-146.4213
62.200001	92.812	-147.0341
63.000000	92.815	-147.7453
64.000000	92.824	-148.4708
65.000000	92.854	-149.2525
66.000000	92.831	-150.0734
67.000000	92.826	-150.6667
68.000000	92.862	-151.5360
69.000000	92.880	-152.3383
70.000000	92.879	-153.0091
71.000000	92.844	-153.6036
72.000000	92.830	-154.2305
73.000000	92.834	-154.8399
74.000000	92.863	-155.3422
75.000000	92.857	-155.9819
76.199997	92.825	-156.5349
77.500000	92.835	-157.3913
78.800003	92.824	-158.1003
80.000000	92.837	-158.8022
81.199997	92.812	-159.5118
82.500000	92.805	-160.2488
83.800003	92.760	-160.9873
85.000000	92.752	-161.4070
86.199997	92.729	-162.2319
87.500000	92.669	-162.7646
88.500000	92.677	-163.1291
90.000000	92.642	-163.7757
91.199997	92.609	-164.2905
92.500000	92.575	-164.7712
93.800003	92.552	-165.2226
95.000000	92.517	-165.7147
96.199997	92.489	-166.0610
97.500000	92.461	-166.5141
98.800003	92.418	-166.9191
100.000000	92.382	-167.4435
101.500000	92.353	-167.6272
103.000000	92.305	-168.1180
104.400002	92.263	-168.4421
106.000000	92.220	-168.8765
107.500000	92.172	-169.2086
109.000000	92.121	-169.5516
110.599998	92.083	-169.8430
112.000000	92.044	-170.1270
113.800003	91.989	-170.4916
115.000000	91.954	-170.6779
117.199997	91.871	-170.9284
118.000000	91.854	-170.9444
120.599998	91.782	-171.3458
122.000000	91.759	-171.5567
124.099998	91.692	-171.7342
125.000000	91.667	-171.8533
126.500000	91.635	-171.9540
128.000000	91.593	-172.0446
131.500000	91.504	-172.3118
132.000000	91.494	-172.2660
134.000000	91.460	-172.2434
136.000000	91.420	-172.3695
138.000000	91.385	-172.3506
140.000000	91.340	-172.4290
143.000000	91.291	-172.5328
145.000000	91.250	-172.4811
147.500000	91.190	-172.4832
150.000000	91.154	-172.5995
152.500000	91.127	-172.4595
155.000000	91.089	-172.4612
157.500000	91.003	-172.3421
160.000000	90.983	-172.1617
