* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2016
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	6.890
20.299999	6.910
20.600000	6.930
20.900000	6.955
21.200001	6.969
21.400000	6.970
21.799999	6.987
22.000000	6.991
22.400000	6.990
22.700001	6.990
23.000000	6.990
23.299999	7.007
23.600000	7.026
24.000000	7.054
24.299999	7.065
24.700001	7.092
25.000000	7.109
25.400000	7.130
25.799999	7.151
26.200001	7.170
26.500000	7.172
26.900000	7.188
27.200001	7.190
27.600000	7.190
28.000000	7.190
28.500000	7.206
29.000000	7.224
29.500000	7.242
30.000000	7.268
30.400000	7.280
30.700001	7.281
31.100000	7.291
31.500000	7.290
32.000000	7.290
32.500000	7.290
33.000000	7.290
33.500000	7.290
34.000000	7.290
34.500000	7.290
35.000000	7.290
35.500000	7.290
36.000000	7.290
36.500000	7.290
37.000000	7.290
37.500000	7.290
38.200001	7.290
38.700001	7.290
39.500000	7.290
40.000000	7.290
40.599998	7.290
41.200001	7.290
41.799999	7.290
42.500000	7.290
43.099998	7.290
43.700001	7.290
44.400002	7.290
45.000000	7.290
45.500000	7.290
46.200001	7.290
46.799999	7.290
47.500000	7.290
48.200001	7.290
48.700001	7.290
49.400002	7.282
50.000000	7.269
50.799999	7.253
51.500000	7.239
52.200001	7.211
53.000000	7.191
53.799999	7.151
54.500000	7.118
55.200001	7.079
56.000000	7.036
57.000000	6.983
58.000000	6.931
59.000000	6.889
60.000000	6.838
60.799999	6.798
61.500000	6.763
62.200001	6.729
63.000000	6.701
64.000000	6.653
65.000000	6.606
66.000000	6.560
67.000000	6.520
68.000000	6.481
69.000000	6.436
70.000000	6.401
71.000000	6.336
72.000000	6.281
73.000000	6.224
74.000000	6.160
75.000000	6.098
76.199997	6.039
77.500000	5.965
78.800003	5.889
80.000000	5.827
81.199997	5.760
82.500000	5.665
83.800003	5.570
85.000000	5.489
86.199997	5.411
87.500000	5.307
88.500000	5.227
90.000000	5.109
91.199997	5.016
92.500000	4.907
93.800003	4.795
95.000000	4.694
96.199997	4.584
97.500000	4.464
98.800003	4.353
100.000000	4.251
101.500000	4.120
103.000000	3.996
104.400002	3.874
106.000000	3.747
107.500000	3.618
109.000000	3.480
110.599998	3.324
112.000000	3.196
113.800003	3.044
115.000000	2.942
117.199997	2.750
118.000000	2.682
120.599998	2.463
122.000000	2.347
124.099998	2.176
125.000000	2.103
126.500000	1.983
128.000000	1.865
131.500000	1.593
132.000000	1.555
134.000000	1.404
136.000000	1.255
138.000000	1.109
140.000000	0.963
143.000000	0.768
145.000000	0.651
147.500000	0.506
150.000000	0.355
152.500000	0.216
155.000000	0.076
157.500000	-0.056
160.000000	-0.188
162.500000	-0.315
165.000000	-0.393
167.500000	-0.453
170.000000	-0.513
172.500000	-0.570
175.000000	-0.648
177.500000	-0.724
180.000000	-0.809
182.500000	-0.883
185.000000	-0.969
187.500000	-1.045
190.000000	-1.122
192.500000	-1.193
195.000000	-1.272
197.500000	-1.348
200.000000	-1.408
203.000000	-1.457
206.000000	-1.502
209.000000	-1.536
212.000000	-1.578
214.000000	-1.606
