* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-1.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-1.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2017-1
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	7.890
20.299999	7.890
20.600000	7.890
20.900000	7.889
21.200001	7.899
21.400000	7.900
21.799999	7.917
22.000000	7.926
22.400000	7.948
22.700001	7.967
23.000000	7.989
23.299999	7.990
23.600000	7.990
24.000000	7.990
24.299999	7.990
24.700001	7.990
25.000000	7.990
25.400000	7.990
25.799999	7.990
26.200001	7.990
26.500000	7.990
26.900000	7.990
27.200001	7.990
27.600000	7.990
28.000000	7.990
28.500000	7.975
29.000000	7.946
29.500000	7.929
30.000000	7.913
30.400000	7.900
30.700001	7.899
31.100000	7.889
31.500000	7.890
32.000000	7.890
32.500000	7.883
33.000000	7.867
33.500000	7.851
34.000000	7.827
34.500000	7.805
35.000000	7.777
35.500000	7.764
36.000000	7.740
36.500000	7.721
37.000000	7.701
37.500000	7.688
38.200001	7.661
38.700001	7.643
39.500000	7.613
40.000000	7.588
40.599998	7.535
41.200001	7.479
41.799999	7.416
42.500000	7.349
43.099998	7.295
43.700001	7.254
44.400002	7.205
45.000000	7.165
45.500000	7.132
46.200001	7.085
46.799999	7.028
47.500000	6.962
48.200001	6.905
48.700001	6.858
49.400002	6.794
50.000000	6.747
50.799999	6.676
51.500000	6.618
52.200001	6.564
53.000000	6.503
53.799999	6.431
54.500000	6.380
55.200001	6.328
56.000000	6.261
57.000000	6.178
58.000000	6.080
59.000000	5.984
60.000000	5.886
60.799999	5.805
61.500000	5.745
62.200001	5.679
63.000000	5.611
64.000000	5.516
65.000000	5.433
66.000000	5.351
67.000000	5.291
68.000000	5.222
69.000000	5.162
70.000000	5.095
71.000000	5.008
72.000000	4.909
73.000000	4.812
74.000000	4.711
75.000000	4.611
76.199997	4.518
77.500000	4.422
78.800003	4.321
80.000000	4.241
81.199997	4.159
82.500000	4.065
83.800003	3.970
85.000000	3.889
86.199997	3.811
87.500000	3.720
88.500000	3.657
90.000000	3.560
91.199997	3.485
92.500000	3.414
93.800003	3.320
95.000000	3.251
96.199997	3.179
97.500000	3.100
98.800003	3.029
100.000000	2.954
101.500000	2.876
103.000000	2.787
104.400002	2.706
106.000000	2.625
107.500000	2.539
109.000000	2.436
110.599998	2.338
112.000000	2.241
113.800003	2.128
115.000000	2.062
117.199997	1.948
118.000000	1.907
