* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2019v2.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2019v2.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2019v2
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	7.610
20.299999	7.625
20.600000	7.639
20.900000	7.644
21.200001	7.659
21.400000	7.668
21.799999	7.677
22.000000	7.680
22.400000	7.690
22.700001	7.697
23.000000	7.700
23.299999	7.703
23.600000	7.710
24.000000	7.710
24.299999	7.716
24.700001	7.720
25.000000	7.720
25.400000	7.720
25.799999	7.720
26.200001	7.720
26.500000	7.720
26.900000	7.720
27.200001	7.720
27.600000	7.720
28.000000	7.720
28.500000	7.720
29.000000	7.720
29.500000	7.720
30.000000	7.720
30.400000	7.710
30.700001	7.710
31.100000	7.707
31.500000	7.700
32.000000	7.690
32.500000	7.683
33.000000	7.677
33.500000	7.669
34.000000	7.657
34.500000	7.642
35.000000	7.631
35.500000	7.618
36.000000	7.599
36.500000	7.581
37.000000	7.561
37.500000	7.536
38.200001	7.509
38.700001	7.483
39.500000	7.442
40.000000	7.417
40.599998	7.386
41.200001	7.347
41.799999	7.308
42.500000	7.268
43.099998	7.225
43.700001	7.184
44.400002	7.135
45.000000	7.096
45.500000	7.056
46.200001	6.994
46.799999	6.947
47.500000	6.893
48.200001	6.824
48.700001	6.778
49.400002	6.714
50.000000	6.657
50.799999	6.593
51.500000	6.537
52.200001	6.473
53.000000	6.413
53.799999	6.338
54.500000	6.273
55.200001	6.208
56.000000	6.140
57.000000	6.068
58.000000	5.990
59.000000	5.921
60.000000	5.847
60.799999	5.766
61.500000	5.697
62.200001	5.618
63.000000	5.540
64.000000	5.455
65.000000	5.377
66.000000	5.301
67.000000	5.221
68.000000	5.131
69.000000	5.047
70.000000	4.966
71.000000	4.881
72.000000	4.796
73.000000	4.703
74.000000	4.621
75.000000	4.539
76.199997	4.454
77.500000	4.361
78.800003	4.269
80.000000	4.191
81.199997	4.101
82.500000	4.016
83.800003	3.921
85.000000	3.835
86.199997	3.758
87.500000	3.671
88.500000	3.602
90.000000	3.501
91.199997	3.416
92.500000	3.325
93.800003	3.242
95.000000	3.159
96.199997	3.070
97.500000	2.986
98.800003	2.893
100.000000	2.806
101.500000	2.726
103.000000	2.637
104.400002	2.555
106.000000	2.471
107.500000	2.379
109.000000	2.295
110.599998	2.208
112.000000	2.130
113.800003	2.026
