* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 9 Feb, 2022 3:56:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Audio Hekili L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.330	169.9780
20.299999	97.290	170.0835
20.600000	97.287	170.2706
20.900000	97.319	170.3946
21.200001	97.372	170.3232
21.400000	97.406	170.1658
21.799999	97.454	169.6911
22.000000	97.463	169.4361
22.400000	97.456	169.0170
22.700001	97.443	168.8412
23.000000	97.437	168.7590
23.299999	97.439	168.6945
23.600000	97.444	168.6093
24.000000	97.446	168.4496
24.299999	97.436	168.3385
24.700001	97.410	168.2959
25.000000	97.391	168.3689
25.400000	97.385	168.5392
25.799999	97.402	168.6422
26.200001	97.425	168.5407
26.500000	97.430	168.3382
26.900000	97.404	168.0162
27.200001	97.363	167.8311
27.600000	97.302	167.7372
28.000000	97.259	167.7783
28.500000	97.246	167.7662
29.000000	97.249	167.4630
29.500000	97.229	166.9293
30.000000	97.180	166.4412
30.400000	97.142	166.1805
30.700001	97.125	166.0423
31.100000	97.118	165.8463
31.500000	97.123	165.5728
32.000000	97.126	165.1411
32.500000	97.116	164.7203
33.000000	97.104	164.3950
33.500000	97.095	164.1235
34.000000	97.088	163.8526
34.500000	97.079	163.5870
35.000000	97.060	163.3834
35.500000	97.040	163.2557
36.000000	97.024	163.1714
36.500000	97.014	163.0759
37.000000	97.004	162.9322
37.500000	96.993	162.7191
38.200001	96.962	162.3513
38.700001	96.930	162.0865
39.500000	96.881	161.6684
40.000000	96.851	161.3970
40.599998	96.817	161.1307
41.200001	96.805	160.9675
41.799999	96.829	160.7124
42.500000	96.855	160.0542
43.099998	96.821	159.4210
43.700001	96.752	159.1574
44.400002	96.711	159.3102
45.000000	96.731	159.3488
45.500000	96.742	159.1281
46.200001	96.695	158.7903
46.799999	96.638	158.8676
47.500000	96.645	159.0923
48.200001	96.690	158.7073
48.700001	96.673	158.1168
49.400002	96.571	157.5717
50.000000	96.503	157.5732
50.799999	96.505	157.4312
51.500000	96.493	156.8672
52.200001	96.435	156.4844
53.000000	96.411	156.3796
53.799999	96.425	155.9901
54.500000	96.392	155.5196
55.200001	96.337	155.3162
56.000000	96.309	155.2428
57.000000	96.281	154.8328
58.000000	96.200	154.5045
59.000000	96.148	154.3553
60.000000	96.097	153.9524
60.799999	96.043	153.6809
61.500000	96.005	153.4791
