* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 9 Feb, 2022 3:58:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Audio Hikili R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.377	172.5342
20.299999	97.333	172.3423
20.600000	97.296	172.2989
20.900000	97.279	172.3645
21.200001	97.289	172.4291
21.400000	97.308	172.4132
21.799999	97.359	172.1917
22.000000	97.381	171.9825
22.400000	97.398	171.4321
22.700001	97.382	171.0451
23.000000	97.348	170.8084
23.299999	97.316	170.7670
23.600000	97.306	170.8834
24.000000	97.349	171.0806
24.299999	97.418	171.0308
24.700001	97.519	170.4996
25.000000	97.560	169.7783
25.400000	97.529	168.6505
25.799999	97.397	167.8483
26.200001	97.223	167.7997
26.500000	97.127	168.2667
26.900000	97.098	169.2113
27.200001	97.154	169.7548
27.600000	97.283	169.8628
28.000000	97.384	169.2716
28.500000	97.391	168.1705
29.000000	97.300	167.5058
29.500000	97.226	167.4554
30.000000	97.233	167.4839
30.400000	97.269	167.2045
30.700001	97.284	166.8232
31.100000	97.272	166.2697
31.500000	97.232	165.8546
32.000000	97.187	165.6230
32.500000	97.178	165.4911
33.000000	97.187	165.2194
33.500000	97.178	164.8413
34.000000	97.149	164.5585
34.500000	97.130	164.4248
35.000000	97.127	164.3312
35.500000	97.131	164.1727
36.000000	97.128	163.9835
36.500000	97.121	163.8127
37.000000	97.116	163.6379
37.500000	97.111	163.4070
38.200001	97.087	163.0388
38.700001	97.061	162.7772
39.500000	97.007	162.3043
40.000000	96.955	162.0695
40.599998	96.901	162.0123
41.200001	96.898	162.0048
41.799999	96.922	161.6614
42.500000	96.892	160.9988
43.099998	96.832	160.7632
43.700001	96.816	160.7778
44.400002	96.843	160.5326
45.000000	96.837	160.1173
45.500000	96.812	159.8912
46.200001	96.795	159.7113
46.799999	96.788	159.4252
47.500000	96.744	159.0795
48.200001	96.696	158.9796
48.700001	96.685	158.9247
49.400002	96.677	158.6537
50.000000	96.652	158.3475
50.799999	96.614	158.0200
51.500000	96.591	157.6922
52.200001	96.557	157.2980
53.000000	96.507	156.9985
53.799999	96.489	156.7975
54.500000	96.480	156.4174
55.200001	96.435	156.0217
56.000000	96.384	155.8914
57.000000	96.371	155.5603
58.000000	96.290	155.1293
59.000000	96.247	155.1381
60.000000	96.221	154.6190
60.799999	96.149	154.3343
61.500000	96.117	154.2948
62.200001	96.110	154.0393
63.000000	96.060	153.5652
64.000000	95.957	153.4034
65.000000	95.922	153.5435
66.000000	95.930	153.3263
