* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 9:51:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Helios L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.943	-173.5776
20.600000	110.986	-173.7729
20.900000	111.026	-174.0128
21.200001	111.072	-174.6151
21.400000	111.096	-175.3186
21.799999	111.102	-177.3763
22.000000	111.071	-178.6094
22.400000	110.933	178.9616
22.700001	110.784	177.5998
23.000000	110.639	176.9418
23.299999	110.548	176.9534
23.600000	110.538	177.3402
24.000000	110.644	177.7746
24.299999	110.759	177.5876
24.700001	110.875	176.4775
25.000000	110.896	175.1689
25.400000	110.838	173.1861
25.799999	110.743	171.3365
26.200001	110.679	169.7816
26.500000	110.666	168.7632
26.900000	110.668	167.5301
27.200001	110.653	166.7283
27.600000	110.581	165.9711
28.000000	110.459	165.7317
28.500000	110.315	166.0057
29.000000	110.262	166.1050
29.500000	110.276	165.3022
30.000000	110.272	163.7487
30.400000	110.236	162.4987
30.700001	110.202	161.7771
31.100000	110.173	161.1196
31.500000	110.170	160.6068
32.000000	110.164	159.8312
32.500000	110.103	158.9212
33.000000	109.996	158.2083
33.500000	109.906	157.7475
34.000000	109.863	157.1378
34.500000	109.811	156.0978
35.000000	109.692	154.8894
35.500000	109.553	153.9429
36.000000	109.497	153.1757
36.500000	109.542	152.0970
37.000000	109.585	150.6397
37.500000	109.525	149.4866
38.200001	109.322	149.6726
38.700001	109.229	150.7045
39.500000	109.196	151.1402
40.000000	109.132	150.2894
40.599998	109.007	148.9620
41.200001	108.930	147.9677
41.799999	108.923	147.3069
42.500000	108.918	146.7522
43.099998	108.854	146.4006
43.700001	108.748	146.0916
44.400002	108.632	145.5988
45.000000	108.563	144.8962
45.500000	108.502	144.1927
46.200001	108.399	143.4513
46.799999	108.336	143.1391
47.500000	108.307	142.6048
48.200001	108.245	141.7904
48.700001	108.172	141.3414
49.400002	108.083	140.9623
50.000000	108.028	140.5908
50.799999	107.965	139.8637
51.500000	107.896	138.9563
52.200001	107.740	138.2664
53.000000	107.550	138.5925
