* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\targetty.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2 Jan, 2023 12:38:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\targetty.txt Format: Comma/Tab/Space delimited data 433 values loaded, 20 Hz to 10,020 Hz log spaced
* Measurement: targetty
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	96.800
20.299999	96.801
20.600000	96.799
20.900000	96.793
21.200001	96.786
21.400000	96.782
21.799999	96.779
22.000000	96.779
22.400000	96.780
22.700001	96.780
23.000000	96.780
23.299999	96.780
23.600000	96.780
24.000000	96.782
24.299999	96.782
24.700001	96.781
25.000000	96.774
25.400000	96.761
25.799999	96.746
26.200001	96.735
26.500000	96.729
26.900000	96.723
27.200001	96.720
27.600000	96.719
28.000000	96.719
28.500000	96.720
29.000000	96.721
29.500000	96.721
30.000000	96.719
30.400000	96.716
30.700001	96.712
31.100000	96.705
31.500000	96.695
32.000000	96.677
32.500000	96.660
33.000000	96.649
33.500000	96.647
34.000000	96.648
34.500000	96.650
35.000000	96.652
35.500000	96.652
36.000000	96.651
36.500000	96.641
37.000000	96.630
37.500000	96.617
38.200001	96.605
38.700001	96.600
39.500000	96.592
40.000000	96.581
40.599998	96.566
41.200001	96.549
41.799999	96.533
42.500000	96.516
43.099998	96.501
43.700001	96.484
44.400002	96.463
45.000000	96.443
45.500000	96.424
46.200001	96.391
46.799999	96.361
47.500000	96.325
48.200001	96.290
48.700001	96.267
49.400002	96.233
50.000000	96.204
50.799999	96.159
51.500000	96.119
52.200001	96.077
53.000000	96.027
53.799999	95.976
54.500000	95.932
55.200001	95.887
56.000000	95.836
57.000000	95.771
58.000000	95.705
59.000000	95.638
60.000000	95.568
60.799999	95.510
61.500000	95.458
62.200001	95.404
63.000000	95.343
64.000000	95.265
65.000000	95.187
66.000000	95.107
67.000000	95.025
68.000000	94.941
69.000000	94.855
70.000000	94.766
71.000000	94.673
72.000000	94.579
73.000000	94.485
74.000000	94.392
75.000000	94.298
76.199997	94.184
77.500000	94.055
78.800003	93.923
80.000000	93.800
81.199997	93.677
82.500000	93.541
83.800003	93.404
85.000000	93.275
86.199997	93.143
87.500000	93.000
88.500000	92.889
90.000000	92.721
91.199997	92.587
92.500000	92.442
93.800003	92.297
95.000000	92.164
96.199997	92.032
97.500000	91.889
98.800003	91.748
100.000000	91.619
101.500000	91.460
103.000000	91.303
104.400002	91.159
106.000000	90.997
107.500000	90.846
109.000000	90.698
110.599998	90.544
112.000000	90.412
113.800003	90.247
115.000000	90.140
117.199997	89.949
118.000000	89.881
120.599998	89.668
122.000000	89.558
124.099998	89.401
125.000000	89.336
126.500000	89.230
128.000000	89.128
131.500000	88.899
132.000000	88.868
134.000000	88.747
136.000000	88.635
138.000000	88.529
140.000000	88.429
143.000000	88.283
145.000000	88.191
147.500000	88.084
150.000000	87.987
152.500000	87.896
155.000000	87.813
157.500000	87.734
160.000000	87.662
162.500000	87.597
165.000000	87.539
167.500000	87.486
170.000000	87.436
172.500000	87.387
175.000000	87.341
177.500000	87.299
180.000000	87.263
182.500000	87.230
185.000000	87.200
187.500000	87.174
190.000000	87.151
192.500000	87.129
195.000000	87.109
197.500000	87.087
200.000000	87.067
203.000000	87.047
206.000000	87.035
209.000000	87.028
212.000000	87.023
214.000000	87.020
218.000000	87.004
220.000000	86.996
224.000000	86.981
227.000000	86.974
230.000000	86.970
233.000000	86.969
236.000000	86.973
240.000000	86.986
243.000000	86.998
247.000000	87.011
250.000000	87.014
254.000000	87.016
258.000000	87.020
262.000000	87.031
265.000000	87.041
269.000000	87.055
272.000000	87.064
276.000000	87.077
280.000000	87.089
285.000000	87.105
290.000000	87.123
295.000000	87.142
300.000000	87.162
304.000000	87.178
307.000000	87.191
311.000000	87.208
315.000000	87.227
320.000000	87.250
325.000000	87.274
330.000000	87.296
335.000000	87.319
340.000000	87.341
345.000000	87.365
350.000000	87.390
355.000000	87.414
360.000000	87.437
365.000000	87.458
370.000000	87.478
375.000000	87.498
382.000000	87.528
387.000000	87.550
395.000000	87.587
400.000000	87.611
406.000000	87.640
412.000000	87.668
418.000000	87.693
425.000000	87.722
431.000000	87.745
437.000000	87.768
444.000000	87.795
450.000000	87.818
455.000000	87.839
462.000000	87.872
468.000000	87.900
475.000000	87.931
482.000000	87.957
487.000000	87.975
494.000000	87.999
500.000000	88.019
508.000000	88.046
515.000000	88.069
522.000000	88.092
530.000000	88.118
538.000000	88.143
545.000000	88.166
552.000000	88.190
560.000000	88.218
570.000000	88.252
580.000000	88.280
590.000000	88.305
600.000000	88.330
608.000000	88.352
615.000000	88.372
622.000000	88.392
630.000000	88.413
640.000000	88.435
650.000000	88.458
660.000000	88.483
670.000000	88.514
680.000000	88.546
690.000000	88.578
700.000000	88.606
710.000000	88.633
720.000000	88.660
730.000000	88.688
740.000000	88.719
750.000000	88.751
762.000000	88.793
775.000000	88.841
788.000000	88.892
800.000000	88.942
812.000000	88.994
825.000000	89.053
838.000000	89.114
850.000000	89.172
862.000000	89.232
875.000000	89.301
885.000000	89.358
900.000000	89.448
912.000000	89.522
925.000000	89.605
938.000000	89.689
950.000000	89.770
962.000000	89.853
975.000000	89.947
988.000000	90.043
1000.000000	90.134
1015.000000	90.250
1030.000000	90.367
1044.000000	90.479
1060.000000	90.607
1075.000000	90.727
1090.000000	90.850
1106.000000	90.982
1120.000000	91.099
1138.000000	91.252
1150.000000	91.355
1172.000000	91.547
1180.000000	91.617
1206.000000	91.848
1220.000000	91.974
1241.000000	92.166
1250.000000	92.248
1265.000000	92.385
1280.000000	92.520
1315.000000	92.830
1320.000000	92.874
1340.000000	93.051
1360.000000	93.227
1380.000000	93.402
1400.000000	93.576
1430.000000	93.834
1450.000000	94.003
1475.000000	94.209
1500.000000	94.408
1525.000000	94.599
1550.000000	94.781
1575.000000	94.956
1600.000000	95.125
1625.000000	95.292
1650.000000	95.456
1675.000000	95.615
1700.000000	95.767
1725.000000	95.914
1750.000000	96.057
1775.000000	96.197
1800.000000	96.335
1825.000000	96.470
1850.000000	96.603
1875.000000	96.733
1900.000000	96.860
1925.000000	96.985
1950.000000	97.108
1975.000000	97.230
2000.000000	97.348
2030.000000	97.484
2060.000000	97.611
2090.000000	97.732
2120.000000	97.846
2140.000000	97.920
2180.000000	98.059
2200.000000	98.124
2240.000000	98.243
2270.000000	98.324
2300.000000	98.396
2330.000000	98.460
2360.000000	98.512
2400.000000	98.570
2430.000000	98.604
2470.000000	98.640
2500.000000	98.661
2540.000000	98.677
2580.000000	98.677
2620.000000	98.659
2650.000000	98.637
2690.000000	98.598
2720.000000	98.563
2760.000000	98.509
2800.000000	98.448
2850.000000	98.364
2900.000000	98.272
2950.000000	98.174
3000.000000	98.069
3040.000000	97.981
3070.000000	97.914
3110.000000	97.822
3150.000000	97.729
3200.000000	97.610
3250.000000	97.491
3300.000000	97.372
3350.000000	97.253
3400.000000	97.134
3450.000000	97.018
3500.000000	96.902
3550.000000	96.785
3600.000000	96.665
3650.000000	96.544
3700.000000	96.419
3750.000000	96.292
3820.000000	96.107
3870.000000	95.972
3950.000000	95.747
4000.000000	95.603
4060.000000	95.425
4120.000000	95.242
4180.000000	95.056
4250.000000	94.833
4310.000000	94.639
4370.000000	94.442
4440.000000	94.210
4500.000000	94.012
4550.000000	93.845
4620.000000	93.615
4680.000000	93.423
4750.000000	93.210
4820.000000	93.009
4870.000000	92.874
4940.000000	92.697
5000.000000	92.557
5080.000000	92.389
5150.000000	92.259
5220.000000	92.152
5300.000000	92.053
5380.000000	91.972
5450.000000	91.913
5520.000000	91.863
5600.000000	91.815
5700.000000	91.764
5800.000000	91.718
5900.000000	91.675
6000.000000	91.634
6080.000000	91.602
6150.000000	91.573
6220.000000	91.542
6300.000000	91.504
6400.000000	91.451
6500.000000	91.396
6600.000000	91.342
6700.000000	91.289
6800.000000	91.234
