* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\Targetv4.txt
* Format: Comma/Tab/Space delimited data
* Dated: 14 Apr, 2022 12:06:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\Targetv4.txt Format: Comma/Tab/Space delimited data 149 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: Targetv4
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.240
20.299999	5.263
20.600000	5.272
20.900000	5.273
21.200001	5.271
21.400000	5.270
21.799999	5.273
22.000000	5.273
22.400000	5.271
22.700001	5.260
23.000000	5.245
23.299999	5.231
23.600000	5.218
24.000000	5.208
24.299999	5.204
24.700001	5.200
25.000000	5.201
25.400000	5.201
25.799999	5.200
26.200001	5.190
26.500000	5.181
26.900000	5.167
27.200001	5.157
27.600000	5.147
28.000000	5.138
28.500000	5.129
29.000000	5.122
29.500000	5.115
30.000000	5.102
30.400000	5.087
30.700001	5.076
31.100000	5.063
31.500000	5.055
32.000000	5.049
32.500000	5.043
33.000000	5.031
33.500000	5.016
34.000000	4.999
34.500000	4.981
35.000000	4.963
35.500000	4.945
36.000000	4.926
36.500000	4.909
37.000000	4.891
37.500000	4.874
38.200001	4.851
38.700001	4.835
39.500000	4.807
40.000000	4.786
40.599998	4.761
41.200001	4.735
41.799999	4.713
42.500000	4.689
43.099998	4.668
43.700001	4.644
44.400002	4.614
45.000000	4.588
45.500000	4.565
46.200001	4.533
46.799999	4.505
47.500000	4.473
48.200001	4.442
48.700001	4.421
49.400002	4.390
50.000000	4.364
50.799999	4.328
51.500000	4.295
52.200001	4.263
53.000000	4.224
53.799999	4.186
54.500000	4.153
55.200001	4.122
56.000000	4.089
57.000000	4.047
58.000000	4.002
59.000000	3.955
60.000000	3.908
60.799999	3.871
61.500000	3.840
62.200001	3.808
63.000000	3.772
64.000000	3.726
65.000000	3.680
66.000000	3.634
67.000000	3.589
68.000000	3.545
69.000000	3.502
70.000000	3.456
71.000000	3.411
72.000000	3.366
73.000000	3.323
74.000000	3.282
75.000000	3.242
76.199997	3.195
77.500000	3.141
78.800003	3.088
80.000000	3.039
81.199997	2.992
82.500000	2.941
83.800003	2.891
85.000000	2.845
86.199997	2.800
87.500000	2.753
88.500000	2.718
90.000000	2.667
91.199997	2.628
92.500000	2.588
93.800003	2.549
95.000000	2.514
96.199997	2.480
97.500000	2.443
98.800003	2.406
100.000000	2.373
101.500000	2.331
103.000000	2.290
104.400002	2.252
106.000000	2.212
107.500000	2.178
109.000000	2.145
110.599998	2.113
112.000000	2.086
113.800003	2.052
115.000000	2.030
117.199997	1.987
118.000000	1.971
120.599998	1.920
122.000000	1.894
124.099998	1.860
125.000000	1.847
126.500000	1.824
128.000000	1.802
131.500000	1.750
132.000000	1.743
134.000000	1.715
136.000000	1.689
138.000000	1.664
140.000000	1.640
143.000000	1.604
145.000000	1.581
147.500000	1.551
150.000000	1.522
152.500000	1.494
155.000000	1.468
157.500000	1.444
160.000000	1.421
162.500000	1.398
165.000000	1.375
167.500000	1.353
170.000000	1.331
172.500000	1.309
175.000000	1.288
177.500000	1.266
180.000000	1.245
182.500000	1.224
185.000000	1.204
187.500000	1.186
190.000000	1.169
192.500000	1.153
195.000000	1.137
197.500000	1.120
200.000000	1.104
203.000000	1.085
206.000000	1.068
209.000000	1.053
212.000000	1.038
214.000000	1.028
218.000000	1.009
220.000000	0.999
224.000000	0.979
227.000000	0.963
230.000000	0.946
233.000000	0.929
236.000000	0.912
240.000000	0.890
243.000000	0.874
247.000000	0.856
250.000000	0.845
254.000000	0.832
258.000000	0.819
262.000000	0.807
265.000000	0.797
269.000000	0.784
272.000000	0.772
276.000000	0.756
280.000000	0.741
285.000000	0.727
290.000000	0.720
295.000000	0.713
300.000000	0.696
304.000000	0.678
307.000000	0.665
311.000000	0.650
315.000000	0.647
320.000000	0.644
325.000000	0.641
330.000000	0.625
335.000000	0.605
340.000000	0.585
345.000000	0.576
350.000000	0.574
355.000000	0.572
360.000000	0.566
365.000000	0.555
370.000000	0.543
375.000000	0.531
382.000000	0.517
387.000000	0.509
395.000000	0.499
400.000000	0.498
406.000000	0.495
412.000000	0.490
418.000000	0.472
425.000000	0.450
431.000000	0.433
437.000000	0.428
444.000000	0.428
450.000000	0.430
455.000000	0.428
462.000000	0.420
468.000000	0.411
475.000000	0.399
482.000000	0.385
487.000000	0.376
494.000000	0.364
500.000000	0.360
508.000000	0.362
515.000000	0.362
522.000000	0.358
530.000000	0.336
538.000000	0.312
545.000000	0.292
552.000000	0.289
560.000000	0.290
570.000000	0.291
580.000000	0.275
590.000000	0.251
600.000000	0.230
608.000000	0.226
615.000000	0.224
622.000000	0.222
630.000000	0.219
640.000000	0.206
650.000000	0.193
660.000000	0.179
670.000000	0.167
680.000000	0.158
690.000000	0.151
700.000000	0.148
710.000000	0.148
720.000000	0.149
730.000000	0.149
740.000000	0.148
750.000000	0.148
762.000000	0.152
775.000000	0.165
788.000000	0.181
800.000000	0.195
812.000000	0.210
825.000000	0.227
838.000000	0.248
850.000000	0.271
862.000000	0.295
875.000000	0.323
885.000000	0.346
900.000000	0.381
912.000000	0.411
925.000000	0.445
938.000000	0.482
950.000000	0.519
962.000000	0.559
975.000000	0.608
988.000000	0.661
1000.000000	0.714
1015.000000	0.787
1030.000000	0.865
1044.000000	0.943
1060.000000	1.037
1075.000000	1.131
1090.000000	1.230
1106.000000	1.341
1120.000000	1.444
1138.000000	1.580
1150.000000	1.672
1172.000000	1.840
1180.000000	1.900
1206.000000	2.096
1220.000000	2.201
1241.000000	2.357
1250.000000	2.424
1265.000000	2.533
1280.000000	2.641
1315.000000	2.889
1320.000000	2.923
1340.000000	3.061
1360.000000	3.197
1380.000000	3.331
1400.000000	3.462
1430.000000	3.657
1450.000000	3.784
1475.000000	3.940
1500.000000	4.092
1525.000000	4.238
1550.000000	4.379
1575.000000	4.513
1600.000000	4.642
1625.000000	4.762
1650.000000	4.877
1675.000000	4.987
1700.000000	5.093
1725.000000	5.197
1750.000000	5.297
1775.000000	5.395
1800.000000	5.491
1825.000000	5.585
1850.000000	5.677
1875.000000	5.768
1900.000000	5.858
1925.000000	5.947
1950.000000	6.036
1975.000000	6.125
2000.000000	6.213
2030.000000	6.319
2060.000000	6.427
2090.000000	6.535
2120.000000	6.642
2140.000000	6.712
2180.000000	6.850
2200.000000	6.918
2240.000000	7.053
2270.000000	7.156
2300.000000	7.256
2330.000000	7.356
2360.000000	7.453
2400.000000	7.580
2430.000000	7.672
2470.000000	7.789
2500.000000	7.873
2540.000000	7.980
2580.000000	8.084
2620.000000	8.186
2650.000000	8.259
2690.000000	8.351
2720.000000	8.413
2760.000000	8.491
2800.000000	8.561
2850.000000	8.641
2900.000000	8.711
2950.000000	8.770
3000.000000	8.819
3040.000000	8.850
3070.000000	8.867
3110.000000	8.882
3150.000000	8.888
3200.000000	8.881
3250.000000	8.860
3300.000000	8.824
3350.000000	8.774
3400.000000	8.710
3450.000000	8.634
3500.000000	8.545
3550.000000	8.445
3600.000000	8.333
3650.000000	8.210
3700.000000	8.078
3750.000000	7.938
3820.000000	7.729
3870.000000	7.574
3950.000000	7.323
4000.000000	7.165
4060.000000	6.977
4120.000000	6.791
4180.000000	6.610
4250.000000	6.404
4310.000000	6.235
4370.000000	6.073
4440.000000	5.896
4500.000000	5.754
4550.000000	5.646
4620.000000	5.510
4680.000000	5.404
4750.000000	5.293
4820.000000	5.197
4870.000000	5.136
4940.000000	5.060
5000.000000	5.003
5080.000000	4.938
5150.000000	4.890
5220.000000	4.848
5300.000000	4.807
5380.000000	4.770
5450.000000	4.739
5520.000000	4.704
5600.000000	4.664
5700.000000	4.615
5800.000000	4.567
5900.000000	4.520
6000.000000	4.472
6080.000000	4.434
6150.000000	4.400
6220.000000	4.365
6300.000000	4.326
6400.000000	4.276
6500.000000	4.227
6600.000000	4.176
6700.000000	4.125
6800.000000	4.074
6900.000000	4.025
7000.000000	3.979
7100.000000	3.934
7200.000000	3.889
7300.000000	3.845
7400.000000	3.800
7500.000000	3.753
7620.000000	3.693
7750.000000	3.621
7880.000000	3.543
8000.000000	3.463
8120.000000	3.376
8250.000000	3.272
8380.000000	3.158
8500.000000	3.042
8620.000000	2.918
8750.000000	2.776
8850.000000	2.661
9000.000000	2.481
9120.000000	2.332
9250.000000	2.164
9380.000000	1.994
9500.000000	1.837
9620.000000	1.686
9750.000000	1.529
9880.000000	1.377
10000.000000	1.241
10150.000000	1.076
10300.000000	0.919
10440.000000	0.783
10600.000000	0.647
10750.000000	0.535
10900.000000	0.437
11060.000000	0.346
11200.000000	0.276
11380.000000	0.199
11500.000000	0.155
11720.000000	0.083
11800.000000	0.060
12060.000000	0.005
12200.000000	-0.006
12410.000000	-0.008
12500.000000	-0.006
12650.000000	-0.001
12800.000000	0.000
13150.000000	0.000
13200.000000	0.000
13400.000000	0.000
13600.000000	0.000
13800.000000	0.000
14000.000000	0.000
14300.000000	0.000
14500.000000	0.000
14750.000000	0.000
15000.000000	0.000
15250.000000	0.000
15500.000000	0.000
15750.000000	0.000
16000.000000	0.000
16250.000000	0.000
16500.000000	0.000
16750.000000	0.000
17000.000000	0.000
17250.000000	0.000
17500.000000	0.000
17750.000000	0.000
18000.000000	0.000
18250.000000	0.000
18500.000000	0.000
18750.000000	0.000
19000.000000	0.000
19250.000000	0.000
19500.000000	0.000
19750.000000	0.000
