* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\me to crin(rev).txt
* Format: Comma/Tab/Space delimited data
* Dated: 12 Apr, 2022 11:51:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\me to crin(rev).txt Format: Comma/Tab/Space delimited data 408 values loaded, 20 Hz to 7,000 Hz
* Measurement: me to crin(rev)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	0.641
20.299999	0.595
20.600000	0.554
20.900000	0.540
21.200001	0.540
21.400000	0.533
21.799999	0.515
22.000000	0.507
22.400000	0.471
22.700001	0.425
23.000000	0.382
23.299999	0.351
23.600000	0.316
24.000000	0.263
24.299999	0.234
24.700001	0.208
25.000000	0.187
25.400000	0.157
25.799999	0.130
26.200001	0.105
26.500000	0.087
26.900000	0.066
27.200001	0.057
27.600000	0.040
28.000000	0.007
28.500000	-0.024
29.000000	-0.040
29.500000	-0.068
30.000000	-0.063
30.400000	-0.086
30.700001	-0.092
31.100000	-0.084
31.500000	-0.069
32.000000	-0.054
32.500000	-0.071
33.000000	-0.092
33.500000	-0.125
34.000000	-0.150
34.500000	-0.156
35.000000	-0.159
35.500000	-0.179
36.000000	-0.201
36.500000	-0.223
37.000000	-0.233
37.500000	-0.224
38.200001	-0.208
38.700001	-0.211
39.500000	-0.257
40.000000	-0.286
40.599998	-0.314
41.200001	-0.340
41.799999	-0.369
42.500000	-0.362
43.099998	-0.326
43.700001	-0.327
44.400002	-0.321
45.000000	-0.331
45.500000	-0.384
46.200001	-0.457
46.799999	-0.488
47.500000	-0.486
48.200001	-0.497
48.700001	-0.492
49.400002	-0.496
50.000000	-0.527
50.799999	-0.563
51.500000	-0.569
52.200001	-0.547
53.000000	-0.549
53.799999	-0.554
54.500000	-0.531
55.200001	-0.541
56.000000	-0.575
57.000000	-0.581
58.000000	-0.585
59.000000	-0.547
60.000000	-0.515
60.799999	-0.517
61.500000	-0.501
62.200001	-0.494
63.000000	-0.508
64.000000	-0.522
65.000000	-0.520
66.000000	-0.507
67.000000	-0.507
68.000000	-0.498
69.000000	-0.504
70.000000	-0.506
71.000000	-0.510
72.000000	-0.546
73.000000	-0.565
74.000000	-0.527
75.000000	-0.475
76.199997	-0.470
77.500000	-0.498
78.800003	-0.508
80.000000	-0.525
81.199997	-0.523
82.500000	-0.542
83.800003	-0.568
85.000000	-0.601
86.199997	-0.619
87.500000	-0.597
88.500000	-0.528
90.000000	-0.495
91.199997	-0.497
92.500000	-0.515
93.800003	-0.534
95.000000	-0.582
96.199997	-0.611
97.500000	-0.588
98.800003	-0.546
100.000000	-0.522
101.500000	-0.502
103.000000	-0.528
104.400002	-0.540
106.000000	-0.532
107.500000	-0.552
109.000000	-0.565
110.599998	-0.575
112.000000	-0.591
113.800003	-0.631
115.000000	-0.646
117.199997	-0.629
118.000000	-0.622
120.599998	-0.601
122.000000	-0.599
124.099998	-0.565
125.000000	-0.579
126.500000	-0.572
128.000000	-0.553
131.500000	-0.558
132.000000	-0.558
134.000000	-0.569
136.000000	-0.583
138.000000	-0.595
140.000000	-0.616
143.000000	-0.580
145.000000	-0.537
147.500000	-0.546
