* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\crin to me.txt
* Format: Comma/Tab/Space delimited data
* Dated: 21 Feb, 2022 7:41:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\crin to me.txt Format: Comma/Tab/Space delimited data 54518 values loaded, 2 Hz to 19,967 Hz
* Measurement: crin to me
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 24.000 Hz
*
* Freq(Hz)	SPL(dB)
24.000000	1.480
24.299999	1.310
24.700001	1.313
25.000000	1.262
25.400000	1.218
25.799999	1.169
26.200001	1.127
26.500000	1.104
26.900000	1.085
27.200001	1.076
27.600000	1.057
28.000000	1.024
28.500000	0.980
29.000000	0.948
29.500000	0.925
30.000000	0.914
30.400000	0.910
30.700001	0.915
31.100000	0.933
31.500000	0.957
32.000000	0.964
32.500000	0.933
33.000000	0.881
33.500000	0.831
34.000000	0.795
34.500000	0.776
35.000000	0.758
35.500000	0.732
36.000000	0.702
36.500000	0.673
37.000000	0.652
37.500000	0.646
38.200001	0.656
38.700001	0.655
39.500000	0.605
40.000000	0.556
40.599998	0.496
41.200001	0.442
41.799999	0.412
42.500000	0.435
43.099998	0.482
43.700001	0.512
44.400002	0.518
45.000000	0.483
45.500000	0.417
46.200001	0.305
46.799999	0.240
47.500000	0.216
48.200001	0.226
48.700001	0.238
49.400002	0.235
50.000000	0.205
50.799999	0.151
51.500000	0.128
52.200001	0.131
53.000000	0.134
53.799999	0.130
54.500000	0.125
55.200001	0.103
56.000000	0.060
57.000000	0.024
58.000000	0.034
59.000000	0.093
60.000000	0.161
60.799999	0.198
61.500000	0.215
62.200001	0.212
63.000000	0.188
64.000000	0.155
65.000000	0.143
66.000000	0.145
67.000000	0.146
68.000000	0.151
69.000000	0.154
70.000000	0.140
71.000000	0.099
72.000000	0.044
73.000000	0.031
74.000000	0.085
75.000000	0.156
76.199997	0.185
77.500000	0.151
78.800003	0.111
80.000000	0.087
81.199997	0.071
82.500000	0.036
83.800003	-0.028
85.000000	-0.093
86.199997	-0.117
87.500000	-0.049
88.500000	0.046
90.000000	0.144
91.199997	0.155
92.500000	0.123
93.800003	0.060
95.000000	-0.013
96.199997	-0.055
97.500000	-0.027
98.800003	0.045
