* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 3:05:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2 Flat
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.035	-156.0695
20.299999	94.069	-156.6316
20.600000	94.102	-157.1736
20.900000	94.135	-157.6953
21.200001	94.169	-158.2161
21.400000	94.193	-158.5638
21.799999	94.239	-159.2557
22.000000	94.260	-159.6010
22.400000	94.301	-160.2964
22.700001	94.328	-160.8029
23.000000	94.354	-161.2934
23.299999	94.379	-161.7752
23.600000	94.403	-162.2440
24.000000	94.436	-162.8540
24.299999	94.461	-163.3092
24.700001	94.493	-163.9122
25.000000	94.515	-164.3596
25.400000	94.542	-164.9523
25.799999	94.565	-165.5239
26.200001	94.587	-166.0766
26.500000	94.603	-166.4811
26.900000	94.622	-167.0037
27.200001	94.633	-167.3926
27.600000	94.648	-167.9119
28.000000	94.662	-168.4262
28.500000	94.677	-169.0666
29.000000	94.689	-169.6972
29.500000	94.698	-170.3289
30.000000	94.703	-170.9477
30.400000	94.706	-171.4272
30.700001	94.708	-171.7670
31.100000	94.711	-172.1971
31.500000	94.717	-172.6163
32.000000	94.727	-173.1486
32.500000	94.736	-173.7127
33.000000	94.740	-174.2848
33.500000	94.734	-174.8319
34.000000	94.728	-175.3285
34.500000	94.731	-175.8027
35.000000	94.737	-176.2853
35.500000	94.742	-176.7916
36.000000	94.742	-177.2920
36.500000	94.738	-177.7618
37.000000	94.735	-178.1994
37.500000	94.734	-178.6337
38.200001	94.729	-179.2399
38.700001	94.720	-179.6532
39.500000	94.708	179.7045
40.000000	94.700	179.2735
40.599998	94.680	178.7440
41.200001	94.649	178.2912
41.799999	94.623	177.9337
42.500000	94.611	177.5275
43.099998	94.606	177.1104
43.700001	94.597	176.6470
44.400002	94.579	176.1017
45.000000	94.560	175.6528
45.500000	94.543	175.2957
46.200001	94.519	174.8233
46.799999	94.500	174.4335
47.500000	94.478	173.9957
48.200001	94.458	173.5752
48.700001	94.446	173.2705
49.400002	94.426	172.8239
50.000000	94.404	172.4391
50.799999	94.368	171.9727
51.500000	94.338	171.6019
52.200001	94.310	171.2204
53.000000	94.274	170.7902
53.799999	94.240	170.3967
54.500000	94.212	170.0139
55.200001	94.177	169.6210
56.000000	94.138	169.2351
57.000000	94.095	168.6637
58.000000	94.024	168.2407
59.000000	94.002	167.9825
60.000000	93.970	167.3561
60.799999	93.915	167.0244
61.500000	93.889	166.8480
62.200001	93.872	166.5503
63.000000	93.833	166.1837
64.000000	93.785	165.8552
65.000000	93.744	165.4803
66.000000	93.696	165.1368
67.000000	93.656	164.7989
68.000000	93.610	164.4248
69.000000	93.563	164.0822
70.000000	93.514	163.7319
71.000000	93.463	163.4452
72.000000	93.421	163.1477
73.000000	93.372	162.8327
74.000000	93.324	162.5547
75.000000	93.274	162.2647
76.199997	93.221	161.9804
77.500000	93.158	161.5675
78.800003	93.097	161.2722
80.000000	93.034	160.9299
81.199997	92.985	160.7607
82.500000	92.931	160.3553
83.800003	92.866	160.1662
85.000000	92.816	159.8762
86.199997	92.754	159.6755
87.500000	92.697	159.4171
88.500000	92.649	159.2365
90.000000	92.578	158.9859
91.199997	92.528	158.8075
92.500000	92.468	158.5881
93.800003	92.410	158.4036
95.000000	92.346	158.2221
96.199997	92.299	158.1044
97.500000	92.239	157.8443
98.800003	92.201	157.6193
100.000000	92.112	157.2522
101.500000	92.053	157.4081
103.000000	91.993	157.1443
104.400002	91.939	157.0936
106.000000	91.877	156.9081
107.500000	91.799	156.7891
109.000000	91.741	156.7307
110.599998	91.672	156.5715
112.000000	91.608	156.4840
113.800003	91.532	156.4041
115.000000	91.488	156.3055
117.199997	91.403	156.1286
118.000000	91.368	156.0716
120.599998	91.262	155.9720
122.000000	91.214	155.9209
124.099998	91.113	155.7529
125.000000	91.092	155.6921
126.500000	91.019	155.6526
128.000000	91.004	155.5492
131.500000	90.885	155.5632
132.000000	90.834	155.4897
134.000000	90.757	155.6485
136.000000	90.632	155.5369
138.000000	90.586	155.7564
140.000000	90.497	155.9233
143.000000	90.402	155.5533
145.000000	90.308	155.7509
147.500000	90.309	155.5586
150.000000	90.077	155.9577
152.500000	89.992	156.2544
155.000000	89.910	156.1831
157.500000	89.834	156.4835
160.000000	89.740	157.2073
162.500000	89.661	158.0446
165.000000	89.380	158.0442
167.500000	89.581	158.2002
170.000000	89.621	158.5284
172.500000	89.655	158.5598
175.000000	89.446	158.4675
177.500000	89.540	158.5002
180.000000	89.519	158.6052
182.500000	89.447	158.6661
185.000000	89.430	158.6382
187.500000	89.446	158.6742
190.000000	89.378	158.8476
192.500000	89.302	158.4804
195.000000	89.235	158.5097
197.500000	89.223	158.3781
200.000000	89.182	158.4535
203.000000	89.091	158.4841
206.000000	88.997	158.3793
209.000000	88.968	158.5704
212.000000	88.908	158.7534
214.000000	88.853	158.8970
218.000000	88.739	159.1271
220.000000	88.714	159.1094
224.000000	88.628	159.4379
227.000000	88.572	159.5483
230.000000	88.531	159.6706
233.000000	88.465	159.9656
236.000000	88.407	160.0273
240.000000	88.334	160.4087
243.000000	88.277	160.6610
247.000000	88.204	160.7948
