* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 3:01:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: B2 Flat
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.041	-171.5835
20.299999	98.053	-172.1425
20.600000	98.063	-172.7000
20.900000	98.070	-173.2448
21.200001	98.074	-173.7813
21.400000	98.077	-174.1282
21.799999	98.083	-174.7913
22.000000	98.085	-175.1118
22.400000	98.092	-175.7535
22.700001	98.098	-176.2306
23.000000	98.103	-176.7088
23.299999	98.105	-177.1910
23.600000	98.106	-177.6633
24.000000	98.105	-178.2680
24.299999	98.106	-178.7066
24.700001	98.107	-179.2774
25.000000	98.109	-179.7042
25.400000	98.111	179.7149
25.799999	98.109	179.1386
26.200001	98.104	178.5780
26.500000	98.099	178.1723
26.900000	98.090	177.6543
27.200001	98.081	177.2692
27.600000	98.069	176.7518
28.000000	98.053	176.2436
28.500000	98.029	175.6431
29.000000	98.006	175.1002
29.500000	97.990	174.5689
30.000000	97.975	174.0110
30.400000	97.961	173.5440
30.700001	97.948	173.2036
31.100000	97.929	172.7783
31.500000	97.912	172.3778
32.000000	97.895	171.8781
32.500000	97.878	171.3398
33.000000	97.854	170.7891
33.500000	97.821	170.2689
34.000000	97.789	169.7984
34.500000	97.765	169.3402
35.000000	97.742	168.8774
35.500000	97.717	168.4171
36.000000	97.691	167.9814
36.500000	97.665	167.5634
37.000000	97.639	167.1566
37.500000	97.612	166.7595
38.200001	97.575	166.2364
38.700001	97.548	165.8652
39.500000	97.502	165.2486
40.000000	97.471	164.8643
40.599998	97.432	164.4056
41.200001	97.390	163.9391
41.799999	97.342	163.4893
42.500000	97.282	163.0404
43.099998	97.240	162.6968
43.700001	97.203	162.3369
44.400002	97.159	161.9007
45.000000	97.122	161.5297
45.500000	97.090	161.2122
46.200001	97.041	160.7807
46.799999	96.998	160.4658
47.500000	96.957	160.1203
48.200001	96.917	159.7057
48.700001	96.881	159.3983
49.400002	96.825	159.0488
50.000000	96.786	158.7875
50.799999	96.738	158.3622
51.500000	96.683	157.9822
52.200001	96.628	157.6940
53.000000	96.581	157.3806
53.799999	96.534	156.9777
54.500000	96.480	156.6207
55.200001	96.423	156.3464
56.000000	96.371	156.0729
57.000000	96.305	155.5912
58.000000	96.212	155.2306
59.000000	96.150	154.9857
60.000000	96.080	154.5203
60.799999	96.011	154.2440
61.500000	95.964	154.0336
62.200001	95.916	153.7676
63.000000	95.854	153.5175
64.000000	95.791	153.2434
65.000000	95.724	152.9059
66.000000	95.653	152.6562
67.000000	95.589	152.4089
68.000000	95.523	152.1852
69.000000	95.464	151.9321
70.000000	95.393	151.6266
71.000000	95.314	151.4182
72.000000	95.251	151.2544
73.000000	95.189	151.0043
74.000000	95.121	150.7861
75.000000	95.057	150.5684
76.199997	94.978	150.3495
77.500000	94.898	150.0708
78.800003	94.810	149.8652
80.000000	94.734	149.6559
81.199997	94.658	149.5464
82.500000	94.590	149.3141
83.800003	94.505	149.1127
85.000000	94.430	148.9507
86.199997	94.356	148.8255
87.500000	94.280	148.6504
88.500000	94.219	148.5461
90.000000	94.131	148.4069
91.199997	94.064	148.2976
92.500000	93.988	148.1748
93.800003	93.913	148.0822
95.000000	93.841	147.9633
96.199997	93.772	147.9037
97.500000	93.702	147.7799
98.800003	93.645	147.6812
100.000000	93.565	147.4163
