* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 Mar, 2023 1:51:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.406	-135.0498
20.299999	103.444	-136.1639
20.600000	103.477	-137.2079
20.900000	103.510	-138.1792
21.200001	103.549	-139.0959
21.400000	103.581	-139.6989
21.799999	103.653	-140.9282
22.000000	103.690	-141.5729
22.400000	103.761	-142.9390
22.700001	103.804	-144.0129
23.000000	103.836	-145.0951
23.299999	103.855	-146.1518
23.600000	103.866	-147.1614
24.000000	103.874	-148.4171
24.299999	103.878	-149.2946
24.700001	103.885	-150.3958
25.000000	103.892	-151.1838
25.400000	103.904	-152.1996
25.799999	103.919	-153.1914
26.200001	103.938	-154.1760
26.500000	103.953	-154.9175
26.900000	103.969	-155.9143
27.200001	103.977	-156.6666
27.600000	103.985	-157.6719
28.000000	103.989	-158.6746
28.500000	103.987	-159.9126
29.000000	103.976	-161.1033
29.500000	103.961	-162.2149
30.000000	103.951	-163.2576
30.400000	103.953	-164.0843
30.700001	103.955	-164.7215
31.100000	103.956	-165.5961
31.500000	103.950	-166.4729
32.000000	103.933	-167.5150
32.500000	103.917	-168.4814
33.000000	103.905	-169.4271
33.500000	103.887	-170.3952
34.000000	103.856	-171.3432
34.500000	103.821	-172.1867
35.000000	103.790	-172.9087
35.500000	103.774	-173.5887
36.000000	103.766	-174.3164
36.500000	103.756	-175.1084
37.000000	103.736	-175.9190
37.500000	103.707	-176.7051
38.200001	103.659	-177.7429
38.700001	103.618	-178.4325
39.500000	103.558	-179.4150
40.000000	103.533	-179.9789
40.599998	103.516	179.3116
41.200001	103.502	178.5070
41.799999	103.476	177.6541
42.500000	103.431	176.7269
43.099998	103.393	176.0205
43.700001	103.359	175.3401
44.400002	103.322	174.5257
45.000000	103.285	173.7930
45.500000	103.245	173.1721
46.200001	103.174	172.3860
46.799999	103.120	171.8344
47.500000	103.081	171.1198
48.200001	103.027	170.2124
48.700001	102.964	169.6387
49.400002	102.892	169.1063
50.000000	102.868	168.6151
50.799999	102.823	167.7354
51.500000	102.770	167.2083
52.200001	102.776	166.6752
53.000000	102.759	165.4164
53.799999	102.603	164.4453
54.500000	102.495	164.3979
55.200001	102.477	164.2139
56.000000	102.428	163.5290
57.000000	102.325	163.0121
58.000000	102.270	162.3582
59.000000	102.174	161.5600
60.000000	102.084	160.9025
60.799999	102.017	160.3202
61.500000	101.954	159.8676
62.200001	101.898	159.4544
63.000000	101.838	158.9743
64.000000	101.760	158.3972
65.000000	101.684	157.8570
66.000000	101.606	157.3298
67.000000	101.527	156.8219
68.000000	101.447	156.3311
