* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 Mar, 2023 1:46:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.458	-116.5818
20.299999	100.541	-117.7115
20.600000	100.620	-118.8262
20.900000	100.695	-119.9255
21.200001	100.766	-121.0060
21.400000	100.812	-121.7136
21.799999	100.902	-123.0973
22.000000	100.945	-123.7740
22.400000	101.028	-125.1011
22.700001	101.089	-126.0781
23.000000	101.148	-127.0422
23.299999	101.204	-127.9924
23.600000	101.258	-128.9272
24.000000	101.328	-130.1488
24.299999	101.380	-131.0482
24.700001	101.446	-132.2309
25.000000	101.494	-133.1086
25.400000	101.553	-134.2656
25.799999	101.608	-135.4005
26.200001	101.659	-136.5072
26.500000	101.696	-137.3199
26.900000	101.740	-138.3868
27.200001	101.769	-139.1790
27.600000	101.805	-140.2251
28.000000	101.837	-141.2521
28.500000	101.872	-142.4957
29.000000	101.904	-143.6964
29.500000	101.936	-144.8712
30.000000	101.967	-146.0327
30.400000	101.992	-146.9510
30.700001	102.009	-147.6316
31.100000	102.031	-148.5281
31.500000	102.051	-149.4115
32.000000	102.073	-150.4926
32.500000	102.094	-151.5424
33.000000	102.114	-152.5703
33.500000	102.128	-153.5930
34.000000	102.135	-154.5988
34.500000	102.141	-155.5419
35.000000	102.149	-156.4023
35.500000	102.168	-157.2376
36.000000	102.192	-158.1364
36.500000	102.207	-159.1120
37.000000	102.203	-160.0712
37.500000	102.187	-160.9153
38.200001	102.177	-161.9320
38.700001	102.182	-162.6737
39.500000	102.182	-163.9922
40.000000	102.168	-164.8037
40.599998	102.147	-165.6886
41.200001	102.133	-166.5132
41.799999	102.124	-167.3390
42.500000	102.112	-168.3223
43.099998	102.097	-169.1605
43.700001	102.076	-169.9637
44.400002	102.050	-170.8341
45.000000	102.033	-171.5561
45.500000	102.018	-172.1762
46.200001	101.990	-173.0518
46.799999	101.962	-173.7552
47.500000	101.934	-174.5509
48.200001	101.907	-175.3934
48.700001	101.880	-175.9897
49.400002	101.841	-176.7434
50.000000	101.815	-177.3483
50.799999	101.788	-178.1516
51.500000	101.774	-178.8396
52.200001	101.769	-179.6402
53.000000	101.727	179.3188
53.799999	101.647	178.6103
54.500000	101.614	178.2210
55.200001	101.605	177.6229
56.000000	101.557	176.8247
57.000000	101.493	176.1467
58.000000	101.460	175.2778
59.000000	101.386	174.3836
60.000000	101.321	173.6470
60.799999	101.275	173.0098
61.500000	101.232	172.4979
62.200001	101.196	172.0051
63.000000	101.155	171.4001
64.000000	101.095	170.6922
65.000000	101.040	170.0234
66.000000	100.976	169.3383
67.000000	100.912	168.7462
68.000000	100.855	168.1293
69.000000	100.791	167.5153
70.000000	100.728	166.9607
71.000000	100.672	166.4197
72.000000	100.615	165.8644
73.000000	100.553	165.3516
74.000000	100.498	164.8369
75.000000	100.424	164.2953
76.199997	100.340	163.8840
77.500000	100.280	163.3154
78.800003	100.203	162.7259
80.000000	100.140	162.2306
81.199997	100.079	161.6976
82.500000	100.002	161.1670
83.800003	99.935	160.6592
85.000000	99.864	160.1927
86.199997	99.801	159.7413
87.500000	99.726	159.2250
88.500000	99.669	158.8339
90.000000	99.578	158.3440
91.199997	99.520	157.9097
92.500000	99.436	157.4899
93.800003	99.369	157.1232
95.000000	99.300	156.7312
96.199997	99.226	156.3977
97.500000	99.156	156.0408
98.800003	99.071	155.6873
100.000000	99.009	155.4520
101.500000	98.927	155.0300
103.000000	98.845	154.6781
104.400002	98.762	154.3596
106.000000	98.688	154.0210
107.500000	98.595	153.7065
109.000000	98.521	153.4542
110.599998	98.428	153.2040
112.000000	98.361	152.9347
113.800003	98.263	152.6557
115.000000	98.200	152.4465
117.199997	98.083	152.0872
118.000000	98.049	152.0500
120.599998	97.905	151.5634
122.000000	97.842	151.4037
124.099998	97.736	151.1302
125.000000	97.686	151.0571
126.500000	97.625	150.8691
128.000000	97.549	150.7057
131.500000	97.384	150.3548
132.000000	97.360	150.3062
134.000000	97.265	150.1235
136.000000	97.172	149.9916
138.000000	97.078	149.8616
140.000000	96.987	149.7513
143.000000	96.854	149.6389
145.000000	96.764	149.5731
147.500000	96.656	149.5442
150.000000	96.568	149.4932
152.500000	96.467	149.4791
155.000000	96.348	149.4534
157.500000	96.253	149.3025
160.000000	96.145	149.1894
162.500000	96.069	149.5577
165.000000	95.985	149.4896
167.500000	95.906	149.5644
170.000000	95.831	149.5659
172.500000	95.779	149.6148
175.000000	95.691	149.5692
177.500000	95.658	149.5799
180.000000	95.610	149.4893
182.500000	95.551	149.6485
185.000000	95.484	150.1821
187.500000	95.370	149.3300
190.000000	95.320	149.2127
192.500000	95.237	149.0278
195.000000	95.142	148.9114
197.500000	95.077	148.9670
200.000000	95.001	148.9842
203.000000	94.920	148.8361
206.000000	94.819	148.8312
209.000000	94.756	148.9645
212.000000	94.682	149.0059
214.000000	94.603	148.8833
218.000000	94.472	149.0650
220.000000	94.418	149.0970
224.000000	94.313	149.1510
227.000000	94.213	149.2747
230.000000	94.132	149.3612
233.000000	94.050	149.4535
236.000000	93.953	149.6254
240.000000	93.854	149.7548
243.000000	93.784	149.8838
247.000000	93.678	150.1755
250.000000	93.603	150.2374
254.000000	93.518	150.4846
258.000000	93.434	150.7560
262.000000	93.328	150.9502
265.000000	93.265	151.1000
269.000000	93.182	151.3192
272.000000	93.105	151.5280
276.000000	93.029	151.7723
280.000000	92.931	152.0472
285.000000	92.837	152.3508
290.000000	92.729	152.7120
295.000000	92.634	153.0675
300.000000	92.536	153.4368
304.000000	92.455	153.6996
307.000000	92.403	153.9351
311.000000	92.317	154.2186
315.000000	92.248	154.4798
320.000000	92.156	154.9038
325.000000	92.072	155.2885
330.000000	91.981	155.6531
335.000000	91.898	156.0346
340.000000	91.816	156.4438
345.000000	91.740	156.8318
350.000000	91.663	157.3106
355.000000	91.591	157.6148
360.000000	91.516	158.0782
365.000000	91.445	158.4443
370.000000	91.375	158.8681
375.000000	91.312	159.2845
382.000000	91.220	159.8790
387.000000	91.152	160.2999
395.000000	91.051	161.0036
400.000000	90.990	161.4330
406.000000	90.923	161.8967
412.000000	90.851	162.4354
418.000000	90.785	162.9962
425.000000	90.706	163.5694
431.000000	90.640	164.0684
437.000000	90.579	164.6545
444.000000	90.513	165.2166
450.000000	90.449	165.7719
455.000000	90.402	166.1702
462.000000	90.324	166.8652
468.000000	90.281	167.2842
475.000000	90.207	167.9468
482.000000	90.147	168.5868
487.000000	90.105	168.9775
494.000000	90.055	169.6404
500.000000	90.014	170.1837
508.000000	89.947	170.8936
515.000000	89.902	171.5284
522.000000	89.853	172.1279
530.000000	89.796	172.8835
538.000000	89.749	173.5600
545.000000	89.713	174.1822
552.000000	89.669	174.8457
560.000000	89.624	175.5695
570.000000	89.564	176.5032
580.000000	89.518	177.3955
590.000000	89.474	178.2881
600.000000	89.434	179.2206
608.000000	89.399	179.9521
615.000000	89.370	-179.4208
622.000000	89.341	-178.7425
630.000000	89.313	-177.9808
640.000000	89.280	-177.1213
650.000000	89.251	-176.1929
660.000000	89.227	-175.2966
670.000000	89.197	-174.3958
680.000000	89.189	-173.4977
690.000000	89.164	-172.6228
700.000000	89.145	-171.7587
710.000000	89.135	-170.9514
720.000000	89.116	-170.1209
730.000000	89.102	-169.3186
740.000000	89.077	-168.5958
750.000000	89.043	-167.8642
762.000000	88.988	-166.7997
775.000000	88.932	-165.3949
788.000000	88.897	-163.9918
800.000000	88.904	-162.6217
812.000000	88.907	-161.2610
825.000000	88.951	-159.9245
838.000000	88.999	-158.4559
850.000000	89.051	-157.2554
862.000000	89.117	-156.2117
875.000000	89.199	-155.0160
885.000000	89.256	-154.2153
900.000000	89.341	-153.0772
912.000000	89.418	-152.3034
925.000000	89.492	-151.3016
938.000000	89.569	-150.4054
950.000000	89.645	-149.6549
962.000000	89.719	-148.9068
975.000000	89.813	-148.0527
988.000000	89.907	-147.3143
1000.000000	90.004	-146.6681
1015.000000	90.108	-145.8625
1030.000000	90.219	-145.1767
1044.000000	90.325	-144.4841
1060.000000	90.445	-143.8137
1075.000000	90.552	-143.2083
1090.000000	90.648	-142.6601
1106.000000	90.737	-142.0842
1120.000000	90.829	-141.6765
1138.000000	90.933	-141.1232
1150.000000	90.993	-140.8234
1172.000000	91.107	-140.1996
1180.000000	91.149	-140.0124
1206.000000	91.271	-139.3837
1220.000000	91.355	-139.0757
1241.000000	91.503	-138.6254
1250.000000	91.557	-138.4150
1265.000000	91.650	-138.1053
1280.000000	91.745	-137.7686
1315.000000	91.955	-137.0774
1320.000000	91.987	-136.9406
1340.000000	92.098	-136.5260
1360.000000	92.257	-136.0995
1380.000000	92.373	-135.6959
1400.000000	92.488	-135.2740
1430.000000	92.655	-134.6189
1450.000000	92.775	-134.1949
1475.000000	92.914	-133.6249
1500.000000	93.056	-133.0734
1525.000000	93.200	-132.5628
1550.000000	93.314	-131.9890
1575.000000	93.434	-131.4680
1600.000000	93.551	-130.8985
1625.000000	93.671	-130.3813
1650.000000	93.795	-129.8533
1675.000000	93.925	-129.3033
1700.000000	94.053	-128.7924
1725.000000	94.185	-128.3130
1750.000000	94.323	-127.8176
1775.000000	94.463	-127.3463
1800.000000	94.607	-126.9084
1825.000000	94.748	-126.4681
1850.000000	94.895	-126.0412
1875.000000	95.050	-125.6650
1900.000000	95.198	-125.3011
1925.000000	95.353	-124.9857
1950.000000	95.514	-124.6647
1975.000000	95.674	-124.3542
2000.000000	95.835	-124.1364
2030.000000	96.032	-123.8795
2060.000000	96.232	-123.6755
2090.000000	96.434	-123.5339
2120.000000	96.643	-123.4288
2140.000000	96.780	-123.4220
2180.000000	97.056	-123.4410
