* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 14 Apr, 2023 2:01:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MAKE4 V2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.905	-148.3236
20.299999	102.929	-149.3293
20.600000	102.953	-150.3129
20.900000	102.975	-151.2825
21.200001	102.995	-152.2455
21.400000	103.007	-152.8848
21.799999	103.028	-154.1515
22.000000	103.035	-154.7747
22.400000	103.046	-155.9895
22.700001	103.050	-156.8668
23.000000	103.054	-157.7138
23.299999	103.059	-158.5361
23.600000	103.065	-159.3411
24.000000	103.076	-160.4012
24.299999	103.085	-161.1950
24.700001	103.097	-162.2570
25.000000	103.104	-163.0538
25.400000	103.108	-164.1065
25.799999	103.107	-165.1294
26.200001	103.103	-166.1058
26.500000	103.098	-166.8053
26.900000	103.092	-167.7036
27.200001	103.085	-168.3639
27.600000	103.078	-169.2416
28.000000	103.068	-170.1206
28.500000	103.049	-171.2038
29.000000	103.023	-172.2427
29.500000	102.996	-173.2365
30.000000	102.967	-174.2063
30.400000	102.946	-174.9708
30.700001	102.928	-175.5334
31.100000	102.903	-176.2631
31.500000	102.879	-176.9725
32.000000	102.851	-177.8488
32.500000	102.823	-178.7272
33.000000	102.792	-179.5931
33.500000	102.756	179.5735
34.000000	102.723	178.7635
34.500000	102.696	177.9521
35.000000	102.664	177.1443
35.500000	102.629	176.3763
36.000000	102.594	175.6609
36.500000	102.564	174.9623
37.000000	102.534	174.2427
37.500000	102.497	173.5204
38.200001	102.433	172.5995
38.700001	102.389	172.0057
39.500000	102.329	171.0113
40.000000	102.284	170.3485
40.599998	102.219	169.5986
41.200001	102.155	168.9473
41.799999	102.103	168.3242
42.500000	102.047	167.5244
43.099998	101.989	166.8210
43.700001	101.923	166.2164
44.400002	101.861	165.6181
45.000000	101.822	165.0539
45.500000	101.784	164.5271
46.200001	101.716	163.8445
46.799999	101.661	163.3552
47.500000	101.606	162.7680
48.200001	101.543	162.2074
48.700001	101.507	161.8765
49.400002	101.482	161.3119
50.000000	101.447	160.6076
50.799999	101.348	159.7975
51.500000	101.284	159.3853
52.200001	101.251	158.7403
53.000000	101.148	157.8262
53.799999	101.023	157.4758
54.500000	100.978	157.2466
55.200001	100.933	156.6929
56.000000	100.839	156.1646
57.000000	100.761	155.7037
58.000000	100.673	154.9625
59.000000	100.564	154.4686
60.000000	100.485	153.9252
60.799999	100.411	153.4063
61.500000	100.341	153.0135
62.200001	100.272	152.6562
63.000000	100.193	152.3144
64.000000	100.121	151.9707
65.000000	100.063	151.3533
66.000000	99.950	150.7578
67.000000	99.858	150.5049
68.000000	99.793	150.0529
69.000000	99.702	149.6071
70.000000	99.623	149.2330
71.000000	99.539	148.7930
72.000000	99.452	148.4415
73.000000	99.373	148.0880
74.000000	99.292	147.7350
75.000000	99.210	147.3888
76.199997	99.110	147.0149
77.500000	99.010	146.6461
78.800003	98.910	146.2379
80.000000	98.814	145.8957
81.199997	98.721	145.5707
82.500000	98.621	145.2418
83.800003	98.524	144.9077
85.000000	98.431	144.6318
86.199997	98.345	144.3739
87.500000	98.248	144.0805
88.500000	98.176	143.8903
90.000000	98.068	143.5741
91.199997	97.982	143.3679
92.500000	97.889	143.0924
93.800003	97.791	142.8922
95.000000	97.709	142.7092
96.199997	97.628	142.5248
97.500000	97.540	142.3203
98.800003	97.454	142.1406
100.000000	97.373	141.9797
101.500000	97.276	141.7697
103.000000	97.174	141.5955
104.400002	97.085	141.4378
106.000000	96.979	141.2589
107.500000	96.886	141.1374
109.000000	96.790	140.9778
110.599998	96.689	140.8542
112.000000	96.602	140.7365
113.800003	96.489	140.6017
115.000000	96.415	140.5276
117.199997	96.282	140.3710
118.000000	96.232	140.3363
120.599998	96.079	140.2153
122.000000	95.996	140.1641
124.099998	95.875	140.0817
125.000000	95.823	140.0685
126.500000	95.740	140.0277
128.000000	95.653	140.0007
131.500000	95.456	139.9493
132.000000	95.428	139.9472
134.000000	95.324	139.9596
136.000000	95.208	139.9549
138.000000	95.094	140.0495
140.000000	94.977	140.1560
143.000000	94.819	140.2746
145.000000	94.716	140.4724
147.500000	94.596	140.6984
150.000000	94.493	140.7610
152.500000	94.340	141.3485
155.000000	94.232	142.0897
157.500000	94.171	142.7676
160.000000	94.146	143.1629
162.500000	94.130	143.5675
165.000000	94.129	143.4143
167.500000	94.108	143.3419
170.000000	94.051	142.9931
172.500000	93.986	142.6420
175.000000	93.913	142.4379
177.500000	93.827	142.2616
180.000000	93.720	142.1343
182.500000	93.619	142.0412
185.000000	93.495	141.8251
187.500000	93.429	142.0231
190.000000	93.337	142.0469
192.500000	93.250	142.1434
195.000000	93.174	142.2023
197.500000	93.085	142.3219
200.000000	92.982	142.3981
203.000000	92.919	142.5071
206.000000	92.823	142.6169
209.000000	92.724	142.7904
212.000000	92.599	143.0284
214.000000	92.566	142.9648
218.000000	92.457	143.2029
220.000000	92.390	143.3546
224.000000	92.268	143.5685
227.000000	92.179	143.7791
230.000000	92.091	143.9847
233.000000	92.005	144.1957
236.000000	91.918	144.4046
240.000000	91.809	144.7157
243.000000	91.732	144.9319
247.000000	91.632	145.2449
250.000000	91.554	145.4685
254.000000	91.459	145.8102
258.000000	91.366	146.1465
262.000000	91.273	146.4614
265.000000	91.207	146.7173
269.000000	91.115	147.0705
272.000000	91.049	147.3163
276.000000	90.962	147.6735
280.000000	90.873	148.0163
285.000000	90.769	148.4741
290.000000	90.663	148.9169
295.000000	90.564	149.3671
300.000000	90.468	149.8115
304.000000	90.389	150.1728
307.000000	90.335	150.4518
311.000000	90.258	150.8428
315.000000	90.189	151.1902
