* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 14 Apr, 2023 1:59:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MAKE4 V2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.108	-136.6365
20.299999	102.154	-137.7174
20.600000	102.198	-138.7795
20.900000	102.238	-139.8244
21.200001	102.276	-140.8526
21.400000	102.301	-141.5286
21.799999	102.346	-142.8568
22.000000	102.368	-143.5087
22.400000	102.407	-144.7879
22.700001	102.435	-145.7265
23.000000	102.461	-146.6493
23.299999	102.485	-147.5587
23.600000	102.509	-148.4568
24.000000	102.538	-149.6392
24.299999	102.559	-150.5143
24.700001	102.582	-151.6620
25.000000	102.597	-152.5037
25.400000	102.614	-153.5945
25.799999	102.629	-154.6466
26.200001	102.644	-155.6641
26.500000	102.656	-156.4113
26.900000	102.669	-157.3969
27.200001	102.676	-158.1344
27.600000	102.684	-159.1191
28.000000	102.688	-160.1004
28.500000	102.685	-161.3033
29.000000	102.675	-162.4574
29.500000	102.663	-163.5572
30.000000	102.650	-164.6160
30.400000	102.643	-165.4446
30.700001	102.637	-166.0571
31.100000	102.628	-166.8606
31.500000	102.619	-167.6476
32.000000	102.606	-168.6100
32.500000	102.594	-169.5552
33.000000	102.581	-170.4851
33.500000	102.562	-171.3958
34.000000	102.542	-172.2860
34.500000	102.526	-173.1592
35.000000	102.507	-174.0142
35.500000	102.485	-174.8405
36.000000	102.463	-175.6332
36.500000	102.441	-176.4049
37.000000	102.420	-177.1742
37.500000	102.396	-177.9419
38.200001	102.354	-178.9810
38.700001	102.320	-179.6885
39.500000	102.268	179.2007
40.000000	102.235	178.5119
40.599998	102.192	177.7078
41.200001	102.150	176.9315
41.799999	102.108	176.1689
42.500000	102.058	175.3008
43.099998	102.016	174.5898
43.700001	101.975	173.8954
44.400002	101.927	173.0878
45.000000	101.881	172.4163
45.500000	101.842	171.8855
46.200001	101.789	171.1651
46.799999	101.744	170.5435
47.500000	101.688	169.8310
48.200001	101.632	169.1489
48.700001	101.593	168.6542
49.400002	101.534	167.9362
50.000000	101.474	167.3723
50.799999	101.405	166.7664
51.500000	101.370	166.1891
52.200001	101.327	165.4346
53.000000	101.239	164.6486
53.799999	101.156	164.1813
54.500000	101.117	163.7686
55.200001	101.078	163.1917
56.000000	101.010	162.5425
57.000000	100.924	161.8937
58.000000	100.847	161.2301
59.000000	100.763	160.5811
60.000000	100.679	159.9776
60.799999	100.620	159.4811
61.500000	100.565	159.0307
62.200001	100.507	158.6053
63.000000	100.443	158.1509
64.000000	100.364	157.5864
65.000000	100.288	157.0728
66.000000	100.219	156.5075
67.000000	100.134	155.9453
68.000000	100.053	155.4897
69.000000	99.978	154.9888
70.000000	99.896	154.5038
71.000000	99.817	154.0518
72.000000	99.737	153.6174
73.000000	99.661	153.2079
74.000000	99.586	152.7832
75.000000	99.507	152.3966
76.199997	99.418	151.9507
77.500000	99.318	151.4829
78.800003	99.224	151.0369
80.000000	99.133	150.6295
81.199997	99.046	150.2408
82.500000	98.950	149.8405
83.800003	98.859	149.4503
85.000000	98.770	149.1102
86.199997	98.687	148.7915
87.500000	98.594	148.4290
88.500000	98.523	148.1782
90.000000	98.417	147.8013
91.199997	98.334	147.5344
92.500000	98.250	147.2233
93.800003	98.155	146.9301
95.000000	98.075	146.7148
96.199997	97.995	146.4802
97.500000	97.909	146.2512
98.800003	97.826	146.0212
100.000000	97.744	145.7678
101.500000	97.643	145.5713
103.000000	97.552	145.3133
104.400002	97.466	145.0510
106.000000	97.358	144.8806
107.500000	97.266	144.6963
109.000000	97.173	144.5294
110.599998	97.067	144.3439
112.000000	96.969	144.1932
113.800003	96.861	143.9709
115.000000	96.781	143.9073
117.199997	96.648	143.6068
118.000000	96.596	143.6298
120.599998	96.447	143.4745
122.000000	96.360	143.3766
124.099998	96.227	143.3754
125.000000	96.175	143.3299
126.500000	96.083	143.2857
128.000000	95.985	143.2812
131.500000	95.775	143.3657
132.000000	95.743	143.3442
134.000000	95.614	143.5115
136.000000	95.493	143.7536
138.000000	95.380	144.0700
140.000000	95.275	144.4544
143.000000	95.142	145.3647
145.000000	95.118	146.0666
147.500000	95.145	146.7156
150.000000	95.237	146.7726
152.500000	95.265	146.5582
155.000000	95.264	145.8860
157.500000	95.209	145.2248
160.000000	95.106	144.6471
162.500000	95.005	144.1398
165.000000	94.885	143.7889
167.500000	94.776	143.5528
170.000000	94.649	143.3865
172.500000	94.531	143.2840
175.000000	94.424	143.2166
177.500000	94.317	143.1747
180.000000	94.216	143.1460
182.500000	94.113	143.1609
185.000000	94.013	143.1769
187.500000	93.915	143.2921
190.000000	93.821	143.2934
192.500000	93.731	143.3729
195.000000	93.647	143.4366
197.500000	93.561	143.5400
200.000000	93.477	143.6149
